證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　　 債券換股權利證書,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 權益總額,　　　　 其他非流動負債－其他,　　　　 應付股利,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他流動資產－其他,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　 非控制權益
3338,2015年09月30日,,,,                709400,,                626458,,                 34267,,                264198,,                 51933,,                 51411,              1737667,,,                 18844,,                368982,,                  9322,                 27318,,                  8874,,                 28683,                 37557,                462023,              2199690,,,,,                              0,,                531363,,                219531,                219531,                              0,                 25901,,,                 42731,                 42731,                  5123,                 47854,                824649,,,                286496,,                 29583,,                              0,                316079,              1140728,,,,                697902,                697902,,                115650,,                 50741,,                130053,                180794,,                 68507,                  3891,              1058962,                              0,              1058962,              2199690,              0,              0,        186000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,2015年06月30日,,,,                776595,,                562144,,                              0,,                257259,,                 48541,,                 34188,              1678727,,,                 24698,,                358763,,                  7902,                 22703,,                  9947,,                 28831,                 38778,                452844,              2131571,,,,,                              0,,                440479,,                187816,                327316,                              0,                 11349,,,                 40118,                 40118,                  4699,                 44817,                823961,,,                285219,,                 37804,,                              0,                323023,              1146984,,,,                697902,                697902,,                115374,,                 50741,,                 80891,                131632,,                 39679,,                984587,                              0,                984587,              2131571,              0,              0,              0,                139500,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,2015年03月31日,,,,                822610,,                580314,,                     59,,                284043,,                 48697,,                 35657,              1771380,,,                 29689,,                365053,,                  8465,                 23845,,                              0,,                 22655,                 22655,                449707,              2221087,,,,,                 10000,,                476912,,                197060,                197060,                              0,                 34626,,,                 40690,                 40690,                  4821,                 45511,                764109,,,                283944,,                 48515,,                              0,                332459,              1096568,,,,                697500,                697902,,                115374,,                 34142,,                227477,                261619,,                 49624,,              1124519,                              0,              1124519,              2221087,              0,              0,              0,,,                              0,                              0,                    402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,2014年12月31日,,,,                494127,,                732570,,                     84,,                292467,,                 58087,,                 48065,              1625400,,,                 31525,,                369131,,                  8230,                 18635,,                  1428,,                 22964,                 24392,                451913,              2077313,,,,,                 59856,,                560209,,                222875,                222875,                              0,                 27226,,,                 41145,                 41145,                  3710,                 44855,                915021,,,                              0,,                 59344,,                              0,                 59344,                974365,,,,                697500,                697500,,                103977,,                 34142,,                210545,                244687,,                 56784,                              0,              1102948,                              0,              1102948,              2077313,              0,              0,              0,                              0,,                              0,                              0,                              0,                494127,              2077313,,,,                 59856,,                560209,,                222875,                222875,                              0,                 27226,,,                 41145,                 41145,                  3710,                 44855,                915021,,,                 59344,,                              0,,                              0,                              0,                 59344,                974365,,,,                697500,                697500,,                103977,,                 34142,,                210545,                244687,,                 56784,              1102948,                              0,              1102948,,,,,,,,,,,
3338,2014年09月30日,,,,                412210,,                745577,,                 25671,,                278862,,                 61586,,                 35997,              1559903,,,                 34985,,                361967,,                  8649,                 14324,,                  8750,,                 22448,                 31198,                451123,              2011026,,,,,                 58307,,                533439,,                206247,                206247,                              0,                 22352,,,                 39546,                 39546,                 10277,                 49823,                870168,,,                              0,,                108752,,                              0,                108752,                978920,,,,                697500,                697500,,                103977,,                 34142,,                163754,                197896,,                 32733,                              0,              1032106,                              0,              1032106,              2011026,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,2014年06月30日,,,,                456508,,                712443,,                 23234,,                298231,,                 71742,,                 14832,              1576990,,,                              0,,                360127,,                 10222,                 12214,,                  6965,,                 18065,                 25030,                407593,              1984583,,,,,                              0,,                528027,,                198469,                303094,                              0,                 18817,,,                 38824,                 38824,                  3240,                 42064,                892002,,,                              0,,                116474,,                              0,                119371,              1011373,,,,                697500,                697500,,                103977,,                 34142,,                121471,                155613,,                 16120,,                973210,                              0,                973210,              1984583,              0,              0,              0,                104625,,                  2897,                  2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,2014年03月31日,,,,                542289,,                629351,,                  9014,,                278038,,                 79467,,                 69647,              1607806,,,                              0,,                369098,,                  9115,                 17362,,                  9891,,                 17520,                 27411,                422986,              2030792,,,,,                 76175,,                523177,,                181301,                181301,                              0,                 27657,,,                 39611,                 39611,                  7967,                 47578,                855888,,,                              0,,                128736,,                              0,                131619,                987507,,,,                697500,                697500,,                103977,,                 19777,,                193950,                213727,,                 28081,,              1043285,                              0,              1043285,              2030792,              0,              0,              0,,,                  2883,                  2883,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,2013年12月31日,,,,,,                936803,,                              0,,                264620,,                 80504,,                 59035,              1700091,,,                              0,,                379772,,                  9564,                 15626,,                 21423,,                 15898,                 37321,                442283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                359129,              2142374,,,,                 74513,,                620027,,                219225,                219225,                              0,                 23141,,,                 38746,                 38746,                 14899,                 53645,                990551,,,                135613,,                    252,,                  2869,                  2869,                138734,              1129285,,,,                697500,                697500,,                103977,,                 19777,,                163221,                182998,,                 28614,              1013089,                              0,              1013089,                  2869,,,,,,,,,,
3338,2013年09月30日,,,,,,                732099,,                              0,,                263874,,                 78007,,                 56427,              1375639,,,                              0,,                371605,,                 10405,                 10596,,                 32107,,                 24136,                 56243,                448849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                245232,              1824488,,,,                 44356,,                555067,,                226362,                226362,                              0,                  8531,,,                 38441,                 38441,                 15359,                 53800,                888116,,,                144154,,                              0,,,                  2822,                146976,              1035092,,,,                620000,                620000,,                 23455,,                 19777,,                107537,                127314,,                 18627,                789396,                              0,                789396,                  2822,,,,,,,,,,
3338,2013年06月30日,,,,,,                745518,,                              0,,                258834,,                 73073,,                 55378,              1582205,,,,,                360414,,                 10388,                 15717,,                 46018,,                 30250,                 76268,                462787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                449402,              2044992,,,,                106064,,                601765,,                247244,                340244,                              0,                 10801,,,                 39000,                 39000,                 12862,                 51862,              1110736,,,                156000,,                              0,,,                  3779,                159779,              1270515,,,,                620000,                620000,,                 23455,,                 19777,,                 85812,                105589,,                 25433,                774477,                              0,                774477,,                 93000,,                 25433,,,,,,,
