證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 待分配股票股利
3030,2015年09月30日,,,,              1775753,,                 40249,,              2186807,,                 25907,,                730934,,                 53206,              4812856,,,              2223343,,                 10673,                 50338,,                 10479,              2294833,              7107689,,,,,                 25224,,                827050,,                302942,                 96912,,                 21347,              1273475,,,                 21647,,                 87893,,                 48183,                157723,              1431198,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                904309,                 14381,,              2310372,              3229062,,,                 31979,                 31979,              5676491,              5676491,              7107689,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,2015年06月30日,,,,              2866378,,                 27821,,              1544810,,                 51057,,                706539,,                 47867,              5244472,,,              2225714,,                  6512,                 59521,,                 11199,              2302946,              7547418,,,,,                 15648,,                660439,,              1337301,                161350,,                  8162,              2182900,,,                 20956,,                 68841,,                 48767,                138564,              2321464,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                904309,                 14381,,              1882521,              2801211,,,                  9293,                  9293,              5225954,              5225954,              7547418,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,2015年03月31日,,,,              2727326,,                 32168,,              1257651,,                 27134,,                721756,,                 39683,              4805718,,,              2239618,,                  7270,                 54112,,                 10878,              2311878,              7117596,,,,,                 14345,,                495254,,                249412,                216306,,                  8675,                983992,,,                 19901,,                 71151,,                 48932,                139984,              1123976,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                778269,                 14381,,              2768812,              3561462,,,                 16708,                 16708,              5993620,              5993620,              7117596,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,2014年12月31日,,,,              2542076,,                 32812,,              1125091,,                 20763,,                723630,,                 30999,              4475371,,,              2249092,,                  8350,                 60129,,                 11435,              2329006,              6804377,,,,,                 22513,,                405005,,                348508,                160778,,                  4153,                940957,,,                 18305,,                 77348,,                 49298,                144951,              1085908,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                778269,                 14381,,              2486331,              3278981,,,                 24038,                 24038,              5718469,              5718469,              6804377,              0,              0,              0,              2542076,              6804377,,,,                 22513,,                405005,,                348508,                160778,,                  4153,                940957,,,                 18305,,                 77348,,                 49298,                144951,              1085908,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                778269,                 14381,,              2486331,              3278981,,,                 24038,                 24038,              5718469,              5718469,
3030,2014年09月30日,,,,              1830637,,                 43250,,              2558066,,                 28861,,                776974,,                 59666,              5297454,,,              2235965,,                  7537,                 58271,,                 11556,              2313329,              7610783,,,,,                 45494,,              1446718,,                310661,                134494,,                 12112,              1949479,,,                 19226,,                 75646,,                 49663,                144535,              2094014,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                778269,                 14381,,              2300484,              3093134,,,                  8185,                  8185,              5516769,              5516769,              7610783,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,2014年06月30日,,,,              2022453,,                 71473,,              1440553,,                 21015,,                722290,,                102256,              4380040,,,              2236261,,                  7997,                 55428,,                 12000,              2311686,              6691726,,,,,                 25975,,                715656,,                994119,                 81959,,                 11977,              1829686,,,                 19017,,                 59162,,                 50032,                128211,              1957897,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                778269,                 14381,,              1527637,              2320287,,,                 -1908,                 -1908,              4733829,              4733829,              6691726,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,2014年03月31日,,,,              1997624,,                 67508,,                963953,,                 22449,,                585993,,                 28395,              3665922,,,              2252689,,                  8478,                 53149,,                 10780,              2325096,              5991018,,,,,                 15382,,                310638,,                159497,                 57274,,                  4670,                547461,,,                 16150,,                 65361,,                 50488,                131999,                679460,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                697639,                 14381,,              2177172,              2889192,,,                  6916,                  6916,              5311558,              5311558,              5991018,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,2013年12月31日,,,,,,                 34499,,              1005824,,                 23958,,                587001,,                 47015,              3881583,,,              2256595,,                  9019,                 50340,,                 10871,              2326825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2183286,              6208408,,,,                 15231,,                498572,,                271333,                 58744,,                  5825,                849705,,,                 15979,,                 70652,,                 50847,                137478,                987183,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                697639,                 14381,,              2086078,              2798098,,,                  7677,                  7677,              5221225,              5221225,                              0
3030,2013年09月30日,,,,,,                 15724,,              1680971,,                 23444,,                654801,,                 44894,              4017070,,,              2245772,,                  8118,                 48722,,                 12261,              2314873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1597236,              6331943,,,,                 22536,,                805339,,                232039,                 42595,,                  9091,              1111600,,,                 20611,,                 68923,,                 54559,                144093,              1255693,,,,              2362160,              2362160,,,                 51874,,                  1416,                 53290,,                697639,                 14381,,              1950190,              2662210,,,                 -1410,                 -1410,              5076250,              5076250,                              0
3030,2013年06月30日,,,,,,                 15964,,              1341068,,                 25985,,                686347,,                 28458,              4206044,,,              2258899,,                  7434,                 47160,,                 11837,              2325330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2108222,              6531374,,,,                 14836,,                487384,,              1064414,                116117,,                 11205,              1693956,,,                 22932,,                 71179,,                 54978,                149089,              1843045,,,,              2228460,              2362160,,,                 51874,,                  1416,                 53290,,                697639,                 14381,,              1554100,              2266120,,,                  6759,                  6759,              4688329,              4688329,                133700
