證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收分期帳款,　　　　 未實現利息收入－應收分期帳款,　　　　 應收租賃款,　　　　 融資租賃之未賺得融資收益,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項,　　　　　 長期應收款,　　　　　 長期應收分期帳款,　　　　　 未實現利息收入－長期應收分期帳款,　　　　　 長期應收租賃款,　　　　　 融資租賃之未賺得融資收益,　　　　　 備抵呆帳－長期應收款項,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 持有供交易之金融資產－流動,　　　　 存貨－其他行業,　　　　　 存貨－其他行業淨額,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－非流動,　　　　 備供出售金融資產－非流動,　　　　 採用權益法之投資,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 特別盈餘公積,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 持有至到期日金融資產－流動,　　　　 持有供交易金融負債－流動,　　　　　 一年或一營業週期內到期長期借款,　　　　 應付公司債溢（折）價,　　　　 銀行長期借款,　　　　 其他非流動負債－其他,　　　　 待分配股票股利,　　　 庫藏股票,　　 共同控制下前手權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
5871,2015年09月30日,,,,             10488396,,                106649,,              7194407,                 86511,,             53904758,             70075904,              6358311,             82827684,             -9593644,              6668758,            184187633,,                    207,,              4523063,              3211568,              7734631,            209798434,,,                699443,,              1723898,,              2275400,              2275400,,                256825,,              9891185,,                 44206,              2405542,,,              6346652,             25630805,              2234338,              7763405,             -2010089,                520539,             34975896,,              1601610,              1601610,             36577506,             53874005,            263672439,,,,,             76645164,,                              0,                              0,,              2851564,                627738,,             26109917,,                              0,                              0,,             74131401,                904213,            101145531,            181269997,,,              9759397,,             30214655,,              1520750,,              2124548,             43619350,            224889347,,,,             11392300,             11392300,,              9407341,,,             13775620,             13775620,,              2207541,                              0,             36782802,              2000290,             38783092,            263672439,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,2015年06月30日,,,,             10577561,,                281931,,              5447206,                 31189,,             48131306,             68391340,              6193734,             76743870,             -8966628,              6169324,            171936830,,                    207,,              4550042,              3175067,              7725109,            196000033,,,                702883,,              1747657,,              2747750,              2747750,,                213997,,              9283891,,                 44136,              2346046,,,,,,,,,             34568152,,              1479085,              1479085,             36047237,             53133597,            249133630,,,,,             66532716,,                              0,                              0,,              2125792,              1192825,,             26816798,,                              0,                              0,,             73661807,                962890,            101441495,            171292828,,,             10417219,,             27762109,,              1299821,,              2309982,             41789131,            213081959,,,,             10954134,             11392299,,              9407341,,,             12043926,             12043926,,              1273373,                              0,             34116939,              1934732,             36051671,            249133630,              0,              0,                438165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,2015年03月31日,,,,             12872757,,                290810,,              5459810,                 35062,,             44428612,             66752802,              6123098,             76987845,             -9253181,              6056942,            166736038,,                    207,,              4935393,              3050055,              7985448,            193380132,,,                702869,,              1629099,,              2217928,              2217928,,                212760,,              9127712,,                 38874,              2326651,,,              5732846,             26379742,              2307825,              6331275,             -1704414,                485184,             33946440,,              1798376,              1798376,             35744816,             52000709,            245380841,,,,,             63887391,,                              0,                  1040,,              2146662,              1289074,,             22862785,,                              0,                              0,,             64015757,                900043,             87778585,            155102752,,,              9683725,,             38507094,,              1731202,,              2328126,             52250147,            207352899,,,,             10954134,             10954134,,              9407459,,,             13842264,             13842264,,              1649395,,             35853252,              2174690,             38027942,            245380841,              0,              0,,                290810,,                    207,                702869,              1629099,                212760,,              9387469,              9387469,                 19990,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,2014年12月31日,,,,              8338117,,                205992,,              6723295,                 37759,,             43824131,             64169367,              5907409,             78653219,             -9809078,              5996388,            164933842,,                    207,,              3587175,              3259333,              6846508,            187085720,,,                710059,,              1569885,,              2408525,              2408525,,                183215,,              8997856,,                 35591,              2334571,,,              5640807,             26136991,              2296764,              6232235,             -1685203,                488963,             33539103,,              1072032,              1072032,             34611135,             50850837,            237936557,,,,,             66974084,,                    769,                  2820,,              2344572,              1381461,,             23243396,,                              0,                              0,,             59244773,                902357,             83390526,            154094232,,,              9299257,,             34252478,,              1574717,,              2286792,             47413244,            201507476,,,,             10954134,             10954134,,              9407459,,,             12132818,             12132818,,              1844301,                              0,             34338712,              2090369,             36429081,            237936557,              0,              0,                              0,                205992,,                    207,                710059,              1569885,                183215,,              9387469,              9387469,                 19990,                              0,              0,              8338117,            237936557,,,,             66974084,,                    769,                  2820,,              2344572,              1381461,,             23243396,,                              0,                              0,,             59244773,                902357,             83390526,            154094232,,,              9299257,,             34252478,,              1574717,,              2286792,             47413244,            201507476,,,,             10954134,             10954134,,,              9387469,              9387469,                 19990,              9407459,,                              0,,             12132818,             12132818,,              1844301,             34338712,              2090369,             36429081,,,,,,,,,,,,,,,,,,,,,
5871,2014年09月30日,,,,              9655671,,                221841,,              6538845,                 20604,,             40110155,             62670533,              5810514,             73342489,             -9258041,              5767125,            155287497,,                    311,,              4968229,              2838672,              7806901,            179531670,,,                789596,,              1584558,,              2232155,              2232155,,                157505,,              7445159,,                 32932,              1894056,,,              4983117,             25662594,              2282438,              5824642,             -1586988,                421189,             32179738,,                928205,                928205,             33107943,             47243904,            226775574,,,,,             71630824,,                              0,                              0,,              1643851,                692563,,             21842197,,                    349,                    349,,             52043371,              1260551,             75146468,            149113706,,,              6441880,,             33611844,,              1556197,,              2246610,             43856531,            192970237,,,,             10954134,             10954134,,              9411698,,,             10417822,             10417822,,              1069595,                              0,             31853249,              1952088,             33805337,            226775574,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,2014年06月30日,,,,              7607684,,                393120,,              6846483,                 29998,,             37226207,             60329915,              5695665,             65287706,             -7867389,              5199178,            144081596,,                    379,,              5399795,              2499086,              7898881,            166858141,,,              1625047,,              1550899,,                897779,                897779,,                 46019,,              7320688,,                 21058,              1848458,,,,,,,,,             30058101,,                846348,                846348,             30904449,             44214397,            211072538,,,,,             70942719,,                  2973,                  1713,,              1310418,                781942,,             21823932,,                    349,                    349,,             54118209,                855254,             76797744,            149837509,,,              6226351,,             19926343,,              1697469,,              2095486,             29945649,            179783158,,,,              9958304,             10954134,,              9411698,,,              8511952,              8511952,,                538953,                              0,             29416737,              1872643,             31289380,            211072538,              0,              0,                995830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,2014年03月31日,,,,              7454389,,                435393,,              6881421,                              0,,             36912899,             57074399,              5463408,             63030524,             -7222803,              5115527,            139216084,,                 12960,,              5016375,              2410792,              7427167,            161427414,,,              1680447,,              1615275,,                803523,                803523,,                 28556,,              7170797,,                 22321,              1826288,,,              4749030,             25128581,              2354490,              3019638,               -232234,                461413,             29849112,,                758047,                758047,             30607159,             43754366,            205181780,,,,,             68252067,,                  4197,                  5033,,              1149814,              1104532,,             19429086,,                  5337,                  5337,,             53237487,                691664,             73363574,            143879217,,,              4955821,,             20781367,,              1561918,,              1894002,             29193108,            173072325,,,,              9958304,              9958304,,              9411698,,,              9777602,              9842467,,                943256,,             30155725,              1953730,             32109455,            205181780,              0,              0,,                435393,,                 12960,              1680447,              1615275,                 28556,,              9387469,              9387469,                 24229,                 64865,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,2013年12月31日,,,,,,                264569,,              4838385,                              0,,             35268464,             53111829,              5062691,             62561613,             -7170892,              4990016,            133718307,,                567752,,              5000217,              2323739,              7323956,            154299190,,,              1699947,,              1728104,,                485855,                485855,,                 29480,,              7186367,,                 22612,              1535509,,,              4522237,             23306532,              2182181,              3018968,               -237356,                408754,             28019446,,                769440,                769440,             28788886,             41476760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                264569,,                567752,              1699947,              1728104,                 29480,,,,,,              0,              7586221,            195775950,,,,             57141701,,                  9150,                 39920,,              2383535,                618258,,             19830779,,                307563,                307563,,             49511658,                869514,             70519514,            130712078,,,              5004993,,             26447339,,              1344068,,              1826279,             34622679,            165334757,,,,              9958304,              9958304,,,              9387469,              9387469,                 24229,              9411698,,                 64865,,              8215781,              8280646,,                973795,             28624443,              1816750,             30441193,                 24229,,,,,,,,,,,,,,,,,,,,
5871,2013年09月30日,,,,,,                235715,,              2741227,                              0,,             32040585,             49851813,              4976355,             60677961,             -6981430,              4402562,            126210012,,                932899,,              5152210,              2108877,              7261087,            145287937,,,              1721008,,              1552708,,                558000,                558000,,                112229,,              6552554,,                 22147,              1441358,,,              3943374,             23018558,              2194548,              2763840,               -209804,                392646,             26928774,,                749617,                749617,             27678391,             39638395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                235715,,                932899,              1721008,              1552708,                112229,,,,,,              0,              7906997,            184926332,,,,             49431049,,                  1809,                  1428,,                996667,                413522,,             18612178,,                391058,                391058,,             54492717,                687874,             74183827,            125028302,,,              6409053,,             22173684,,              1146151,,              1819368,             31548256,            156576558,,,,              9958304,              9958304,,,              9387469,              9387469,,              9411771,,                 64865,,              6578817,              6643682,,                536827,             26550584,              1799190,             28349774,                 24302,,,,,,,,,,,,,,,,,,,,
5871,2013年06月30日,,,,,,                340143,,              2175239,                              0,,             28470559,             48483714,              4922671,             62886639,             -7547355,              4340598,            123030288,,                887093,,              6003894,              2632629,              8636523,            143299512,,,              1746858,,              1153948,,                530362,                530362,,                  4029,,              6163250,,                 23562,              1528552,,,              4067346,             22058351,              2109781,              2757044,               -214759,                399738,             26158463,,                573689,                573689,             26732152,             37882713,,,,,,,,,,,,,,,,,,,,,,,,              5080570,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                340143,,                887093,              1746858,              1153948,                  4029,,,,,,              0,              8230226,            181182225,,,,             53198835,,                  1570,                  5533,,                999456,                501515,,             20828802,,                342280,                342280,,             49488415,                998651,             71658148,            126365057,,,              5076284,,             20229435,,                978718,,              1782532,             28066969,            154432026,,,,              9053004,              9958304,,,              9387469,              9387469,,              9411771,,                 64865,,              5170275,              5235140,,                380598,             24985813,              1764386,             26750199,                 24302,              2175239,                  1570,             49488415,                 -4286,             20229435,              1782532,                905300,,,,,,,,,,,,,
