證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 生物資產－流動,　　　　 生物資產－流動淨額,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 催收款項,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－土地增值稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 避險之衍生金融資產－非流動,　　　 按攤銷後成本衡量之金融資產－非流動,　　　　 按攤銷後成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　 天然資源淨額,　　　　 天然資源淨額,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　　 有形探勘及評估資產淨額,　　　　　 有形探勘及評估資產淨額,　　　　 無形探勘及評估資產淨額,　　　　　 無形探勘及評估資產淨額,　　　　 預付設備款,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　　 基金,　　　　　 基金合計,　　　　 預付投資款,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資（淨額）,　　　　 預付退休金－非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他金融負債－流動,　　　　 特別股負債－流動,　　　　 暫收款,　　　　 代收款,　　　　 遞延兌換利益,　　　　 代理店往來（海陸運輸業適用）,　　　　 應付租賃款－流動,　　　 庫藏股票
1219,2015年09月30日,,,,                799176,,                 17455,,                352163,,                              0,,                613556,,                182155,,                 26807,,,              1327575,              1327575,,                 52180,,                 47520,,                 80328,              3498915,,,                  9514,,                248260,,              2943176,,                 11941,                 59541,,                 20698,,                    540,                    540,,                 24760,                 24760,                 45998,              3318430,              6817345,,,,,              1028176,,                105990,,                151346,,                148565,                 16093,,,                 16350,,                129740,                129740,                 11486,                157576,              1607746,,,                597785,,                448422,                448422,,                249422,                  3048,                252470,              1298677,              2906423,,,,              3188256,                              0,              3188256,,                 36696,,                207166,                243814,,                 51276,                 45237,                 96513,                547493,,                  4031,              3776476,                134446,              3910922,              6817345,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,2015年06月30日,,,,                854584,,                 15845,,                314632,,,,                556272,,                207855,,                 42599,,,              1308509,              1308509,,                 42770,,                 34928,,                 82859,              3460853,,,                  9514,,                239822,,              2759826,,                 11880,                 59092,,                 17614,,                              0,                              0,,                 21054,                 21054,                 38668,              3118802,              6579655,,,,,                777200,,                100009,,                133286,,                194797,                  8403,,,                 86372,,                138403,                138403,                  1710,                226485,              1441617,,,                539022,,                448422,                448422,,                254284,                  2987,                257271,              1244715,              2686332,,,,              3131882,                 56374,              3188256,,                 36696,,                207166,                243814,,                 51276,                 19932,                 71208,                522188,,                  1657,              3748797,                144526,              3893323,              6579655,              0,              0,              0,,                  1437,                  1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,2015年03月31日,,,,                837601,,                 17374,,                298611,,,,                514337,,                191242,,                 24799,,,              1559992,              1559992,,                 43123,,                 38847,,                 73309,              3599235,,,                  9514,,                258827,,              2549102,,                 12182,                 59304,,                 13857,,                     91,                     91,,                 26754,                 26754,                 40702,              2929631,              6528866,,,,,                687488,,                103558,,                174102,,                144413,                 12707,,,                 66628,,                 86364,                 86364,                 11729,                164721,              1287003,,,                577273,,                448422,                448422,,                255169,                  3108,                258277,              1283972,              2570975,,,,              3131882,,              3131882,,                 36696,,                193721,                243814,,                177469,                 22504,                199973,                637508,,                  2534,              3808620,                149271,              3957891,              6528866,              0,              0,              0,,                     14,                     14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,2014年12月31日,,,,                875250,,                 26248,,                345892,,                              0,,                585137,,                206674,,                 13262,,,              1357104,              1357104,,                 43385,,                 32935,,                 56136,              3542023,,,                  9514,,                257682,,              2386157,,                 12332,                 60035,,                 13224,,                  2637,                  2637,,                 27091,                 27091,                 42952,              2768672,              6310695,,,,,                465530,,                 94597,,                164993,,                131155,                  6172,,,                128275,,                 61364,                 61364,                  1634,                191273,              1053720,,,                611364,,                448422,                448422,,                254729,                  2805,                257534,              1317320,              2371040,,,,              3131882,                              0,              3131882,,                 36696,,                193721,                243814,,                 43016,                134453,                177469,                615004,,                  3150,              3786732,                152923,              3939655,              6310695,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,2014年09月30日,,,,                618094,,                 16844,,                344554,,                              0,,                605854,,                272898,,                 10652,,,              1355393,              1355393,,                 34785,,                 27589,,                  5044,              3291707,,,                  9514,,                431929,,              2157776,,                 12568,                 64123,,                  9805,,                    170,                    170,,                 21442,                 21442,                 31417,              2707327,              5999034,,,,,                365484,,                102823,,                156142,,                113680,                              0,,,                138657,,                 36363,                 36363,                 10703,                185723,                923852,,,                645455,,                448422,                448422,,                242165,                  2805,                244970,              1338847,              2262699,,,,              3131882,                              0,              3131882,,                 39004,,                193721,                243814,,                 55766,                 54992,                110758,                548293,,                  1038,              3720217,                 16118,              3736335,              5999034,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,2014年06月30日,,,,                627042,,                 22391,,                278209,,,,                511162,,                264135,,                 33601,,,              1992021,              1992021,,                 32480,,                 22408,,                 10678,              3794127,,,                  9514,,                312535,,              2021139,,                 13744,                 64098,,                  9661,,                  3134,                  3134,,                 21889,                 21889,                 34684,              2455714,              6249841,,,,,                662708,,                 93518,,                139339,,                148274,                              0,,,                 75984,,                 36364,                 36364,                  1522,                113870,              1158261,,,                654545,,                448422,                448422,,                252392,                  2805,                255197,              1358164,              2516425,,,,              3131882,                              0,              3131882,,                 39004,,                193721,                243814,,                 55766,                 53191,                108957,                546492,,                   -595,              3716783,                 16633,              3733416,              6249841,              0,              0,              0,,                    552,                    552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,2014年03月31日,,,,                686088,,                 23182,,                293226,,,,                551575,,                229920,,                 10095,,,              1596264,              1596264,,                 23848,,                 21533,,                 11701,              3447432,,,                  9514,,                316381,,              2033125,,                 14969,                 65041,,                 10270,,                  1766,                  1766,,                 21283,                 21283,                 33319,              2472349,              5919781,,,,,                537294,,                124382,,                143638,,                 82453,                    278,,,                 23931,,                100000,                100000,                 46104,                170035,              1058080,,,                375000,,                448422,                448422,,                262018,                  2805,                264823,              1088245,              2146325,,,,              3131882,,              3131882,,                 59244,,                190907,                243814,,                105558,                 43755,                149313,                584034,,                   -483,              3774677,                 -1221,              3773456,              5919781,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,2013年12月31日,,,,,,                 27622,,                321235,,                 50397,,                497519,,                198372,,                 12517,,,              1193729,              1193729,,                 16177,,                 45454,,                 10270,              2991560,,,                  9514,,                298081,,              2044477,,                 14350,                 71666,,                  9151,,                  1138,                  1138,,                 22503,                 22503,                 32792,              2470880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                618268,,                              0,              5462440,,,,                144148,,                 97907,,                143528,,                100483,                    278,,,                 19254,,                100000,                100000,                  6957,                126211,                612555,,,                400000,,                448422,                448422,,                262483,                  3104,                265587,              1114009,              1726564,,,,              3131882,              3131882,,                 59244,,                190907,                243814,,                 83308,                 28143,                111451,                546172,,                   -528,              3736770,                   -894,              3735876,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,2013年09月30日,,,,,,                 25324,,                316959,,                 57563,,                557084,,                197241,,                 15904,,,              1395479,              1395479,,                 19106,,                 18246,,                  4487,              3170737,,,                  9756,,                261535,,              2039598,,                 13702,                 70849,,                  8728,,                    966,                    966,,                 23261,                 23261,                 32955,              2428395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                563344,,                              0,              5599132,,,,                360077,,                 82381,,                133394,,                106050,                    851,,,                 21216,,                 75000,                 75000,                 14490,                110706,                793459,,,                425000,,                448422,                448422,,                259149,                  3104,                262253,              1135675,              1929134,,,,              3131882,              3131882,,                 59244,,                190907,                243814,,                 84561,                -38035,                 46526,                481247,,                   -413,              3671960,                 -1962,              3669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,2013年06月30日,,,,,,                 25410,,                339617,,                 64080,,                574778,,                175375,,                 31315,,,              1791688,              1791688,,                 23278,,                 26877,,                  5158,              3601492,,,                  9756,,                241579,,              2029700,,                 15278,                 71249,,                 11166,,                    383,                    383,,                 21511,                 21511,                 33060,              2400622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                527536,,                 16380,              6002114,,,,                772342,,                132843,,                160308,,                135093,                    851,,,                 17389,,                125000,                125000,                  1310,                143699,              1345136,,,                275000,,                448422,                448422,,                266176,                  3104,                269280,                992702,              2337838,,,,              3070473,              3131882,,                 59244,,                190907,                243814,,                 84561,                -44780,                 39781,                474502,,                   -564,              3665064,                   -788,              3664276,,                              0,                 61409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
