證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－處分資產增益,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 資本公積－普通股股票溢價,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 資本公積－認股權,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　　 預收股本,　　　　 其他非流動負債－其他,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 庫藏股票
3060,2015年09月30日,,,,              2465942,,              1679426,,                 76243,,              1136063,,                 79042,              5436716,,,                 28959,,                851313,,              1366782,                119462,,                 77097,              2443613,              7880329,,,,,                 18591,,              1441828,,                 79002,                101314,,,                 30414,                507844,                538258,              2178993,,,                186547,,                449071,,                 24361,                659979,              2838972,,,,              1742020,              1742020,,,              1443485,                 80675,                      7,                 53905,              1578072,,                718700,                 59074,,              1207608,              1985382,,,               -483343,               -483343,              4822131,                219226,              5041357,              7880329,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,2015年06月30日,,,,              2559197,,              1511845,,                103453,,              1146577,,                 76990,              5398062,,,                 56959,,                923833,,              1417646,                 85877,,                 81118,              2565433,              7963495,,,,,                  1880,,              1281147,,                 97930,                117085,,,                 30479,                551992,                582471,              2080513,,,                194118,,                362299,,                 24512,                580929,              2661442,,,,              1742020,              1742020,,,              1443485,                 80675,                      7,                 53905,              1578072,,                646187,                 85194,,              1341438,              2072819,,,               -308546,               -308546,              5084365,                217688,              5302053,              7963495,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,2015年03月31日,,,,              2216098,,              1608437,,                210925,,                960968,,                 71051,              5067479,,,                 56959,,                890681,,              1382154,                 76525,,                 76839,              2483158,              7550637,,,,,                              0,,                904677,,                102349,                107112,,,                 29462,                501306,                530768,              1644906,,,                201689,,                374323,,                 24650,                600662,              2245568,,,,              1742020,              1742020,,,              1443485,                 80675,                      7,                 53905,              1578072,,                646187,                 85194,,              1246266,              1977647,,,               -227786,               -227786,              5069953,                235116,              5305069,              7550637,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,2014年12月31日,,,,              2520739,,              1625905,,                218326,,                907402,,                 64223,              5336595,,,                 56959,,                846202,,              1263210,                 49316,,                 76158,              2291845,              7628440,,,,,                              0,,              1058657,,                118758,                 66053,,,                 27770,                506696,                534466,              1777934,,,                209310,,                360372,,                 24142,                593824,              2371758,,,,              1742020,              1742020,,,              1443485,                 80675,                      7,                 53905,              1578072,,                646187,                 85194,,              1028902,              1760283,,,                -59074,                -59074,              5021301,                235381,              5256682,              7628440,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,2014年09月30日,,,,              2352232,,              1484865,,                233383,,                844417,,                 62170,              4977067,,,                 77092,,                824262,,              1233690,                 20925,,                 77193,              2233162,              7210229,,,,,                              0,,              1015679,,                103912,                 59406,,,                 24164,                433471,                457635,              1636632,,,                216951,,                299409,,                 19152,                535512,              2172144,,,,              1742020,              1742020,,,              1443485,                 80675,                      7,                 53905,              1578072,,                646187,                 85194,,                802607,              1533988,,,                -33152,                -33152,              4820928,                217157,              5038085,              7210229,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,2014年06月30日,,,,              2647303,,              1241798,,                311604,,                757306,,                 80938,              5038949,,,                 87771,,                726880,,              1230696,                 22694,,                 76376,              2144417,              7183366,,,,,                              0,,                894312,,                148929,                 79236,,,                 18148,                401591,                419739,              1908040,,,                224591,,                264769,,                 19093,                508453,              2416493,,,,              1742020,              1742020,,,              1443485,                 80675,                      7,                 30748,              1554915,,                646187,                 85194,,                569009,              1300390,,,                -37304,                -37304,              4560021,                206852,              4766873,              7183366,              0,              0,              0,,                365824,                365824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,2014年03月31日,,,,              2654769,,              1270148,,                219064,,                717908,,                 69904,              4931793,,,                148771,,                734112,,              1262049,                 32267,,                 76554,              2253753,              7185546,,,,,                 19227,,                949197,,                157103,                102997,,,                 11676,                352143,                363819,              1592343,,,                231143,,                323608,,                 19179,                573930,              2166273,,,,              1742020,              1742020,,,              1443485,                 80675,                      7,                 30748,              1554915,,                594576,                  9004,,                933821,              1537401,,,                -14773,                -14773,              4819563,                199710,              5019273,              7185546,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,2013年12月31日,,,,,,              1353256,,                225632,,                655033,,                 47200,              4730243,,,                187771,,                706520,,              1264227,                 49833,,                 82039,              2290390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              2449122,              7020633,,,,                 59564,,                981996,,                145384,                 81044,,,                  5816,                  5816,                376091,                381907,              1649895,,,                237060,,                307136,,                 16575,                560771,              2210666,,,,              1742020,              1742020,,,              1443485,                 80675,                      7,                 30748,              1554915,,                594576,                  9004,,                809417,              1412997,,,                -85194,                -85194,              4624738,                185229,              4809967,              1443485,,                              0,,                              0,                              0,                              0,                              0,,                              0,,,,,,,,,,,,
3060,2013年09月30日,,,,,,              1180372,,                234710,,                592032,,                 52454,              4196133,,,                241771,,                682547,,              1265242,                151113,,                 83511,              2424184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              2136565,              6620317,,,,                111932,,                697741,,                129302,                 26542,,,                  1835,                  1835,                325737,                327572,              1293089,,,                241103,,                430418,,                 16504,                688025,              1981114,,,,              1742020,              1742020,,,              1443485,                 80675,                      7,                 30748,              1554915,,                594576,                  9004,,                626066,              1229646,,,                -84787,                -84787,              4441794,                197409,              4639203,              1443485,,,,,,,,,,,,,,,,,,,,,
3060,2013年06月30日,,,,,,              1414975,,                213682,,                713085,,                 68616,              4245611,,,                268771,,                720535,,              1334692,                 94324,,                 87767,              2506089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1834356,              6751700,,,,                132203,,                890245,,                152014,                 46358,,,                    275,                 20158,                326391,                346549,              1567369,,,                242741,,                330330,,                 16692,                589763,              2157132,,,,              1738574,              1738574,,,              1424725,                 80675,                      7,                 30748,              1538891,,                594576,                  9004,,                494760,              1098340,,,                 15388,                 15388,              4391193,                203375,              4594568,              1424725,,                    897,,                              0,                              0,                 19883,                  2736,,,,,,,,,,,,,,
