證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 專利權淨額,　　　　　 專利權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 待分配股票股利
6464,2015年09月30日,,,,              2087898,,                273980,,                 41320,,                125444,,                 16981,,                    181,,                    693,,                 19758,,                 70447,              2636702,,,                 64021,,                              0,,                548335,,              1564994,,,                    645,,                    478,              4139629,              4140752,                 48841,,                 15086,                146592,,                  3800,                165478,              6532421,              9169123,,,,,                650000,,                 92251,,                186602,,                  2000,,                250438,                  3108,                 46046,,,                509880,                609003,              1118883,              2349328,,,              1061120,,                  7305,                123421,                 74666,                205392,              1266512,              3615840,,,,              1115000,              1115000,,              2643631,,                503519,,              1244090,              1747609,,                  3568,                              0,              5509808,                 43475,              5553283,              9169123,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,2015年06月30日,,,,              2718369,,                116265,,                 39055,,                 91373,,                  9147,,                    161,,                  8829,,                 19540,,                 62550,              3065289,,,                     21,,,,                545259,,              1548497,,,                    668,,                    523,              4139629,              4140820,                 48964,,                 16207,                144286,,                  4610,                165103,              6448664,              9513953,,,,,                              0,,                 53380,,                198387,,                  1881,,                997044,                  3834,                 99181,,,                478400,                614810,              1093210,              2446917,,,              1533600,,                  8888,                123229,                 74970,                207087,              1740687,              4187604,,,,              1115000,              1115000,,              2643631,,                503519,,              1018647,              1522166,,                  2407,                              0,              5283204,                 43145,              5326349,              9513953,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,2015年03月31日,,,,              2493189,,                 76475,,                 55822,,                106930,,                 12117,,                    259,,                    875,,                 23272,,                 47931,              2816870,,,                     21,,,,                550757,,              1551838,,,                    690,,                    587,              4139629,              4140906,                 48740,,                 10384,                143426,,                  5092,                158902,              6451164,              9268034,,,,,                 40000,,                    602,,                177740,,                  1899,,                198342,                  4957,                155469,,,                214200,                625016,                839216,              1418225,,,              1797800,,                 10470,                123029,                 74854,                208353,              2006153,              3424378,,,,              1115000,              1115000,,              2620245,,                409452,,              1664582,              2074034,,                  2214,                 11829,              5799664,                 43992,              5843656,              9268034,              0,        258788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,2014年12月31日,,,,              2494845,,                              0,,                 43945,,                 98863,,                 22610,,                  3694,,                  2723,,                 27734,,                 37233,              2731647,,,                     21,,                              0,,                549882,,              1618634,,,                    712,,                    653,              4139629,              4140994,                 50170,,                 10384,                143311,,                  5092,                158787,              6518488,              9250135,,,,,                 30000,,                 88126,,                261138,,                  2351,,                351507,                  6045,                111658,,,                              0,                590468,                590468,              1441293,,,              2012000,,                 12053,                122769,                 74741,                209563,              2221563,              3662856,,,,              1115000,              1115000,,              2620245,,                409452,,              1408858,              1818310,,                  2025,                 11829,              5543751,                 43528,              5587279,              9250135,              0,        258788,              2494845,                              0,              9250135,,,,                 30000,,                 88126,,                261138,,                  2351,,                351507,                  6045,                111658,,,                              0,                590468,                590468,              1441293,,,              2012000,,                 12053,                122769,                 74741,                209563,              2221563,              3662856,,,,              1115000,              1115000,,              2620245,,                409452,,              1408858,              1818310,,                  2025,                 11829,              5543751,                 43528,              5587279,              0,
6464,2014年09月30日,,,,              1488441,,                  8850,,                 44450,,                114683,,                 10434,,                  1611,,                 82858,,                 36196,,                 55916,              1843439,,,                     21,,                              0,,                705963,,              1525995,,,                    735,,                    364,              4139629,              4140728,                 44522,,                 19946,                142897,,                  4901,                167744,              6584973,              8428412,,,,,                 30000,,                 18095,,                388038,,                  1913,,                218093,                  3006,                 60331,,,                              0,                610136,                610136,              1329612,,,              1500000,,                 14540,                109878,                 74731,                199149,              1699149,              3028761,,,,              1115000,              1115000,,              2620245,,                409452,,              1228410,              1637862,,                  4493,                 11829,              5365771,                 33880,              5399651,              8428412,              0,        258788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,2014年06月30日,,,,              1896425,,                  8975,,                 41980,,                110707,,                  9676,,                 12424,,                 91538,,                 21782,,                 54039,              2247546,,,                     21,,,,                703914,,              1561558,,,                    758,,                    420,              4143012,              4144190,                 42508,,                 10549,                 88791,,                  6826,                106166,              6558357,              8805903,,,,,                 30000,,                  1055,,                339726,,                  1902,,                887530,                  1498,                104269,,,                              0,                603676,                603676,              1969656,,,              1500000,,                 15401,                108766,                 75111,                199278,              1699278,              3668934,,,,              1115000,              1115000,,              2620245,,                409452,,                969793,              1379245,,                  4588,                 11829,              5107249,                 29720,              5136969,              8805903,              0,        258788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,2014年03月31日,,,,              1331106,,                  7150,,                 46500,,                167090,,                  8738,,                 12874,,                 83111,,                 31739,,                 66370,              1754678,,,                     21,,,,                709649,,              1550757,,,                    780,,                    482,              4143012,              4144274,                 42259,,                 12629,                 86013,,                 10574,                109216,              6556176,              8310854,,,,,                 30000,,                  4969,,                177048,,                  1937,,                198766,                  4572,                182608,,,                              0,                611547,                611547,              1211447,,,              1500000,,                 17437,                107972,                 75148,                200557,              1700557,              2912004,,,,              1100000,              1100000,,              2431245,,                325125,,              1511345,              1836470,,                  2394,                 11829,              5358280,                 40570,              5398850,              8310854,              0,        258788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,2013年12月31日,,,,,,                  7725,,                 41399,,                108305,,                 18686,,                 21080,,                183054,,                 30277,,                 73616,              1519983,,,                     21,,,,                707237,,              1558286,,,                    803,,                    545,              4143012,              4144360,                 41461,,                  8905,                 84338,,                660186,                753429,              7204794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        258788,              1035841,                              0,              8724777,,,,                              0,,                 88933,,                270657,,                  1913,,                314249,                  2141,                133432,,,              1983656,                582485,              2566141,              3377466,,,                              0,,                 18748,                107173,                 74894,                200815,                200815,              3578281,,,,              1100000,              1100000,,              2431245,,                325125,,              1258673,              1583798,,                  3098,                 11829,              5106312,                 40184,              5146496,              0,
6464,2013年06月30日,,,,,,                              0,,                 32043,,                 92638,,                  9141,,                    239,,                 15823,,                 67552,,                 92632,              1491861,,,                  6450,,,,                881509,,              1203459,,,                              0,,                    680,              4135844,              4136524,                 39919,,                 24258,                102219,,                697816,                824293,              7092154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        258788,              1181793,                              0,              8584015,,,,                              0,,                 17940,,                286380,,                  1990,,                570208,                  3164,                 98052,,,                255000,                583922,                838922,              1816656,,,              3126864,,                              0,                121296,                 74599,                195895,              3322759,              5139415,,,,                404088,              1000000,,              1271245,,                325125,,                830773,              1155898,,                              0,                 11829,              3415314,                 29286,              3444600,              0,                595912
6464,2013年01月01日,,,,,,                              0,,                 38418,,                 78216,,                  9063,,                  2637,,                  2081,,                 53879,,                 54835,                773633,,,                  6450,,,,                947662,,              1258035,,,                              0,,                    818,              4135844,              4136662,                 25208,,                 37511,                146959,,              1270272,              1454742,              7848759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        258788,                534504,                 20000,              8622392,,,,                              0,,                138787,,                139124,,                  3643,,                244567,                143376,                 99736,,,                277500,                561154,                838654,              1607887,,,              3402572,,                              0,                120390,                 74598,                194988,              3597560,              5205447,,,,                404088,                404088,,              1271245,,                229565,,              1492982,              1722547,,                              0,                 11829,              3386051,                 30894,              3416945,              0,
