證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－合併溢額,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－處分資產增益,　　　　 資本公積－合併溢額,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　 共同控制下前手權益,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 存出保證金,　　　　 長期預付租金
2459,2015年09月30日,,,,              1391592,,              1014524,,                165636,,                              0,,                240380,,                 51664,,              2444423,,                 29395,,                 64676,,,                720323,                720323,,                 90433,,                 30583,              6243629,,,                  5970,,              2464283,,                 16025,                 11069,,                 92891,              2590238,              8833867,,,,,              1074826,,                 49976,,                    633,,              1543397,,                  2373,,                              0,                254675,                254675,                 58260,,,                 20438,,                100000,                100000,                 78203,                198641,              3182781,,,                524000,,                 32156,,                 70615,                 70615,                626771,              3809552,,,,              1124606,              1124606,,,                687485,                    932,                    487,                 10028,                      5,                698937,,                688435,                 30092,,              1603264,              2321791,,,                706862,                706862,                125825,              4726371,                297944,              5024315,              8833867,              0,              0,      4054000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,2015年06月30日,,,,              1306963,,                910061,,                184243,,                 34811,,                108909,,                 54926,,              2231304,,                 30282,,                 71137,,,                661163,                661163,,                 84308,,                 25239,              5703346,,,                  5736,,              2428762,,                 16788,                  4654,,                 93964,              2549904,              8253250,,,,,                629490,,                 49980,,                    348,,              1481638,,                  2739,,                317272,                264867,                582139,                 57062,,,                 13152,,                 25000,                 25000,                 59532,                 97684,              2901080,,,                449000,,                 24381,,                 70282,                 70282,                543663,              3444743,,,,              1136606,              1136606,,,                694821,                    932,                    487,                 10028,                      5,                706273,,                688435,                 30092,,              1519073,              2237600,,,                500221,                500228,                 47472,              4533235,                275272,              4808507,              8253250,              0,              0,      1200000,,                      7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,2015年03月31日,,,,              1375006,,                713417,,                167972,,                 76672,,                 61035,,                 61093,,              1783742,,                 30375,,                 56993,,,                695387,                695387,,                 92820,,                 11442,              5125954,,,                  5818,,              2505021,,                 13043,                  3311,,                 95710,              2622903,              7748857,,,,,                511634,,                 24990,,                    624,,              1098696,,                  4196,,                              0,                235811,                235811,                 54056,,,                  8896,,,                 12500,                 99071,                120467,              2050474,,,                461500,,                 41856,,                 69951,                 69951,                573307,              2623781,,,,              1136606,              1136606,,,                694821,                    932,                    487,                 10028,                      5,                706273,,                641564,                 30092,,              1737684,              2409340,,,                565940,                565940,,              4818159,                306917,              5125076,              7748857,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,2014年12月31日,,,,              1404199,,                 30685,,                727115,,                213857,,                 61611,,                 59020,,              2105135,,                 39463,,                 59727,,,                577612,                577612,,                117121,,                 17238,              5412783,,,                 82196,,              2566704,,                 12662,                  8618,,                 97099,              2767279,              8180062,,,,,                600734,,                              0,,                    117,,              1345314,,                  2650,,                              0,                293529,                293529,                 57586,,,                  7398,,                 36000,                 36000,                 79413,                122811,              2422741,,,                499000,,                 48175,,                 69620,                 69620,                616795,              3039536,,,,              1136606,              1136606,,,                694821,                              0,                    487,                 10028,                      5,                705341,,                641564,                 30092,,              1660417,              2332073,,,                665998,                665998,                              0,              4840018,                300508,              5140526,              8180062,              0,              0,              0,,                              0,              1404199,                 61611,              8180062,,,,                600734,,                    117,,              1345314,,                  2650,,                              0,                293529,                293529,                 57586,,,                  7398,,                 36000,                 36000,                 79413,                122811,              2422741,,,                499000,,                 48175,,                 69620,                 69620,                616795,              3039536,,,,              1136606,              1136606,,,                694821,                    487,                 10028,                      5,                705341,,                641564,                 30092,,              1660417,              2332073,,,                665998,                665998,                              0,              4840018,                300508,              5140526,,,,,,,
2459,2014年09月30日,,,,              1358175,,                 19800,,                796831,,                              0,,                 65440,,                 85153,,              2339341,,                 41125,,                 73972,,,                554205,                554205,,                 68643,,                 27874,              5430559,,,                 78984,,              2530957,,                 13305,                  6006,,                 95084,              2724336,              8154895,,,,,                727218,,                              0,,                    810,,              1419683,,                    242,,                 82150,                292332,                374482,                 60712,,,                  7517,,                 97000,                 97000,                 56412,                160929,              2744076,,,                438000,,                 26651,,                 73101,                 73101,                537752,              3281828,,,,              1136606,              1136606,,,                694821,                              0,                    487,                 10028,                      5,                705341,,                641564,                 30092,,              1562266,              2233922,,,                516620,                516620,                              0,              4592489,                280578,              4873067,              8154895,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,2014年06月30日,,,,              1872975,,                 19490,,                435177,,                              0,,                 58692,,                 67404,,              2130861,,                 43676,,                 39886,,,                536291,                536291,,                 72815,,                 32101,              5309368,,,                 77626,,              2484824,,                 13382,                  5530,,                 93610,              2674972,              7984340,,,,,                435500,,                              0,,                    217,,              1347676,,                    850,,                336512,                269933,                606445,                 62287,,,                  4241,,                 84500,                 84500,                 93427,                182168,              2635143,,,                375500,,                 25349,,                 72783,                 72783,                473632,              3108775,,,,              1420758,              1420758,,,                694821,                              0,                    487,                 10028,                      5,                705341,,                641564,                 30092,,              1410210,              2081866,,,                409423,                409423,                              0,              4617388,                258177,              4875565,              7984340,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,2014年03月31日,,,,              1881130,,                 19420,,                498831,,                              0,,                 59781,,                 29495,,              1724553,,                 39941,,                 48636,,,                497500,                497500,,                 76273,,                 28194,              4903754,,,                 79113,,              2515169,,                 14602,                  4271,,                 95690,              2708845,              7612599,,,,,                412415,,                              0,,                    627,,              1077664,,                    246,,                 92612,                227196,                319808,                 50107,,,                  8976,,,                 36000,                 86766,                131742,              1992609,,,                444000,,                 25104,,                 72473,                 72473,                541577,              2534186,,,,              1420758,              1420758,,,                694821,                              0,                    487,                 10028,                      5,                705341,,                602157,                 30092,,              1533607,              2165856,,,                494867,                494867,,              4786822,                291591,              5078413,              7612599,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,2013年12月31日,,,,,,                 19210,,                334495,,                              0,,,,                 46051,,              2574920,,                 51061,,                 48349,,,                469327,                469327,,                 79053,,                 28184,              5598328,,,                 77563,,              2569465,,                 14841,                  6295,,                 96589,              2764753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1877336,                 70342,              8363081,,,,                736350,,                    113,,              1548247,,                    449,,                135028,                249647,                384675,                 45701,,,                  6500,,                 36000,                 36000,                 87301,                129801,              2845336,,,                444000,,                 26086,,                 72165,                 72165,                542251,              3387587,,,,              1420758,              1420758,,,                694821,                    487,                 10028,                      5,                705341,,                602157,                 30092,,              1440425,              2072674,,,                489641,                489641,                              0,              4688414,                287080,              4975494,,                              0,                              0,,,,
2459,2013年09月30日,,,,,,                 19400,,                123241,,,,,,                 61325,,              3013077,,                 56437,,                 57586,,,,                552799,,                 55751,,                 16900,              5993129,,,                 76903,,              2588485,,                 15066,                  7910,,                 95376,              2783740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1921274,                115339,              8776869,,,,                847048,,                    686,,              2039202,,                    342,,                148373,                230545,                378918,                 57405,,,                  5902,,                160000,                160000,                 65049,                230951,              3554552,,,                310000,,                 27325,,                 79854,                 79854,                417179,              3971731,,,,              1420758,              1420758,,,                694821,                    487,                 10028,                      5,                705341,,                602157,                 30092,,              1357103,              1989352,,,                419042,                419042,                              0,              4534493,                270645,              4805138,,                              0,,,,,
2459,2013年06月30日,,,,,,                 19400,,                 71756,,,,,,                 75375,,              2611644,,                 48236,,                 49205,,,                527845,                527845,,                 62435,,                 21007,              5883843,,,                 77976,,              2648481,,                 15282,                  5360,,                 96893,              2843992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              2204240,                192700,              8727835,,,,                793256,,                    425,,              1917260,,                    683,,                446918,                279950,                726868,                 45004,,,                  9048,,                120000,                120000,                 89672,                218720,              3702216,,,                200000,,                 25966,,                 79630,                 79630,                305596,              4007812,,,,              1420758,              1420758,,,                694821,                    487,                 10028,                      5,                705341,,                602157,                 30092,,              1226514,              1858763,,,                471848,                471917,                              0,              4456779,                263244,              4720023,,                     69,,,,,
