證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　　 預付投資款,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額
4912,2015年09月30日,,,,                560715,,                295828,,                 83056,,                    107,,                760974,,                 16832,,                294850,,                 23998,              2036360,,,                  4238,,                 22756,,                680486,,,                  7742,                  7742,                  1300,,                 57622,                  2900,                 49521,                110043,                826565,              2862925,,,,,                407588,,                              0,,                 82164,,                568674,,                126053,                126053,                 17583,,,                    697,                     84,                    781,              1202843,,,                              0,,                 35981,,                  7764,                  7764,                 43745,              1246588,,,,                398281,                398281,,,                760547,                760547,,                 14546,,                370336,                384882,,,                 90039,                 90039,                 17412,              1616337,                              0,              1616337,              2862925,              0,              0,         17412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912,2015年06月30日,,,,                547492,,                333896,,                140318,,                  1389,,                656252,,                  9729,,                281399,,                 22960,              1993435,,,                              0,,                 24025,,                647968,,,                  7749,                  7749,                  3626,,                 27343,                  3210,                 47833,                 78386,                761754,              2755189,,,,,                359999,,                  4354,,                109690,,                419790,,                297031,                297031,                 23169,,,                  2893,                    457,                  3350,              1217383,,,                  7899,,                 32809,,                  9946,                  9946,                 50654,              1268037,,,,                396940,                396940,,,                751649,                751649,,                 14546,,                288602,                303148,,,                 35415,                 35415,                              0,              1487152,                              0,              1487152,              2755189,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912,2015年03月31日,,,,                380059,,                307118,,                239346,,                  5229,,                962074,,                 45460,,                263910,,                 30361,              2233557,,,                              0,,                 22699,,                629163,,,                  8406,                  8406,                  3499,,                 13958,                  6912,                 48667,                 74452,                738219,              2971776,,,,,                348961,,                 37982,,                122565,,                606328,,                150932,                150932,                 32359,,,                    101,                    119,                    220,              1299347,,,                130557,,                 35750,,                  7566,                  7566,                173873,              1473220,,,,                371491,                371491,,,                599953,                599953,,                 14546,,                459057,                473603,,,                 53509,                 53509,                              0,              1498556,                              0,              1498556,              2971776,              0,              0,              0,,                              0,                  4915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912,2014年12月31日,,,,                358990,,                286747,,                249923,,                  2459,,                951729,,                 49309,,                258382,,                 38022,              2195561,,,                              0,,                 20434,,                604325,,,                  8115,                  8115,                  3221,,                 33039,                  6915,                 49553,                 89507,                725602,              2921163,,,,,                351844,,                 78495,,                116298,,                647346,,                120755,                120755,                 26153,,,                  1382,                 12279,                 13661,              1354552,,,                314839,,                 33770,,                  7638,                  7638,                356247,              1710799,,,,                332021,                332021,,,                391999,                391999,,                 14546,,                407346,                421892,,,                 64452,                 64452,                              0,              1210364,                              0,              1210364,              2921163,              0,              0,              0,,                              0,                              0,                358990,                249923,                              0,,                              0,                              0,              2921163,,,,                351844,,                 78495,,                116298,,                647346,,                120755,                120755,                 26153,,,                  1382,                 12279,                 13661,              1354552,,,                314839,,                 33770,,                  7638,                  7638,                356247,              1710799,,,,                332021,                332021,,,                391999,                391999,,                 14546,,                407346,                421892,,,                 64452,                 64452,                              0,              1210364,                              0,              1210364,,
4912,2014年09月30日,,,,                440413,,                200865,,                169926,,                  1500,,                837734,,                 32556,,                230877,,                 36989,              1950860,,,                              0,,                 18706,,                602758,,,                  6334,                  6334,                  3433,,                 32943,                  6191,                 48110,                 87244,                718475,              2669335,,,,,                333921,,                 92640,,                109650,,                576661,,                104772,                104772,                 22401,,,                  5915,                     92,                  6007,              1246052,,,                308632,,                 26985,,                  7401,                  7401,                343018,              1589070,,,,                332021,                332021,,,                391999,                391999,,                 14546,,                313191,                327737,,,                 28508,                 28508,                              0,              1080265,                              0,              1080265,              2669335,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912,2014年06月30日,,,,                286488,,                145264,,                139865,,                  1788,,                741625,,                 17039,,                231924,,                 25120,              1589113,,,                  3664,,                 17512,,                601074,,,                  6645,                  6645,                  3126,,                 30037,                 12022,                 31219,                 73278,                705299,              2294412,,,,,                139574,,                 60960,,                100385,,                443077,,                192438,                192438,                 18721,,,                  8754,                    639,                  9393,                964548,,,                320836,,                 18807,,                  7217,                  7217,                346860,              1311408,,,,                328000,                328000,,,                370912,                370912,,                 14546,,                267647,                282193,,,                  1899,                  1899,                              0,                983004,                              0,                983004,              2294412,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912,2014年03月31日,,,,                244879,,                              0,,                185547,,                    374,,                610107,,                 10702,,                248826,,                 29420,              1345217,,,                  3732,,                 18250,,                618253,,,                  5072,                  5072,                  3205,,                 20894,                  6561,                 16723,                 44178,                692690,              2037907,,,,,                318734,,                              0,,                104000,,                419287,,                 96960,                 96960,                 15244,,,                 11426,                     12,                 11438,                965663,,,                              0,,                 18678,,                  7350,                  7350,                 26028,                991691,,,,                328000,                328000,,,                370912,                370912,,                 20096,,                307325,                327421,,,                 19883,                 19883,                              0,              1046216,                              0,              1046216,              2037907,              0,              0,              0,,                 15362,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4912,2013年12月31日,,,,,,                              0,,,,                    116,,                678025,,                 24588,,                212191,,                 23657,              1475767,,,,,                 18073,,                569940,,,                  5413,                  5413,                  5375,,                 57047,                  5615,                 16883,                 79545,                681789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                378673,                155564,                  2953,,                              0,                  3443,              2157556,,,,                328148,,                              0,,                124431,,                548325,,                 72983,                 72983,                 10568,,,                 22069,                  5180,                 27249,              1111704,,,                              0,,                 17489,,                  7378,                  7378,                 24867,              1136571,,,,                328000,                328000,,,                370912,                370912,,                 20096,,                278790,                298886,,,                 23187,                 23187,                              0,              1020985,                              0,              1020985,,
4912,2013年09月30日,,,,,,                              0,,,,                    117,,                648626,,                  8974,,                177222,,                 29140,              1219381,,,,,                 17128,,                483252,,,                  5443,                  5443,                  3893,,                 87070,                 21445,                 16681,                125196,                639745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                193396,                161906,                              0,,,                  4833,              1859126,,,,                311015,,                              0,,                 90937,,                394730,,                 39926,                 39926,                  8465,,,                 10824,                    241,                 11065,                856138,,,                              0,,                 13324,,                  7250,                  7250,                 20574,                876712,,,,                328000,                328000,,,                370912,                370912,,                 20096,,                255532,                275628,,,                  7874,                  7874,                              0,                982414,                              0,                982414,,
4912,2013年06月30日,,,,,,                              0,,,,                     74,,                548333,,                  6361,,                167833,,                 31144,              1134586,,,,,                    820,,                449803,,,                  5189,                  5189,                  5749,,                 64614,                 14000,                 16927,                111173,                597119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                 15632,                188198,                192642,                      1,,,                 24385,              1731705,,,,                186359,,                              0,,                 71934,,                295535,,                202687,                202687,                 13062,,,                  7998,                  1104,                  9102,                778679,,,                              0,,                 12932,,                  7316,                  7316,                 20248,                798927,,,,                328000,                328000,,,                370912,                370912,,                 20096,,                196156,                216252,,,                 17614,                 17614,                              0,                932778,                              0,                932778,,
