證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款項－關係人,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款項－關係人,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－員工認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積－其他
3231,2015年09月30日,,,,             52951209,,              4399402,,                797995,,                  1451,,             81834820,,                648769,,                 15379,,              1270543,,             76039120,,             10078674,            228037362,,,              2043445,,              1204579,,              5766753,,             38752138,,              2071687,              4467442,,              3507306,             57813350,            285850712,,,,,             62095672,,              1656605,,                 19041,,            111077629,,              2427478,                 44308,,              1928076,,,                              0,                169364,                169364,             17076137,             17245501,            196494310,,,             13455207,,              4496967,,              2452748,              2452748,             20404922,            216899232,,,,             25554824,             25554824,,             20667625,,             22386343,,              2480580,              2702207,             68387165,                564315,             68951480,            285850712,              0,              0,    138905000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231,2015年06月30日,,,,             57523365,,              2175510,,                517764,,                    764,,             74578445,,                611967,,                 10593,,                851055,,             60570780,,              9513745,            206353988,,,              2185092,,              1235254,,              5573530,,             36769965,,              2174591,              4416132,,              3899119,             56253683,            262607671,,,,,             70492033,,              1846994,,                 58683,,             83026005,,              2219585,                 46817,,              1643407,,,                              0,                503343,                503343,             17589347,             18092690,            177426214,,,             12683312,,              4455015,,              2509401,              2509401,             19647728,            197073942,,,,             24682674,             25423154,,             20096914,,             21730583,,             -1608099,                650586,             64991966,                541763,             65533729,            262607671,              0,              0,     28167000,                740480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231,2015年03月31日,,,,             50327092,,              1559370,,                174213,,                    688,,             84187296,,                708819,,                 13924,,                926703,,             68693921,,              8077220,            214669246,,,              2184696,,                977415,,              5845595,,             38022270,,              1805040,              4610616,,              3881068,             57326700,            271995946,,,,,             67631417,,              1027183,,                 50734,,             87445065,,              2435398,                 31959,,              1593535,,,                              0,                947299,                947299,             14452886,             15400185,            175615476,,,             19802852,,              4404052,,              2316765,              2316765,             26523669,            202139145,,,,             24682674,             24682674,,             20088246,,             25372220,,               -750354,,             69392786,                464015,             69856801,            271995946,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231,2014年12月31日,,,,             55692329,,                557344,,                198797,,                    252,,            100067972,,                367420,,                  9670,,                942413,,             73763983,,              9805423,            241405603,,,              2215203,,                969143,,              5861333,,             39255705,,              1546839,              4475107,,              3840990,             58164320,            299569923,,,,,             70423254,,                221566,,                 21463,,            109067808,,              2661458,                 87070,,              1745993,,,                607964,              1183707,              1791671,             16837583,             18629254,            202857866,,,             19850993,,              4387216,,              2466752,              2466752,             26704961,            229562827,,,,             24682674,             24682674,,             20441985,,             24651335,,                 23680,                              0,             69799674,                207422,             70007096,            299569923,              0,              0,              0,                              0,             55692329,                942413,            299569923,,,,             70423254,,                221566,,                 21463,,            109067808,,              2661458,                 87070,,              1745993,,,                607964,              1183707,              1791671,             16837583,             18629254,            202857866,,,                              0,,                              0,,             19850993,,              4387216,,              2225648,             26463857,            229321723,,,,             24682674,             24682674,,             20441985,,             24892439,,                 23680,                              0,             70040778,                207422,             70248200,,,,,,,,
3231,2014年09月30日,,,,             59211130,,                446783,,                131852,,                  3738,,             98328623,,                267546,,                  6814,,                851314,,             71199161,,              9360364,            239807325,,,              2069935,,                936937,,              5763804,,             36821898,,              1566324,              3424273,,              5231831,             55815002,            295622327,,,,,             66083398,,                373253,,                 17495,,            106263255,,              2648889,                 62963,,              2161563,,,              8562170,              1655818,             10217988,             14165107,             24383095,            201993911,,,             19330742,,              4726298,,              2891425,              2891425,             26948465,            228942376,,,,             24618724,             24618724,,             20329113,,             24107698,,             -2579684,                              0,             66475851,                204100,             66679951,            295622327,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231,2014年06月30日,,,,             66057258,,                317630,,                 22508,,                 11910,,             76319087,,                452083,,                 10935,,                426502,,             58135816,,              9678110,            211431839,,,              2315950,,                901341,,              5710016,,             35776324,,              1620363,              3193014,,              5724743,             55241751,            266673590,,,,,             59731118,,                394273,,                 13018,,             88718177,,              2822608,                 65289,,              2045977,,,              8265155,              1365561,              9630716,             18064927,             27695643,            181486103,,,             13928252,,              4726163,,              3007914,              3007914,             21662329,            203148432,,,,             23781603,             24257235,,             19676531,,             22667120,,             -3223261,                              0,             63377625,                147533,             63525158,            266673590,              0,              0,              0,                475632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231,2014年03月31日,,,,             69664815,,                203748,,                 18848,,                    886,,             65212402,,              1401597,,                  2561,,                393799,,             45304921,,              9028240,            191231817,,,              2154675,,                761871,,              6047331,,             37085306,,              1636882,              3496920,,              5318120,             56501105,            247732922,,,,,             52076621,,                491989,,                 12578,,             78666821,,              3868497,                 87193,,              1996437,,,              8275462,              1103192,              9378654,             13292342,             22670996,            159871132,,,             12597834,,              4726499,,              3063029,              3063029,             20387362,            180258494,,,,             23781603,             23781603,,             19673636,,             26206805,,             -2196680,,             67465364,                  9064,             67474428,            247732922,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3231,2013年12月31日,,,,,,                824030,,                 26513,,                    477,,             85352515,,                711319,,                  7251,,,,             49985441,,              8939253,            216306422,,,              1870437,,                700525,,              5476999,,             35928027,,              1677975,              3161830,,              5419559,             54235352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,             70086875,                372748,            270541774,,,,             54552893,,                415698,,                 14970,,             91538124,,              3904358,                 88093,,              1859245,,,                              0,              2519619,              2519619,             13455939,             15975558,            168348939,,,                 22205,,              7972109,,             20368292,,              4785164,,              2849047,             35996817,            204345756,,,,             23781603,             23781603,,             19651679,,             26072342,,             -3318675,                              0,             66186949,                  9069,             66196018,                              0,,             19610015,             19610015,                              0,                 65434,                -24760,                    990
3231,2013年09月30日,,,,,,                314017,,                              0,,                  1364,,             92262602,,              1024177,,                  2986,,,,             57408458,,              8330257,            231864574,,,              1689974,,                718359,,              5356677,,             34733375,,              1680712,              3107238,,              7700467,             54986802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,             71630696,                890017,            286851376,,,,             64698021,,                355393,,                 13002,,            102003506,,              3194195,                 14887,,              1869824,,,                              0,              2548718,              2548718,             12590328,             15139046,            187287874,,,                133617,,              7750907,,             19980650,,              4242475,,              2861526,             34969175,            222257049,,,,             23781603,             23781603,,             19672045,,             25192223,,             -4059813,                              0,             64586058,                  8269,             64594327,,,,,,,,
3231,2013年06月30日,,,,,,                 47134,,                 23564,,                  2030,,             90756876,,              1230985,,                 15702,,,,             59810297,,              8592080,            216472050,,,              1852011,,                727035,,              5267058,,             35594954,,              1653352,              3041867,,              5576903,             53713180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     15458000,,             55307107,                686275,            270185230,,,,             69492519,,                 18100,,                 18598,,             97032511,,              3412287,                 10538,,              1812577,,,                              0,              2016649,              2016649,             15866358,             17883007,            189680137,,,                107522,,              7730436,,              3044584,,              4254348,,              1816700,             16953590,            206633727,,,,             21979692,             23070947,,             19403919,,             24211303,,             -2367041,                777535,             63541593,                  9910,             63551503,              1091255,,             19331633,             19331633,                  2082,                 65434,                              0,                  4770
