證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應收票據,　　　　 應收帳款,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他流動資產－其他,　　　　 採用權益法之投資,　　　　　 其他非流動資產－其他,　　　　 其他應付款－其他,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額
2461,2015年09月30日,,,,                963060,,                224063,,                231106,,              1394135,,                  5135,,                160304,,                570207,,                    473,                    473,,                              0,,                 92562,              3641045,,,                 60055,,                635969,,              1361378,,                 26624,,                  4887,                 52053,,                 23889,,                132572,                156461,              2297427,              5938472,,,,,                627383,,                199836,,                    100,,                 13798,,                232168,,                102497,,                296806,                 16947,                              0,,,                              0,                              0,                              0,                  7752,                  7752,              1497287,,,                  4980,,                481691,,                730000,,                 12907,                              0,                 12907,              1229578,              2726865,,,,              1471665,              1471665,,                441508,,                152976,                162918,,                406796,                722690,,,                174334,                174334,                199205,              2610992,                600615,              3211607,              5938472,              0,     14158000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2015年06月30日,,,,              1131544,,                216014,,                249989,,              1256925,,                 22730,,                163920,,                628867,,                    454,                    454,,                              0,,                 66667,              3737110,,,                 45055,,                611656,,              1350501,,                 26897,,                  5796,                 55426,,                 23019,,                143421,                166440,              2261771,              5998881,,,,,                584815,,                149804,,,,                 20036,,                217513,,                112090,,                422688,                 18636,                              0,,,                              0,                427836,                427836,                 15978,                443814,              1969396,,,                  6580,,                479492,,                300000,,                 12940,                 50000,                 62940,                849012,              2818408,,,,              1571665,              1571665,,                458707,,                152976,                162918,,                373386,                689280,,,                 43270,                 43270,                172729,              2590193,                590280,              3180473,              5998881,              0,     11213000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2015年03月31日,,,,              1128437,,                136600,,                314048,,              1322016,,                 26747,,                160625,,                591979,,                    460,                    460,,                 69948,,                 80256,              3861260,,,                 45055,,                608349,,              1376334,,                 27210,,                  3822,                 54206,,                 23480,,                153044,                176524,              2291500,              6152760,,,,,                500527,,                149875,,,,                 15730,,                185573,,                127645,,                265496,                 29057,                 69948,,,                              0,                427836,                427836,                 13354,                441190,              1785041,,,                  4880,,                477326,,                300000,,                 12976,                 50000,                 62976,                845182,              2630223,,,,              1741665,              1741665,,                496707,,                143907,                162918,,                434403,                741228,,,                100723,                100723,                245294,              2835029,                687508,              3522537,              6152760,              0,     17000000,,                 30144,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2014年12月31日,,,,              1106260,,                133323,,                298302,,              1373781,,                 24088,,                170376,,                621998,,                    621,                    621,,                 70731,,                 75098,              3874578,,,                 45055,,                601926,,              1406118,,                 27526,,                  1626,                 54087,,                 23729,,                140576,                164305,              2300643,              6175221,,,,,                418319,,                 99973,,                              0,,                 23971,,                234830,,                 88010,,                288924,                 30144,                 70731,,,                              0,                523836,                523836,                 14497,                538333,              1793235,,,                  3860,,                475195,,                300000,,                 13010,                 50000,                 63010,                842065,              2635300,,,,              1741665,              1741665,,                496707,,                143907,                162918,,                409230,                716055,,,                131780,                131780,                244015,              2842192,                697729,              3539921,              6175221,              0,     16921000,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2014年09月30日,,,,                849713,,                 73589,,                326356,,              1264772,,                 85556,,                151952,,                603206,,                    451,                    451,,                              0,,                142780,              3498375,,,                 45055,,                669578,,              1394462,,                 27840,,                  1916,                 49810,,                 23213,,                 92011,                115224,              2303885,              5802260,,,,,                476391,,                 99897,,                              0,,                 35563,,                290499,,                 55457,,                304000,                 39132,                              0,,,                              0,                469363,                469363,                 22750,                492113,              1793052,,,                              0,,                              0,,                574474,,                 10442,                 50002,                 60444,                634918,              2427970,,,,              1741665,              1741665,,                436608,,                143907,                162977,,                441047,                747931,,,                 31373,                 31373,                 92522,              2865055,                509235,              3374290,              5802260,              0,      8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2014年06月30日,,,,                865662,,                              0,,                287470,,              1251102,,                 64905,,                111208,,                558275,,                    440,                    440,,                              0,,                180751,              3319813,,,                 30055,,                663686,,              1392318,,                 28155,,                  2251,                 50223,,                 22775,,                 83281,                106056,              2272744,              5592557,,,,,                421609,,                 29944,,,,                 29546,,                255282,,                 45646,,                397554,                 40029,                              0,,,                114966,                255618,                370584,                 15772,                386356,              1605966,,,                              0,,                              0,,                784382,,                 10361,                 50032,                 60393,                844775,              2450741,,,,              1709921,              1709921,,                453528,,                143907,                162977,,                416061,                722945,,,                -27418,                -27418,                189813,              2669163,                472653,              3141816,              5592557,              0,     13755000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2014年03月31日,,,,                908003,,                 99566,,                267862,,              1227645,,                106169,,                127389,,                540638,,                    448,                    448,,                              0,,                198280,              3476000,,,                 30055,,                562630,,              1440776,,                 28471,,                  1988,                 51341,,                 23274,,                 78057,                101331,              2216592,              5692592,,,,,                498569,,                              0,,,,                 37665,,                246262,,                102335,,                245582,                  7432,                              0,,,                131498,                369750,                501248,                 17611,                518859,              1656704,,,                              0,,                              0,,                690500,,                 10351,                  2502,                 12853,                703353,              2360057,,,,              1693730,              1693730,,                452782,,                121122,                162977,,                509019,                793118,,,                 20004,                 20004,                 92522,              2867112,                465423,              3332535,              5692592,              0,      8000000,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2013年12月31日,,,,,,                 50729,,                252072,,              1212918,,                 38745,,                149224,,                531445,,                    449,                    449,,                              0,,                199722,              3427124,,,                 30055,,                561319,,              1448435,,                 28788,,                  1376,                 51686,,                 23481,,                 51269,                 74750,              2196409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      8000000,,,              0,                991820,              5623533,,,,                442050,,                              0,,                 17984,,                244705,,                 97553,,                265124,                 17559,                              0,,,                151100,                374750,                525850,                 11619,                537469,              1622444,,,                              0,,                              0,,                725250,,                 22705,                     32,                 22737,                747987,              2370431,,,,              1674492,              1674492,,                452032,,                121122,                162977,,                478166,                762265,,,                  8325,                  8325,                 92522,              2804592,                448510,              3253102,,,,,,,,,,,,,,,,,,,,,
2461,2013年09月30日,,,,,,                 39943,,                233508,,              1231959,,                119666,,                 30436,,                550279,,                    441,                    441,,,,                168373,              3255537,,,                 33914,,                604608,,              1476118,,                 29172,,                    534,                 51708,,                 23136,,                 56069,                 79205,              2275259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      8000000,,,              0,                880932,              5530796,,,,                474811,,                              0,,                 18096,,                240999,,                 72527,,                248923,                  8069,,,,                171356,                335000,                506356,                 15129,                521485,              1584910,,,,,,,                784750,,                 23112,                    133,                 23245,                807995,              2392905,,,,              1654492,              1654492,,                451524,,                121122,                162977,,                433954,                718053,,,                -32849,                -32849,                 92522,              2698698,                439193,              3137891,,,,,,,,,,,,,,,,,,,,,
2461,2013年06月30日,,,,,,                 39731,,                181946,,                983927,,                280386,,                 46374,,                570826,,                    447,                    447,,,,                 90238,              3179193,,,                 33914,,                591385,,              1495929,,                 28493,,                    739,                 51248,,                 23576,,                172523,                196099,              2397807,,,,,,,,,,,                 21985,,                253757,,                105612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      8000000,,,              0,                985318,              5577000,,,,                568164,,                              0,,                 21985,,                253757,,                105612,,                298575,                  8886,,,,                196797,                249000,                445797,                 13421,                459218,              1716197,,,,,,,                820500,,                 23165,                  3195,                 26360,                846860,              2563057,,,,              1629350,              1629350,,                430180,,                121122,                163012,,                385081,                669215,,,                  6409,                  6409,                 92522,              2642632,                371311,              3013943,                181946,                983927,,                570826,                 90238,                591385,                172523,                298575,,,,,,,,,,,,,
