證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 存貨－其他行業,　　　　　 存貨－其他行業淨額,　　　　 有形探勘及評估資產淨額,　　　　　 有形探勘及評估資產淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 待註銷股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　 庫藏股票,　　 非控制權益
2705,2015年09月30日,,,,              1193223,,                118489,,                 47956,,                  9111,,,                614441,                614441,,                175368,,                              0,,                229156,                229156,              2387744,,,                 99543,,                 35846,,              7354235,,                 10918,                  6307,,,                307665,,                460699,                768364,              8275213,             10662957,,,,,              1300000,,                250000,,                210319,,                344012,,                    680,                  2586,,,                556288,                556288,                497287,              1053575,              3161172,,,              1131063,,              1050450,,,                 63099,                150595,                 51723,                265417,              2446930,              5608102,,,,              3302410,              3302410,,                  6402,              1385073,,                360970,              1752445,              5054855,              5054855,             10662957,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,2015年06月30日,,,,              1149569,,                113683,,                 62776,,                 11408,,,,                612401,,                190088,,                              0,,                233668,                233668,              2373593,,,                 99543,,                 52000,,              6965749,,                 11821,                  6198,,,                309308,,                456197,                765505,              7900816,             10274409,,,,,              1200000,,                150000,,                103048,,                256356,,                    680,                    592,,,                600676,                600676,                536936,              1137612,              2848288,,,              1071378,,              1050457,,,                 66789,                152831,                 53262,                272882,              2394717,              5243005,,,,              3302410,              3302410,,                  6402,              1385073,,                337519,              1728994,              5031404,              5031404,             10274409,              0,              0,              0,,                612401,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,2015年03月31日,,,,                851589,,                116226,,                386240,,                  8827,,,                611635,                611635,,                183734,,                              0,,                235176,                235176,              2393427,,,                 99543,,                 49484,,              6787174,,                  4187,                  6093,,,                310950,,                455584,                766534,              7713015,             10106442,,,,,              1200000,,                150000,,                 26049,,                176251,,                    680,                     47,,,                602171,                602171,                482802,              1084973,              2638000,,,              1037608,,              1050457,,,                 70450,                155719,                 55569,                281738,              2369803,              5007803,,,,              3302410,              3302410,,,              1385073,,                411156,              1796229,              5098639,              5098639,             10106442,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,2014年12月31日,,,,                933299,,                 11014,,                 75300,,                 10536,,,                602145,                602145,,                208642,,                619305,,                237828,                237828,              2698069,,,                 99543,,                 46623,,              6777356,,                  4773,                  8681,,,                              0,,                455334,                455334,              7392310,             10090379,,,,,              1340000,,                150000,,                 50476,,                170469,,                    680,                    344,,,                678592,                678592,                477472,              1156064,              2868033,,,              1025413,,              1050457,,,                 74083,                155564,                 40686,                270333,              2346203,              5214236,,,,              3302410,              3302410,,                              0,              1385073,,                188660,              1573733,              4876143,              4876143,             10090379,              0,              0,              0,,                602145,,                              0,                933299,             10090379,,,,              1340000,,                150000,,                 50476,,                170469,,                    680,                    344,,,                678592,                477472,              1156064,              2868033,,,              1025413,,              1050457,,,                 74083,                168818,                 40686,                283587,              2359457,              5227490,,,,              3302410,                              0,                              0,              3302410,,                              0,,                              0,              1385073,,                175406,              1560479,,                              0,              4862889,              4862889,,,,,,,,,,
2705,2014年09月30日,,,,                754086,,                 11715,,                 62623,,                  5815,,,                605395,                605395,,                201193,,                              0,,                214150,                214150,              1854977,,,                 99543,,                 45394,,              7261355,,                  4859,                  8574,,,                              0,,                439134,                439134,              7858859,              9713836,,,,,              1335000,,                150000,,                 29986,,                166457,,                    680,                    172,,,                693504,                693504,                431463,              1124967,              2807262,,,                824617,,              1050457,,,                 77689,                168167,                 44656,                290512,              2165586,              4972848,,,,              3302410,              3302410,,                              0,              1385073,,                 53505,              1438578,              4740988,              4740988,              9713836,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,2014年06月30日,,,,                721070,,                  5800,,                 99412,,                  8436,,,,                605112,,                178828,,                              0,,                199070,                199070,              1817728,,,                 99543,,                 43424,,              7226778,,                  5278,                  8558,,,                              0,,                436785,                436785,              7820366,              9638094,,,,,              1255000,,                150000,,                 22369,,                129954,,                    680,                    151,,,                271004,                271004,                420084,                691088,              2249242,,,              1345743,,              1050457,,,                 81266,                168484,                 44790,                294540,              2690740,              4939982,,,,              3302410,              3302410,,                              0,              1385073,,                 10629,              1395702,              4698112,              4698112,              9638094,              0,              0,              0,,                605112,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,2014年03月31日,,,,                623842,,                  6622,,                 65139,,                  6048,,,                602297,                602297,,                185368,,                              0,,                207775,                207775,              1697091,,,                 96806,,                 44361,,              7288415,,                  5728,                  8599,,,                              0,,                415600,                415600,              7859509,              9556600,,,,,              1175000,,                              0,,                 17130,,                128555,,                    680,                    213,,,              1044004,              1044004,                375029,              1419033,              2740611,,,                696369,,              1050457,,,                 84780,                168526,                 50955,                304261,              2051087,              4791698,,,,              3302410,              3302410,,,              1385073,,                 77419,              1462492,              4764902,              4764902,              9556600,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,2013年12月31日,,,,,,                  7461,,                 66497,,                  7873,,,                601104,                601104,,                173762,,                              0,,,                206720,              1840295,,,                 96806,,                 42313,,              7223210,,                  6166,                  8201,,,,,,                420881,              7797577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                776878,              9637872,,,,              1075000,,                 99988,,                 19242,,                148745,,                    680,                    485,,,                444004,                384191,                828195,              2172335,,,              1392995,,              1050457,,,                              0,                148520,                 52802,                201322,              2644774,              4817109,,,,              3302410,                              0,                              0,              3302410,,                              0,,                              0,              1385073,,                133280,              1518353,,                              0,              4820763,              4820763,,                              0,,                              0,,,,,,
2705,2013年09月30日,,,,,,                  9040,,                 61157,,                  7757,,,                595643,                595643,,                175988,,,,,                193261,              1923970,,,                 96806,,                 40500,,              7521625,,                  6502,                  7824,,,,,,                418827,              8092084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                881124,             10016054,,,,              1390200,,                130000,,                 16141,,                128942,,                    680,                    145,,,                882004,                395035,              1277039,              2943147,,,              1021622,,              1050457,,,                              0,                147830,                 66616,                214446,              2286525,              5229672,,,,              3302410,                              0,                              0,              3302410,,                              0,,                              0,              1385073,,                 99120,              1484193,,                   -221,              4786382,              4786382,,,,,,,,,,
2705,2013年06月30日,,,,,,                 15146,,                 66868,,                  9961,,,                600256,                600256,,                171748,,,,,                209258,              1864745,,,                 95878,,                 37571,,              7516688,,                  7054,                  7821,,,,,,                416653,              8081665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                791508,              9946410,,,,              1240200,,                              0,,                 20754,,                149036,,                              0,                     97,,,                465004,                416601,                881605,              2291692,,,              1535247,,              1050457,,,                              0,                147378,                 76083,                223461,              2809165,              5100857,,,,              3302410,                              0,                              0,              3302410,,                              0,,                              0,              1385073,,                158299,              1543372,,                   -229,              4845553,              4845553,,,,,,,,,,
