證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－員工認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－員工認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付票據,　　　　 應付票據合計,　　　　 法定盈餘公積
4142,2015年09月30日,,,,                766392,,                 18030,,                 87910,,                624110,,                 48385,,                 34396,              1579223,,,                146504,,              3035248,,                 23252,,                431363,                279755,,                 94216,              4010338,              5589561,,,,,                200000,,                  1802,,                 60550,,                 11862,                274214,,,              1300000,,                              0,,                  6255,                  6255,              1306255,              1580469,,,,              2376132,              2376132,,,              1791963,                 20580,                 13250,                              0,              1825793,,,               -426472,               -426472,,,                 75375,,                              0,                 75375,                 93841,              3756987,                252105,              4009092,              5589561,              0,              0,      3993000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4142,2015年06月30日,,,,                893169,,                  8220,,                 18451,,                665560,,                 68409,,                 18438,              1672247,,,                218751,,              3094323,,                 23252,,                443297,                279755,,                 94726,              4154104,              5826351,,,,,                100000,,                 32179,,                 62973,,                 11993,                207145,,,              1300000,,                              0,,                  6337,                  6337,              1306337,              1513482,,,,              2376132,              2376132,,,              1791963,                 20580,                 13250,                              0,              1825793,,,               -235070,               -235070,,,                147622,,                              0,                147622,                 59310,              4055167,                257702,              4312869,              5826351,              0,              0,      2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4142,2015年03月31日,,,,                956197,,                  8568,,                 23566,,                464417,,                 69607,,                 17309,              1539664,,,                178480,,              3154199,,                 23252,,                455230,                279755,,                 82112,              4173028,              5712692,,,,,                              0,,                 40409,,                 70433,,                 87605,                198447,,,              1141360,,                              0,,                  6421,                  6421,              1147781,              1346228,,,,              2377497,              2377497,,,              2403724,                 20580,                 13250,                              0,              2437554,,,               -755668,               -755668,,,                107351,,                              0,                107351,                 59310,              4107424,                259040,              4366464,              5712692,              0,              0,      2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4142,2014年12月31日,,,,              1009178,,                 12401,,                194131,,                372127,,                 60469,,                 20728,              1669034,,,                119156,,              3214524,,                 23252,,                467637,                279755,,                 83695,              4188019,              5857053,,,,,                              0,,                 33393,,                 79962,,                 89462,                202817,,,              1180270,,                              0,,                  6569,                  6569,              1186839,              1389656,,,,              2374832,              2374832,,,              2402877,                 20580,                 14097,                              0,              2437554,,,               -613126,               -613126,,,                 48027,,                              0,                 48027,                 49691,              4197596,                269801,              4467397,              5857053,              0,              0,      1670000,              1009178,              5857053,,,,                              0,,                 33393,,                 79962,,                 89462,                202817,,,              1180270,,                              0,,                  6569,              1186839,              1389656,,,,              2374832,              2374832,,,              2402877,                 20580,                 14097,                              0,              2437554,,,               -613126,               -613126,,,                 48027,,                              0,                 48027,                 49691,              4197596,                269801,              4467397,,,
4142,2014年09月30日,,,,              1811041,,                 12000,,                 56088,,                514437,,                 60630,,                 29549,              2483745,,,                 97604,,              3272808,,                 23252,,                480147,                278995,,                 67746,              4220552,              6704297,,,,,                              0,,                 14415,,                 78035,,                167611,                260061,,,              1711520,,                              0,,                  7982,                  7982,              1719502,              1979563,,,,              2374832,              2374832,,,              2353783,                 20580,                 27167,                 36024,              2437554,,,               -385581,               -385581,,,                 26475,,                              0,                 26475,                              0,              4453280,                271454,              4724734,              6704297,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4142,2014年06月30日,,,,                743039,,                  7200,,                234810,,                484007,,                 78286,,                 28510,              1575852,,,                111866,,              3329202,,                 23252,,                492760,                278995,,                 65638,              4301713,              5877565,,,,,                400000,,                 40819,,                 90114,,                165668,                696601,,,              1781680,,                              0,,                  8046,                  8046,              1789726,              2486327,,,,              1864412,              1864412,,,              1315667,                 20580,                 28669,                 36024,              1400940,,,               -135129,               -135129,,,                 40737,,                 -5928,                 34809,                              0,              3165032,                226206,              3391238,              5877565,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4142,2014年03月31日,,,,                747308,,                  7738,,                152679,,                422550,,                 72143,,                 20234,              1422652,,,                105123,,              3387545,,                 23252,,                505184,                279863,,                 61111,              4362078,              5784730,,,,,                300000,,                 28431,,                 97848,,                 75882,                502161,,,              1883090,,                    868,,                  8113,                  8113,              1892071,              2394232,,,,              1858462,              1858462,,,              1917068,                 20580,                 28384,                 36024,              2002056,,,               -765347,               -765347,,,                 33994,,                -11856,                 22138,                              0,              3117309,                273189,              3390498,              5784730,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4142,2013年12月31日,,,,,,                  7216,,                163407,,                305383,,                 43420,,                 19970,              1046443,,,                 97345,,              3428841,,                 23252,,                517800,                279863,,                 92958,              4440059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                507047,              5486502,,,,                200000,,                 11347,,                 96001,,                 89606,                396954,,,              1843416,,                    868,,                  8180,              1852464,              2249418,,,,              1858362,              1858362,,,              1916963,                              0,                 25723,                 36024,              1978710,,,               -613420,               -613420,,,                 31216,,                -17784,                 13432,                              0,              3237084,                              0,              3237084,,,
4142,2013年09月30日,,,,,,                  7344,,                 62842,,                416369,,                 35907,,                 51893,              1245990,,,                 89697,,              3505039,,                 23252,,                530253,                214592,,                 44346,              4407179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                671635,              5653169,,,,                200000,,                 44543,,                102163,,                 79801,                426507,,,              1862713,,                              0,,                  9600,              1872313,              2298820,,,,              1841602,              1841602,,,              1897372,                              0,                 23682,                              0,              1921054,,,               -431875,               -431875,,,                 23568,,                              0,                 23568,,              3354349,                              0,              3354349,,                              0,                              0
4142,2013年06月30日,,,,,,                  2620,,                176064,,                325626,,                 70001,,                 46616,              1359325,,,                 69691,,              3553324,,                 23252,,                542870,                215617,,                 36023,              4440777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                738398,              5800102,,,,                250000,,                 61769,,                 90754,,                 41483,                444006,,,              1901623,,                    743,,                  9701,              1912067,              2356073,,,,              1841542,              1841542,,,              1897309,                              0,                 19927,                              0,              1917236,,,               -323311,               -323311,,,                  8562,,                              0,                  8562,,              3444029,                              0,              3444029,,                              0,                              0
