證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額
1201,2015年09月30日,,,,              2740877,,                 70826,,              3203201,,                170247,                              0,,                109531,,                141599,,              1928737,,                738732,,             14348832,,                200732,             23653314,,,                 53597,,                358159,,             12893840,,                662257,,                 75868,,                362293,                627729,,                674914,             15708657,             39361971,,,,,              3246800,,                270000,,                 12239,,              2065217,,                 66269,                  2215,,              7679785,                 44446,,                    154,              8218790,,              1956084,             23561999,,,              3287342,,                              0,,              1196719,,              1655429,              6139490,             29701489,,,,              5060629,              5060629,,                    688,                    688,,                475607,                              0,,                823658,              1299265,,,                299379,,                 14320,                313699,              6674281,              2986201,              9660482,             39361971,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2015年06月30日,,,,              2122089,,                 62592,,              2766290,,                405375,                              0,,                113445,,                115837,,              2078716,,                779644,,             12463753,,                318844,             21226585,,,                 54497,,                352493,,             14212700,,                663416,,                 76933,,                377238,                513963,,                816443,             17067683,             38294268,,,,,              3793192,,                440000,,                 22804,,              2074633,,                 69182,                  2325,,              7097057,                 27907,,                    154,              6622895,,              2366281,             22516430,,,              2336066,,                              0,,              1187183,,              1884367,              5407616,             27924046,,,,              5060629,              5060629,,                    688,                    688,,                475607,                              0,,              1405157,              1880764,,,                208093,,                 15220,                223313,              7165394,              3204828,             10370222,             38294268,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2015年03月31日,,,,              2306648,,                 47404,,              2390189,,                376706,                              0,,                180676,,                115832,,              2297597,,                748579,,             12528798,,                274421,             21266850,,,                 56056,,                353474,,             14477008,,                664573,,                 79836,,                394667,                449250,,                822433,             17297297,             38564147,,,,,              2875055,,                390000,,                 32070,,              1914111,,                 37097,                  2443,,              6885461,                 49721,,                 59611,              6792902,,              3217684,             22256155,,,              2523430,,                    177,,              1185182,,              1909942,              5618731,             27874886,,,,              5060629,              5060629,,                    688,                    688,,                475607,                              0,,              1713554,              2189161,,,                245862,,                 16779,                262641,              7513119,              3176142,             10689261,             38564147,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2014年12月31日,,,,              2651159,,                107151,,              2371741,,                416186,                              0,,                184963,,                 48736,,              2207978,,                875421,,             12484823,,                373465,             21721623,,,                 49421,,                352563,,             14514414,,                679551,,                 81292,,                407760,                386532,,                996912,             17468445,             39190068,,,,,              3511276,,                439956,,                 26184,,              1812794,,                 31628,                  2443,,              6349477,                 56979,,                 93595,              6736949,,              3246709,             22307990,,,              2573054,,                    177,,              1188660,,              2031630,              5793521,             28101511,,,,              5060629,              5060629,,                    688,                    688,,                475607,                              0,,              2006990,              2482597,,,                317543,,                 10142,                327685,              7871599,              3216958,             11088557,             39190068,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2014年09月30日,,,,              2555187,,                112853,,              3702790,,                567097,                  1854,,                145624,,                  1527,,             14676259,,                684901,,                              0,,                 28651,             22476743,,,                 50117,,                285691,,             14517210,,                680690,,                115030,,                439513,                300901,,                937549,             17326701,             39803444,,,,,              4665423,,                615000,,                 32829,,              2508773,,                155468,                  2443,,              3416428,                123737,,                288894,                              0,,              7956524,             19765519,,,              4940027,,                    177,,              1166106,,              2156036,              8262346,             28027865,,,,              5060629,              5060629,,                    688,                    688,,                475607,                              0,,              2788462,              3264069,,,                116637,,                 10838,                127475,              8452861,              3322718,             11775579,             39803444,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2014年06月30日,,,,              3520110,,                136636,,              3783073,,                694719,                  5212,,                120616,,                  5614,,             14767108,,                704205,,                              0,,                 10193,             23747486,,,                 49989,,                283868,,             14201372,,                273680,,                115611,,                438361,                259006,,                915781,             16537668,             40285154,,,,,              5084097,,                530000,,                 30103,,              2630629,,                170197,                  2325,,              3528313,                214198,,                    728,                              0,,              7809162,             19999752,,,              5198144,,                    177,,              1144840,,              2156890,              8500051,             28499803,,,,              5060629,              5060629,,                    688,                    688,,                475607,                              0,,              2846946,              3322553,,,                 38212,,                 10709,                 48921,              8432791,              3352560,             11785351,             40285154,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2014年03月31日,,,,              2770108,,                 75377,,              3177704,,                524072,                 19888,,                 92610,,                              0,,             14710255,,                839058,,                              0,,                237504,             22446576,,,                 49707,,                280829,,             14013189,,                274257,,                117380,,                427322,                242050,,              1311540,             16716274,             39162850,,,,,              4287229,,                491000,,                 37232,,              2464584,,                143244,                  8002,,              3050798,                226146,,                 35075,                              0,,              8240530,             18983840,,,              5074809,,                    177,,              1148937,,              2153989,              8377912,             27361752,,,,              5060629,              5060629,,                    688,                    688,,                388319,                 23349,,              3040920,              3452588,,,                 80095,,                 10427,                 90522,              8604427,              3196671,             11801098,             39162850,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2014年01月01日,,,,              2933196,,                 77215,,              2888408,,                512254,                 19078,,                148975,,                              0,,             14530850,,                606239,,                              0,,                216517,             21932732,,,                 45045,,                277143,,             13529839,,                274833,,                113266,,                381387,                253048,,              1210557,             16085118,             38017850,,,,,              3534134,,                444900,,                 25498,,              2071092,,                133442,                  3651,,              3469529,                197260,,                 46923,                              0,,              7413580,             17340009,,,              5774792,,                    177,,              1161247,,              2162454,              9098670,             26438679,,,,              5060629,              5060629,,                    688,                    688,,                388319,                 23349,,              2786424,              3198092,,,                 97827,,                  5766,                103593,              8363002,              3216169,             11579171,             38017850,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,2013年12月31日,,,,,,                 77215,,              2888408,,                512254,                 19078,,                148975,,,,             14571046,,                606239,,                              0,,                216517,             21972928,,,                 45045,,                277143,,             13489643,,                274833,,                113266,,                381387,                253048,,              1210557,             16044922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2933196,                              0,             38017850,,,,              3534134,,                444900,,                 25498,,              2071092,,                133442,                  3651,,              3469529,                197260,,                 46923,                              0,,              7413580,             17340009,,,              5774792,,                    177,,              1161247,,              2213530,              9149746,             26489755,,,,              5060629,              5060629,,                    688,                    688,,                388319,                 23349,,              2735464,              3147132,,,                 97827,,                  5766,                103593,              8312042,              3216053,             11528095,,                              0,,                              0,,,
1201,2013年09月30日,,,,,,                112669,,              4033542,,                665902,                 23358,,                144388,,,,             14657781,,                696344,,,,                 41020,             23104042,,,                 43634,,                276852,,             13174437,,                255544,,                149322,,                392182,                179412,,              1035345,             15506728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2728748,                    290,             38610770,,,,              4373055,,                505000,,                 33882,,              2639147,,                209653,                 33483,,              3616613,                212742,,                 45987,,,                358329,             12027891,,,             11938038,,                  2179,,              1115632,,              2155058,             15210907,             27238798,,,,              5060629,              5060629,,                    688,                    688,,                388319,                 23349,,              2784757,              3196425,,,                 29145,,                  4356,                 33501,              8291243,              3080729,             11371972,,,,,,,
