證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 待分配股票股利,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 預付投資款,　　　 其他應付款項－關係人,　　　 庫藏股票
1717,2015年09月30日,,,,              7594383,,              2787928,,                  1516,,             10483866,,                111718,,              6581517,,              2175600,             29736528,,,                400442,,                216437,,              1508787,,             15716160,,                  9243,,                 53558,                388488,,,              1170877,              1170877,             19463992,             49200520,,,,,              2959804,,                 26541,,              2728878,,              1466842,                198095,,,              2466328,                 46072,              2512400,              9892560,,,             12171960,,              3011643,,              1658661,             16842264,             26734824,,,,             10221690,             10221690,,,                309017,                 19642,                 31225,                359884,,              3047024,                426930,,              4410987,              7884941,,,              3180525,,                289430,              3469955,             21936470,                529226,             22465696,             49200520,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,2015年06月30日,,,,              7990529,,              2676237,,                    971,,             10201665,,                 94433,,              6818036,,              1580890,             29362761,,,                499356,,                220007,,              1654439,,             14464644,,                  9243,,                 55641,                375941,,,              1136267,              1136267,             18415538,             47778299,,,,,              4993718,,                 20989,,              2878653,,              3314593,                170197,,,              1787146,                 38508,              1825654,             13703163,,,              8714532,,              2970948,,              1656818,             13342298,             27045461,,,,             10221690,             10221690,,,                309017,                 19642,                 31225,                359884,,              3047024,                426930,,              3626033,              7099987,,,              2156294,,                388344,              2544638,             20226199,                506639,             20732838,             47778299,              0,              0,              0,,                499359,              1839904,              1474689,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,2015年03月31日,,,,              6812337,,              2766198,,                  2146,,              9531490,,                138567,,              6723942,,              2637966,             28612646,,,                520095,,                221522,,              1526983,,             14280447,,                  9243,,                 56491,                369375,,,              1174729,              1174729,             18158885,             46771531,,,,,              3871977,,                 34331,,              2778590,,              1242661,                213319,,,              2919946,                 39912,              2959858,             11100736,,,              8791609,,              2905166,,              1659888,             13356663,             24457399,,,,             10221690,             10221690,,,                309017,                 19642,                 31225,                359884,,              2816677,                426930,,              5040348,              8283955,,,              2521915,,                409083,              2930998,             21796527,                517605,             22314132,             46771531,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,2014年12月31日,,,,              5417390,,              2973991,,                  2764,,             10042508,,                128400,,              7039178,,              3947392,             29551623,,,                531263,,                222726,,              1476416,,             13894161,,                  9243,,                 60292,                358079,,,              1161697,              1161697,             17713877,             47265500,,,,,              3737807,,                 33375,,              2917445,,              1468538,                197730,,,              2589454,                 48309,              2637763,             10992658,,,              9750148,,              2883372,,              1647737,             14281257,             25273915,,,,             10221690,             10221690,,,                309017,                 19642,                 31225,                359884,,              2816677,                426930,,              4502930,              7746537,,,              2727104,,                420251,              3147355,             21475466,                516119,             21991585,             47265500,              0,              0,              0,,                              0,                              0,              1468538,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,2014年09月30日,,,,              5976930,,              2588032,,                  2530,,             10292774,,                107380,,              6957642,,              4003289,             29928577,,,                540835,,                218644,,              1488949,,             13393598,,                  9243,,                 59173,                343218,,,              1149754,              1149754,             17203414,             47131991,,,,,              5233153,,                 74941,,              3508528,,              1372544,                174535,,,              2623401,                  6099,              2629500,             12993201,,,              8931118,,              2908524,,              1601650,             13441292,             26434493,,,,             10221690,             10221690,,,                309017,                 19642,                 31225,                359884,,              2816677,                426930,,              3918238,              7161845,,,              2016260,,                429823,              2446083,             20189502,                507996,             20697498,             47131991,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,2014年06月30日,,,,              6640027,,              2206621,,                  2767,,              9830897,,                 81484,,              6661285,,              3649816,             29072897,,,                552003,,                216731,,              1450092,,             13259957,,                  9243,,                 51188,                338047,,,                946533,                946533,             16823794,             45896691,,,,,              4661558,,                 30910,,              3231847,,              2700122,                146208,,,              3041013,                 25965,              3066978,             13837623,,,              8246999,,              2804017,,              1591479,             12642495,             26480118,,,,              9923971,             10221690,,,                309017,                 19642,                 31225,                359884,,              2816677,                426930,,              3216881,              6460488,,,              1470725,,                440991,              1911716,             18953778,                462795,             19416573,             45896691,              0,              0,              0,,                              0,              1389356,              1310766,                297719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,2014年03月31日,,,,              6455333,,              2606149,,                  1235,,              8611462,,                 80850,,              6564056,,              3684842,             28003927,,,                545622,,                218852,,              1503270,,             13360084,,                  9243,,                 47341,                338743,,,                877271,                877271,             16900426,             44904353,,,,,              4499985,,                 65612,,              2956289,,                931570,                219471,,,              2792694,                 28676,              2821370,             11494297,,,              8674533,,              2715504,,              1582084,             12972121,             24466418,,,,              9923971,              9923971,,,                309017,                 19642,                 31225,                359884,,              2623697,                426930,,              4468857,              7519484,,,              1875286,,                434610,              2309896,             20113235,                324700,             20437935,             44904353,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,2014年01月01日,,,,              4844892,,              2399910,,                  1694,,              9800121,,                 42806,,              6551021,,              3614714,             27255158,,,                564766,,                216559,,              1460214,,             13316224,,                  9243,,                 50997,                334798,,,                913444,                913444,             16866245,             44121403,,,,,              4728034,,                106053,,              3201633,,              1349325,                249097,,,              2812571,                 82409,              2894980,             12529122,,,              7225059,,              2677211,,              1554227,             11456497,             23985619,,,,              9923971,              9923971,,,                309017,                 19642,                 31210,                359869,,              2623697,                426930,,              4116158,              7166785,,,              1909828,,                453754,              2363582,             19814207,                321577,             20135784,             44121403,              0,              0,              0,,                              0,                              0,              1349325,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,2013年12月31日,,,,,,              2401604,,,,              9842927,,,,              6551021,,              3614714,             27255158,,,                564766,,                216559,,              1460214,,             13316224,,                  9243,,                 50997,                333565,,,                913444,                913444,             16865012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,              4844892,             44120170,,,,              4728034,,                106053,,              3201633,,              1349325,                249097,,,              2812571,                 82409,              2894980,             12529122,,,              7225059,,              2677211,,              1546971,             11449241,             23978363,,,,              9923971,              9923971,,,                309017,                 19642,                 31210,                359869,,              2623697,                426930,,              4122181,              7172808,,,              1909828,,                453754,              2363582,             19820230,                321577,             20141807,,                              0,,                              0,                              0,              1349325,                              0,,,,,,,
1717,2013年09月30日,,,,,,              2112423,,,,              9754637,,,,              6207919,,              4118019,             26962305,,,                529667,,                223099,,              1475487,,             13127592,,                  9243,,                 61787,                350001,,,                906851,                906851,             16683727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,              4769307,             43646032,,,,              4827711,,                 96606,,              2999984,,              1311173,                170014,,,              3105412,                 56851,              3162263,             12567751,,,              7712178,,              2671975,,              1534958,             11919111,             24486862,,,,              9923971,              9923971,,,                309017,                 19642,                 31210,                359869,,              2623697,                426930,,              3539098,              6589725,,,              1588828,,                418656,              2007484,             18881049,                278121,             19159170,,                              0,,                              0,,,,,,,,,,
