證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 與待出售非流動資產直接相關之負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計
5515,2015年09月30日,,,,              2230426,,                 14806,,                638664,,                419154,,              3115943,              1109940,,                 30445,,                 53010,,                217155,,                237619,,                 69160,              8136322,,,                593107,,                 23009,,                 17510,,                357691,,                 33986,                154741,,                129524,              1309568,              9445890,,,,,                140000,,                 79946,,                157808,,              1006792,                111196,,                158023,                  4708,                 19950,,,                              0,                217703,                217703,              1896126,,,              1200000,,                682989,,                 41893,              1924882,              3821008,,,,              3389001,              3389001,,                200524,,                584661,                 56296,,              1008445,              1649402,,                412078,                 28869,              5622136,                  2746,              5624882,              9445890,              0,      2998000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5515,2015年06月30日,,,,              2172426,,                 17836,,                100955,,                611966,,              3417650,                990836,,                 39234,,                 67756,,                230102,,,,                 48763,              7697524,,,                596834,,                 21602,,                 17575,,                575426,,                 34129,                158094,,                144763,              1548423,              9245947,,,,,                              0,,                              0,,                 62342,,                922305,                223506,,                371757,                  4286,,,,                              0,                101262,                101262,              1685458,,,              1200000,,                663623,,                 36587,              1900210,              3585668,,,,              3551191,              3551191,,                214925,,                584661,                 56296,,              1076866,              1717823,,                308038,                131759,              5660218,                     61,              5660279,              9245947,              0,     11283000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5515,2015年03月31日,,,,              1883291,,                 20237,,                405124,,                698083,,              3545725,                939239,,                 60541,,                 71112,,                356356,,,,                 49868,              8029576,,,                557758,,                 21910,,                 17658,,                613539,,                 34273,                155836,,                155772,              1556746,              9586322,,,,,                 80000,,                              0,,                 38100,,                981724,                161578,,                180718,                 67333,,,,                              0,                 93234,                 93234,              1602687,,,              1200000,,                672676,,                 37981,              1910657,              3513344,,,,              3551191,              3551191,,                222027,,                565713,                 56296,,              1232513,              1854522,,                458297,                 13458,              6072579,                    399,              6072978,              9586322,              0,      1158000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5515,2014年12月31日,,,,              2708532,,                 20760,,                307661,,                410041,,              3844684,                958988,,                132218,,                 83638,,                448247,,                              0,,                177992,              9092761,,,                551750,,                 12656,,                 17744,,                690057,,                 34416,                149405,,                155837,              1611865,             10704626,,,,,                300580,,                 79826,,                343991,,              1163609,                114845,,                338413,                110770,                              0,,,                 71506,                 68380,                139886,              2591920,,,              1200000,,                689020,,                 35190,              1924210,              4516130,,,,              3601191,              3601191,,                240903,,                565713,                 56296,,              1272996,              1895005,,                519373,                 68876,              6187596,                    900,              6188496,             10704626,              0,      5000000,              2708532,                307661,             10704626,,,,                300580,,                 79826,,                343991,,              1163609,                114845,,                338413,                110770,,,                 71506,                 71506,                 68380,                139886,              2591920,,,              1200000,              1200000,,                689020,,                 35190,              1924210,              4516130,,,,              3601191,              3601191,,                240903,,                565713,                 56296,,              1272996,              1895005,,                519373,                 68876,              6187596,                    900,              6188496,              0,,,,,,,,,,,,,,,,,,,,
5515,2014年09月30日,,,,              3161956,,                 21416,,                              0,,                216589,,              3694204,                843301,,                 39466,,                 86000,,                397331,,                              0,,                270577,              8730840,,,                576308,,                 12005,,                 18194,,                867586,,                 34560,                148991,,                111987,              1769631,             10500471,,,,,                442544,,                              0,,                330930,,              1195560,                129321,,                184653,                125951,                              0,,,                605862,                 63719,                669581,              3078540,,,                720000,,                645972,,                 33077,              1399049,              4477589,,,,              3601191,              3601191,,                240758,,                565713,                 56296,,              1266321,              1888330,,                334289,                 68876,              5995692,                 27190,              6022882,             10500471,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5515,2014年06月30日,,,,              2829239,,                 23235,,                              0,,                478857,,              3578788,                811174,,                 30884,,                 88441,,                349404,,,,                191066,              8381088,,,                580700,,                              0,,                 18360,,                892645,,                 34703,                138199,,                103174,              1767781,             10148869,,,,,                238960,,                              0,,                224199,,              1238536,                114075,,                564727,                 90161,,,,                982550,                 66856,              1049406,              3520064,,,                122671,,                604743,,                 25390,                752804,              4272868,,,,              3601191,              3601191,,                240758,,                565713,                 56296,,              1202062,              1824071,,                253165,                 68876,              5850309,                 25692,              5876001,             10148869,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5515,2014年03月31日,,,,              3355593,,                 23377,,                              0,,                568610,,              2685792,                959354,,                 64816,,                 82055,,                452017,,,,                305078,              8496692,,,                653377,,                              0,,                 18610,,                941601,,                 34846,                135560,,                109472,              1893466,             10390158,,,,,                182820,,                              0,,                458248,,                992895,                131904,,                238491,                152066,,,,              1034942,                 58593,              1093535,              3249959,,,                190293,,                684306,,                 26938,                901537,              4151496,,,,              3601191,              3601191,,                240758,,                458024,                 56296,,              1514432,              2028752,,                407144,                 68876,              6208969,                 29693,              6238662,             10390158,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5515,2013年12月31日,,,,,,                 23286,,,,                560215,,              2942086,                719665,,                 39717,,                 97259,,                299811,,,,                219613,              8652109,,,                605087,,                              0,,                 18786,,                954567,,                 34990,                132049,,                106762,              1852241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,              3750457,                              0,             10504350,,,,                              0,,                              0,,                368168,,              1222448,                 90121,,                356586,                174164,,,                987647,                987647,                 90746,              1078393,              3289880,,,                333076,                333076,,                673306,,                 20472,              1026854,              4316734,,,,              3601191,              3601191,,                240758,,                458024,                 56296,,              1546277,              2060597,,                325853,                 68876,              6159523,                 28093,              6187616,              0,,,,,,,,,,,,,,,,,,,,
5515,2013年09月30日,,,,,,                234671,,,,                456580,,              2299331,                617208,,                 30092,,                 68058,,                393355,,                 75556,,                151459,              8170450,,,                559951,,                              0,,                 18966,,                955123,,                 35133,                148653,,                126362,              1844188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,              3844140,,             10014638,,,,                              0,,,,                205562,,              1229462,                161556,,                207926,                142866,,,,                449104,                 57162,                506266,              2460374,,,,                460091,,                681413,,                 26972,              1668476,              4128850,,,,              3601191,              3601191,,                240758,,                458024,                 69506,,              1343113,              1870643,,                215319,                 68876,              5859035,                 26753,              5885788,              0,                  6736,,                500000,,,,,,,,,,,,,,,,,
5515,2013年06月30日,,,,,,                456211,,,,                495479,,              2173752,                937928,,                121785,,                 67116,,                304630,,,,                142850,              8552177,,,                482761,,,,                 19126,,              1027199,,                 35277,                134614,,                128316,              1827293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,              3852426,,             10379470,,,,                              0,,,,                180938,,              1251773,                 80642,,                536397,                161196,,,,                343460,                 46401,                389861,              2600807,,,,                610516,,                681743,,                 25167,              1817426,              4418233,,,,              3601191,              3601191,,                240758,,                458024,                 69506,,              1446966,              1974496,,                188164,                 68876,              5935733,                 25504,              5961237,              0,,,                500000,,,,,,,,,,,,,,,,,
