證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 預付投資款,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 特別盈餘公積,　　　 共同控制下前手權益,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　 應付票據,　　　　 應付票據合計,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　　 待分配股票股利,　　 共同控制下前手權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 應付租賃款－流動,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　 庫藏股票
1231,2015年09月30日,,,,                148418,,                 75798,,                 64590,,                 31815,,              1280297,,                  6287,,              1251551,,                104734,              2963490,,,                 17140,,                 17487,,              2871761,,                443143,,                  4777,,                 36194,                 71459,,                 23296,                              0,                 24797,                 48093,              3510054,              6473544,,,,,                860639,,                              0,,                              0,,                526052,,                563161,                 30710,,,                 75384,                 14866,                 90250,              2070812,,,              1450700,,                  5776,,                216388,                  3373,                219761,              1676237,              3747049,,,,              1481131,              1481131,,                 72435,,                369998,,                732471,              1102469,,                 52391,              2708426,                 18069,              2726495,              6473544,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,2015年06月30日,,,,                263025,,                 21445,,                 15143,,                 30308,,              1047918,,                  7988,,              1373392,,                 87253,              2846472,,,                 17140,,                 17487,,              2894920,,                442852,,                  5413,,                 35666,                 72614,,                 23319,,                 24442,                 47761,              3533853,              6380325,,,,,                688040,,                  5811,,,,                513373,,                755943,                 36127,,,                 75384,                 13013,                 88397,              2087691,,,              1469546,,                    523,,                217043,                  3364,                220407,              1690476,              3778167,,,,              1481131,              1481131,,                 72435,,                369998,,                614730,                984728,,                 47876,              2586170,                 15988,              2602158,              6380325,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,2015年03月31日,,,,                251412,,                 25017,,                 15288,,                 57219,,              1206837,,                  5375,,              1140582,,                222826,              2924556,,,                 17140,,                 17487,,              2755810,,                445720,,                  6217,,                 39572,                 74480,,                 23415,,                 24895,                 48310,              3404736,              6329292,,,,,                799111,,                  3808,,,,                463230,,                464057,                 67585,,,                 79056,                 12025,                 91081,              1888872,,,              1513098,,                    712,,                217280,                  3368,                220648,              1734458,              3623330,,,,              1481131,              1481131,,                 72435,,                347717,,                739444,              1087161,,                 49510,              2690237,                 15725,              2705962,              6329292,              0,              0,,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,2014年12月31日,,,,                240860,,                 28655,,                 15517,,                 27821,,              1083016,,                  4957,,              1271710,,                 66699,              2739235,,,                 17140,,                 17487,,              2806294,,                448742,,                  4301,,                  1319,                 75106,,                 23471,                              0,                 25491,                 48962,              3419351,              6158586,,,,,                610251,,                    759,,                              0,,                510272,,                521773,                 47617,,,                 79056,                 16860,                 95916,              1786588,,,              1532862,,                  1179,,                223742,                  3373,                227115,              1761156,              3547744,,,,              1481131,              1481131,,                 72435,,                347717,,                640992,                988709,,                 52152,              2594427,                 16415,              2610842,              6158586,              0,              0,                              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,2014年09月30日,,,,                205716,,                 22890,,                 14833,,                 37043,,              1192799,,                  5589,,              1160098,,                 83081,              2722049,,,                  4901,,                  7710,,              2876969,,                368624,,                  4956,,                  1275,                 72516,,                 23480,                 17500,                 23732,                 64712,              3401663,              6123712,,,,,                667465,,                    234,,                      8,,                488975,,                591296,                 24004,,,                 79056,                 18499,                 97555,              1869537,,,              1552626,,                    857,,                209375,                  3022,                212397,              1765880,              3635417,,,,              1481131,              1481131,,                 72435,,                347717,,                527268,                874985,,                 44321,              2472872,                 15423,              2488295,              6123712,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,2014年06月30日,,,,                211765,,                 23388,,                 19416,,                 32627,,              1045474,,                 10374,,              1352872,,                 58503,              2754419,,,                  4901,,                              0,,              2829614,,                369535,,                  5026,,                  1266,                 69703,,                 23961,,                 23491,                 47452,              3327497,              6081916,,,,,                739534,,                    285,,,,                463762,,                697773,                 19956,,,                624056,                  8752,                632808,              2554118,,,                872390,,                  1647,,                210426,                  3052,                213478,              1087515,              3641633,,,,              1322438,              1481131,,                 72435,,                347717,,                474018,                821735,,                 41071,              2416372,                 23911,              2440283,              6081916,              0,              0,                158693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,2014年03月31日,,,,                306843,,                122864,,                 74875,,                 49473,,                877944,,                  5090,,              1178818,,                169954,              2785861,,,                  4901,,                              0,,              2632625,,                370446,,                  5170,,                  1299,                 69256,,                 23961,,                 24060,                 48021,              3131718,              5917579,,,,,                833565,,                    517,,,,                358615,,                502726,                 39240,,,                509056,                  6510,                515566,              2250229,,,                892154,,                  2248,,                210395,                  3099,                213494,              1107896,              3358125,,,,              1322438,              1322438,,                 72435,,                313453,,                728006,              1094754,,                 43717,              2533344,                 26110,              2559454,              5917579,              0,              0,,                 53295,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,2013年12月31日,,,,,,                 35320,,,,                 29643,,                995415,,                  5634,,              1038481,,                107290,              2497176,,,                  4901,,                              0,,              2457398,,                371357,,                  5332,,                  1303,                 67970,,                 24187,,                 24092,                 48279,              2956540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,                211074,                 74319,              5453716,,,,                392746,,                  5253,,                366119,,                549619,                 36697,,,                 79056,                  6626,                 85682,              1436116,,,              1271918,,                    429,,                206174,                  4122,                210296,              1482643,              2918759,,,,              1322438,              1322438,,                 72435,,                313453,                 53295,,                705894,              1072642,,                 42242,              2509757,                 25200,              2534957,,,,,,,,,,,,,,,,,,,,
1231,2013年09月30日,,,,,,                 34091,,,,                 43511,,                989873,,                  4948,,              1059362,,                 68140,              2479547,,,                  5528,,                              0,,              2170135,,                372268,,                  2625,,                  1296,                 66547,,                 23961,                              0,,                 47872,              2666271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,                206502,                 73120,              5145818,,,,                378895,,                  1506,,                386051,,                550742,                 11651,,,                 79056,                 12662,                 91718,              1421087,,,              1101682,,                    383,,                201607,                  4130,                205737,              1307802,              2728889,,,,              1322438,              1322438,,                 72435,,                313453,                 53295,,                589999,                956747,,                 39107,              2390727,                 26202,              2416929,,                 23911,,                    524,,,,,,,,,,,,,,,,
1231,2013年06月30日,,,,,,                232236,,,,                 35379,,                842090,,                  6432,,              1165515,,                 52961,              2737167,,,                  5528,,,,              1943890,,                373179,,                  2125,,                  1322,                 69562,,                 23960,,,                 48307,              2443913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,                366745,                 34972,              5181080,,,,                441969,,                              0,,                441906,,                642108,                 40385,,,                 79056,                  8835,                 87891,              1655361,,,                951446,,                  1461,,                209094,                  4140,                213234,              1166141,              2821502,,,,              1224480,              1322438,,                 72435,,                313453,                 53295,,                530293,                897041,,                 40932,              2332846,                 26732,              2359578,,                 24347,,                  1102,,              1165515,,                    837,                    837,                 97958,,,,,,,,,,
