證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益－母公司,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 應付股利,　　　 應收建造合約款,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－母公司,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他流動負債－其他,　　　 應付公司債,　　　　 應付公司債合計,　　　　 應付股利
3057,2015年09月30日,,,,                791455,,                  5455,,                102531,,                198009,,                611499,,                332025,              2040974,,,                454514,,                326217,                208209,,,                              0,,                 36929,                 36929,              1025869,              3066843,,,,,                180015,,                252813,,                208534,                208534,                 33768,,                 31359,,,                 13213,                 13213,                 13213,                719702,,,                              0,,                 15163,,                 30798,                 30798,                 45961,                765663,,,,              1620062,              1620062,,                314954,,                122414,                              0,,                204353,                326767,,,                 69262,,                  1806,                  1806,                 71068,                 35750,              2297101,                  4079,              2301180,              3066843,              0,              0,      1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,2015年06月30日,,,,              1010988,,,,                198948,,                193326,,                579785,,                358401,              2341448,,,                447119,,                327105,                200581,,,                              0,,                 39477,                 39477,              1014282,              3355730,,,,,                198380,,                298337,,                224089,                544067,                 26691,,                 19682,,,                 39638,                 39638,                 39638,              1126795,,,                              0,,                 11413,,                 30916,                 30916,                 42329,              1169124,,,,              1619422,              1619422,,                308988,,                122414,                              0,,                184558,                306972,,,                -17201,,                    368,                    368,                -16833,                 35750,              2182799,                  3807,              2186606,              3355730,              0,              0,      1000000,                275921,                 82480,,                              0,                319978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,2015年03月31日,,,,              1152525,,,,                 25780,,                252502,,                561338,,                 80765,              2437756,,,                444391,,                333434,                203146,,,                              0,,                 11574,                 11574,                992545,              3430301,,,,,                241561,,                362976,,                192394,                192394,                 21380,,                 24574,,,,                 52850,                 52850,                895735,,,                              0,,                 12085,,                 31044,                 31044,                 43129,                938864,,,,              1610242,              1610242,,                296235,,                 81618,                 15854,,                525183,                622655,,,                 -5829,,,                    112,                 -5717,                 35750,              2487665,                  3772,              2491437,              3430301,              0,              0,      1000000,,,,                              0,,                364846,                 52850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,2014年12月31日,,,,              1082773,,                              0,,                 10588,,                279130,,                534194,,                486601,              2393286,,,                449674,,                341297,                219320,,,                 11891,,                 10474,                 22365,              1032656,              3425942,,,,,                147393,,                345170,,                284617,                284617,                 12243,,                 67786,,,                 52850,                 52850,                 52850,                910059,,,                 13213,,                 14494,,                 31178,                 31178,                 58885,                968944,,,,              1604482,              1604482,,                285454,,                 81618,                 15854,,                473961,                571433,,,                 27568,,                     42,                     42,                 27610,                 35770,              2453209,                  3789,              2456998,              3425942,              0,              0,      1000000,                434763,                 51838,,                              0,                              0,,,              1082773,              3425942,,,,                147393,,                              0,,                345170,,                284617,                284617,                 12243,,                 67786,,,                              0,                 52850,                 52850,                 52850,                910059,,,                 13213,,                 14494,,                 31178,                 31178,                 58885,                968944,,,,              1604482,              1604482,,                285454,,                 81618,                 15854,,                473961,                571433,,,                 27568,,                     42,                     42,                 27610,                 35770,              2453209,                  3789,              2456998,,,,
3057,2014年09月30日,,,,                872974,,                              0,,                150530,,                205821,,                569401,,                392960,              2191686,,,                443833,,                351564,                196359,,,                 39640,,                 10420,                 50060,              1041816,              3233502,,,,,                158219,,                339046,,                249224,                249224,                  8287,,                 56858,,,                 52850,                 52850,                 52850,                864484,,,                 26425,,                 10097,,                 33616,                 33616,                 70138,                934622,,,,              1595322,              1595322,,                271425,,                 81618,                 15854,,                341515,                438987,,,                -10217,,                     37,                     37,                -10180,                              0,              2295554,                  3326,              2298880,              3233502,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,2014年06月30日,,,,                940188,,,,                 89506,,                262099,,                593908,,                338844,              2224545,,,                449621,,                361391,                189313,,,                              0,,                 10045,                 10045,              1010370,              3234915,,,,,                 48936,,                350329,,                218404,                473299,                  7814,,                 44254,,,                 52850,                 52850,                 52850,                977566,,,                 39638,,                  8970,,                 33641,                 33641,                 82249,              1059815,,,,              1593172,              1593172,,                261187,,                 81618,                 15854,,                240985,                338457,,,                -21077,,                     13,                     13,                -21064,                              0,              2171752,                  3348,              2175100,              3234915,              0,              0,              0,                286472,                 52372,,                     84,                254895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,2014年03月31日,,,,                935776,,,,                    494,,                225038,,                612621,,                 54104,              2097287,,,                450467,,                370492,                194754,,,                 39224,,                 11807,                 51031,              1066744,              3164031,,,,,                 50316,,                371468,,                183500,                183500,                  9844,,                 50668,,,,                 52850,                 52850,                719957,,,                 52850,,                 11812,,                 33516,                 33516,                 98178,                818135,,,,              1592942,              1592942,,                252711,,                 48776,                 38842,,                411785,                499403,,,                 -1910,,,                              0,                 -1910,                              0,              2343146,                  2750,              2345896,              3164031,              0,              0,              0,,,,                  1311,,                269254,                 52850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,2013年12月31日,,,,,,,,                 40062,,                315359,,                575914,,                481731,              2154057,,,                434622,,                380484,                191023,,,                 39600,,                  9830,                 49430,              1055559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                431238,                 50493,,,,,,                740991,              3209616,,,,                 81769,,                  2808,,                319178,,                250521,                250521,                 25196,,                 57745,,,                 22179,                122351,                144530,                144530,                881747,,,                 66063,,                 10443,,                 33388,                 33388,                109894,                991641,,,,              1583465,              1583465,,                233786,,                 48776,                 38842,,                328415,                416033,,,                -15893,,                     39,                     39,                -15854,                              0,              2217430,                    545,              2217975,,,,
3057,2013年09月30日,,,,,,,,                              0,,                237828,,                639092,,                474704,              2084369,,,                426737,,                387288,                176351,,,,,                  9054,                  9054,                999430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                432400,                 42304,,,,,,                732745,              3083799,,,,                132954,,                  2027,,                344333,,                210454,                210454,                 14594,,                 43310,,,                281851,                108963,                390814,                390814,              1138486,,,                 79275,,                  9329,,                 31619,                 31619,                120223,              1258709,,,,              1478948,              1478948,,                 53806,,                 48776,                 38842,,                231983,                319601,,,                -27545,,                              0,                              0,                -27545,                              0,              1824810,                    280,              1825090,,,,
3057,2013年06月30日,,,,,,,,                              0,,                274146,,                582614,,                443442,              1956381,,,                435767,,                398092,                175880,,,,,                  8947,                  8947,              1018686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                407352,                 36090,,,,,,                656179,              2975067,,,,                101007,,                     81,,                305376,,,                 57371,                  4755,,                 46050,,,                281067,                 97564,                378631,                559627,              1074267,,,                 92488,,                 10704,,                 31524,                 31524,                134716,              1208983,,,,              1478618,              1478618,,                 48922,,                 48776,                 38842,,                158814,                246432,,,                -18894,,                              0,                              0,                -18894,                              0,              1755078,                 11006,              1766084,                180996,,,
