證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 長期借款,　　　　 長期借款合計,　　　 庫藏股票,　　 非控制權益
6224,2015年09月30日,,,,                807020,,                 69478,,                320984,,                 39634,,                 16873,,                292842,,                 20746,,                  8066,              1575643,,,                  3000,,                747386,,                 59296,,                  4510,                  8711,,                 39373,                862276,              2437919,,,,,                              0,,                              0,,                    650,,                117086,,                196227,                105952,,                  7849,                427764,,,                 30688,                 30688,                458452,,,,                800018,                800018,,,                203343,                 14924,                 17633,                235900,,                326834,                 11982,,                567046,                905862,,,                 37687,                 37687,              1979467,              1979467,              2437919,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6224,2015年06月30日,,,,              1021559,,                 98081,,                357335,,                 28592,,                  5446,,                295325,,                 23848,,                  7867,              1838053,,,                  3000,,                733882,,                 59601,,                  4877,                 10617,,                 27197,                839174,              2677227,,,,,                  7715,,                    422,,                 19378,,                120236,,                549736,                114088,,                  4697,                816272,,,                 30839,                 30839,                847111,,,,                800018,                800018,,,                203343,                 14924,                 17633,                235900,,                326834,                 11982,,                438678,                777494,,,                 16704,                 16704,              1830116,              1830116,              2677227,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6224,2015年03月31日,,,,                929142,,                 92712,,                296690,,                 26810,,                  5737,,                296094,,                 19443,,                  3846,              1671403,,,                  3000,,                740591,,                 59905,,                  4783,                 10585,,                 32426,                851290,              2522693,,,,,                 23475,,                              0,,                 27246,,                103843,,                175296,                118231,,                  3576,                451667,,,                 31003,                 31003,                482670,,,,                800018,                800018,,,                203343,                 14924,                 17633,                235900,,                286766,                 11982,,                681482,                980230,,,                 23875,                 23875,              2040023,              2040023,              2522693,              0,              0,              0,,                    929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6224,2014年12月31日,,,,                797260,,                111945,,                310642,,                 20466,,                  2667,,                290757,,                 24467,,                  3286,              1561490,,,                              0,,                780428,,                 39607,,                  5232,                  9850,,                 30978,                866095,              2427585,,,,,                 23738,,                  1925,,                 28492,,                 91342,,                207887,                 96324,,                  2821,                452529,,,                 29307,                 29307,                481836,,,,                800018,                800018,,,                203343,                 14924,                 17633,                235900,,                286766,                 11982,,                582041,                880789,,,                 29042,                 29042,              1945749,              1945749,              2427585,              0,              0,              0,,                              0,                797260,              2427585,,,,                 23738,,                  1925,,                 28492,,                 91342,,                207887,                 96324,,                  2821,                452529,,,                 29307,                 29307,                481836,,,,                800018,                800018,,,                203343,                 14924,                 17633,                235900,,                286766,                 11982,,                582041,                880789,,,                 29042,                 29042,              1945749,              1945749,,,,
6224,2014年09月30日,,,,                644187,,                120434,,                301395,,                 29272,,                  6259,,                315357,,                 13490,,                  4782,              1435176,,,                              0,,                775462,,                 39807,,                  5388,                  9981,,                 28745,                859383,              2294559,,,,,                 33462,,                  1158,,                    931,,                 98173,,                212677,                 84171,,                  2468,                433040,,,                 29438,                 29438,                462478,,,,                800018,                800018,,,                203343,                 14924,                 17633,                235900,,                286766,                 11982,,                482815,                781563,,,                 14600,                 14600,              1832081,              1832081,              2294559,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6224,2014年06月30日,,,,                912716,,                 93731,,                376140,,                 17911,,                  2236,,                328304,,                 18643,,                  4890,              1754814,,,                              0,,                782706,,                 40008,,                  5464,                 10348,,                 26859,                865385,              2620199,,,,,                 68689,,                              0,,                    911,,                129302,,                566859,                 97510,,                  3751,                867022,,,                 29613,                 29613,                896635,,,,                800018,                800018,,,                203343,                 14924,                 17633,                235900,,                286766,                 11982,,                387373,                686121,,,                  1525,                  1525,              1723564,              1723564,              2620199,              0,              0,              0,,                    243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6224,2014年03月31日,,,,                871164,,                 75239,,                302940,,                 20506,,                  4749,,                308344,,                 18600,,                  5518,              1607060,,,                              0,,                795722,,                 40209,,                  5935,                  7843,,                 24079,                873788,              2480848,,,,,                 70081,,                    184,,                    750,,                122191,,                195924,                114340,,                  7583,                511053,,,                 29805,                 29805,                540858,,,,                800018,                800018,,,                203343,                 14924,                 17633,                235900,,                249038,                 11982,,                633069,                894089,,,                  9983,                  9983,              1939990,              1939990,              2480848,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6224,2013年12月31日,,,,,,                 67100,,                298080,,                 19727,,                  1925,,                288725,,                 18870,,                  3312,              1475894,,,,,                808046,,                 40410,,                  5725,                  7486,,                 24390,                886057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                778155,              2361951,,,,                 78086,,                    754,,                  2250,,                106170,,                191389,                 96144,,                  2713,                477506,,,                 29192,                 29192,                506698,,,,                800018,                800018,,,                203343,                 14924,                 17633,                235900,,                249038,                 11982,,                547129,                808149,,,                 11186,                 11186,              1855253,              1855253,,,,
6224,2013年09月30日,,,,,,                 54912,,                328332,,                 26575,,                  4826,,                308429,,                 15798,,                  3276,              1366951,,,,,                862412,,                              0,,                  5332,                  6892,,                 22850,                897486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                      3,                624800,              2264437,,,,                 77234,,                              0,,                  2197,,                110217,,                158820,                 80907,,                  8766,                438141,,,                 31109,                 86109,                524250,,,,                798838,                798838,,,                201655,                 14924,                 17633,                234212,,                249038,                 11982,,                443046,                704066,,,                  3071,                  3071,              1740187,              1740187,,                 55000,,
6224,2013年06月30日,,,,,,                 93397,,                283387,,                 20913,,                  6446,,                336434,,                 15685,,                  4328,              1741414,,,,,                850381,,                              0,,                  5882,                  6054,,                 25278,                887595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,                980824,              2629009,,,,                111179,,                      4,,                  3119,,                100896,,                516533,                 92704,,                  9516,                833951,,,                 31294,                141294,                975245,,,,                798838,                798838,,,                201655,                 14924,                 17633,                234212,,                249038,                 11982,,                351345,                612365,,,                  8349,                  8349,              1653764,              1653764,,                110000,,
