證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他金融資產－非流動,　　　　　 人壽保險現金解約價值,　　　　　 其他金融資產－非流動合計,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 預付款項,　　　　 預付款項合計,　　　　 待分配股票股利,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　 共同控制下前手權益
6442,2015年09月30日,,,,                656036,,                  4563,,                 52086,,                  5271,,              1097996,,                    267,,                 28761,,                              0,,                704628,,                 15367,              2564975,,,                 12620,,                 84412,,                461641,,                  6677,                117076,,                 19658,                  5282,                 29567,                 54507,                736933,              3301908,,,,,                              0,,                128163,,                538963,,                     33,,                181136,                 40385,,                 70163,,                  6791,                  6791,                965634,,,                 57635,,                 63511,                 10578,                 74089,                131724,              1097358,,,,                660000,                660000,,                234872,,                152478,,                865571,                230139,              1095710,              1248188,,                 61490,              2204550,              2204550,              3301908,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,2015年06月30日,,,,                612289,,                  5006,,                 50558,,                 19534,,              1071033,,                  4289,,                 27149,,                              0,,                565753,,                 13893,              2369504,,,                 12620,,                 82461,,                445714,,                  9115,                119330,,                 19185,                  5159,                 29079,                 53423,                722663,              3092167,,,,,                180000,,                156871,,                414590,,                    702,,                301605,                 49500,,                 70711,,                  5519,                  5519,              1179498,,,                 48362,,                 64418,                 10408,                 74826,                123188,              1302686,,,,                600000,                600000,,                 21272,,                152478,,                865571,                112194,                977765,              1130243,,                 37966,              1789481,              1789481,              3092167,              0,              0,              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,2015年03月31日,,,,                748248,,,,                 50639,,                 20867,,              1060028,,                  2206,,                 33640,,                              0,,                598919,,                 11915,              2526462,,,                 12620,,,,                441310,,                 11184,                119998,,                 13263,                  5180,                 29553,                 47996,                633108,              3159570,,,,,                250000,,                134105,,                472429,,                    118,,                169410,                 66895,,                 70589,,                  5321,                  5321,              1168867,,,                 45036,,                 65325,                 10570,                 75895,                120931,              1289798,,,,                600000,                600000,,                 13036,,                129186,,              1008863,                 73273,              1082136,              1211322,,                 45414,              1869772,              1869772,              3159570,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,2014年12月31日,,,,                672656,,                              0,,                 51376,,                 20140,,              1089503,,                  5118,,                 43887,,                              0,,                593538,,                  8729,              2484947,,,                 12620,,                              0,,                440519,,                 13637,                115623,,                 13157,                  5208,                 30198,                 48563,                630962,              3115909,,,,,                200000,,                183760,,                453440,,                  1408,,                221300,                 42377,,                 69964,,                  5608,                  5608,              1177857,,,                 52046,,                 66232,                 10790,                 77022,                129068,              1306925,,,,                600000,                600000,,                 13036,,                129186,,                775942,                232921,              1008863,              1138049,,                 57899,              1808984,              1808984,              3115909,              0,              0,              0,,                              0,                              0,                              0,                672656,                 51376,              3115909,,,,                200000,,                183760,,                453440,,                  1408,,                221300,                 42377,,                 69964,,                  5608,                  5608,              1177857,,,                 52046,,                 66232,                 10790,                 77022,                129068,              1306925,,,,                600000,                600000,,                 13036,,                129186,,                775942,                232921,              1008863,              1138049,,                 57899,              1808984,              1808984,,,,,,,,,,
6442,2014年09月30日,,,,                785097,,                              0,,                 48807,,                 13974,,                989534,,                  2736,,                 30714,,                  1206,,                505238,,                  8729,              2386035,,,                 12620,,                              0,,                391669,,                 15274,                113416,,                 18163,                  4803,                 29057,                 52023,                585002,              2971037,,,,,                250000,,                161599,,                441912,,                  4259,,                211749,                 27068,,                 72505,,                  6473,                  6473,              1175565,,,                 41931,,                 62159,                 10396,                 72555,                114486,              1290051,,,,                600000,                600000,,                 13036,,                129186,,                780161,                136421,                916582,              1045768,,                 22182,              1680986,              1680986,              2971037,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,2014年06月30日,,,,                756833,,                              0,,                 47508,,                 14453,,                942454,,                  4874,,                 46140,,                  1926,,                480454,,                  7156,              2301798,,,                 12620,,                              0,,                385819,,                 10371,                112327,,                 15390,                  3543,                 28714,                 51407,                572544,              2874342,,,,,                330000,,                162653,,                397465,,                     60,,                180366,                 28563,,                 72712,,                  9192,                  9192,              1181011,,,                 35336,,                 63170,                 10276,                 73446,                108782,              1289793,,,,                540000,                600000,,                 13036,,                129186,,                780161,                 54909,                835070,                964256,,                  7257,              1584549,              1584549,              2874342,              0,              0,              0,,                  3760,                  3760,                 60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,2014年03月31日,,,,                725768,,,,                 48053,,                 19344,,                829366,,                  4538,,                 34750,,                  1257,,                517546,,                  9711,              2190333,,,                 12620,,,,                407139,,                 12029,                102186,,                 14046,                  3585,                 29491,                 50793,                584767,              2775100,,,,,                280000,,                131606,,                380050,,                    481,,                115654,                 33802,,                 71257,,                  4156,                  4156,              1017006,,,                 36765,,                 64180,                 10541,                 74721,                111486,              1128492,,,,                540000,                540000,,                 13036,,                117435,,                905912,                 48231,                954143,              1071578,,                 21994,              1646608,              1646608,              2775100,              0,              0,              0,,                  3671,                  3671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,2013年12月31日,,,,,,,,,,                 12504,,                814067,,                  3313,,                 42273,,                    804,,                534796,,                  6331,              2113740,,,                 12620,,,,                418664,,                 12319,                 99748,,                  7364,                  3558,                 29298,                 43802,                587153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  3582,                  3582,,                651954,                 47698,              2700893,,,,                230000,,                138650,,                394634,,                              0,,                144105,                 22310,,                 69913,,                  3497,                  3497,              1003109,,,                 33220,,                 65190,                 10474,                 75664,                108884,              1111993,,,,                540000,                540000,,                 13036,,                117435,,                788406,                117506,                905912,              1023347,,                 12517,              1588900,              1588900,,                  6331,                              0,,,,,,,
6442,2013年06月30日,,,,,,,,,,                 10358,,                911861,,                  4285,,                 41042,,                    648,,                595206,,,              2045754,,,                 12620,,,,                446503,,                 15542,                 94099,,                  8969,                  2617,                 29475,                 44472,                613236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  3411,                  3411,,                426429,                 46739,              2658990,,,,                200000,,                 95316,,                485975,,,,                147117,                 19297,,                 59597,,                  4134,                  4134,              1011436,,,                 30700,,                 77940,                 16656,                 94596,                125296,              1136732,,,,                540000,                540000,,                 13036,,                117435,,                780246,                 61126,                841372,                958807,,                 10415,              1522258,              1522258,,                  9186,                              0,,,,,,,
6442,2012年12月31日,,,,                496897,,,,,,                  5271,,                974092,,                  2432,,                 43060,,                              0,,                506509,,                  8890,              2103670,,,                 12620,,,,                460129,,                  3851,                 95572,,                 21479,                  3501,                 28668,                 77180,                649352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 23532,                 23532,,,                 66519,              2753022,,,,                300000,,                182939,,                479385,,                  6637,,                156356,                 19941,,                 50052,,,                  4509,              1199819,,,                 23215,,                 82858,                 13554,                 96412,                119627,              1319446,,,,                540000,                540000,,                 13036,,                107225,,,,                790456,                897681,,                -17141,              1433576,              1433576,,,,,                506509,,                              0,,                              0,                              0
