證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 商譽,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　　 存出保證金,　　　　 長期預付租金,　　　　 應計退休金負債（應付退休金費用）,　　　 其他應付款項－關係人,　　　　 銀行長期借款,　　　　 長期遞延收入
5469,2015年09月30日,,,,             10256660,,              3244931,,                 38310,,             12264916,,                129274,,                784669,,              4613334,,                              0,,              3961292,                641717,              4603009,             35935103,,,                545757,,                 10000,,                204667,,                432731,,             13989112,,                276614,,,                934732,                934732,                 32718,,,                              0,                              0,,              3369438,              3369438,             19795769,             55730872,,,,,             10239103,,                448583,,                228195,,              6548806,,                 26070,,              2707635,              2707635,                161923,,,              3023361,                326517,              3349878,             23710193,,,             11381100,,                134970,,                182742,                182742,             11698812,             35409005,,,,              4554362,              4554362,,              2123941,,                868791,              1024542,,              2870962,              4764295,,                990263,                 71060,             12361801,              7960066,             20321867,             55730872,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,2015年06月30日,,,,             10706552,,              4135861,,                 35841,,             10941651,,                 98406,,                739178,,              4442044,,                              0,,              2954510,                652894,              3607404,             34706937,,,                549294,,                 10000,,                204667,,                429887,,             13717162,,                277951,,,                902949,                902949,                 36818,,,                              0,                              0,,              3103669,              3103669,             19232397,             53939334,,,,,             10383175,,                448528,,                207865,,              6081913,,                 28079,,              2737122,              2737122,                159782,,,              2931573,                274672,              3206245,             23252709,,,             11427357,,                136070,,                185220,                185220,             11748647,             35001356,,,,              4554362,              4554362,,              2121396,,                868791,              1024542,,              2594145,              4487478,,                355014,                 71060,             11447190,              7490788,             18937978,             53939334,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,2015年03月31日,,,,             11889441,,              4005603,,                 24494,,             12255186,,                 97844,,                726821,,              4706437,,                744117,,              2793483,                596922,              3390405,             37840348,,,                566700,,                 10000,,                204667,,                435731,,             14202569,,                279288,,,                909315,                909315,                 36418,,,,                252415,,              2451422,              2703837,             19348525,             57188873,,,,,             11877932,,,,                118390,,              6778145,,                 26756,,              2828076,              2828076,                 86964,,,              2761591,                534532,              3296123,             25012386,,,             12308293,,                162270,,                202507,                202507,             12673070,             37685456,,,,              4554362,              4554362,,              2121104,,                798235,              1024542,,              2861982,              4684759,,                656254,                 71060,             11945419,              7557998,             19503417,             57188873,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,2014年12月31日,,,,              8071906,,              2582166,,                 12206,,             14463661,,                 99897,,                749307,,              4269062,,                751673,,              8018782,                631643,              8650425,             39650303,,,                422436,,                 10000,,                205498,,                424255,,             14606534,,                280625,,,                912985,                912985,                 29518,,,                254979,                254979,,              2479001,              2733980,             19625831,             59276134,,,,,             13485189,,                              0,,                218831,,              7284799,,                 49861,,              3168127,              3168127,                 65008,,,              2010924,                583142,              2594066,             26865881,,,             12158400,,                165270,,                238165,                238165,             12561835,             39427716,,,,              4554362,              4554362,,              2121104,,                798235,              1024542,,              2893573,              4716350,,                744048,                 71060,             12064804,              7783614,             19848418,             59276134,              0,      5000000,              8071906,,                749307,             59276134,,,,             13485189,,                218831,,              7284799,,                 49861,,              3168127,              3168127,                 65008,,,              2010924,                583142,              2594066,             26865881,,,             12158400,,                165270,,                238165,                238165,             12561835,             39427716,,,,              4554362,              4554362,,              2121104,,                798235,              1024542,,              2893573,              4716350,,                744048,                 71060,             12064804,              7783614,             19848418,              0,,,,,,,,,,,,,,,
5469,2014年09月30日,,,,             10425828,,              2644555,,                 17831,,             14653839,,                121134,,                620286,,              4816042,,                              0,,              6533546,                639494,              7173040,             40472555,,,                399838,,                 10000,,                205498,,                308578,,             14954203,,                281962,,,                904152,                904152,                 38993,,,                247744,                247744,,              2583322,              2831066,             19934290,             60406845,,,,,             14553731,,                              0,,                314128,,              8386353,,                 52779,,              2869374,              2869374,                 83703,,,              2963660,                321395,              3285055,             29545123,,,             12114036,,                160370,,                247969,                247969,             12522375,             42067498,,,,              4579362,              4579362,,              2129298,,                798235,              1024542,,              2658029,              4480806,,                271194,                106585,             11354075,              6985272,             18339347,             60406845,              0,      7500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,2014年06月30日,,,,              8836737,,                509396,,                 34143,,             13597019,,                155138,,                732642,,              4609730,,                              0,,              8397058,                568024,              8965082,             37439887,,,                412006,,                 10000,,                205498,,                300178,,             15160366,,                283291,,,                897689,                897689,                 33793,,,                240726,                240726,,              1396337,              1637063,             18939884,             56379771,,,,,             11666513,,                              0,,                100624,,              7776960,,                 36508,,              2625287,              2625287,                 88705,,,              3501248,                214154,              3715402,             26009999,,,             12996546,,                160470,,                262280,                262280,             13419296,             39429295,,,,              4579362,              4579362,,              2129298,,                798235,              1024542,,              2361203,              4183980,,               -152753,                106585,             10633302,              6317174,             16950476,             56379771,              0,      7500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,2014年03月31日,,,,              9679516,,                 68864,,                 28397,,             12567707,,                148667,,                737490,,              4379295,,                              0,,              8709823,                495230,              9205053,             36814989,,,                190126,,                 10000,,                205498,,                296291,,             15695898,,                284660,,,                906963,                906963,                 32593,,,,                              0,,              1277251,              1277251,             18899280,             55714269,,,,,             11975909,,,,                129398,,              7343442,,                 27787,,              2648930,              2648930,                 93192,,,              3417800,                200347,              3618147,             25836805,,,             12402612,,                160270,,                256747,                256747,             12819629,             38656434,,,,              4579362,              4579362,,              2128701,,                798235,              1024542,,              2201426,              4024203,,                  9144,                106585,             10634825,              6423010,             17057835,             55714269,              0,      7500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5469,2013年12月31日,,,,,,                 74258,,                 14085,,             13730976,,                198551,,,,              4739185,,                              0,,              3426596,                570907,              3997503,             37811987,,,                145179,,                 10000,,                205498,,                268366,,             16128428,,                286066,,,,                903273,                 28793,,,,,,,              1237401,             19213004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      7500000,             14156871,,                900558,             57024991,,,,             11515980,,                214073,,              8761057,,                 52028,,              3088881,              3088881,                109773,,,              1929652,                184947,              2114599,             25856391,,,             13769785,,                160270,,                262275,                262275,             14192330,             40048721,,,,              4579362,              4579362,,              2128701,,                798235,              1024542,,              2178864,              4001641,,                 68796,                106585,             10671915,              6304355,             16976270,              0,,,,,,,,,,,,,,,
5469,2013年09月30日,,,,,,                 56534,,                 18761,,             14136086,,                186370,,              1066340,,              4868619,,,,              4930058,                583715,              5513773,             36828465,,,                144091,,                 10000,,                205498,,                244444,,             16299723,,                288116,,,                924306,                924306,                 39383,,,                              0,                              0,,              1392110,              1392110,             19547671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      7500000,             10981982,,,             56376136,,,,             11014438,,                281733,,              8360660,,                 48702,,              3387765,              3387765,                108261,,,              2314944,                134402,              2449346,             25650905,,,             13542774,,                131870,,                226741,                226741,             13901385,             39552290,,,,              4579362,              4579362,,              2128701,,                798235,              1024542,,              2170199,              3992976,,               -211715,                106585,             10382739,              6441107,             16823846,              0,,,,,,,,,,,,,,,
5469,2013年06月30日,,,,,,                 54871,,                 19911,,             12804961,,                181829,,              1207909,,              4948283,,,,              4756106,                630822,              5386928,             35736480,,,                136106,,                 10000,,                205498,,                245169,,             16619721,,                290211,,,                933087,                933087,                 57520,,,                              0,                              0,,              1752691,              1752691,             20250003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      7500000,             11131788,,,             55986483,,,,             11119291,,                270052,,              7756676,,                 23795,,              2747313,              2747313,                111342,,,              3595905,                 94978,              3690883,             25748044,,,             12744555,,                131870,,                218299,                218299,             13094724,             38842768,,,,              4579362,              4579362,,              2128701,,                798235,              1024542,,              2247888,              4070665,,                -50257,                106585,             10621886,              6521829,             17143715,              0,,                 28692,,,,,,,,,,,,,
