證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　 長期借款,　　　　 長期借款合計,　　　　 銀行長期借款,　　　 庫藏股票
2482,2015年09月30日,,,,                293574,,                 72186,,                     88,,                 98642,,                    983,,,                141435,                141435,,                 64620,                 19192,                 83812,                690720,,,                301946,,                 22701,,                 31076,                 88265,,                  1320,                  1320,                445308,              1136028,,,,,                 60000,,                 26694,,                 27439,,                 63930,                  7598,,                  9682,                195343,,,                 58100,,                 14863,,,                              0,                  8892,                    167,                  9059,                 82022,                277365,,,,                620725,                620725,,                 80744,,                147758,,                  7820,                857047,                  1616,                858663,              1136028,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,2015年06月30日,,,,                253440,,                 72767,,                              0,,                 99028,,                  1716,,,,                178085,,                 61451,                 14079,                 75530,                680566,,,                220788,,                 19287,,                 31581,                 88204,,                  1832,                  1832,                361692,              1042258,,,,,                 60000,,                 28810,,                 44301,,                 47899,                  3190,,                  8283,                192483,,,,,                 14863,,,                              0,                  8892,                    167,                  9059,                 23922,                216405,,,,                620725,                620725,,                 80744,,                123642,,                   -976,                824135,                  1718,                825853,              1042258,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,2015年03月31日,,,,                204288,,                 74723,,                      3,,                117015,,                  3298,,,,                180850,,                 62114,                 13616,                 75730,                655907,,,                219083,,                 19366,,                 30566,                 88217,,,                  1708,                358940,              1014847,,,,,                 60000,,                 24140,,                 35712,,                 30387,                  1086,,                  8277,                159602,,,,,                 14863,,,                 13906,                  8893,                    167,                 22966,                 37829,                197431,,,,                620725,                620725,,                 80744,,                113447,,                    681,                815597,                  1819,                817416,              1014847,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,2014年12月31日,,,,                233274,,                 74212,,                    366,,                103034,,                  1552,,,                184670,                184670,,                 63228,                 18864,                 82092,                679200,,,                215902,,                 19444,,                 29256,                 88228,,                  2254,                  2254,                355084,              1034284,,,,,                 60000,,                 30182,,                 39485,,                 43849,                              0,,                  8878,                182394,,,                              0,,                 14863,,,                 13906,                  8919,                    167,                 22992,                 37855,                220249,,,,                620725,                620725,,                 80744,,                108066,,                  2591,                812126,                  1909,                814035,              1034284,              0,              0,              0,                233274,              1034284,,,,                 60000,,                 30182,,                 39485,,                 43849,                              0,,                  8878,                182394,,,                 14863,,,                 13906,                  8919,                    167,                 22992,                 37855,                220249,,,,                620725,                620725,,                 80744,,                108066,,                  2591,                812126,                  1909,                814035,,,,,,,,,
2482,2014年09月30日,,,,                273127,,                 73855,,                    460,,                 64396,,                  5261,,,                179719,                179719,,                 61873,                 23143,                 85016,                681834,,,                216012,,                 19523,,                 29679,                 84748,,                  1731,                  1731,                351693,              1033527,,,,,                 60000,,                 39743,,                 48644,,                 37881,                              0,,                  9180,                195448,,,                              0,,                 14811,,,                 13906,                  6266,                    167,                 20339,                 35150,                230598,,,,                620725,                620725,,                 80744,,                101539,,                 -2102,                800906,                  2023,                802929,              1033527,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,2014年06月30日,,,,                259987,,                 74254,,                    690,,                 68067,,                  7047,,,,                174584,,                 60461,                 11431,                 71892,                656521,,,                213671,,                 19601,,                 30549,                 84731,,                  2118,                  2118,                350670,              1007191,,,,,                 60000,,                 21878,,                 33084,,                 51641,                              0,,                  7987,                174590,,,,,                 14811,,,                 13930,                  6266,                    167,                 20363,                 35174,                209764,,,,                620725,                620725,,                 80744,,                 97576,,                 -3744,                795301,                  2126,                797427,              1007191,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,2014年03月31日,,,,                283186,,                 73540,,                    920,,                 54726,,                  2067,,,,                214345,,                 46137,                 14467,                 60604,                689388,,,                209289,,                 19680,,                 28946,                 84749,,,                  2075,                344739,              1034127,,,,,                 60000,,                 26419,,                 38143,,                 45961,                              0,,                  7660,                178183,,,,,                 14811,,,                 13930,                  6266,                    167,                 20363,                 35174,                213357,,,,                620725,                620725,,                 80744,,                118229,,                 -1169,                818529,                  2241,                820770,              1034127,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,2013年12月31日,,,,,,                 73361,,                  1150,,                 70236,,                  2528,,,,                185179,,                 35393,                 16547,                 51940,                683065,,,                209152,,                 19758,,                 30170,                 84729,,                  2060,                  2060,                345869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                298671,              1028934,,,,                 60000,,                 21089,,                 19422,,                 63463,                    774,,                  8117,                172865,,,                 14811,,,                 13930,                  6003,                    167,                 20100,                 34911,                207776,,,,                620725,                620725,,                 80744,,                121348,,                 -3925,                818892,                  2266,                821158,,,,,,,,,
2482,2013年09月30日,,,,,,                 72675,,                  1578,,                 66119,,                    917,,,,                219799,,                 35157,                 14510,                 49667,                711957,,,                212959,,                 19837,,                 30952,                 85661,,                  2051,                  2051,                351460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                301202,              1063417,,,,                 60000,,                 27942,,                 44238,,                 43903,                    521,,                  9537,                186141,,,                 14274,,,                 30650,                    257,                    282,                 31189,                 45463,                231604,,,,                620725,                620725,,                 80744,,                133008,,                 -4938,                829539,                  2274,                831813,,,,,,,,,
2482,2013年06月30日,,,,,,                 72667,,                  1637,,                 87979,,                  1221,,,,                191803,,                 35500,                 17197,                 52697,                712533,,,                218497,,                 19915,,                 31823,                 85674,,                  2056,                  2056,                357965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                304529,              1070498,,,,                 60000,,                 32013,,                 38500,,                 27412,                  3260,,                  7231,                168416,,,                 14274,,,                              0,                 51680,                    282,                 51962,                 66236,                234652,,,,                620725,                620725,,                 80744,,                135229,,                 -3139,                833559,                  2287,                835846,,,,,,,,,
