證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 應計退休金負債（應付退休金費用）,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 預收股本,　　　 庫藏股票,　　 非控制權益
1731,2015年09月30日,,,,                235993,,                 10001,,                 77584,,                560028,,                  3328,,                  2900,,                277541,,                 55002,,                140226,                 12640,                152866,              1375243,,,                103482,,                510716,,                559719,,                  4553,                 13182,,,                 38179,                 38179,              1229831,              2605074,,,,,                  3518,,                476353,,                153182,                153182,                  5966,,                 38980,                 38980,                677999,,,                200000,,                  1304,                  6335,                  7639,                207639,                885638,,,,              1329152,              1329152,,                209037,,                101921,                  1875,,                 61408,                165204,,                 16043,              1719436,              1719436,              2605074,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,2015年06月30日,,,,                201737,,                 40008,,                 89486,,                561011,,                  7974,,                  2985,,                241747,,                 51703,,                355542,                  4092,                359634,              1556285,,,                103613,,                333092,,                560178,,                  5626,                 12290,,,                 38369,                 38369,              1053168,              2609453,,,,,                  3073,,                471757,,                182611,                182611,                  9151,,                 41069,                 41069,                707661,,,                200000,,                  1304,                  6345,                  7649,                207649,                915310,,,,              1329152,              1329152,,                207149,,                101921,                  1875,,                 46989,                150785,,                  7057,              1694143,              1694143,              2609453,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,2015年03月31日,,,,                277812,,                 55078,,                 81108,,                566047,,                  5875,,                  2199,,                241256,,                 39237,,                275226,                  4093,                279319,              1547931,,,                105617,,                318435,,                567038,,                  6493,                 11687,,,                 38905,                 38905,              1048175,              2596106,,,,,                  3591,,                476187,,                 87423,                 87423,                 17016,,                 35603,                 35603,                620600,,,                200000,,                  1304,                  6354,                  7658,                207658,                828258,,,,              1329152,              1329152,,                206745,,                 93869,                  1875,,                123225,                218969,,                 12982,              1767848,              1767848,              2596106,              0,              0,,,,                              0,,                    780,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,2014年12月31日,,,,                315775,,                 38026,,                 81684,,                518182,,                  4294,,                  3420,,                224280,,                 61132,,                210533,                  1412,                211945,              1458738,,,                117442,,                311474,,                569526,,                  6771,                 11998,,,                 43551,                 43551,              1060762,              2519500,,,,,                  2720,,                438992,,                101901,                101901,                 11336,,                 34131,                 34131,                589080,,,                200000,,                  1304,                  6364,                  7668,                207668,                796748,,,,              1329152,              1329152,,                190335,,                 93869,                  1875,,                 92764,                188508,,                 14757,              1722752,              1722752,              2519500,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,2014年09月30日,,,,                159055,,                225114,,                 88003,,                539576,,                  6028,,                  1598,,                223283,,                 52654,,                107014,                  2690,                109704,              1405015,,,                117442,,                323704,,                565419,,                  7528,                 13559,,,                 37036,                 37036,              1064688,              2469703,,,,,                  3899,,                425740,,                 87634,                 87634,                  8982,,                 41405,                 41405,                567660,,,                200000,,                  1304,                  6374,                  7678,                207678,                775338,,,,              1329152,              1329152,,                190279,,                 93869,                  1875,,                 73160,                168904,,                  6030,              1694365,              1694365,              2469703,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,2014年06月30日,,,,                218607,,                221682,,                 91072,,                516857,,                 21322,,                  3878,,                228179,,                 55860,,                 69840,                  3281,                 73121,              1452327,,,                133187,,                348387,,                566749,,                  8292,                 12029,,,                 31580,                 31580,              1100224,              2552551,,,,,                  2967,,                415452,,                123257,                123257,                  5623,,                 36113,                336113,                883412,,,                              0,,                  1304,                  6383,                  7687,                  7687,                891099,,,,              1329152,              1329152,,                191252,,                 93869,                  1875,,                 38482,                134226,,                  6822,              1661452,              1661452,              2552551,              0,              0,,                 21749,,                300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,2014年03月31日,,,,                196890,,                223278,,                 88585,,                532766,,                  5935,,                  3465,,                234605,,                 63509,,                145700,                  4995,                150695,              1499728,,,                135182,,                365104,,                569505,,                 10160,                 11823,,,                 28460,                 28460,              1120234,              2619962,,,,,                  3500,,                492947,,                 68732,                 68732,                  6381,,                 38314,                338314,                909948,,,                              0,,                  1304,                  6393,                  7697,                  7697,                917645,,,,              1329152,              1329152,,                198513,,                 87923,                  1875,,                 78412,                168210,,                  6442,              1702317,              1702317,              2619962,              0,              0,,,,                300000,,                     74,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,2013年12月31日,,,,,,                125171,,                 89881,,                524943,,                  4467,,                  4626,,                225158,,                  9198,,                252291,                  7016,                259307,              1429544,,,                135182,,                374347,,                572465,,                 11564,                 13142,,,                 26528,                 26528,              1133228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,              0,                186793,              2562772,,,,                  3018,,                431968,,                    547,,                 92213,                 92213,                  3735,,,                300000,                 37922,                337922,                869403,,,                              0,,                  1304,                  6403,                  7707,                  7707,                877110,,,,              1329152,              1329152,,                198555,,                 87923,                  1875,,                 60052,                149850,,                  8105,              1685662,              1685662,                              0,,,,,
1731,2013年09月30日,,,,,,                197297,,                 78873,,                533340,,                  4737,,                    732,,                217900,,                              0,,                289900,                 19403,                309303,              1476846,,,                135182,,                368192,,                567722,,                 12039,                 17478,,,                 15605,                 15605,              1116218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,              0,                134664,              2593064,,,,                  3286,,                483061,,                  8814,,                 94745,                 94745,                  4210,,,                300000,                 39710,                339710,                933826,,,                              0,,                  1304,                  6412,                 16227,                 16227,                950053,,,,              1329152,              1329152,,                189034,,                 87923,                  2468,,                 30129,                120520,,                  4305,              1643011,              1643011,                  8511,,,,,
1731,2013年06月30日,,,,,,                112163,,                106836,,                538037,,                  8403,,                    829,,                191934,,                  3117,,                289900,                  6632,                296532,              1424700,,,                135293,,                379472,,                563010,,                 13576,                 18508,,,                 13951,                 13951,              1123810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,,,,,              0,                166849,              2548510,,,,                  4897,,                391607,,                  5014,,                137314,                137314,                  5374,,,                              0,                 53945,                 53945,                598151,,,                300000,,                  1304,                  6422,                 18015,                318015,                916166,,,,              1329152,              1329152,,                188523,,                 87923,                  2468,,                 15188,                105579,,                  9090,              1632344,              1632344,                 10289,,,,,
