證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－合併溢額,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 短期借款,　　　　　 短期借款合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－合併溢額,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 短期借款,　　　　 短期借款合計,　　　 長期借款,　　　　 長期借款合計,　　　 應收票據淨額,　　　　 應收票據淨額
2228,2015年09月30日,,,,                654297,,                 26927,,                 20000,,                789908,,                 22899,,                              0,,                634687,,                 33137,,                199322,                  1991,                201313,              2383168,,,                140246,,              1256782,,                 12219,                 24066,,                163177,              1596490,              3979658,,,,,                    853,,                  6928,,                220957,,                208020,                 41034,,                 19134,                496926,,,                237225,,                135681,,                 73252,                446158,                943084,,,,                738742,                738742,,,                776480,                 61917,                 11923,                    463,                850783,,                332287,,              1043518,              1375805,,,                 76244,,                 -5000,                 71244,              3036574,              3036574,              3979658,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,2015年06月30日,,,,                727716,,                    141,,                 27000,,                706506,,                 29758,,                              0,,                591189,,                 31599,,                133714,                  5222,                138936,              2252845,,,                140246,,              1140570,,                 12219,                 23408,,                159213,              1475656,              3728501,,,,,                  1732,,                     99,,                175724,,                451074,                 54437,,                 43889,                726955,,,                281043,,                108235,,                 72778,                462056,              1189011,,,,                717050,                717050,,,                540335,                 61917,                 14234,                    282,                616768,,                332287,,                849174,              1181461,,,                 22211,,                  2000,                 24211,              2539490,              2539490,              3728501,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,2015年03月31日,,,,                634819,,                  9102,,                 29000,,                655085,,                 29679,,                 18950,,                597314,,                 42012,,,,                  4025,              2019986,,,                140246,,              1126254,,                 12219,                 27545,,                163727,              1469991,              3489977,,,,,                    217,,                     95,,                202907,,                185839,                 87525,,                 16911,                643494,,,,,                100578,,                 72306,                172884,                816378,,,,                717050,                717050,,,                540335,                 61917,,                    282,                602534,,                283630,,              1035756,              1319386,,,                 30629,,                  4000,                 34629,              2673599,              2673599,              3489977,              0,              0,              0,,                150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,2014年12月31日,,,,                528517,,                    163,,                 45000,,                710178,,                 40349,,                  7452,,                643275,,                 30415,,                              0,                  3031,                  3031,              2008380,,,                              0,,              1104390,,                 12219,                 25229,,                167919,              1309757,              3318137,,,,,                  1012,,                  1359,,                200185,,                255701,                 59914,,                 31524,                549695,,,                              0,,                 99507,,                 71831,                171338,                721033,,,,                717050,                717050,,,                540335,                 61917,                              0,                    282,                602534,,                283630,,                895433,              1179063,,,                 78457,,                 20000,                 98457,              2597104,              2597104,              3318137,              0,              0,              0,,                              0,                528517,                  7452,              3318137,,,,                  1012,,                  1359,,                200185,,                255701,                 59914,,                 31524,                549695,,,                 99507,,                 71831,                171338,                721033,,,,                717050,                717050,,,                540335,                 61917,                    282,                602534,,                283630,,                895433,              1179063,,,                 78457,,                 20000,                 98457,              2597104,              2597104,,,,,,
2228,2014年09月30日,,,,                473815,,                  1673,,                              0,,                677888,,                 11974,,                              0,,                563422,,                 35708,,                              0,                  1587,                  1587,              1766067,,,                 25000,,              1033247,,                 12219,                 25972,,                138716,              1235154,              3001221,,,,,                    244,,                    153,,                183352,,                195874,                 54665,,                 12760,                447048,,,                              0,,                 82750,,                 69027,                151777,                598825,,,,                717050,                717050,,,                540335,                 61917,                              0,                    282,                602534,,                283629,,                774544,              1058173,,,                 24639,,                              0,                 24639,              2402396,              2402396,              3001221,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,2014年06月30日,,,,                665963,,                              0,,                              0,,                575365,,                 24365,,                              0,,                625946,,                 35864,,                              0,                  3977,                  3977,              1931480,,,                 25000,,                988519,,                 12219,                 24474,,                127914,              1178126,              3109606,,,,,                  2474,,                  1053,,                205630,,                433314,                 52396,,                 15953,                710820,,,                              0,,                 69225,,                 68613,                137838,                848658,,,,                717050,                717050,,,                540335,                 61917,                              0,                    282,                602534,,                283629,,                637979,                921608,,,                 19756,,                              0,                 19756,              2260948,              2260948,              3109606,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,2014年03月31日,,,,                572390,,                              0,,                              0,,                617636,,                 28513,,                              0,,                544383,,                 40477,,,,                  4433,              1807832,,,                 25000,,              1001971,,                 12219,                 21546,,                116775,              1177511,              2985343,,,,,                  1410,,                    150,,                166122,,                152646,                 68805,,                 20168,                409301,,,,,                 72510,,                 68194,                140704,                550005,,,,                717050,                717050,,,                540336,                 61917,,                    281,                602534,,                250316,,                822823,              1073139,,,                 42615,,                              0,                 42615,              2435338,              2435338,              2985343,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,2013年12月31日,,,,,,                  3081,,                              0,,                564566,,                 25550,,,,                587365,,                 43976,,,,                  5098,              1722904,,,,,                974822,,                 12219,                 21792,,                121665,              1130498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                493268,                              0,              2853402,,,,                              0,,                    493,,                182229,,                176822,                 48706,,                 20938,                429188,,,                 63350,,                 67753,                131103,                560291,,,,                717050,                717050,,,                540335,                 61917,                    282,                602534,,                250316,,                695135,                945451,,,                 28076,,                              0,                 28076,              2293111,              2293111,,,,,,
2228,2013年09月30日,,,,,,                  4111,,,,                563634,,                 20481,,,,                598481,,                 42106,,,,                  1462,              1582166,,,                              0,,                969567,,                 12219,                 25194,,                101666,              1108646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                351891,,              2690812,,,,                              0,,                    321,,                213367,,                304424,                 33276,,                 13860,                865248,,,                 52963,,                 88276,                141239,              1006487,,,,                650330,                650330,,,                120000,                 61917,                    282,                182199,,                250316,,                594639,                844955,,,                  6841,,,                  6841,              1684325,              1684325,,                300000,,                              0,,
2228,2013年06月30日,,,,,,                  5771,,,,                503686,,                 32867,,,,                575739,,                 29998,,,,                  7342,              1443272,,,                              0,,                973788,,                 12219,                 24756,,                 97916,              1108679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                287869,,              2551951,,,,                              0,,                    237,,                162494,,                289373,                 44076,,                 18159,                814339,,,                 49554,,                 87822,                137376,                951715,,,,                650330,                650330,,,                120000,                 61917,                    282,                182199,,                250316,,                507882,                758198,,,                  9509,,,                  9509,              1600236,              1600236,,                300000,,                              0,,
