證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 其他應付款－其他,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他應付費用,　　　　 應付股利,　　　　 待分配股票股利,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　　 資本公積－普通股股票溢價,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備淨額,　　　　 未完工程及待驗設備,　　　　 其他應付款－其他,　　　　 遞延所得稅負債－所得稅,　　　　　 累積盈虧,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　 非控制權益,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計
4999,2015年09月30日,,,,              1344504,,                  1715,,                894853,,                203724,,                 16291,                  9213,                 25504,              2470300,,,                810924,                 46164,,                  1899,                 97216,,                 16922,                116037,                973125,              3443425,,,,,                131480,,                              0,,                144898,,                283800,                 42682,                602860,,,                157968,,                    707,                    707,                158675,                761535,,,,                744172,                744172,,,                476353,                476353,,                228565,                              0,,              1156599,              1385164,,,                 88736,                 88736,                 12535,              2681890,              2681890,              3443425,              0,        336000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,2015年06月30日,,,,              1531819,,                    625,,                771759,,                199065,,                 10847,                  8483,                 19330,              2522598,,,                780052,                 46164,,                  1931,                 91887,,                 14273,                108091,                934307,              3456905,,,,,                154300,,                              0,,                115256,,                539883,                 39905,                849344,,,                142279,,                    707,                    707,                142986,                992330,,,,                744172,                744172,,,                476353,                476353,,                228565,                              0,,              1003346,              1231911,,,                 12139,                 12139,,              2464575,              2464575,              3456905,              0,              0,                297669,                242214,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,2015年03月31日,,,,              1383217,,                    853,,                903617,,                243514,,                 22075,                 11259,                 33334,              2564535,,,                800617,                 46164,,                  1870,                 93731,,                 14993,                110594,                957375,              3521910,,,,,                187759,,                              0,,                130282,,                260047,                 72609,                650697,,,                145696,,                    707,                    707,                146403,                797100,,,,                744172,                744172,,,                476353,                476353,,                178387,                 26704,,              1270375,              1475466,,,,                 28819,,              2724810,              2724810,              3521910,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,2014年12月31日,,,,              1230448,,                    740,,              1058989,,                246184,,                 47678,                 13893,                 61571,              2597932,,,                753388,                 46164,,                  2488,                 75667,,                  9637,                 87792,                887344,              3485276,,,,,                158250,,                  1022,,                163881,,                290615,                 67684,                681452,,,                148401,,                    707,                    707,                149108,                830560,,,,                744172,                744172,,,                476353,                476353,,                178387,                 26704,,              1187071,              1392162,,,                 42029,                 42029,                              0,              2654716,              2654716,              3485276,              0,              0,                              0,                290615,              0,              1230448,              3485276,,,,                158250,,                  1022,,                163881,,                290615,                 67684,                681452,,,                148401,,                    707,                    707,                149108,                830560,,,,                744172,                744172,,,                476353,                476353,,                178387,                 26704,,              1187071,              1392162,,                 42029,              2654716,              2654716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,2014年09月30日,,,,              1133455,,                  1084,,              1057128,,                236022,,                 46132,                 17880,                 64012,              2491701,,,                740527,                 44016,,                  2652,                 73167,,                  9668,                 85487,                870030,              3361731,,,,,                273780,,                  2941,,                184154,,                266179,                 63773,                790827,,,                124945,,                    841,                    841,                125786,                916613,,,,                744172,                744172,,,                476353,                476353,,                178387,                 26704,,              1023862,              1228953,,,                 -4360,                 -4360,                              0,              2445118,              2445118,              3361731,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,2014年06月30日,,,,              1459777,,                  1401,,                965701,,                233474,,                 62154,                 13790,                 75944,              2736297,,,                483863,                 48180,,                  2847,                 72277,,                 18926,                 94050,                626093,              3362390,,,,,                209055,,                  8565,,                179049,,                491119,                 54519,                942307,,,                124945,,                    841,                    841,                125786,              1068093,,,,                744172,                744172,,,                476353,                476353,,                178387,                 26704,,                893367,              1098458,,,                -24686,                -24686,,              2294297,              2294297,              3362390,              0,              0,                223252,                267867,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,2014年03月31日,,,,              1306620,,                  1926,,                956271,,                225872,,                 33988,                 15140,                 49128,              2539817,,,                448180,                 43734,,                  7368,                 74179,,                 16374,                 97921,                589835,              3129652,,,,,                213290,,                 11214,,                121809,,                211918,                 46220,                604451,,,                124945,,                    841,                    841,                125786,                730237,,,,                744172,                744172,,,                476353,                476353,,                138946,                 50262,,                992668,              1181876,,,,                 -2986,,              2399415,              2399415,              3129652,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,2013年12月31日,,,,,,                  2873,,              1040338,,                234060,,                 99646,                 10634,                110280,              2732067,,,                442131,                 48592,,                  8193,                 72897,,                  7562,                 88652,                579375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1344516,              3311442,,,,                378523,,                              0,,                198337,,                252343,                 49013,                878216,,,                124945,,                    841,                    841,                125786,              1004002,,,,                744172,                744172,,,                476353,                476353,,                138946,                 50262,,                924411,              1113619,,                -26704,              2307440,              2307440,,                234060,                252343,                              0,                              0,,                -26704,,,,,,,,,,,,,,,,,,,,,,
4999,2013年09月30日,,,,,,                  1043,,                859666,,                199274,,                135374,                 13905,                149279,              2430299,,,                411595,                 51859,,                  4614,                 72377,,                 12861,                 89852,                553306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1221037,              2983605,,,,                316399,,                              0,,                151317,,                212423,                 29904,                710043,,,                110442,,                     47,                     47,                110489,                820532,,,,                744172,                744172,,,                476353,                476353,,                138946,                 50262,,                788438,                977646,,                -35098,              2163073,              2163073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,2013年06月30日,,,,,,                  1536,,                717317,,                210162,,                129578,                 10045,                139623,              2512252,,,                381373,                 48782,,                  5219,                 73137,,                 14057,                 92413,                522568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1443614,              3034820,,,,                351000,,                              0,,                128746,,                328720,                 29607,                838073,,,                110442,,                     47,                     47,                110489,                948562,,,,                676520,                744172,,,                479353,                479353,,                138946,                 50262,,                693605,                882813,,                -20080,              2086258,              2086258,,                210162,                193417,                135303,                 67652,,                -20080,,,,,,,,,,,,,,,,,,,,,,
