證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 重估增值,　　　　　　 重估增值合計,　　　　　 與待出售非流動資產直接相關之權益,　　　　　　 與待出售非流動資產直接相關之權益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 重估增值,　　　　　 重估增值合計,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 與待出售非流動資產直接相關之負債
2308,2015年09月30日,,,,             50758119,,                133850,,                419300,                              0,,              3114030,,             49616924,,              1604071,,              1080575,,                 65649,,                922074,,             23143121,,              5048183,,                905202,            136811098,,,                237154,,              6307434,,                663890,,              7179022,,             41852446,,              2111502,,             25828390,              5799212,,              2796112,             92775162,            229586260,,,,,             18834167,,                102565,                              0,,                              0,,             34615233,,                620700,,             19615928,              1615552,,              5546240,             80950385,,,             32047004,,             11695796,,              4404485,             48147285,            129097670,,,,             24375433,             24375433,,,             25611485,                              0,                              0,                211876,             25823361,,             17622146,                              0,,             23660519,             41282665,,,              4690981,,               -699863,,                  6188,,                              0,,                              0,              3997306,             95478765,              5009825,            100488590,            229586260,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,2015年06月30日,,,,             60258877,,                 54071,,                555157,                              0,,              2147669,,             42742337,,              1644704,,                455744,,                 21257,,                904616,,             22373268,,              5787180,,                472492,            137417372,,,                229140,,              6175190,,                746522,,              6775198,,             37666822,,              2149356,,             25081213,              5351831,,              2705423,             86880695,            224298067,,,,,             12172321,,                 13948,                              0,,                              0,,             31611166,,                334283,,             37645682,              1288842,,              4606099,             87672341,,,             20818373,,             10063916,,              4617356,             35499645,            123171986,,,,             24375433,             24375433,,,             25611485,                              0,                              0,                211842,             25823327,,             17622146,                              0,,             23356835,             40978981,,,                -32178,,                 20662,,                  6188,,                              0,,                              0,                 -5328,             91172413,              9953668,            101126081,            224298067,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,2015年03月31日,,,,             73315741,,                112917,,                687397,                              0,,              1900336,,             37373270,,              1413573,,                404043,,                803279,,                425169,,             21140731,,              5211287,,                890214,            143677957,,,                231357,,              6828160,,                745156,,              6507535,,             36567039,,              2186805,,             11614517,              4558532,,              2403888,             71642989,            215320946,,,,,             11928468,,                 21570,                603045,,                              0,,             28152174,,                204375,,             19095264,              1676894,,              3812190,             65493980,,,             20586954,,              9795925,,              3734379,             34117258,             99611238,,,,             24375433,             24375433,,,             25611485,,,                211842,             25823327,,             15552256,                527556,,             37445007,             53524819,,,              1296384,,                545521,,                  6188,,,,,              1848093,            105571672,             10138036,            115709708,            215320946,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,2014年12月31日,,,,             73459818,,                 39626,,                688324,                              0,,              1971006,,             42956211,,              1260102,,                465368,,                 43507,,                400804,,             21571975,,              4678972,,                296443,            147832156,,,                115924,,              6967099,,                748761,,              7016737,,             36814759,,              2223848,,             11706015,              4348083,,              2659428,             72600654,            220432810,,,,,              5801298,,                 51606,                              0,,                              0,,             33504170,,                244813,,             19221347,              1698484,,              4102644,             64624362,,,             26468103,,              9875658,,              3796330,             40140091,            104764453,,,,             24375433,             24375433,,,             25611485,                              0,                              0,                211279,             25822764,,             15552256,                527556,,             33579303,             49659115,,,              2415377,,                642078,,                  6630,,                              0,,                              0,              3064085,            102921397,             12746960,            115668357,            220432810,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,2014年09月30日,,,,             62816642,,                 89211,,                610363,                              0,,              1975728,,             43107221,,              1482911,,                550389,,                 25000,,                397551,,             20510542,,              4191108,,                382870,            136139536,,,                184977,,              6362249,,                402160,,              6812070,,             36208791,,              2162479,,             11626451,              3956116,,              2603163,             70318456,            206457992,,,,,              7151499,,                 19199,                  3915,,                              0,,             33642308,,                213826,,             18339797,              1729817,,              4106567,             65206928,,,             20627477,,              8782763,,              3787017,             33197257,             98404185,,,,             24375433,             24375433,,,             25611485,                              0,                              0,                227583,             25839068,,             15552256,                527556,,             28521194,             44601006,,,               -596706,,              1047224,,                  4025,,                              0,,                              0,                454543,             95270050,             12783757,            108053807,            206457992,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,2014年06月30日,,,,             60504492,,                104811,,                732997,                              0,,              1787780,,             39637351,,              1177518,,                514180,,                 27672,,                              0,,             18716271,,              4004794,,                210676,            127453090,,,                163735,,              6857648,,                400786,,              6474103,,             35623106,,              2189034,,             10500889,              3748441,,              2751645,             68709387,            196162477,,,,,              5778802,,                  3652,                 12931,,                              0,,             30550291,,                269415,,             33577779,              1492694,,              3473099,             75158663,,,              6569160,,              8309982,,              3821692,             18700834,             93859497,,,,             24375433,             24375433,,,             25611485,                              0,                              0,                210730,             25822215,,             15552256,                527556,,             22655545,             38735357,,,             -2275449,,              1606511,,                 -1463,,                              0,,                              0,               -670401,             88262604,             14040376,            102302980,            196162477,              0,              0,              0,,                 34548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,2014年03月31日,,,,             58817841,,                 84183,,                662168,                              0,,              1507641,,             37400626,,              1077159,,                462851,,                761774,,                  6065,,             18218592,,              4471251,,                264357,            123734508,,,                112939,,              7010428,,                402617,,              6223076,,             36232740,,              2224231,,             10796091,              3472199,,              2766854,             69241175,            192975683,,,,,             11332534,,                 19666,                 18166,,                    618,,             28640859,,                226282,,             17346885,              1460621,,              3485600,             62531231,,,              5479264,,              8084896,,              3852767,             17416927,             79948158,,,,             24375433,             24375433,,,             25611485,,,                179228,             25790713,,             13774636,              4074505,,             29730944,             47580085,,,               -888441,,              1566243,,                 -4857,,,,,                672945,             98419176,             14608349,            113027525,            192975683,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,2014年01月01日,,,,             59023870,,                 82749,,                686511,                 13340,,              1535567,,             41121837,,              1083328,,                407045,,                157570,,                  5957,,             18041829,,              4183426,,                160072,            126503101,,,                109810,,              7677790,,                400605,,              6607134,,             37194762,,              1960453,,             10857876,              3344842,,              2639953,             70793225,            197296326,,,,,              4561722,,                 16883,                  2644,,                    808,,             32628527,,                187088,,             17533426,              1390013,,              3046701,             59367812,,,             18827664,,              7464180,,              3841725,             30133569,             89501381,,,,             24375433,             24375433,,,             25611485,                              0,                              0,                179437,             25790922,,             13774636,              4074505,,             25133131,             42982272,,,             -1703490,,              2104380,,                 18878,,                              0,,                              0,                419768,             93568395,             14226550,            107794945,            197296326,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,2013年12月31日,,,,,,                 82749,,                686511,                 13340,,              1535567,,             41121837,,              1083328,,                407045,,                157570,,,,             18041829,,              4183426,,                160072,            126503101,,,                109810,,              7677790,,                400605,,              6696275,,             37194762,,              1960453,,             10857876,              3288189,,              2639953,             70825713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,             59023870,                  5957,            197328814,,,,              4561722,,                 16883,                  2644,,                    808,,             32628527,,                187088,,             17533426,              1390013,,              3046701,             59367812,,,             18827664,,              7431813,,              3815895,             30075372,             89443184,,,,             24375433,             24375433,,,             25611485,                              0,                              0,                179437,             25790922,,             13774636,              4074505,,             25212328,             43061469,,,             -1703490,,              2104380,,                 18878,,                              0,,                              0,,                              0,                419768,             93647592,             14238038,            107885630,
2308,2013年09月30日,,,,,,                308885,,                717123,                 25166,,              1535301,,             38513108,,              1078369,,                559626,,                 65019,,,,             16871646,,              3746367,,                412221,            119367757,,,                106717,,              5649149,,                399893,,              6523018,,             36900998,,              1978322,,             10826382,              3246466,,              1941284,             67572229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,             54971544,                563382,            186939986,,,,              4867605,,                  6084,                  5552,,                              0,,             30594665,,                274450,,             16226077,              1125424,,              3167979,             56267836,,,             20312582,,              7344718,,              3750082,             31407382,             87675218,,,,             24303894,             24303894,,,             25194223,,,                193279,             25387502,,             13774636,              4074505,,             20481135,             38330276,,,             -2633598,,                111682,,                 22438,,,,,,,             -2499478,             85522194,             13742574,             99264768,
