證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 重估增值,　　　　　 重估增值合計
1504,2015年09月30日,,,,             16380750,,                202492,,              1391464,,                117551,,              1133123,,                 19993,,              8896790,,                162480,                677724,,                220420,,                756235,,             11311913,,                347649,,                              0,,              1987116,             43605700,,,             10388242,,              5503200,,             14571214,,              2589446,,                163684,              1059735,,              1326298,             35601819,             79207519,,,,,              2314695,,                     51,,                125862,,                  5480,,              6623726,,                 81426,                288450,,              4515789,                531233,,                277829,,              3339754,             18104295,,,              3000000,,              3485801,,                214370,,              2012316,,              2156146,             10868633,             28972928,,,,             20026929,                              0,             20026929,,,              7028330,                227397,                192708,                139800,                    212,                              0,                 17596,              7606043,,              5412342,              3640779,,              9795017,             18848138,,,                273336,,                -56243,                217093,                321563,             46376640,              3857951,             50234591,             79207519,              0,              0,     22443022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2015年06月30日,,,,             15435742,,                244286,,              1413631,,                117546,,              1171601,,                 11926,,              8703939,,                157194,                961493,,                242763,,                828871,,             11364491,,                435000,,                              0,,              1057144,             42145627,,,             12711851,,              5233135,,             14418399,,              2580686,,                163360,              1120332,,              1390708,             37618471,             79764098,,,,,              1841912,,                  1313,,                 99855,,                  7808,,              7004467,,                109071,                231032,,              6882688,                622090,,                215212,,              3107483,             20122931,,,              3000000,,              1385135,,                213904,,              1819179,,              2218600,              8636818,             28759749,,,,             20026929,                              0,             20026929,,,              7028330,                227397,                193968,                139800,                    212,                              0,                 17596,              7607303,,              5412342,              3640779,,              8838575,             17891696,,,               -373332,,              2336943,              1963611,                321563,             47167976,              3836373,             51004349,             79764098,              0,              0,     22443022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2015年03月31日,,,,             15089115,,                323266,,              1260136,,                117546,,              1085643,,                 10218,,              8393448,,                179525,                991612,,                269717,,                765596,,             11346602,,                446946,,                              0,,              1128245,             41407615,,,             12796759,,              5244017,,             14476533,,              2589678,,                161377,              1088964,,              1349837,             37707165,             79114780,,,,,              2379151,,                              0,,                158052,,                 10230,,              6427937,,                 89208,                264319,,              4233868,                621383,,                256071,,              1827363,             16267582,,,              1513200,,              4333160,,                167565,,              1894272,,              2214188,             10122385,             26389967,,,,             20026929,                              0,             20026929,,,              7028330,                227397,                194568,                139800,                    212,                              0,                 17596,              7607903,,              5005650,              3737786,,             10438261,             19181697,,,               -165265,,              2326322,              2161057,                321563,             48656023,              4068790,             52724813,             79114780,              0,              0,     22443022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2014年12月31日,,,,             17201690,,                318399,,              1252111,,                122540,,                998510,,                 99132,,              8333056,,                583912,                844335,,                256546,,                701582,,             11539306,,                250509,,                              0,,                773706,             43275334,,,             14155901,,              5352012,,             14569687,,              2591956,,                174250,              1078738,,              1515167,             39437711,             82713045,,,,,              2472904,,                              0,,                119833,,                  8850,,              7461702,,                 87358,                291341,,              5246997,                393743,,                192504,,              1800595,             18075827,,,              1527600,,              5474646,,                226994,,              1911066,,              2208190,             11348496,             29424323,,,,             20026929,                              0,             20026929,,,              7028330,                227397,                187765,                139800,                    212,                              0,                 17048,              7600552,,              5005650,              3737786,,              9701155,             18444591,,,                352932,,              3166632,              3519564,                321563,             49270073,              4018649,             53288722,             82713045,              0,              0,     22443022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2014年09月30日,,,,             15830811,,                422370,,              1135472,,                119641,,              1091176,,                 43186,,              8778508,,                650730,                915686,,                223004,,                488742,,             11464593,,                469766,,                              0,,                901689,             42535374,,,             12359618,,              5272686,,             14403639,,              2530567,,                170000,              1107417,,              1420078,             37264005,             79799379,,,,,              2725103,,                    196,,                195826,,                  2814,,              8121546,,                126547,                430938,,              4474083,                279849,,                240510,,              2637036,             19234448,,,              1480200,,              4667520,,                176680,,              2048459,,              2129651,             10502510,             29736958,,,,             20026929,                              0,             20026929,,,              7028330,                227397,                198211,                139800,                    212,                              0,                 17596,              7611546,,              5005650,              3737786,,              9078902,             17822338,,,               -129447,,              1252588,              1123141,                321563,             46262391,              3800030,             50062421,             79799379,              0,              0,     22443022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2014年06月30日,,,,             15417110,,                365133,,              1132205,,                111436,,              1194490,,                 51706,,              9586763,,                739978,                965673,,              1250159,,                503412,,             11067460,,                487042,,                              0,,              1114078,             43986645,,,             12866672,,              5198992,,             14528492,,              2406939,,                316435,              1119313,,              1119623,             37556466,             81543111,,,,,              2640168,,                    533,,                162395,,                  4606,,              8509232,,                119877,                265366,,              6952864,                481903,,                202373,,              3266058,             22605375,,,              1443300,,              4127692,,                181660,,              1891427,,              2113589,              9757668,             32363043,,,,             20026929,                              0,             20026929,,,              7028330,                227397,                170648,                139800,                    212,                              0,                  4734,              7571121,,              5005650,              3737786,,              8044694,             16788130,,,               -299989,,              1567345,              1267356,                321563,             45331973,              3848095,             49180068,             81543111,              0,              0,     22443022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2014年03月31日,,,,             14511064,,                250214,,                990364,,                103935,,              1122650,,                 55880,,              8751460,,                686435,                952546,,                244436,,                531665,,             11111906,,                445143,,                              0,,              1030554,             40788252,,,             11699901,,              5262188,,             14769644,,              2336936,,                315366,              1202185,,              1771782,             37358002,             78146254,,,,,              2772428,,                    169,,                132854,,                  3589,,              7160780,,                168704,                256479,,              4252722,                743722,,                232985,,              3373012,             19097444,,,              1470000,,              4431884,,                179511,,              1820557,,              2092965,              9994917,             29092361,,,,             20015244,                 11685,             20026929,,,              7028330,                227397,                132449,                139800,                    212,                              0,                  4734,              7532922,,              4629663,              3737786,,              9153494,             17520943,,,                -61544,,                333961,                272417,                321563,             45031648,              4022245,             49053893,             78146254,              0,      1168528,     22443022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,2013年12月31日,,,,,,                348455,,                984570,,,,              1124336,,                 38865,,              8695223,,                575626,                879132,,                203041,,                397370,,             11193424,,                369807,,                 58662,,                959643,             40843355,,,             10779025,,              5019511,,             15132587,,              2299151,,                320236,              1358641,,              1137547,             36046698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     38055514,     22443022,             14908571,                106630,             76890053,,,,              2916614,,                  1476,,                352872,,                 16923,,              7558564,,                 79410,                243436,,              4639317,                510856,,                274428,,              3389880,             19983776,,,              1475700,,              4498266,,                165929,,              1911053,,              2131355,             10182303,             30166079,,,,             19646374,                380555,             20026929,,,              7028330,                227397,                 79846,                139800,                    212,                              0,                 17595,              7493180,,              4629663,              3737786,,              8238933,             16606382,,,               -312141,,               -629353,               -941494,                321563,             42863434,              3860540,             46723974,,
1504,2013年09月30日,,,,,,                315913,,                858261,,,,              1174813,,                  9341,,              8656348,,                873404,                990015,,                238469,,                382980,,             11334128,,                519629,,                 74877,,                765865,             40697805,,,             10635308,,              4751457,,             15349657,,              2141362,,                 95960,              1219078,,              1088338,             35281160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     75991800,     22443022,             14356932,                146830,             75978965,,,,              2724716,,                  2170,,                178169,,                 11543,,              8347065,,                133642,                312258,,              4239181,                393467,,                262254,,              2852737,             19457202,,,              2034378,,              5899813,,                101680,,              1886799,,              2708932,             12631602,             32088804,,,,             18936796,                759918,             19696714,,,              6703721,                227397,                              0,                139800,                              0,                 21954,                  4734,              7097606,,              4629663,              3737786,,              7375473,             15742922,,,               -337781,,             -1101472,             -1439253,                321563,             40776426,              3113735,             43890161,,
1504,2013年06月30日,,,,,,                246794,,                691420,,,,              1408848,,                 37554,,              9318889,,                675422,              1065039,,                163409,,                309032,,             11075559,,                570978,,                 75302,,                560849,             40785796,,,             10670283,,              4731863,,             15537303,,              2175588,,                 99200,              1231265,,                998374,             35443876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     49376800,     22365800,             14423676,                163025,             76229672,,,,              3006558,,                    500,,                183831,,                  6424,,              8673861,,                183038,                207387,,              5704072,                379671,,                331869,,              2831583,             21508794,,,              2965641,,              5078119,,                 91574,,              1924986,,              2731526,             12791846,             34300640,,,,             18727172,                493768,             19220940,,,              6198601,                227397,                              0,                139800,                              0,                 56848,                  4762,              6627408,,              4629663,              3737786,,              6337875,             14705324,,,               -110776,,             -1200757,             -1311533,                320839,             38921300,              3007732,             41929032,,
