證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 存入保證金,　　　　　 待分配股票股利,　　　　 本期所得稅負債,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 其他金融資產－流動,　　　　 待分配股票股利,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 營建用地,　　　　　 在建房地,　　　　　 預付土地款,　　　　　 存貨（建設業適用）淨額,　　　　 工程存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
1453,2015年09月30日,,,,                 28367,,                 19099,,                 87333,,                  1337,,                  1974,,                    272,,                543654,,                 43357,                 43357,                725393,,,                 48000,,                317710,,                 30621,                  6413,,                 11769,                414513,              1139906,,,,,                 30000,,                 15000,,                    202,,                  7965,,                  8946,                  1124,,,                  6663,                  1574,                  8237,                 71474,,,                 54850,,                     60,                 54910,                126384,,,,                879164,                879164,,                  2762,,                 22585,                 58681,,                 44673,                125939,,                 -6755,                              0,              1001110,                 12412,              1013522,              1139906,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,2015年06月30日,,,,                 15561,,                 19673,,                105164,,                  3340,,                  2259,,                    203,,                550011,,                 41694,                 41694,                737905,,,                 48000,,                316971,,                 30800,                  5878,,                 11552,                413201,              1151106,,,,,                  9000,,                 10000,,                    260,,                 21034,,                 14769,                  1124,,,                  6663,                  1868,                  8531,                 64718,,,                 54850,,                     60,                 54910,                119628,,,,                879164,                879164,,                  2762,,                 22585,                 58681,,                 53993,                135259,,                  2039,                              0,              1019224,                 12254,              1031478,              1151106,              0,              0,                     60,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,2015年03月31日,,,,                 12075,,                 20680,,                 61405,,                  9439,,                  6903,,                    103,,                677193,,                121548,                121548,                909346,,,                 48000,,                317838,,                 30983,                  5414,,                 11721,                413956,              1323302,,,,,                178169,,                 30000,,                  7235,,                  6749,,                  7297,                  1124,,,                 92592,                  2689,                 95281,                325855,,,                 54850,,                     60,                 54910,                380765,,,,                879164,                879164,,                  2762,,                 22585,                 58681,,                -34903,                 46363,,                  1554,                              0,                929843,                 12694,                942537,              1323302,              0,              0,                     60,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,2014年12月31日,,,,                 20949,,                 20050,,                 50341,,                  2314,,                 14537,,                    224,,                654853,,                118476,                118476,                881744,,,                 48000,,                317508,,                 31167,                  6648,,                 11928,                415251,              1296995,,,,,                161494,,                 30000,,                  8103,,                 12303,,                 10886,                  1124,,,                 58772,                  1147,                 59919,                283829,,,                 54850,,                     60,                 54910,                338739,,,,                879164,                879164,,                  2762,,                 22585,                 58681,,                -18024,                 63242,,                    595,                              0,                945763,                 12493,                958256,              1296995,              0,              0,                     60,                              0,                              0,                 20949,              1296995,,,,                161494,,                 30000,,                  8103,,                 12303,,                 10886,                  1124,                              0,,,                 58772,                  1147,                 59919,                283829,,,                 54850,,                     60,                     60,                 54910,                338739,,,,                879164,                879164,,                  2762,,                 22585,                 58681,,                -18024,                 63242,,                    595,                              0,                945763,                 12493,                958256,              0,,,,,,,,,,,,,,,,,
1453,2014年09月30日,,,,                 11944,,                 19649,,                103899,,                 19790,,                 24599,,                    281,,                467088,,                113549,                113549,                760799,,,                 48000,,                319567,,                 31350,                  8223,,                 11823,                418963,              1179762,,,,,                 15157,,                 10000,,                 10102,,                 41430,,                 13556,                  1124,,,                 56259,                  1153,                 57412,                148781,,,                 54850,,                     60,                 54910,                203691,,,,                879164,                879164,,                  2802,,                 22585,                 58681,,                 -3830,                 77436,,                  4200,                              0,                963602,                 12469,                976071,              1179762,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,2014年06月30日,,,,                 14094,,                 19086,,                192148,,                 13837,,                  9034,,                    530,,                367100,,                111308,                111308,                727137,,,                 48000,,                315342,,                 31534,                 11778,,                 11648,                418302,              1145439,,,,,                 23667,,                 10000,,                  5767,,                  6792,,                 10743,                  1124,,,                 58424,                  1553,                 59977,                118070,,,                 54850,,                     60,                 54910,                172980,,,,                838040,                879164,,                    405,,                 22585,                 58681,,                  7610,                 88876,,                  4614,                 13241,                959818,                 12641,                972459,              1145439,              0,      1556000,                     60,                 41124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,2014年03月31日,,,,                 16664,,                 19095,,                203287,,                  6521,,                  5062,,                    378,,                340140,,                117377,                117377,                708524,,,                 48000,,                317379,,                 31717,                 10369,,                 11779,                419244,              1127768,,,,,                  5186,,                  5000,,                  1434,,                  5975,,                 10275,                  1124,,,                 49674,                    973,                 50647,                 84179,,,                 54850,,                     60,                 54910,                139089,,,,                838040,                838040,,                    405,,                 20626,                 58681,,                 67656,                146963,,                  3852,                 13241,                976019,                 12660,                988679,              1127768,              0,      1556000,                     60,,                  4538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453,2013年12月31日,,,,,,                 16749,,                222444,,                  3520,,                 11000,,                    235,,                344471,,                107476,                107476,                731803,,,                 48000,,                317613,,                 31901,                  8997,,                 11910,                418421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1556000,,,,                 25908,              1150224,,,,                  5712,,                  4990,,                  8224,,                  6284,,                 13215,                  1124,                  4538,,,                 55116,                  1766,                 56882,                100969,,,                 54850,,                     60,                     60,                 54910,                155879,,,,                838040,                838040,,                    405,,                 20626,                 58681,,                 71702,                151009,,                  5411,                 13241,                981624,                 12721,                994345,              0,,,,,,,,,,,,,,,,,
1453,2013年09月30日,,,,,,                 19042,,                224501,,                  7248,,                 13249,,,,                341722,,                 22916,                 55360,                695112,,,                 48000,,                319370,,                 32084,                  8453,,                 12066,                419973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1556000,,,,                 33990,              1115085,,,,                  6134,,                  4989,,                 15036,,                  4018,,                 15052,                  1124,                  3851,,,                 43366,                  2483,                 45849,                 96053,,,                 54850,,                    100,                    100,                 54950,                151003,,,,                773606,                838040,,                    405,,                 20626,                 58681,,                 45246,                124553,,                  1710,                 13241,                951467,                 12615,                964082,              0,                 32444,                 64434,,,,,,,,,,,,,,,
1453,2013年06月30日,,,,,,                 18973,,                216330,,                 13915,,                 18859,,,,                332229,,                 18918,                 18918,                642470,,,                 48000,,                319975,,                 32268,                  7616,,                 12243,                420102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1556000,,,,                 23246,              1062572,,,,                              0,,                  5000,,                  6337,,                  3125,,                 15481,                  1124,                              0,,,,                  2469,                  2469,                 33536,,,                 54850,,                     40,                     40,                 54890,                 88426,,,,                773606,                773606,,                    405,,                  8424,                 58681,,                133514,                200619,,                      8,                 13241,                961397,                 12749,                974146,              0,                              0,                              0,,                    405,,,,,,,,,,,,,
