證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額
4164,2015年09月30日,,,,                696393,,                 71690,,                117060,,                708344,,                 52242,,                    552,,                  1556,,                  7167,,                437130,,                133237,,                  4156,              2229527,,,                304440,,              4619284,,              1163400,,                161746,                 36527,,                843276,              7128673,              9358200,,,,,              1303007,,                              0,,                 52776,,                 72624,,                 12846,,                 63684,                 24730,,                 22277,,                257780,              1809724,,,                              0,,              2523704,,                 13631,,                 45229,,                 41322,              2623886,              4433610,,,,              1304098,              1304098,,,              2329159,                    173,                 65108,                              0,              2394440,,                206661,                  5519,,                664411,                876591,,,                 16471,,                -67914,                -51443,              4523686,                400904,              4924590,              9358200,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164,2015年06月30日,,,,                719628,,                 79707,,                146103,,                648610,,                 35027,,                 10961,,                    758,,                  3050,,                494621,,                118786,,                 13873,              2271124,,,                282903,,              4699470,,              1165982,,                161746,                 46073,,                828182,              7184356,              9455480,,,,,              1696090,,                 28600,,                 50221,,                 87873,,                 12375,,                325441,                 42808,,                 20586,,                214944,              2478938,,,                974487,,              1088393,,                 16280,,                 43140,,                 35592,              2157892,              4636830,,,,              1303833,              1303833,,,              2268882,,                 62881,                 57700,              2389463,,                206661,                  5519,,                596863,                809043,,,                  6242,,                -86867,                -80625,              4421714,                396936,              4818650,              9455480,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164,2015年03月31日,,,,                755270,,                105515,,                120761,,                452289,,                 26221,,                    599,,                 20051,,                 13190,,                575605,,                143605,,                 23888,              2236994,,,                285204,,              4693479,,              1168566,,                161746,                 38387,,                830131,              7177513,              9414507,,,,,              1782991,,                 13300,,                 60965,,                 80930,,                  4945,,                 53473,                 44186,,                 13014,,                222711,              2276515,,,                968600,,              1094511,,                 12509,,                 48337,,                 39200,              2163157,              4439672,,,,              1303733,              1303733,,,              2268086,,                 59175,                 57700,              2384961,,                180084,,,                788579,                968663,,,                  9517,,                -84842,                -75325,              4582032,                392803,              4974835,              9414507,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164,2014年12月31日,,,,                558333,,                104661,,                  3365,,                600770,,                  1750,,                    123,,                              0,,                 13172,,                401576,,                107602,,                 22053,              1813405,,,                361153,,              4671616,,                              0,,                 11129,                 15379,,                738698,              5797975,              7611380,,,,,                650563,,                 10500,,                 22966,,                 89810,,                 10228,,                 63398,                 32984,,                 14414,,                178342,              1073205,,,                962714,,                850921,,                 13966,,                  5025,,                 15005,              1847631,              2920836,,,,              1303460,              1303460,,,              2265915,                              0,                 56302,                 57700,              2379917,,                180084,                              0,,                828829,              1008913,,,                 12487,,                -18007,                 -5520,              4686770,                  3774,              4690544,              7611380,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164,2014年09月30日,,,,                557917,,                 85455,,                    298,,                383081,,                  4649,,                  1650,,                              0,,                 17043,,                514502,,                120390,,                 26673,              1711658,,,                402074,,              4570197,,                              0,,                 11129,                 17783,,                859169,              5860352,              7572010,,,,,                850464,,                 10700,,                 40895,,                 34466,,                              0,,                 34948,                  9941,,                 12078,,                133406,              1126898,,,                956825,,                816259,,                  7094,,                 10555,,                 18317,              1809050,              2935948,,,,              1302643,              1302643,,,              2259406,                              0,                 53236,                 57700,              2370342,,                180084,                              0,,                721624,                901708,,,                  4816,,                 52324,                 57140,              4631833,                  4229,              4636062,              7572010,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164,2014年06月30日,,,,                623324,,                 86217,,                     39,,                494158,,                  2745,,                    143,,                              0,,                 12104,,                460517,,                142957,,                 18299,              1840503,,,                453221,,              4632132,,                              0,,                 11129,                 12983,,                739810,              5849275,              7689778,,,,,                729978,,                              0,,                 31492,,                 76156,,                              0,,                301139,                 27708,,                 13417,,                115641,              1295531,,,                950938,,                770079,,                  7872,,                  2286,,                 21678,              1757553,              3053084,,,,              1300000,              1300000,,,              2238362,,                 58807,                 57700,              2354869,,                180084,                              0,,                684772,                864856,,,                   -703,,                113006,                112303,              4632028,                  4666,              4636694,              7689778,              0,              0,              0,,                  4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164,2014年03月31日,,,,                770105,,                 82843,,                              0,,                427886,,                  1050,,                  1655,,                              0,,                 12635,,                319155,,                139379,,                172700,              1927408,,,                 40837,,              4507728,,                              0,,                 11129,                 17136,,                710228,              5287058,              7214466,,,,,                689691,,                              0,,                 33946,,                 30544,,                              0,,                 46630,                 60844,,                 12408,,                148551,              1022619,,,                945050,,                497157,,                  8644,,                  2803,,                 22560,              1484914,              2507533,,,,              1300000,              1300000,,,              2238362,,                 51632,                 57700,              2347694,,                150398,,,                889075,              1039473,,,                  1820,,                 12622,                 14442,              4701609,                  5324,              4706933,              7214466,              0,              0,              0,,                  8700,,                      5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164,2013年12月31日,,,,,,                 80337,,,,                514335,,,,                    418,,,,,,                374227,,                144646,,                124343,              1955768,,,                 39802,,              3865894,,,,                 11129,                 12500,,                989268,              4918593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                704620,                 12842,              6874361,,,,                723917,,                              0,,                 37870,,                127410,,                 56994,                 46435,,                 12895,,                 92731,              1098252,,,                  9500,,                939163,,                126390,,                  9409,,                  2869,,                 25663,              1112994,              2211246,,,,              1300000,              1300000,,,              2238362,                 44457,                 57700,              2340519,,                150398,,                852749,              1003147,,,                  2115,,                 11587,                 13702,              4657368,                  5747,              4663115,,
4164,2013年09月30日,,,,,,                 82130,,,,                543178,,,,                    277,,,,,,                308371,,                157745,,                 34812,              2514515,,,                 28215,,              4014333,,,,                 11129,                 12580,,                446980,              4513237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1374950,                 13052,              7027752,,,,                632099,,                              0,,                 29021,,                 34349,,                 48026,                 21542,,                 10177,,                204067,                979281,,,                  4500,,                933275,,                507709,,                 10168,,                  2642,,                 29079,              1487373,              2466654,,,,              1300000,              1300000,,,              2238362,                 38535,                 57700,              2334597,,                150398,,                769586,                919984,,,                   -352,,                              0,                   -352,              4554229,                  6869,              4561098,,
4164,2013年06月30日,,,,,,                 95332,,,,                406589,,,,                    296,,,,,,                548969,,                172979,,                 59556,              2253999,,,                              0,,              3865047,,,,                 11129,                 13281,,                435637,              4325094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                968325,                  1953,              6579093,,,,                453249,,,,                 29077,,                241341,,                396519,                 24247,,                  9093,,                596358,              1749884,,,                              0,,                              0,,              1212318,,                 10621,,                  3536,,                 32449,              1258924,              3008808,,,,              1200000,              1200000,,,              1531623,                 29672,                              0,              1561295,,                150398,,                648789,                799187,,,                  1077,,                              0,                  1077,              3561559,                  8726,              3570285,,
