證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期應付票據及款項－關係人,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項－關係人,　　　　　　 長期應付票據及款項－關係人合計,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期應付票據及款項－關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 庫藏股票
1468,2015年09月30日,,,,                232405,,                    205,,                    340,,                 46817,,                 16403,,                  2168,,                  1345,,                836783,,                 18110,,                 69650,              1224226,,,                  6500,,                 68318,,                999897,,                 26177,,,                  1350,                  7663,                  9013,                 81058,,                  7119,                 32319,,                  7704,                 47142,              1238105,              2462331,,,,,                322760,,                 33261,,                              0,,                 33293,,                 12346,,                 20381,                 82379,,,                 14600,                 37428,                 52028,                 21630,                 73658,                578078,,,                477400,,                 80843,,,                126547,                    358,                126905,                685148,              1263226,,,,              1604053,              1604053,,                 26753,,                137037,,               -690436,               -553399,,                 74149,              1151556,                 47549,              1199105,              2462331,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,2015年06月30日,,,,                220281,,                              0,,                    680,,                 61962,,                 38001,,                    514,,                  1314,,                846336,,                 22598,,                 71002,              1262688,,,                  6500,,                 68644,,              1003079,,                 26263,,,                  1550,                  7486,                  9036,                 81058,,                  7046,                 31787,,                  8146,                 46979,              1241559,              2504247,,,,,                259720,,                 41975,,                    322,,                 53526,,                 12734,,                 17565,                 80091,,,                 13100,                106118,                119218,                 26465,                145683,                611616,,,                481300,,                 80211,,,                118813,                    358,                119171,                680682,              1292298,,,,              1604053,              1604053,,                 26753,,                137037,,               -677500,               -540463,,                 71066,              1161409,                 50540,              1211949,              2504247,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,2015年03月31日,,,,                165955,,                              0,,                  1021,,                 63538,,                 12631,,                  2446,,                  1326,,                875007,,                 12792,,                 67493,              1202209,,,                  6500,,                 40407,,              1021237,,                 26348,,,                  1750,                  7557,                  9307,                 81058,,                  6963,                 32306,,                  8798,                 48067,              1232924,              2435133,,,,,                195612,,                 18665,,                      6,,                 53679,,                  9796,,                 20247,                 79153,,,                 11600,                107631,                119231,                 23001,                142232,                519390,,,                485200,,                 80512,,,                120502,                    358,                120860,                686572,              1205962,,,,              1604053,              1604053,,                 26753,,                137037,,               -662390,               -525353,,                 72511,              1177964,                 51207,              1229171,              2435133,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,2014年12月31日,,,,                194242,,                  1115,,                  1361,,                 51526,,                  5564,,                  3090,,                    961,,                900530,,                 10461,,                 68620,              1237470,,,                  6500,,                 40497,,              1042573,,                 26434,,,                  1950,                  7670,                  9620,                 81058,,                  6876,                 33012,,                  9493,                 49381,              1256063,              2493533,,,,,                239587,,                 27444,,                              0,,                 36780,,                  8484,,                 21398,                 78907,,,                 10100,                108834,                118934,                 27300,                146234,                558834,,,                489100,,                 80972,,,                121849,                    358,                122207,                692279,              1251113,,,,              1604053,              1604053,,                 26753,,                137037,,               -654357,               -517320,,                 74613,              1188099,                 54321,              1242420,              2493533,              0,              0,                194242,                  6876,              2493533,,,,                239587,,                 27444,,                 36780,,                  8484,,                 21398,                 78907,,,                 10100,                108834,                118934,                 27300,                146234,                558834,,,                489100,,                 80972,,,                121849,                    358,                122207,                692279,              1251113,,,,              1604053,              1604053,,                 26753,,                137037,,               -654357,               -517320,,                 74613,              1188099,                 54321,              1242420,              0,,,,,,,,,,
1468,2014年09月30日,,,,                 71949,,                    331,,                    340,,                 70825,,                  4443,,                 11166,,                  1287,,                911210,,                 30029,,                 67478,              1169058,,,                  6500,,                 40805,,              1022965,,                 26520,,,                  2150,                  7332,                  9482,                 80453,,                  9689,                 31766,,                 18736,                 60191,              1246916,              2415974,,,,,                360283,,                 39333,,                    351,,                 27151,,                 11559,,                 25184,                 76526,,,                  9600,                100041,                109641,                 45865,                155506,                695893,,,                260800,,                 79551,,,                117099,                    358,                117457,                457808,              1153701,,,,              1604053,              1604053,,                 26753,,                137037,,               -630946,               -493909,,                 67778,              1204675,                 57598,              1262273,              2415974,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,2014年06月30日,,,,                 43924,,                  1284,,                    680,,                 96741,,                 20938,,                  9948,,                  1263,,                915565,,                 21045,,                 67445,              1178833,,,                  6500,,                 40916,,              1027803,,                 26605,,,                  2350,                  7198,                  9548,                 80453,,                  9598,                 31392,,                 18859,                 59849,              1251674,              2430507,,,,,                330809,,                 12719,,                              0,,                 66061,,                 10642,,                 23679,                 72456,,,                  9600,                 53757,                 63357,                 74518,                137875,                654241,,,                263200,,                 78892,,,                159437,                    343,                159780,                501872,              1156113,,,,              1604053,              1604053,,                 26753,,                137037,,               -617632,               -480595,,                 64678,              1214889,                 59505,              1274394,              2430507,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,2014年03月31日,,,,                 98726,,                    542,,                  1021,,                124001,,                 26112,,                 10528,,                    931,,                914602,,                 14320,,                 66461,              1257244,,,                  6500,,                 41024,,              1052348,,                 26708,,,                  2550,                  7345,                  9895,                 80453,,                  9492,                 32242,,                 19648,                 61382,              1278310,              2535554,,,,,                393337,,                 28973,,                              0,,                 63859,,                 24237,,                 26290,                 66946,,,                  9600,                 54846,                 64446,                 77010,                141456,                745098,,,                265600,,                 79636,,,                162667,                    343,                163010,                508246,              1253344,,,,              1604053,              1604053,,                 26753,,                137037,,               -611139,               -474102,,                 68312,              1225016,                 57194,              1282210,              2535554,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,2013年12月31日,,,,,,                  2276,,                              0,,                 54399,,                 18423,,                 11353,,                    282,,                926141,,                 15327,,                 72805,              1178569,,,                  6500,,                 41242,,              1079107,,                  4082,,,                  2753,                  7250,                 10003,                 80453,,,                 32032,,                 23207,                 64627,              1286014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                 77563,                  9388,              2464583,,,,                353001,,                 39860,,                 41566,,                 16847,,                 32976,                 64363,,,                  9600,                 53649,                 63249,                 45185,                108434,                657047,,,                268000,,                 79145,,,                159114,                    343,                159457,                506602,              1163649,,,,              1604053,              1604053,,                 26753,,                137037,,               -593694,               -456657,,                 65915,              1240064,                 60870,              1300934,              0,,                              0,                              0,,                 26753,,                              0,,,
1468,2013年09月30日,,,,,,                              0,,                              0,,                 70301,,                    493,,                 10147,,                              0,,                868258,,                 18649,,                 73641,              1191781,,,                  8000,,                 41594,,              1087192,,                  4117,,,                  2958,                  7133,                 10091,                 80575,,,                 31720,,                 16693,                 48413,              1279982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                150292,                              0,              2471763,,,,                363631,,                 53338,,                 53474,,                  8533,,                 27054,                 60531,,,                  9600,                195751,                205351,                 37683,                243034,                810010,,,                270400,,                 78523,,,                 30122,                    343,                 32990,                381913,              1191923,,,,              1604053,              1604053,,                 26753,,                137037,,               -607136,               -470099,,                 62839,              1223546,                 56294,              1279840,              0,,                    415,                  2525,,                 26753,,,,,
1468,2013年06月30日,,,,,,                    367,,                              0,,                 90329,,                  7393,,                  9552,,                              0,,                869582,,                 17702,,                 71575,              1237005,,,                  8000,,                 41583,,              1102202,,                  4151,,,                  3187,                  7201,                 10388,                 80575,,,                 32228,,                  7782,                 40010,              1286909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                170505,                              0,              2523914,,,,                367071,,                 43724,,                 57929,,                 10135,,                 33186,                 57694,,,                  9600,                115497,                125097,                 50177,                175274,                745013,,,                272800,,                 78829,,,                 98660,                    343,                101610,                453239,              1198252,,,,              1604053,              1604053,,                 26753,,                137037,,               -563756,               -426719,,                 64313,              1268400,                 57262,              1325662,              0,,,                  2607,,                 26753,,,,,
