證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付投資款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－其他,　　　　 法定盈餘公積,　　　　 重估增值,　　　　　 重估增值合計
3024,2015年09月30日,,,,                612726,,                 72704,,                  9867,,                754999,,                119857,,                  8951,,                868476,,                147111,,                 55960,              2650651,,,                150532,,                 17023,,                919084,,              1060352,,                297796,                 57078,,                              0,,                217431,                217431,              2719296,              5369947,,,,,              1666712,,                 11874,,                596160,,                329205,                  6135,,                 18699,,                 68365,              2697150,,,                 40811,,                130623,,                105052,                276486,              2973636,,,,              2821575,              2821575,,                103588,,                204418,,               -771204,               -566786,,                 73768,                 36797,              2395348,                              0,                    963,              2396311,              5369947,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,2015年06月30日,,,,                720517,,                 36045,,                  5854,,                966567,,                115529,,                 28347,,              1003981,,                 89297,,                 59421,              3025558,,,                150532,,                 17590,,                930857,,                963001,,                299938,                 53871,,                344672,,                191463,                536135,              2951924,              5977482,,,,,              1420883,,                 25800,,                834052,,                330737,                  8358,,                 20391,,                 66367,              2706588,,,                 41265,,                126075,,                104302,                271642,              2978230,,,,              2821575,              2821575,,                 44959,,                204418,,               -675799,               -471381,,                  4695,                 36797,              2363051,,                636201,              2999252,              5977482,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,2015年03月31日,,,,                704174,,                107638,,                  8399,,                696560,,                119877,,                 29988,,              1008094,,                100761,,                 43120,              2818611,,,                150532,,                 18055,,                954294,,                977852,,                302095,                 54369,,                557406,,                194229,                751635,              3208832,              6027443,,,,,              1545235,,                  2051,,                673435,,                321118,                  4981,,                 20952,,                 82509,              2650281,,,                 39101,,                134489,,                106741,                280331,              2930612,,,,              2821575,              2821575,,                 43755,,                204418,,               -635774,               -431356,,                 30057,                 36797,              2427234,,                669597,              3096831,              6027443,              0,      5000000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,2014年12月31日,,,,                891197,,                119999,,                  6934,,              1316458,,                131948,,                 29003,,                905235,,                101623,,                 62505,              3564902,,,                150532,,                 18137,,                989583,,                959199,,                304311,                 54126,,                              0,,                197074,                197074,              2672962,              6237864,,,,,              1250449,,                  7459,,              1019579,,                394361,                  3725,,                 23642,,                 48552,              2747767,,,                 41965,,                143968,,                109548,                295481,              3043248,,,,              2821575,              2821575,,                 43755,,                204418,,               -586031,               -381613,,                 54154,                 36797,              2501074,                              0,                693542,              3194616,              6237864,              0,      5000000,              0,                891197,                 29003,              6237864,,,,              1250449,,                  7459,,              1019579,,                394361,                  3725,,                 23642,,                 48552,              2747767,,,                              0,,                 41965,,                143968,,                109548,                295481,              3043248,,,,              2821575,              2821575,,                 43755,,                204418,,               -586031,               -381613,,                 54154,                 36797,              2501074,                693542,              3194616,,,,,,,,,,,,
3024,2014年09月30日,,,,                950390,,                189410,,                 11567,,                915869,,                223814,,                 28585,,                989388,,                123027,,                 34278,              3466328,,,                160977,,                  1591,,                987206,,                904879,,                316883,                 58899,,                              0,,                194866,                194866,              2625301,              6091629,,,,,              1288931,,                 11530,,                672575,,                388793,                 17617,,                 20140,,                 88210,              2487796,,,                 77684,,                136749,,                 95084,                309517,              2797313,,,,              2821575,              2821575,,                 44690,,                204418,,               -398137,               -193719,,                    955,                 36797,              2636704,                              0,                657612,              3294316,              6091629,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,2014年06月30日,,,,                795404,,                261598,,                 11327,,                873673,,                260698,,                 40998,,              1013853,,                 89587,,                163723,              3510861,,,                160856,,                  1591,,                982746,,                892154,,                320877,                 61882,,                              0,,                207015,                207015,              2627121,              6137982,,,,,              1408129,,                 17975,,                664543,,                376271,                 14438,,                 54104,,                 50098,              2585558,,,                 63712,,                128041,,                100361,                292114,              2877672,,,,              2821575,              2821575,,                 41467,,                204418,,               -385303,               -180885,,                -38271,                 36797,              2607089,,                653221,              3260310,              6137982,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,2014年03月31日,,,,              1153245,,                202408,,                  3530,,                612692,,                243786,,                 47992,,              1095108,,                 75413,,                227993,              3662167,,,                160988,,                  1591,,              1019068,,                907906,,                325446,                 63313,,                              0,,                197808,                197808,              2676120,              6338287,,,,,              1601975,,                  7591,,                465454,,                406415,                 11785,,                 82925,,                 37456,              2613601,,,                 66505,,                133380,,                 93233,                293118,              2906719,,,,              2821575,              2821575,,                 87908,,                204418,,               -436645,               -232227,,                -11818,                 36797,              2628641,,                802927,              3431568,              6338287,              0,      5000000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,2013年12月31日,,,,,,                 31089,,                 10348,,              1020480,,                239919,,,,                953412,,                 90730,,                513466,              4331749,,,                160843,,                  1591,,              1060251,,                773002,,                331280,                 66177,,,,,                189349,              2582493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,              0,              1422690,                 49615,              6914242,,,,              1924103,,                  9067,,                557512,,                392449,                 14591,,                 87897,,                 51671,              3037290,,,                  7870,,                 78304,,                130599,,                135246,                352019,              3389309,,,,              2821575,              2821575,,                 87908,,                204418,,               -357570,               -153152,,                -18702,                 36797,              2700832,                824101,              3524933,                 87908,                              0,                              0,,                -18702,,,,,,,
3024,2013年09月30日,,,,,,                 41088,,                 22468,,                922094,,                165587,,,,              1054163,,                 88119,,                315244,              4239119,,,                189348,,                  1591,,              1084434,,                602991,,                331852,                 35683,,,,,                181440,              2427339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,              0,              1583307,                 47049,              6666458,,,,              1455078,,                 37170,,                626101,,                397207,                              0,,                 95412,,                 43604,              2654572,,,                  8339,,                 75993,,                 99945,,                153433,                337710,              2992282,,,,              2821575,              2821575,,                 87908,,                204418,,               -198100,                  6318,,                -19513,                 36797,              2859491,                814685,              3674176,,,,,,,,,,,,
3024,2013年06月30日,,,,,,                105489,,                  6227,,                804587,,                164458,,,,              1147722,,                 87069,,                351628,              4597709,,,                239627,,                  1591,,              1101229,,                515474,,                336041,                 54474,,,,,                203686,              2452122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,              0,              1883524,                 47005,              7049831,,,,              1398933,,                 80216,,                771882,,                376194,                              0,,                109515,,                 48419,              2785159,,,                  8960,,                 99487,,                109932,,                164691,                383070,              3168229,,,,              2821575,              2821575,,                 87908,,                204418,,                -50317,                154101,,                  2092,                 36797,              3028879,                852723,              3881602,                 87908,                              0,                              0,,                  2092,,,,,,,
3024,2013年03月31日,,,,              2150432,,                 93834,,                  4199,,              1223644,,                 96498,,,,                923092,,                 83072,,                117535,              4717995,,,                239514,,                  1591,,              1102745,,                500619,,                340138,                 72969,,,,,                198890,              2456466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,,,                 25689,              7174461,,,,              1629192,,                  5409,,                548543,,                408942,                              0,,                131175,,                 55292,              2778553,,,                  9439,,                 82741,,                142230,,                163695,                398105,              3176658,,,,              2821575,              2821575,,                215666,,                204418,,                -52500,                151918,,                -27519,                 36797,              3124843,                872960,              3997803,                 87908,,,,                -27519,,                127758,,                              0,                              0,,
3024,2012年12月31日,,,,              1981209,,                116151,,                  5533,,              1929411,,                186728,,,,                912758,,                 77367,,                110877,              5336672,,,                239003,,                  2091,,              1130866,,                446789,,                343521,                 68826,,,,,                174740,              2405836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4726000,,,                 16638,              7742508,,,,              1832694,,                  3839,,                804664,,                499297,                              0,,                123634,,                 46407,              3310535,,,                  9651,,                103375,,                137506,,                160504,                411036,              3721571,,,,              2821575,              2821575,,                215666,,                204418,,                 25858,                230276,,                -58836,                 34799,              3173882,                847055,              4020937,                 87908,,,,                -58836,,                127758,                              0,                              0,                              0,,
3024,2012年09月30日,,,,              2552900,,                180125,,                  1548,,              1385797,,                111753,,,,              1368732,,                177075,,                187719,              5965649,,,                239169,,                  2091,,              1286321,,                161143,,                346529,                 40972,,,,,                196813,              2273038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,,,                              0,              8238687,,,,              1867422,,                  1487,,              1094038,,                435687,                 15419,,                144910,,                 63767,              3622730,,,                 45702,,                141088,,                 88284,,                 86776,                361850,              3984580,,,,              2871575,              2871575,,                208242,,                204418,,                229876,                434294,,                -88267,                 42577,              3383267,                870840,              4254107,                 80484,,,,                -88267,,                127758,                              0,                              0,                              0,,
3024,2012年06月30日,,,,              2648179,,                167872,,                 18007,,              1202524,,                149163,,,,              1227580,,                165165,,                 95121,              5673611,,,                239550,,                  2091,,              1329143,,                164128,,                354534,                 48790,,,,,                204157,              2342393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,,,                              0,              8016004,,,,              1815394,,                  1632,,                834690,,                388906,                  4494,,                176768,,                 74027,              3295911,,,                 56436,,                135687,,                104127,,                 91298,                387548,              3683459,,,,              2871575,              2871575,,                208242,,                204418,,                266171,                470589,,                -43335,                 42577,              3464494,                868051,              4332545,                 80484,,,,                -43335,,                127758,                              0,                              0,                              0,,                              0
3024,2012年03月31日,,,,              2591316,,                178284,,                    218,,                792782,,                 79042,,,,              1403659,,                166409,,                 15813,              5227523,,,                239308,,                  2091,,              1539560,,                165039,,                 47247,                 66475,,,,,                233900,              2293620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,,,                              0,              7521143,,,,              1346944,,                  8061,,                769138,,                401989,                              0,,                179650,,                288754,              2994536,,,                 11272,,                141951,,                126378,,                 79561,                359162,              3353698,,,,              2871575,              2871575,,                383547,,                204418,,                -98797,                138743,,                -31433,                 42577,              3319855,                847590,              4167445,                 80484,,,,                -31433,,                284578,,                 18485,                 33122,,
3024,2012年01月01日,,,,              3205861,,                 86082,,                 26551,,              1532941,,                128755,,,,              1371311,,                156992,,                191898,              6700391,,,                239806,,                  2091,,              1630431,,                169173,,                 48084,                 89200,,,,,                203122,              2381907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     24742000,,,                              0,              9082298,,,,              2515104,,                  6759,,                847720,,                475204,                 23947,,                173093,,                279634,              4321461,,,                 12019,,                155989,,                174485,,                 85091,                427584,              4749045,,,,              3071575,              3071575,,                356924,,                204418,,                -33122,                204418,,                              0,                213517,              3419400,                913853,              4333253,                 53861,,,,                              0,,                284578,                              0,                 18485,                 33122,,
