證券代號,年季,　 資產,　　 現金及約當現金,　　 存放央行及拆借金融同業,　　 透過損益按公允價值衡量之金融資產,　　 備供出售金融資產－淨額,　　 避險之衍生金融資產,　　 附賣回票券及債券投資,　　 應收款項－淨額,　　　 應收款項－淨額,　　 當期所得稅資產,　　　 本期所得稅資產合計,　　 待出售資產－淨額,　　　 待出售資產－淨額,　　 貼現及放款－淨額,　　 再保險合約資產－淨額,　　 持有至到期日金融資產－淨額,　　 採用權益法之投資－淨額,　　 其他金融資產－淨額,　　　 其他金融資產－淨額,　　 投資性不動產－淨額,　　　 投資性不動產－淨額,　　 不動產及設備－淨額,　　 無形資產－淨額,　　 遞延所得稅資產,　　 其他資產－淨額,　　　 其他資產－淨額,　　 資產總計,　 負債及權益 ,　　 負債,　　　 央行及金融同業存款,　　　 央行及同業融資,　　　 透過損益按公允價值衡量之金融負債,　　　 避險之衍生金融負債,　　　 附買回票券及債券負債,　　　 應付商業本票－淨額,　　　 應付款項,　　　　 應付款項合計,　　　 本期所得稅負債,　　　 存款及匯款,　　　 應付債券,　　　 負債準備,　　　　 負債準備合計,　　　 其他金融負債,　　　　 其他金融負債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他負債,　　　　 其他負債合計,　　　 負債總計,　　 權益 ,　　　 歸屬於母公司業主之權益 ,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總計,　　 負債及權益總計,　　 預收股款（股東權益項下）之約當發行股數（單位：股）,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 央行及金融同業存款,　　 央行及同業融資,　　 透過損益按公允價值衡量之金融負債,　　 避險之衍生金融負債,　　 附買回票券及債券負債,　　 應付商業本票－淨額,　　 應付款項,　　　 應付款項合計,　　 當期所得稅負債,　　 存款及匯款,　　 應付債券,　　 負債準備,　　　 負債準備合計,　　 其他金融負債,　　　 其他金融負債合計,　　 遞延所得稅負債,　　　 遞延所得稅負債合計,　　 其他負債,　　　 其他負債合計,　　 負債總額,　 權益 ,　　 歸屬於母公司業主之權益 ,　　　 股本,　　　　 普通股股本,　　　　 特別股股本,　　　　 待分配股票股利,　　　　 股本合計,　　　 資本公積,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 預收股本
2891,2015年09月30日,,            108589927,            325125629,            139757642,            693663496,                 82418,              3391373,,            161055851,,              2092129,,              6323343,          2028595621,                356083,            160066714,              2557195,,            256415134,,              6882248,             49831138,             17101135,              8696009,,             54508364,          4025091449,,,             36238358,             36590872,            129754277,              1454044,             51695716,              7152371,,             80071419,              3299851,          2693046441,            120476032,,            411929680,,            204110495,,              1426715,,              9429170,          3786675441,,,,            164931213,            164931213,             23842348,,             14180457,             19692303,             25029580,             58902340,,             -8760056,                582754,            238333091,                 82917,            238416008,          4025091449,              0,     27168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,2015年06月30日,,             81480934,            309401220,             92977206,            653939025,                304011,              2874346,,            188176496,,              1303881,,              6323343,          1918113205,                353391,            153649641,              1814820,,            234249901,,              6779663,             46325051,             16801849,              9112895,,             28083285,          3752064163,,,             39437782,             41021931,             79303605,                 88112,             60838489,              8439660,,             85145587,              3903607,          2517493509,            106474481,,            379273883,,            191826993,,              1034736,,              8875520,          3523157895,,,,            152572815,            164931213,             23845351,,             14180457,             19692303,             17306826,             51179586,,            -11132397,                              0,            228823753,                 82515,            228906268,          3752064163,              0,              0,             12358398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,2015年03月31日,,            101287458,            250826895,            100994547,            777896415,                377855,              2908410,,            184584649,,              1828187,,              6323343,          1851903180,                327580,            137307038,              2096298,,            208374835,,              6776359,             44381976,             17103775,              9643589,,             31075400,          3736017789,,,             42760462,             55407068,             96298436,                 10092,             60507590,              8230081,,             77947470,              5597048,          2494313601,             93751565,,            358011088,,            169232266,,              1784839,,             32998232,          3496849838,,,,            152572815,            152572815,             23845351,,             10236758,              9191902,             49015883,             68444543,,             -5778589,                              0,            239084120,                 83831,            239167951,          3736017789,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,2014年12月31日,,            133647130,            274292402,            118298731,            683051006,              1499486,              3835902,,            189440011,,              1689188,,              6323343,          1838176291,                306946,            110975819,              2073119,,            185574704,,              6552700,             43379488,             16992496,              9526337,,             29044965,          3654680064,,,             49934428,             59135084,             95292577,                916322,             65002821,              7115881,,             81989932,              4467017,          2410679548,            110457298,,            329775602,,            199905462,,              1784842,,              8783852,          3425240666,,,,            152572815,            152572815,             23845351,,             10236758,              9191902,             39238646,             58667306,,             -5732712,                              0,            229352760,                 86638,            229439398,          3654680064,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,2014年09月30日,,            153800879,            233506377,             98872800,            681801081,              1416755,              1426467,,            184930250,,              1500247,,              6323343,          1832695195,                375240,             98645339,              2017789,,            156496549,,              6547799,             42054332,             16999388,              8340918,,             18164911,          3545915659,,,             59221403,             52041809,             41114800,                503609,             69760358,              6754177,,             87684797,              2941117,          2387050806,            113650170,,            297600472,,            193543510,,                926941,,              9552627,          3322346596,,,,            152572815,            152572815,             23845351,,             10236758,              9191902,             37334417,             56763077,,             -9695700,                              0,            223485543,                 83520,            223569063,          3545915659,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,2014年06月30日,,            153967496,            241021514,            103625460,            607392218,                686131,              1845411,,            202148687,,              1764682,,              6323343,          1811178897,                299980,             94959838,              2062400,,            134790265,,              6503038,             40657060,             16211632,              8273825,,             20573969,          3454285846,,,             45997345,             60619770,             36835425,                116829,             64877410,              1649715,,             96811108,              2973583,          2349036716,            116342225,,            260651078,,            189356696,,                914116,,             10108325,          3236290341,,,,            147129560,            152572815,             23845094,,             10236758,              9191902,             28523855,             47952515,,             -6429007,                 28703,            217912714,                 82791,            217995505,          3454285846,              0,      1457000,              5443255,              1764682,          3454285846,,             45997345,             60619770,             36835425,                116829,             64877410,              1649715,,             96811108,              2973583,          2349036716,            116342225,,            260651078,,            176056574,,                914116,,             23408447,          3236290341,,,,            147129560,                              0,              5443255,            152572815,             23845094,,             10236758,              9191902,             28523855,             47952515,,             -6429007,                 28703,            217912714,                 82791,            217995505,              0,
2891,2014年03月31日,,            136259523,            141146830,             82811658,            430223123,                751270,              4834491,,            163172146,,              1619041,,              6323343,          1329964503,                891110,             91935793,              2077828,,             97492848,,              6407182,             36379928,             14677070,              6826537,,             19725466,          2573519690,,,             44948021,              8480300,             40788412,                164444,             71541616,                499942,,             54518641,              3320381,          1785230472,             70373296,,            242694178,,             40636899,,                714707,,              6628041,          2370539350,,,,            147129560,            147129560,             23845094,,              8408223,              3818035,             26081126,             38307384,,             -6357330,                 28703,            202896005,                 84335,            202980340,          2573519690,              0,      1457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,2013年12月31日,,            115161162,            125125631,             83369629,            428929904,                910113,              8836019,,            172454597,,,,              6323343,          1284855302,              1081880,             79304809,              2076772,,             39787544,,              2631895,             38347727,             13948040,              6699337,,             13426977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1449398,          2424720079,,             48409512,              8167850,             28364068,                255112,             64795548,                199985,,             50417748,              2354133,          1725348933,             70269949,,            194870475,,             25748327,,                329664,,             12342446,          2231873750,,,,            147129560,                              0,                              0,            147129560,             23845094,,              8408223,              3818035,             18285348,             30511606,,             -8716664,                              0,            192769596,                 76733,            192846329,              0,                              0
2891,2013年09月30日,,             72741880,            116022230,             97668622,            499684894,              1099046,              6762824,,            166990294,,,,              6323280,          1217349106,                955432,             53174662,              2121666,,             25737950,              2633396,,             36926806,             13939295,              3188061,,             12431515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1381498,          2337132457,,             36492306,              9519001,             25666409,                 96950,             58269730,              1499726,,             62439013,              1678054,          1676952932,             70627650,,            167919863,,             26181862,,                647334,,             11087170,          2149078000,,,,            147129560,                              0,,            147129560,             23848397,,              8408223,              3818035,             15053518,             27279776,,            -10280461,,            187977272,                 77185,            188054457,,
2891,2013年06月30日,,             72651842,            148196372,            109716544,            465838119,              1243667,              2606202,,            164049786,,,,                              0,          1211295328,                980455,             44087086,              2114267,,             20320123,,              2634724,             42433318,             13882080,              2654648,,             15214024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1391542,          2321310127,,             29540349,              6467248,             31611850,                150651,             73136782,              1599726,,             70790658,              2505745,          1652976821,             71138449,,            154339632,,             29217450,,                711220,,             11970586,          2136157167,,,,            137504262,                              0,              9625298,            147129560,             23848397,,              8408223,              3818035,             10083614,             22309872,,             -8219712,                              0,            185068117,                 84843,            185152960,              0,
