證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款－其他,　　　　 備抵呆帳－其他應收款項,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 營建用地,　　　　　 在建房地,　　　　　 備抵存貨跌價,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 累計減損－以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資（淨額）,　　　　 其他非流動資產－其他,　　　　　 陳飾品,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利
2530,2015年09月30日,,,,                410535,,                289764,,                  1806,,                 13976,,                 36965,,                 16354,                 16245,                    109,,                    878,,,              1463502,              5293356,              1027180,                389396,              7394642,              7394642,,                213173,,                344943,                     81,                345024,              8706872,,,                 50010,                 26100,                 23910,,                 66325,                 15870,,                132911,,                              0,,                  5505,                  5505,                138416,                244521,              8951393,,,,,              1332370,,                  2775,,                139101,,                  7471,                              0,,                  1111,,,              2470529,,              1920894,                 23442,              4414865,              5897693,,,                 14727,,                  9899,                 10194,                 20093,                 34820,              5932513,,,,              2707525,                              0,              2707525,,                  8828,,                122985,                 29354,,                 92684,                 92684,                245023,,,                              0,                              0,                 35955,              2925421,                 93459,              3018880,              8951393,              0,              0,      2676640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2015年06月30日,,,,                135836,,                176046,,                  2976,,,,                              0,,                 16359,                 16245,                    114,,                    790,,,                 80822,              6364264,              1312668,                397915,              7359839,              7359839,,                236645,,                530755,                     81,                530836,              8443082,,,                 50967,                 25656,                 25311,,                 67789,                 16188,,                131610,,                              0,,                  5505,                  5505,                137115,                246403,              8689485,,,,,              1327640,,                              0,,                 47284,,                  6296,                              0,,                  1111,,,              1655133,,              2660489,                 16083,              4331705,              5714036,,,                 16539,,                  9920,                 10160,                 20080,                 36619,              5750655,,,,              2707525,                              0,              2707525,,                  8828,,                122985,                 29354,,                 28733,                 28733,                181072,,,                              0,                              0,                 54928,              2842497,                 96333,              2938830,              8689485,              0,              0,      3437778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2015年03月31日,,,,                 79011,,                 98636,,                  4323,,,,                              0,,                 16353,                 16245,                    108,,                    891,,,                 80822,              6364264,              1158946,                397915,              7206117,              7206117,,                230174,,                611380,                     81,                611461,              8230721,,,,,                 27719,,                 68595,                 16188,,                131610,,                              0,,                  5505,                  5505,                137115,                249617,              8480338,,,,,              1181210,,                              0,,                 53558,,                  8360,                              0,,                  1111,,,              1572167,,              2667276,                    523,              4239966,              5484205,,,                 18343,,                  9940,                 10160,                 20100,                 38443,              5522648,,,,              2707525,,              2707525,,                  8828,,                122985,                 29354,,                 45325,                 45325,                197664,,,                              0,                              0,                 54928,              2859089,                 98601,              2957690,              8480338,              0,              0,      3437778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2014年12月31日,,,,                 75813,,                 96174,,                 13160,,                              0,,                              0,,                 16346,                 16245,                    101,,                    819,,,                 80822,              6364264,                999425,                397915,              7046596,              7046596,,                221141,,                676496,                     81,                676577,              8130381,,,                 54401,                 26682,                 27719,,                 69430,                 16188,,                131610,,                              0,,                  5505,                  5505,                137115,                250452,              8380833,,,,,              1142800,,                  1500,,                 39054,,                 14928,                              0,,                  1111,,,              1494273,,              2674057,                    480,              4168810,              5368203,,,                 20135,,                  9961,                 10160,                 20121,                 40256,              5408459,,,,              2707525,                              0,              2707525,,                  8828,,                122985,                 29354,,                 58173,                 58173,                210512,,,                              0,                              0,                 54928,              2871937,                100437,              2972374,              8380833,              0,              0,      3437778,                 75813,                    819,              8380833,,,,              1142800,,                  1500,,                 39054,,                 14928,                              0,,                  1111,,,              1494273,,              2674057,                    480,              4168810,              5368203,,,                 20135,,                  9961,                 10160,                 20121,                 40256,              5408459,,,,              2707525,              2707525,,                  8828,,                122985,                 29354,,                 58173,                 58173,                210512,,,                              0,                              0,                 54928,              2871937,                100437,              2972374,
2530,2014年09月30日,,,,                 42955,,                100826,,                  2824,,                              0,,                              0,,                 25978,                 16245,                  9733,,                    690,,,                 80822,              6364264,                877229,                397915,              6924400,              6924400,,                222307,,                702376,                     80,                702456,              8006191,,,                145597,                 63288,                 82309,,                 70046,                 16301,,                131647,,                              0,,                  5505,                  5505,                137152,                305808,              8311999,,,,,              1153500,,                     35,,                 29943,,                  5823,                              0,,                  1024,,,              1354106,,              2677586,                    746,              4032438,              5222763,,,                  6576,,                 10619,                 10160,                 20779,                 27355,              5250118,,,,              2707525,                              0,              2707525,,                  8828,,                122985,                 29354,,                144312,                144312,                296651,,,                              0,                              0,                 54928,              2958076,                103805,              3061881,              8311999,              0,              0,      3437778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2014年06月30日,,,,                 47078,,                218757,,                  4120,,,,                              0,,                 17556,                 16245,                  1311,,                    479,,,                 80822,              6364264,                788353,                397915,              6835524,              6835524,,                218423,,                716359,                     80,                716439,              8042131,,,                151292,                 63288,                 88004,,                 70284,                 16301,,                131647,,                              0,,                  5505,                  5505,                137152,                311741,              8353872,,,,,              1296000,,                  4247,,                 25579,,                 11560,                              0,,                  1024,,,              1202772,,              2684369,                  1137,              3888278,              5226688,,,                  8072,,                 10657,                 10120,                 20777,                 28849,              5255537,,,,              2707525,                              0,              2707525,,                  8828,,                122985,                 29354,,                178282,                178282,                330621,,,                              0,                              0,                 54928,              2992046,                106289,              3098335,              8353872,              0,              0,      3437778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2014年03月31日,,,,                 31823,,                107678,,                  5296,,,,                              0,,                 34462,                 26245,                  8217,,                    175,,,                 83000,              6364261,                734205,                429955,              6751511,              6751511,,                208634,,                736094,                     80,                736174,              7849508,,,,,                 88004,,                 70943,                 17499,,                131587,,                              0,,                  4825,                  4825,                136412,                312858,              8162366,,,,,              1187400,,                  3314,,                 23512,,                 15033,                  1641,,                  1024,,,              1085087,,              2689583,                    694,              3775364,              5007288,,,                 11122,,                 10676,                 10120,                 20796,                 31918,              5039206,,,,              2707525,,              2707525,,                  8828,,                122985,                 52532,,                177072,                177072,                352589,,,                              0,                              0,                 54928,              3014014,                109146,              3123160,              8162366,              0,              0,      3437778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,2013年12月31日,,,,,,                204313,,                 23060,,,,                    129,,                 27175,                 26245,                    930,,,,,                 85185,              6264212,                676199,                429955,              6595641,              6595641,,                179842,,                636241,                     81,                636322,              7893546,,,                151738,                 63288,                 88450,,                 67539,                 17499,,                 12137,,                              0,,,                  4353,                 16490,                189978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3437778,                253307,                      2,              8083524,,,,              1226900,,                              0,,                 39616,,                 24481,                  1641,,                  1024,,,                903206,,              2694798,                    555,              3598559,              4892221,,,                 14157,,                 10696,                  9604,                 20300,                 34457,              4926678,,,,              2707525,              2707525,,                  8828,,                122985,                 52532,,                208357,                208357,                383874,,,                              0,                              0,                 54928,              3045299,                111547,              3156846,
2530,2013年09月30日,,,,,,                222407,,                  1398,,,,                    100,,                 26521,                 26245,                    276,,,,,                 85179,              6264197,                576860,                429955,              6496281,              6496281,,                125329,,                406158,                     81,                406239,              7484899,,,                152365,                 63288,                 89077,,                 67042,                 17507,,                 12197,,                              0,,                  3775,                  3775,                 15972,                189598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3437778,                232867,                      2,              7674497,,,,              1053400,,                    144,,                 31356,,                 24439,                  1756,,                    916,,,                675945,,              2232219,                    841,              2909005,              4021016,,,                483165,,                 16303,                  9754,                 26057,                509222,              4530238,,,,              2707525,              2707525,,                  8828,,                122985,                 52532,,                256793,                256793,                432310,,,                              0,                              0,                 54928,              3093735,                 50524,              3144259,                              0
2530,2013年06月30日,,,,,,                185236,,                  2282,,,,                    109,,                 36177,                 26245,                  9932,,,,,                106095,              6189121,                470712,                429955,              6335973,              6335973,,                 31163,,                400209,                     81,                400290,              7119903,,,                152365,                 63288,                 89077,,                 67473,                 17507,,                  6347,,                              0,,                  3775,                  3775,                 10122,                184179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3437778,                154916,                      2,              7304082,,,,              1108700,,                 13642,,                 26680,,                 51594,                  1803,,                  3916,,,                374145,,              2006634,                  1360,              2382139,              3588474,,,                486169,,                 16342,                  9704,                 26046,                512215,              4100689,,,,              2707525,              2707525,,                  8828,,                122985,                 52532,,                313202,                313202,                488719,,,                              0,                              0,                 54928,              3150144,                 53249,              3203393,                              0
