證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 特別盈餘公積,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 特別股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額
6183,2015年09月30日,,,,                528010,,                 47563,,                  3253,,                148926,,                 69109,,                  2947,,                  1519,,                 87784,,                450111,                  1607,                451718,              1340829,,,                 23398,,                 50000,,                567927,,                368500,,                 15661,                  5062,,                 35154,                  8338,                  5707,,                 85065,,                  5500,                139764,              1170312,              2511141,,,,,                    647,,                 77087,,                 90909,                 90909,                 19842,,,                189222,                  2608,                  6165,                197995,                386480,,,                    714,,,                    556,                    556,                 93436,                 16368,                110360,                111074,                497554,,,,              1500000,              1500000,,                     11,,                297164,,                213710,                510874,,                  2702,              2013587,              2013587,              2511141,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,2015年06月30日,,,,                624937,,                 48186,,                  1743,,                139235,,                 62095,,                  3095,,                  1789,,                 64086,,                494639,                    935,                495574,              1440740,,,                 23398,,                 50000,,                572354,,                370038,,                 18548,                  4112,,                 22074,                  7931,                  5483,,                 84877,,                  5500,                125865,              1164315,              2605055,,,,,                    884,,                 65571,,,                252927,                 25159,,,                194165,                  2534,                  6669,                203368,                547909,,,                    595,,,                  1092,                  1092,                 92087,                 12961,                106140,                106735,                654644,,,,              1500000,              1500000,,                     11,,                297164,,                151863,                449027,,                  1373,              1950411,              1950411,              2605055,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,2015年03月31日,,,,                615823,,                 48201,,                  2221,,                127823,,                 31420,,                  5734,,                  2674,,                 48081,,                542750,                  1154,                543904,              1425881,,,                 17398,,                 50000,,                555470,,                371576,,                 19458,                  3838,,                  7064,                  9302,,,                 84729,,                  5500,                106595,              1124335,              2550216,,,,,                  1412,,                 62678,,,                 84080,                 25903,,,                210823,                  2463,                  6877,                220163,                394236,,,                    610,,,                  1609,                  1609,                 90741,                 15299,                107649,                108259,                502495,,,,              1500000,              1500000,,                     11,,                277500,,                268335,                545835,,                  1875,              2047721,              2047721,              2550216,              0,              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,2014年12月31日,,,,                887127,,                  8131,,                  2115,,                157921,,                 79931,,                  2921,,                  2000,,                 41229,,                332254,                  1669,                333923,              1515298,,,                 17398,,                 50000,,                565413,,                373114,,                 22566,                  3854,,                    270,                  8977,                              0,,                 84579,,                  5500,                 99326,              1131671,              2646969,,,,,                  4477,,                 76841,,                195086,                195086,                 16316,,,                243396,                  1818,                  5215,                250429,                543149,,,                    545,,,                  2107,                  2107,                 89393,                 19856,                111356,                111901,                655050,,,,              1500000,              1500000,,                     11,,                277500,,                212205,                489705,,                  2203,              1991919,              1991919,              2646969,              0,              0,                              0,              0,                887127,                 50000,              2646969,,,,                  4477,,                 76841,,                195086,                 16316,,,                243396,                  1818,                  5215,                250429,                543149,,,                    545,,,                  2107,                  2107,                 89393,                 19856,                111356,                111901,                655050,,,,              1500000,                              0,              1500000,,                     11,,                277500,                              0,,                212205,                489705,,                  2203,              1991919,              1991919
6183,2014年09月30日,,,,                567883,,                  8136,,                  3952,,                132410,,                 72023,,                  4017,,                    490,,                 85125,,                415210,                  1412,                416622,              1290658,,,                 17398,,                100000,,                565275,,                374652,,                 26120,                  2004,,                    653,                  7059,                              0,,                 97565,,                  5500,                110777,              1196226,              2486884,,,,,                  1423,,                 68200,,                 82805,                 82805,                 14582,,,                226061,                  2329,                  5813,                234203,                401213,,,                    232,,,                  2587,                  2587,                 95852,                 17904,                116343,                116575,                517788,,,,              1500000,              1500000,,                     11,,                277500,,                190451,                467951,,                  1134,              1969096,              1969096,              2486884,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,2014年06月30日,,,,                560032,,                  8505,,                  2495,,                133378,,                 65505,,                  3456,,                    494,,                 65186,,                560443,                    638,                561081,              1400132,,,                 17398,,                100000,,                575970,,                376189,,                 30333,                  2271,,                              0,                  7305,                              0,,                 97355,,                  5500,                110160,              1212321,              2612453,,,,,                    573,,                 61516,,,                250470,                 25241,,,                235598,                  2266,                  5669,                243533,                581333,,,                     83,,,                  3049,                  3049,                 94254,                 19069,                116372,                116455,                697788,,,,              1500000,              1500000,,                     11,,                277500,,                136747,                414247,,                    407,              1914665,              1914665,              2612453,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,2014年03月31日,,,,                594712,,                  9052,,                  2853,,                131540,,                 35070,,                  4396,,                    497,,                 47502,,                464507,                    392,                464899,              1290521,,,                 17398,,                100000,,                588304,,                377727,,                 34153,                  2254,,                              0,                  7645,,,                 64850,,                  5500,                 77995,              1197831,              2488352,,,,,                  1322,,                 48895,,,                 81798,                 29703,,,                206000,                  2205,                  5390,                213595,                375313,,,                    187,,,                  3495,                  3495,                 92671,                 19890,                116056,                116243,                491556,,,,              1500000,              1500000,,                     11,,                258850,,                226066,                495873,,                    912,              1996796,              1996796,              2488352,              0,              0,                 10957,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6183,2013年12月31日,,,,,,                  9131,,                  2515,,                165435,,                285765,,                  3337,,                    403,,                 39632,,                458614,                  1146,                459760,              1343834,,,                 17398,,,,                598371,,                379266,,                 37317,                              0,,                  4032,                  8731,,,                 64745,,                  5500,                 83008,              1215360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,                377856,                100000,              2559194,,,,                  1553,,                170528,,                214346,                 19969,,,                 67864,                  2146,                  5223,                 75233,                481629,,,                              0,,,                  3925,                  3925,                 94603,                 21479,                120007,                120007,                601636,,,,              1500000,                              0,              1500000,,                     11,,                258850,                 10957,,                186501,                456308,,                  1239,              1957558,              1957558
6183,2013年09月30日,,,,,,                  8869,,                  4128,,                151306,,                136979,,                  3748,,                    411,,                 77700,,                464549,                  1491,                466040,              1164882,,,                 17398,,,,                603761,,                380803,,                 38016,                              0,,                  4306,                  8364,,,                 63640,,                  5500,                 81810,              1221788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,                315701,                100000,              2386670,,,,                  1887,,                161577,,                 87346,                 15076,,,                 59342,                  2089,                  5353,                 66784,                332670,,,                              0,,,                  4339,                  4339,                 96490,                 24542,                125371,                125371,                458041,,,,              1500000,,              1500000,,                     11,,                258850,                 10957,,                158155,                427962,,                    656,              1928629,              1928629
6183,2013年06月30日,,,,,,                  8397,,                  3938,,                147325,,                346320,,                  2629,,                    470,,                 51882,,,,                259220,              1285344,,,                 17398,,,,                614217,,                382341,,                 41560,                              0,,                              0,                  7245,,,                 60535,,                  5500,                 73280,              1228796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,                465163,                100000,              2514140,,,,                  1148,,                170742,,                247636,                 26212,,,                 64920,                  2035,                  5019,                 71974,                517712,,,                              0,,,,,,,                125813,                125813,                643525,,,,              1500000,,              1500000,,                     11,,                258850,                 10957,,                 99847,                369654,,                    950,              1870615,              1870615
