證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 員工福利負債準備－流動,　　　　　 其他短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 待分配股票股利,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 員工福利負債準備－流動,　　　　 其他短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待註銷股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 其他應付款－其他,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 應付股利,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　 庫藏股票
1477,2015年09月30日,,,,              1816039,,                 47969,,                     22,,              1303689,,              2862724,,                              0,,              2219674,                377588,              2597262,              8627705,,,                197775,,              4585666,,                 34766,                 74509,,                375136,              5267852,             13895557,,,,,              1137164,,                              0,,                  7615,,              1530120,,                 61258,,              1437679,              1437679,                210300,,                 27091,                315617,                342708,,,                257403,                 35183,                292586,              5019430,,,                              0,,                 12125,,                199679,                 15683,                215362,                227487,              5246917,,,,              1983502,                              0,              1983502,,              3374543,,              2928933,,                306194,              8593172,                              0,                 55468,              8648640,             13895557,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,2015年06月30日,,,,              2605638,,                 52615,,                    138,,                740723,,              3237170,,,,              2331850,                323003,              2654853,              9291137,,,                196459,,              4410756,,                 36738,                 72505,,                265551,              4982009,             14273146,,,,,                791319,,                              0,,                  6426,,              1849073,,                 74555,,,              2697330,                270369,,                 26030,                280888,                306918,,,                276613,                 21267,                297880,              6293870,,,                              0,,                 12125,,                184071,                 14551,                198622,                210747,              6504617,,,,              1913651,                              0,              1980609,,              3356899,,              2300457,,                 83728,              7721693,                              0,                 46836,              7768529,             14273146,              0,              0,              0,,                              0,,                              0,              1473084,              1224246,                 66958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,2015年03月31日,,,,              2248414,,                 53865,,                    367,,                961951,,              2066333,,,,              2360037,                279546,              2639583,              7970513,,,                207110,,              4362244,,                 40155,                 70872,,                174765,              4855146,             12825659,,,,,                488570,,                     90,,                  2434,,              1116923,,                 48730,,,              1160587,                388177,,                 25616,                263960,                289576,,,                279370,                 39678,                319048,              3814135,,,                              0,,                 12125,,                191724,                 10321,                202045,                214170,              4028305,,,,              1913097,                              0,              1913097,,              3407436,,              3340912,,                118734,              8780179,                              0,                 17175,              8797354,             12825659,              0,              0,              0,,,,                              0,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,2014年12月31日,,,,              1648409,,                 53290,,                    552,,              1318156,,              2745101,,                              0,,              1127216,                266167,              1393383,              7158891,,,                210296,,              4367751,,                 42471,                 43328,,                171408,              4835254,             11994145,,,,,                100001,,                    380,,                  6028,,              1384504,,                 66109,,              1236191,              1236191,                257191,,                 25779,                231752,                257531,,,                303112,                  5278,                308390,              3616325,,,                              0,,                 12125,,                187381,                 16093,                203474,                215599,              3831924,,,,              1909695,                              0,              1909695,,              3385665,,              2700563,,                150917,              8146840,                              0,                 15381,              8162221,             11994145,              0,              0,              0,,                              0,,                              0,                              0,              1236191,                              0,,                              0,              1648409,             11994145,,,,                100001,,                    380,,                  6028,,              1384504,,                 66109,,              1236191,                257191,,                 25779,                231752,                257531,,,                303112,                  5278,                308390,              3616325,,,                              0,,                              0,,                 12125,,                126345,                 16093,                142438,                154563,              3770888,,,,              1909695,                              0,              1909695,,              3385665,,              2761090,,                150917,              8207367,                              0,                 15890,              8223257,,,,,,,,,,,,,,,,
1477,2014年09月30日,,,,              1005670,,                 60799,,                    115,,              1552036,,              2914798,,                 47202,,              1378765,                292540,              1671305,              7251925,,,                207576,,              4221648,,                 44596,                 47292,,                239231,              4760343,             12012268,,,,,                709683,,                  2421,,                 13316,,              1619858,,                 43724,,              1048595,              1048595,                189783,,                 21826,                193552,                215378,,,                330108,                 29941,                360049,              4202807,,,                              0,,                  2556,,                181408,                 11749,                193157,                195713,              4398520,,,,              1905816,                              0,              1905816,,              3360973,,              2299161,,                 32212,              7598162,                              0,                 15586,              7613748,             12012268,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,2014年06月30日,,,,              1891309,,                 60882,,                    186,,                374359,,              3127935,,,,              1923767,                224227,              2147994,              7602724,,,                205583,,              4170493,,                 43233,                 41598,,                256585,              4717492,             12320216,,,,,              1526299,,                              0,,                 12152,,              1887830,,                 70876,,,              2481732,                203734,,                 21596,                191019,                212615,,,                              0,                 10984,                 10984,              6906017,,,                337134,,                  2555,,                168452,                 11749,                180201,                519890,              7425907,,,,              1704630,                              0,              1704630,,              1337232,,              1845285,,                -24532,              4862615,                              0,                 31694,              4894309,             12320216,              0,              0,              0,,                     59,,                499795,              1310744,              1170988,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,2014年03月31日,,,,              1485753,,                 67096,,                              0,,                452555,,              2033989,,,,              1807847,                243724,              2051571,              6090964,,,                130963,,              4140918,,                 33171,                 42112,,                241601,              4588765,             10679729,,,,,              1337765,,                 11591,,                  4760,,                925264,,                 22696,,,              1094672,                296878,,                 21890,                209651,                231541,,,                              0,                 30233,                 30233,              4255400,,,                393843,,                  2555,,                159691,                 11847,                171538,                568201,              4823601,,,,              1696996,                              0,              1696996,,              1286315,,              2809764,,                 32698,              5825773,                              0,                 30355,              5856128,             10679729,              0,              0,              0,,,,                300000,,,,,                    265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,2013年12月31日,,,,,,                162723,,                 11408,,                281834,,              2872299,,,,                955528,                249219,              1204747,              5551080,,,                134206,,              4121238,,                 35965,                 41276,,                211683,              4544368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,              1018069,             10095448,,,,                              0,,                              0,,                 12552,,              1427573,,                  7628,,              1095144,                195304,,                 21511,                189426,                210937,,,                              0,                 61055,                 61055,              3010193,,,                439613,,              1200000,,                  2555,,                101125,                 11846,                112971,              1755139,              4765332,,,,              1690722,                              0,              1690722,,              1244647,,              2366578,,                 -2593,              5299354,                              0,                 30762,              5330116,,,,,,,,,,,,,,,,
1477,2013年09月30日,,,,,,                159181,,                     22,,                291250,,              2375786,,                              0,,              1690049,                252849,              1942898,              6801532,,,                              0,,              1161342,,                 35097,                 51015,,                237224,              1484678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,              2032395,              8286210,,,,                222149,,                    629,,                 11075,,              1162267,,                              0,,                929600,                144488,,,,                205187,,,                  8929,                 15244,                 24173,              2699568,,,                462634,,                              0,,                              0,,                153164,                    110,                153274,                616375,              3315943,,,,              1684782,                              0,              1684782,,              1216304,,              2071500,,                -33079,              4939507,                              0,                 30760,              4970267,                929600,,                    467,,,,,,,,,,,,,
1477,2013年06月30日,,,,,,                167497,,                              0,,                274906,,              2684026,,,,              1232598,                169927,              1402525,              7989770,,,                              0,,              1153511,,                 37887,                 51411,,                201456,              1444265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,              3460816,              9434035,,,,                    190,,                    421,,                 15188,,              1724441,,                              0,,              2064176,                168588,,,,                193510,,,                 21429,                 16036,                 37465,              4203979,,,                498777,,                              0,,                              0,,                144720,                    111,                144831,                643608,              4847587,,,,              1675976,                              0,              1675976,,              1173917,,              1704292,,                  1700,              4555885,                              0,                 30563,              4586448,              1034749,,,,                              0,              1029427,,,,,,,,,,
