證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 當期所得稅資產合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 待分配股票股利,　　　　 法定盈餘公積,　　　　 預付投資款,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 其他非流動負債－其他
2426,2015年09月30日,,,,                657920,,                109126,,                 22813,,                127339,,                 22026,,              1078901,,                 16281,,                  1429,,                836982,,                 80867,,                229759,              3183443,,,                 46749,,                  3118,,                449984,,              1188743,,                  6012,                197378,,                 58232,                  7516,                 25857,,                 32834,                124439,              2016423,              5199866,,,,,                715264,,                 30299,,                358245,,                  1413,,                168894,                              0,,                     73,,,                 17487,                 39986,                 68709,                126182,              1400370,,,                  1560,,                287465,,                 11761,,                 15146,,                 24725,,                 28066,                  1535,                 29601,                370258,              1770628,,,,              2759318,              2759318,,                200375,,                 35382,                 55624,,                314068,                405074,,                 -6809,                              0,              3357958,                 71280,              3429238,              5199866,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2015年06月30日,,,,                761912,,                111308,,                 33964,,                121270,,                 20229,,              1088186,,                  3420,,                    796,,                776613,,                 64917,,                202159,              3184774,,,                 58036,,                  3093,,                433222,,              1214850,,                  8287,                199562,,                 50462,                  6876,                 24996,,                 40033,                122367,              2039417,              5224191,,,,,                625394,,                 44769,,                358301,,                  2027,,                415853,                 28080,,                     73,,,                 20543,                 38418,                 41324,                100285,              1574992,,,                    900,,                286263,,                  3475,,                 14470,,                  9383,,                 27906,                  1535,                 29441,                343932,              1918924,,,,              2759318,              2759318,,                200375,,                 35382,                 55624,,                200873,                291879,,                -21792,                              0,              3229780,                 75487,              3305267,              5224191,              0,              0,,                    210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2015年03月31日,,,,                641821,,                 72945,,                 44421,,                122932,,                 17415,,              1110312,,                 10628,,                    826,,                782010,,                 49564,,                198212,              3051086,,,                 59344,,                  3085,,                439783,,              1247094,,                  8428,                187602,,                 46268,                  8806,                 25507,,                 45207,                125788,              2071124,              5122210,,,,,                562698,,                 42595,,                386869,,                    813,,                165660,                 50783,,                     98,,,                 23349,                 38966,                 32761,                 95076,              1304592,,,                  1290,,                285087,,                  8267,,                 13870,,                 13918,,                 27991,                  1535,                 29526,                351958,              1656550,,,,              2759318,              2759318,,                200400,,,                              0,,                437964,                437964,,                   -578,                              0,              3397104,                 68556,              3465660,              5122210,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2014年12月31日,,,,                603966,,                 47604,,                 45426,,                119612,,                 29209,,              1133817,,                 17090,,                    826,,                770165,,                 39222,,                215236,              3022173,,,                 58916,,                  3080,,                448047,,              1292062,,                  7781,                180389,,                 48151,                 20893,                 25906,,                 53523,                148473,              2138748,              5160921,,,,,                635409,,                 40970,,                349325,,                  1028,,                197710,                 36890,,                    162,,,                362820,                 39734,                 32722,                435276,              1696770,,,                              0,,                              0,,                480662,,                 14443,,                 22429,,                 28229,                  1816,                 30045,                547579,              2244349,,,,              2359318,              2359318,,                130611,,                              0,                              0,,                353493,                353493,,                  6548,                              0,              2849970,                 66602,              2916572,              5160921,              0,              0,,                              0,                603966,                119612,,                              0,                    826,,                              0,,                              0,                  3080,              5160921,,,,                635409,,                 40970,,                     78,,                349325,,                    950,,                197710,                 36890,,                    162,,,                362820,                362820,                 39734,                 32722,                435276,              1696770,,,                480662,,                 14443,,                 22429,,                 28229,                  1816,                 30045,                547579,              2244349,,,,              2359318,              2359318,,                130611,,                              0,,                353493,                353493,,                  6548,                              0,              2849970,                 66602,              2916572,              0,,,,,,,,,,,,,,,,
2426,2014年09月30日,,,,                629782,,                 53404,,                 46857,,                129165,,                 27188,,              1358027,,                 35179,,                    782,,                798570,,                 49979,,                 39513,              3168446,,,                 64402,,                  4080,,                452616,,              1320949,,                  7206,                163001,,                 36156,                 20620,                 25253,,                 64118,                146147,              2158401,              5326847,,,,,                546976,,                 45474,,                546764,,                  1432,,                151991,                 25618,,                    152,,,                426851,                 38117,                 60647,                525615,              1844022,,,                              0,,                              0,,                627096,,                 14514,,                 11934,,                 28611,                  1535,                 30146,                683690,              2527712,,,,              2392453,              2392453,,                154977,,                              0,                              0,,                254872,                254872,,                 -9584,                 59461,              2733257,                 65878,              2799135,              5326847,              0,      3313485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2014年06月30日,,,,                483544,,                 55035,,                 42947,,                187525,,                 29493,,              1257088,,                 16053,,                    782,,                791303,,                 94350,,                 38558,              2996678,,,                 66479,,                  3056,,                458338,,              1361391,,                  8359,                150980,,                 29832,                 20541,                 24771,,                 74516,                149660,              2198263,              5194941,,,,,                481273,,                 54323,,                607702,,                  1309,,                124327,                 20934,,                    152,,,                432513,                 37166,                 62901,                532580,              1822600,,,                              0,,                              0,,                632383,,                 13395,,                  1370,,                 28509,                  1535,                 30044,                677192,              2499792,,,,              3610176,              3610176,,                154977,,                              0,                              0,,             -1047243,             -1047243,,                -29421,                 59461,              2629028,                 66121,              2695149,              5194941,              0,      5000000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2014年03月31日,,,,                573612,,                 23432,,                 47617,,                136652,,                 20937,,              1434326,,                 26384,,                    782,,                731404,,                 76280,,                 84901,              3156327,,,                 67039,,                  3049,,                478401,,              1414218,,                 11178,                138421,,                 14053,                 21410,                 25380,,                 87140,                147983,              2260289,              5416616,,,,,                527369,,                 54743,,                732493,,                  1278,,                147487,                  8962,,                    152,,,                318017,                 37854,                103711,                459582,              1932066,,,                              0,,                              0,,                818660,,                 12243,,                  4144,,                 28406,                  1535,                 29941,                864988,              2797054,,,,              3610176,              3610176,,                154977,,,                 71339,,             -1208092,             -1136753,,                -11067,                 59461,              2557872,                 61690,              2619562,              5416616,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2013年12月31日,,,,,,                 16693,,                 45053,,,,                 24777,,              1450764,,                 33517,,,,                680833,,                 85539,,                 68729,              3054150,,,                 64021,,,,                485180,,              1452721,,                 10338,                129832,,                 41121,                 19494,                 25629,,                 95928,                182172,              2328803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,,,                565707,                 69600,,                    150,                    782,,                 12006,,                  1495,                  3044,              5382953,,,,                580404,,                 72644,,                              0,,                743081,,                  2092,,                146372,                              0,,                    152,,,                312953,                312953,                 38384,                 89336,                440673,              1985418,,,                821031,,                 11969,,                  4687,,                 28305,                    341,                 28646,                866333,              2851751,,,,              3610176,              3610176,,                154977,,                 71339,,             -1289062,             -1217723,,                -13489,                 59461,              2474480,                 56722,              2531202,              0,,                              0,                              0,,                 10338,,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,
2426,2013年09月30日,,,,,,                              0,,                114765,,,,                 65444,,              1242154,,                 19325,,,,                799506,,                120116,,                122158,              2907200,,,                110862,,,,                476789,,              1954249,,                 10501,                147443,,                  6606,                 17867,                 25329,,                 98457,                148259,              2893027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,,,                311811,                109642,,                  2279,                              0,,                              0,,                 22403,                  3044,              5800227,,,,                672942,,                 57290,,,,                526138,,                  1680,,                135564,                              0,,                    152,,,,,,,                250368,              1644134,,,              1026945,,                 14635,,                  2042,,                 24373,                     70,                 24443,              1068065,              2712199,,,,              3610176,              3610176,,                154977,,                 71339,,               -509642,               -438303,,               -243249,                 59461,              3024140,                 63888,              3088028,              0,,                 19477,,,,,,,,,,,,,,
2426,2013年06月30日,,,,,,                              0,,                112393,,,,                124838,,              1080435,,                  5159,,,,                850646,,                102471,,                 90713,              2726344,,,                131849,,,,                492316,,              2074834,,                 10765,                142619,,                  5437,                 18141,                 25767,,                106427,                155772,              3053846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,,,                238392,                111038,,                 10259,                              0,,                              0,,                 23153,                  3019,              5780190,,,,                768562,,                 68018,,,,                332322,,                  1656,,                133309,                              0,,                    152,,,,                203285,                 35722,                 23666,                262673,              1571722,,,              1045035,,                 13626,,                  4788,,                 24391,                     70,                 24461,              1087910,              2659632,,,,              3610176,              3610176,,                154977,,                 71339,,               -497486,               -426147,,               -215960,                 59461,              3063585,                 56973,              3120558,              0,,                 19519,                              0,,                 10765,,                  5030,                              0,                              0,,,,,,,
