證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 待分配股票股利,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認股權
3598,2015年09月30日,,,,                897843,,                              0,,                    231,,              1380914,,                 47152,,              2004282,,                119442,              4449864,,,                 10261,,                831821,,                 47971,                 43687,,                 56252,                989992,              5439856,,,,,                521901,,                389967,,                212343,,                714495,                    752,,                  3934,,                 23258,              1866650,,,                 18942,,                294800,,                              0,,                  3544,                317286,              2183936,,,,                719801,                719801,,                949315,,                285700,                              0,,              1295510,              1581210,,,                 17006,                 17006,                 11412,              3255920,                              0,              3255920,              5439856,              0,              0,        227000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,2015年06月30日,,,,              1121277,,                              0,,                    117,,              1274845,,                 28220,,              2221392,,                125948,              4771799,,,                  9094,,                610271,,                 34026,                 52657,,                 32411,                738459,              5510258,,,,,                493760,,                444089,,                121876,,                940081,                 16789,,                  3933,,                 35260,              2055788,,,                 18860,,                294800,,                              0,,                  3409,                317069,              2372857,,,,                719801,                719801,,                949315,,                285700,                              0,,              1195007,              1480707,,,                 -1010,                 -1010,                 11412,              3137401,                              0,              3137401,              5510258,              0,              0,        227000,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,2015年03月31日,,,,              1513132,,                      8,,                    620,,              1281566,,                 26384,,              2272223,,                118368,              5212301,,,                 12221,,                284403,,                 39212,                 53645,,                 22896,                412377,              5624678,,,,,                450720,,                336417,,                615249,,                625576,                 92289,,                  9767,,                 48567,              2178585,,,                 18778,,,,                              0,,                  6223,                 25001,              2203586,,,,                719801,                719801,,                949315,,                238094,                  3601,,              1521372,              1763067,,,,                    321,                 11412,              3421092,                              0,              3421092,              5624678,              0,              0,        227000,,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,2014年12月31日,,,,              2226546,,                  4084,,                    624,,              1450544,,                 36472,,              1937429,,                138025,              5793724,,,                 24612,,                284226,,                 51029,                 56940,,                 21031,                437838,              6231562,,,,,                633000,,                325475,,                971845,,                795789,                 80796,,                  4157,,                 49063,              2860125,,,                 18696,,                              0,,                  3295,,                  9127,                 31118,              2891243,,,,                719801,                719801,,                949315,,                238094,                  3601,,              1437924,              1679619,,,                  2996,                  2996,                 11412,              3340319,                              0,              3340319,              6231562,              0,              0,        227000,,                              0,,                              0,,                              0,              2226546,              6231562,,,,                633000,,                              0,,                325475,,                971845,,                795789,                 80796,,                  4157,,                 49063,              2860125,,,                 18696,,                  3295,,                  9127,                 31118,              2891243,,,,                719801,                719801,,                949315,,                238094,                  3601,,              1437924,              1679619,,                  2996,                 11412,              3340319,                              0,              3340319,,,,,,
3598,2014年09月30日,,,,              1634421,,                  4074,,                     37,,              1551988,,                 81040,,              1706885,,                204744,              5183189,,,                 24612,,                220163,,                 54509,                 41793,,                 23728,                364805,              5547994,,,,,                282520,,                272353,,                833988,,                805906,                 50445,,                  3934,,                 55522,              2304668,,,                 21603,,                              0,,                              0,,                 12381,                 33984,              2338652,,,,                719801,                719801,,                949309,,                238094,                  3601,,              1307482,              1549177,,,                  2467,                  2467,                 11412,              3209342,                              0,              3209342,              5547994,              0,              0,        227000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,2014年06月30日,,,,                974068,,                  4107,,                     52,,              1286015,,                 22081,,              1909750,,                198251,              4622807,,,                 27114,,                205039,,                 23047,                 36880,,                 22074,                314154,              4936961,,,,,                149325,,                261262,,                634150,,                765798,                 34007,,                  3934,,                 57240,              1905716,,,                 21507,,                              0,,                              0,,                 16166,                 37673,              1943389,,,,                719801,                719801,,                944491,,                238094,                  3601,,              1128634,              1370329,,,                  4590,                  4590,                 45639,              2993572,                              0,              2993572,              4936961,              0,              0,        783000,,                216782,,                 11701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,2014年03月31日,,,,              1245618,,                  4144,,                     12,,              1385245,,                 20742,,              2053207,,                178340,              5104190,,,                 29114,,                166400,,                 29320,                 23036,,                 22034,                269904,              5374094,,,,,                740075,,                267110,,                564234,,                617323,                 48308,,                  3930,,                 52171,              2293176,,,                 26191,,,,                              0,,                  2681,                 28872,              2322048,,,,                719056,                719056,,                940438,,                216712,                              0,,              1214640,              1431352,,,,                  6839,                 45639,              3052046,                              0,              3052046,              5374094,              0,              0,        783000,,                205283,,                 11599,,                     25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,2013年12月31日,,,,,,                  4118,,                     64,,              1490924,,                 34924,,              1811962,,                 80532,              5030585,,,                 18609,,                133420,,                 34397,                 21945,,                 27836,                236207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        783000,,                254081,,                 11588,,,              1342392,              5266792,,,,                693859,,                     77,,                253306,,                585006,,                652108,                 32622,,                  3912,,                 50373,              2271263,,,                 26074,,                  3657,,                  2561,                 32292,              2303555,,,,                719056,                719056,,                940438,,                216712,                              0,,              1136271,              1352983,,                 -3601,                 45639,              2963237,                              0,              2963237,,                 -3601,                              0,,                928746,                 11692
3598,2013年09月30日,,,,,,                 14184,,                     41,,              1220846,,                 35533,,              2338323,,                112693,              4945667,,,                 19630,,                116324,,                 30825,                 25637,,                 35236,                227652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        556000,,                392875,,                 11789,,,                819383,              5173319,,,,                743017,,                     44,,                227279,,                288820,,                844728,                 33613,,                  3895,,                 27480,              2168876,,,                 25957,,                              0,,                  6779,                 32736,              2201612,,,,                719057,                719057,,                940438,,                216712,                              0,,              1132520,              1349232,,                 -2793,                 34227,              2971707,                              0,              2971707,,                 -2793,,,,
3598,2013年06月30日,,,,,,                 11642,,                     36,,              1227242,,                 45742,,              2704342,,                 85927,              5122115,,,                 16010,,                129693,,                 14512,                 22090,,                 25761,                208066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        556000,,                482039,,                 11810,,,                553335,              5330181,,,,                898275,,                     16,,                200147,,                293276,,                933345,                 22594,,                  4706,,                  9975,              2362334,,,                 25840,,                              0,,                  6604,                 32444,              2394778,,,,                685113,                719057,,                940438,,                216712,                              0,,              1095290,              1312002,,                 -1867,                 34227,              2935403,                              0,              2935403,,                 -1867,                 33944,,,
