證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 非控制權益,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　　 法定盈餘公積,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應付款項－關係人,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　　 長期遞延收入,　　　 應付票據,　　　　 應付票據合計
2363,2015年09月30日,,,,              1441017,,                    266,,                 33759,,                  2929,,                 67554,,                  4572,,                 33200,                 11416,                 44616,              1594713,,,              3406109,,                448305,,                168533,,                778793,,                  9564,                262719,,                  2320,                 63415,                 65735,              5139758,              6734471,,,,,                 10062,,                  1137,,                 53792,                              0,,                  2767,                 67758,,,                  1206,                  1206,                  1206,                 68964,,,,              6135350,              6135350,,                 31608,,,               -565297,               -565297,,              1063846,                              0,              6665507,              6665507,              6734471,              0,              0,              4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,2015年06月30日,,,,              1355189,,,,                 33340,,                  2502,,                 82448,,                  6695,,                  4300,                 12473,                 16773,              1496947,,,              4115714,,                448305,,                162404,,                781361,,                  9859,                262719,,                  2246,                 63415,                 65661,              5846023,              7342970,,,,,                  6573,,                    505,,                 64033,                              0,,                  2376,                 73487,,,                    990,                    990,                    990,                 74477,,,,              6135350,              6135350,,                 28825,,,               -667759,               -667759,,              1772077,                              0,              7268493,              7268493,              7342970,,              0,              4,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,2015年03月31日,,,,              1419122,,                              0,,                 30796,,                  3612,,                 92569,,                  6804,,                  2000,                 10607,                 12607,              1565510,,,              4888396,,                448305,,                180809,,                785418,,                 13140,                262719,,                    740,                 63415,                 64155,              6642942,              8208452,,,,,                  5949,,                    319,,                 84597,,,                  2521,                 93386,,,                  1338,                  1338,                  1338,                 94724,,,,              6135350,              6135350,,                134528,,,               -701381,               -701381,,              2545231,                              0,              8113728,              8113728,              8208452,              0,              0,              4,                              0,,                              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,2014年12月31日,,,,              1482300,,                              0,,                 49544,,                  3062,,                108641,,                  3464,,                              0,                 12723,                 12723,              1659734,,,              4651861,,                448305,,                177165,,                790285,,                 16421,                262719,,                    825,                 63415,                 64240,              6410996,              8070730,,,,,                  3133,,                 17181,,                114451,                              0,,                  2449,                137214,,,                  1338,                  1338,                  1338,                138552,,,,              6135350,              6135350,,                133925,,,               -646334,               -646334,,              2309237,                              0,              7932178,              7932178,              8070730,              0,              0,              4,                              0,,                              0,,                              0,,                              0,                              0,              1482300,                 63415,              8070730,,,,                              0,,                  3133,,                 17181,,                114451,,                  2449,                137214,,,                  1338,                  1338,                  1338,                138552,,,,              6135350,              6135350,,                133925,,                              0,,               -646334,               -646334,,              2309237,                              0,              7932178,                              0,              7932178,,,,,,,,,
2363,2014年09月30日,,,,              1539716,,                              0,,                 93100,,                  2917,,                113969,,                  6059,,                              0,                 14195,                 14195,              1769956,,,              3973793,,                453582,,                196933,,                790729,,                 19625,                264993,,                    487,                 61046,                 61533,              5761188,              7531144,,,,,                 29298,,                 43474,,                122065,                  1203,,                  4744,                200784,,,                  1338,                  1338,                  1338,                202122,,,,              6135350,              6135350,,                133294,,,               -570264,               -570264,,              1630642,                              0,              7329022,              7329022,              7531144,              0,              0,              4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,2014年06月30日,,,,              1485217,,,,                104360,,                  2350,,                 85129,,                  4974,,                  2000,                 13073,                 15073,              1697103,,,              4714937,,                453582,,                228598,,                795957,,                 22895,                264993,,                    310,                 61046,                 61356,              6542318,              8239421,,,,,                 48390,,                 74309,,                119222,                  1393,,                  4762,                248076,,,                    356,                    356,                    356,                248432,,,,              6135350,              6135350,,                132647,,,               -648830,               -648830,,              2371822,                              0,              7990989,              7990989,              8239421,,              0,              4,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,2014年03月31日,,,,              1362824,,                    401,,                 44136,,                  3956,,                 50836,,                  6729,,                  2000,                 12551,                 14551,              1485455,,,              4211586,,                453582,,                266642,,                801994,,                 28067,                264993,,                    299,                 61046,                 61345,              6088209,              7573664,,,,,                 10757,,                 35600,,                 56860,,,                  4235,                107452,,,                    356,                    356,                    356,                107808,,,,              6135350,              6135350,,                132195,,,               -615729,               -615729,,              1814040,                              0,              7465856,              7465856,              7573664,              0,              0,              4,                              0,,                     15,,                  1429,,                    578,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,2013年12月31日,,,,,,,,                 41750,,                  6249,,                 50920,,                  3353,,                  2000,                 13219,                 15219,              1556231,,,              3989059,,                453582,,                287647,,                808322,,                 30963,                264993,,                    299,,                 61345,              5895911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              4,,,,,                 43899,,                    647,,              1394194,                 61046,              7452142,,,,                    345,,                 13482,,                  1668,,                103823,,                  5562,                124880,,,                      7,                      7,                      7,                124887,,,,              6135350,              6135350,,                131005,,                              0,,               -530456,               -530456,,              1591356,                              0,              7327255,                              0,              7327255,                              0,,,,,,,,
2363,2013年09月30日,,,,,,,,                 20615,,                  6073,,                128611,,                  6206,,                 34000,                 13216,                 47216,              1675566,,,              4086932,,                452298,,                301383,,                816015,,                 39648,                274920,,                  1264,,                 53203,              6024399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              4,,,,,                 76551,,                              0,,              1390294,                 51939,              7699965,,,,                              0,,                 30840,,                 17346,,                103393,,                 34425,                186004,,,                              0,                              0,                              0,                186004,,,,              6135350,              6135350,,                119608,,,,               -429515,               -429515,,              1688518,                              0,              7513961,,              7513961,                              0,,,,,,,,
2363,2013年06月30日,,,,,,                     72,,                  2810,,                  6835,,                164846,,                  4823,,                 34000,                  9122,                 43122,              1609630,,,              4668654,,                452298,,                328178,,                821939,,                 26838,                274920,,                  1206,,                 53145,              6625972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     14198004,,,,,                 56237,,                              0,,              1330885,                 51939,              8235602,,,,                              0,,                 31273,,                 19972,,                 98370,,                 24246,                173861,,,                              0,                              0,                              0,                173861,,,,              6277330,              6277330,,                118738,,,,               -463703,               -463703,,              2270486,                141110,              8061741,                              0,              8061741,                              0,,,,,,,,
2363,2013年03月31日,,,,,,                     44,,                 21967,,                  5685,,                189437,,                  5883,,                 34000,                  7389,                 41389,              1680681,,,              3626717,,                452298,,                357891,,                836546,,                 38010,                274920,,                  3125,,                 55064,              5641446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     14198004,,,                              0,,                 27732,,                              0,,              1318640,                 51939,              7322127,,,,                              0,,                 27025,,                103155,,                 92662,,                 17705,                243227,,,                              0,                              0,                              0,                243227,,,,              6277330,              6277330,,              1338943,,                              0,,             -1616053,             -1616053,,              1219790,                141110,              7078900,                              0,              7078900,,,                 69904,                  2680,,,,,
2363,2012年12月31日,,,,              1808540,,                  4095,,                 67310,,                  5392,,                124788,,                  5022,,                 34000,                  2873,                 36873,              2128578,,,              3778073,,                452298,,                190655,,                846251,,                 48756,                274920,,                  2608,,                 54547,              5645500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     14198004,,,,,                              0,,                              0,,,                 51939,              7774078,,,,                              0,,                 44244,,                 59833,,                264416,,                 29546,                401546,,,                              0,                              0,                              0,                401546,,,,              6277330,              6277330,,              1338943,,                              0,,             -1470787,             -1470787,,              1368156,                141110,              7372532,                              0,              7372532,,,                 76558,                  3507,,                              0,                              0,,                              0
2363,2012年09月30日,,,,              2055652,,                  3071,,                 62556,,                  4971,,                104933,,                 18361,,                 34000,                  7856,                 41856,              2291400,,,              3946595,,                452298,,                234372,,                856966,,                190757,                517052,,                  3300,,                 59713,              6316781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     14198000,,,,,                              0,,,,,                 56413,              8608181,,,,,,                 43372,,                 76201,,                151910,,                 38543,                310026,,,                  1181,                  1181,                  1181,                311207,,,,              6277330,              6277330,,              1349150,,                              0,,               -725095,               -725095,,              1536699,                141110,              8296974,                              0,              8296974,,,                              0,                              0,,                 59028,                              0,,
2363,2012年06月30日,,,,              2159601,,                    134,,                 54596,,                  5558,,                 53287,,                 22642,,                 34000,                  7741,                 41741,              2337559,,,              4160937,,                452298,,                249694,,                873743,,                220135,                517052,,                  3304,,                 59717,              6593979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      7520000,,,,,                              0,,,,,                 56413,              8931538,,,,,,                 19448,,                 20677,,                206027,,                 36176,                282328,,,                  1192,                  1192,                  1192,                283520,,,,              6277330,              6277330,,              1339869,,                              0,,               -647975,               -647975,,              1752465,                 73671,              8648018,                              0,              8648018,,,                              0,                              0,,                 60403,                              0,,
2363,2012年03月31日,,,,              2601738,,                 13987,,                 95015,,                  6436,,                 85647,,                 24339,,                 34000,                 16163,                 50163,              2877325,,,              4667710,,                513406,,                 96767,,                936120,,                255293,                529737,,                  6474,,                 62887,              7122971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                              0,,,,,                 56413,             10000296,,,,,,                 79622,,                 14803,,                223246,,                 46102,                364273,,,                  1183,                  2211,                  2211,                366484,,,,              6277330,              6277330,,              1956745,,                 74751,,             -1008863,               -934112,,              2254953,                              0,              9554916,                 78896,              9633812,,,                              0,                              0,,                 61051,                  1028,,                    500
2363,2012年01月01日,,,,              3063510,,                  6762,,                 79724,,                  7011,,                100110,,                  8753,,                 34000,                 13871,                 47871,              3313741,,,              4106272,,                513406,,                104642,,                963791,,                233311,                529732,,                  5544,,                 61957,              6576633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     23251000,,,,,                              0,,                              0,,,                 56413,              9890374,,,,                              0,,                 79510,,                  3046,,                246617,,                 36387,                365560,,,                  1247,                  2368,                  2368,                367928,,,,              6577330,              6577330,,              1987066,,                 74751,,               -662507,               -587756,,              1700067,                249433,              9427274,                 95172,              9522446,,,                              0,                              0,,                 63522,                  1121,,                              0
