證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 避險之衍生金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 避險之衍生金融負債－流動,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 避險之衍生金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計
2409,2015年09月30日,,,,             76915236,,                 77458,,             41240399,,              2602853,,                 31031,,                 24795,,,             38098575,             38098575,,                254144,                254144,,             16770160,              4822902,             21593062,            180837553,,,              1918053,,                 38050,,             12202938,,            216670362,,                465868,,             14809569,             17403556,,,              5822241,              5822241,            269330637,            450168190,,,,,              1836263,,                320378,,             57172497,,              9171827,,              5935788,              5935788,                 40607,              2842878,,              5258119,,,                566226,             48690951,             49257177,             24161866,             73419043,            155997400,,                 10619,,                              0,,             68007808,,              1130789,,              5489835,,              5425238,             80064289,            236061689,,,,             96242451,             96242451,,             60097799,,             28815436,,              5724840,            190880526,             23225975,            214106501,            450168190,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,2015年06月30日,,,,             89753829,,                196993,,             46010557,,              3181583,,                291539,,                 37110,,,             37444973,             37444973,,,,,              9083391,              4801881,             13885272,            190801856,,,              2283543,,                 37345,,             11666745,,            214249946,,                465868,,             14735773,             17326933,,,              3980781,              3980781,            264746934,            455548790,,,,,                              0,,                229599,,             53858371,,              8943886,,              4452639,              4452639,                 34133,              2401334,,             11032743,,,             11643750,             43597530,             55241280,             29613605,             84854885,            165807590,,                  7359,,                              0,,             74891449,,              1141051,,              4905226,,              5736390,             86681475,            252489065,,,,             96242451,             96242451,,             60115260,,             25352419,,              3324013,            185034143,             18025582,            203059725,            455548790,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,2015年03月31日,,,,             78324641,,                392137,,             51067803,,              4091574,,                 62490,,                 42320,,,             38033677,             38033677,,,,,              3824919,              4438206,              8263125,            180277767,,,                 41364,,                 37345,,             14932730,,            222606013,,                465868,,             14958286,             17357463,,,              4084186,              4084186,            274483255,            454761022,,,,,                              0,,                 48208,,             56100283,,             10819984,,              4300792,              4300792,                 38357,              1150878,,             11700814,,,             13171845,             39864377,             53036222,             23921224,             76957446,            161116762,,                  8120,,                              0,,             78310758,,              1212742,,              5085269,,              4182444,             88799333,            249916095,,,,             96242451,             96242451,,             59501065,,             25674877,,              4259084,            185677477,             19167450,            204844927,            454761022,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,2014年12月31日,,,,             81965333,,                133412,,             55950687,,              3613524,,                 56945,,                 42856,,,             36420148,             36420148,,                              0,                              0,,              3024073,              4407556,              7431629,            185614534,,,                 40379,,                 37345,,             14796070,,            231814724,,                465868,,             15166350,             17424857,,,              4499558,              4499558,            284245151,            469859685,,,,,                381322,,                232879,,             63359887,,             11463941,,              4496702,              4496702,                 56902,                926384,,              8696279,,,             15110028,             41507062,             56617090,             26209075,             82826165,            172440461,,                  7093,,                              0,,             85689365,,              1576687,,              5294891,,              4481264,             97049300,            269489761,,,,             96242451,             96242451,,             59258041,,             20528831,,              4945716,            180975039,             19394885,            200369924,            469859685,              0,              0,,                              0,              0,             81965333,                 42856,            469859685,,,,                381322,,                232879,                              0,,             63359887,,             11463941,,              4496702,              4496702,                 56902,                926384,,              8696279,,,             15110028,             41507062,             56617090,             26209075,             82826165,            172440461,,,                              0,                  7093,,                              0,,             85689365,,              1576687,,              5294891,,              4481264,             97049300,            269489761,,,,             96242451,             96242451,,             59258041,,             20528831,,              4945716,            180975039,             19394885,            200369924,,
2409,2014年09月30日,,,,             75413600,,                132122,,             47300450,,              3340831,,                115064,,                 64077,,,             35286615,             35286615,,                781569,                781569,,              4631472,              5242641,              9874113,            172308441,,,                 48445,,                144847,,             13690707,,            237695760,,                465867,,             15102850,             17100860,,,              3833659,              3833659,            288082995,            460391436,,,,,                676500,,                377347,,             62142104,,             13707019,,              4680827,              4680827,                 47067,                294152,,              7025838,,,                              0,             45106923,             45106923,             22109575,             67216498,            156167352,,                  1010,,             15415608,,             90538505,,              1467068,,              3258609,,              4777522,            115458322,            271625674,,,,             96242451,             96242451,,             59459184,,             15548513,,              3544902,            174795050,             13970712,            188765762,            460391436,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,2014年06月30日,,,,             76535803,,                 91001,,             45480652,,              3048388,,                368931,,                 63812,,,             35299059,             35299059,,,,,              2047621,              5162816,              7210437,            168098083,,,                563999,,                144777,,             13440237,,            248563505,,              1250029,,             15314645,             17309093,,,              4224382,              4224382,            300810667,            468908750,,,,,              1323050,,                 23955,,             58530274,,             13600405,,              5409977,              5409977,                 49292,                196195,,              5777091,,,                              0,             48434432,             48434432,             22193105,             70627537,            155537776,,                  8729,,             17951375,,            101395397,,              4997264,,              3180699,,              5379912,            132913376,            288451152,,,,             96242451,             96242451,,             59452213,,              8216282,,              2763461,            166674407,             13783191,            180457598,            468908750,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,2014年03月31日,,,,             73077313,,                  9912,,             41354356,,              3314710,,                 77059,,                 60240,,,             37422212,             37422212,,,,,              2610486,              4201294,              6811780,            162127582,,,                494915,,                281960,,             13809992,,            259471921,,              1252621,,             15526569,             17206721,,,              4353169,              4353169,            312397868,            474525450,,,,,              1248117,,                178195,,             59221409,,             13667220,,              5444409,              5444409,                 56945,                477067,,              6052311,,,                              0,             49792318,             49792318,             18939758,             68732076,            155077749,,                  8938,,             19305829,,            106864077,,              5238948,,              3235259,,              5781270,            140434321,            295512070,,,,             96242451,             96242451,,             60718885,,              4279756,,              3538696,            164779788,             14233592,            179013380,            474525450,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,2013年12月31日,,,,,,                 48850,,             40600855,,              3032906,,                 93418,,,,,             37597994,             37597994,,                732879,                732879,,              6800097,              4336937,             11137034,            169604057,,,                400011,,                300719,,             13353861,,            270269007,,              1255214,,             15713137,             17204951,,,              4141894,              4141894,            322638794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,              0,             76312272,                 47849,            492242851,,,,              3457174,,                420861,                              0,,             63410426,,             14952576,,              7468055,              7468055,                 70552,                614749,,              6344114,,,                              0,             62763024,             62763024,             21460893,             84223917,            180962424,,,                              0,                 17062,,             19513820,,             98974151,,              5129403,,              3247631,,              6052491,            132934558,            313896982,,,,             96242451,             96242451,,             60503012,,              4017495,,              3546391,            164309349,             14036520,            178345869,,
2409,2013年09月30日,,,,,,                 96990,,             43332701,,              3336925,,                103317,,,,,             41511250,             41511250,,                 69612,                 69612,,              6181524,              5374518,             11556042,            170050184,,,                285127,,              1429471,,             13387839,,            281245743,,              1257806,,             15518393,             17206917,,,              3990386,              3990386,            334321682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,              0,             69974592,                 68755,            504371866,,,,                906421,,                 49995,                              0,,             66640388,,             15772831,,              8046083,              8046083,                 61931,                366646,,              6565959,,,                              0,             55921853,             55921853,             21538548,             77460401,            175870655,,,                              0,                 20222,,             19770287,,            117422782,,              5200918,,              3112417,,              6496208,            152022834,            327893489,,,,             96242451,             96242451,,             60473876,,              3104342,,              2882367,            162703036,             13775341,            176478377,,
2409,2013年06月30日,,,,,,                151069,,             41109184,,              3778920,,                328231,,,,,             41810208,             41810208,,                              0,                              0,,              5461195,              5135581,             10596776,            175493823,,,                280235,,              1435107,,             13458756,,            293577823,,              1260399,,             14714386,             17226058,,,              4434687,              4434687,            346387451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,              0,             77652749,                 66686,            521881274,,,,              2567653,,                100011,                              0,,             65066847,,             15855914,,             10541510,             10541510,                 93336,                225554,,              7318461,,,                              0,             52326151,             52326151,             20906806,             73232957,            175002243,,,                              0,                 32299,,             21078624,,            132177154,,              8969514,,              3220878,,              6810286,            172288755,            347290998,,,,             96242451,             96242451,,             60504027,,                614341,,              3356953,            160717772,             13872504,            174590276,,
