證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 預付投資款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 預付貨款,　　　　 其他流動資產－其他,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 預收款項,　　　　　　 預收股本,　　　　　　 預收款項合計,　　　　 現金及約當現金合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 其他金融資產－流動,　　　　　 長期應收票據,　　　　　 長期應收分期帳款,　　　　　 催收款項,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收款－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待分配股票股利,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　　 其他非流動資產－其他,　　　　 預收款項,　　　　　 預收款項合計
1528,2015年09月30日,,,,                503762,,                 78661,,                 36232,,                  7384,,                236430,,                980491,,                 39340,,              1221652,,                 74746,,                 48083,              3226781,,,                 26747,,                995943,,                159400,                 45879,,,                 85506,                              0,,                 47323,                132829,              1360798,              4587579,,,,,                949421,,                  2254,,                255274,,                261039,                  1143,,                 37511,,,                122568,                163355,                285923,              1792565,,,                236572,,                 31871,,                123965,                392408,              2184973,,,,              1800000,              1800000,,                337206,,                163053,,                 63893,                226946,,                 33819,                 10404,              2387567,                 15039,              2402606,              4587579,              0,      1150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,2015年06月30日,,,,                475571,,                 77993,,,,                 23319,,                166362,,              1023093,,                 34531,,              1213054,,                103126,,                 18971,              3136020,,,                 26747,,                980266,,                148148,                 39365,,,                100229,                              0,,                 48640,                148869,              1343395,              4479415,,,,,                679295,,                  2669,,                390326,,                287456,                  1098,,                 38716,,,                196110,                143664,                339774,              1739334,,,                214497,,                 23615,,                126874,                364986,              2104320,,,,              1800000,              1800000,,                337206,,                163053,,                 63064,                226117,,                 -1557,,              2361766,                 13329,              2375095,              4479415,              0,              0,                103126,                 18971,                 18000,                269456,                126834,                     40,,                  2258,,                 -3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,2015年03月31日,,,,                605488,,                 45017,,,,                 25858,,                179033,,                925083,,                 46189,,              1281183,,                 74877,,                 20901,              3203629,,,                 26747,,                992060,,                150790,                 38052,,,                108104,,,                 52403,                160507,              1368156,              4571785,,,,,                659250,,                  5898,,                361643,,                268973,                 25214,,                 39957,,,                319812,                161527,                502409,              1863344,,,                533080,,                 17064,,                126531,                676675,              2540019,,,,              1470000,              1470000,,                304206,,                161309,,                 74590,                235899,,                  6704,,              2016809,                 14957,              2031766,              4571785,              0,              0,                 74877,                 20901,,,                126491,                     40,,                  9327,,                 -2623,,                 21070,                 21070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,2014年12月31日,,,,                567333,,                 44652,,                              0,,                 11269,,                233745,,                977635,,                 12383,,              1292030,,                 28200,,                 43916,              3211163,,,                 26747,,                998104,,                148839,                 53656,,,                 57836,                              0,,                 68000,                125836,              1353182,              4564345,,,,,                533370,,                  3059,,                343510,,                253292,                 39076,,                 33738,,,                385583,                145749,                531332,              1737377,,,                634734,,                 26315,,                127698,                788747,              2526124,,,,              1470000,              1470000,,                304206,,                161309,,                 74123,                235432,,                 29425,                              0,              2039063,                   -842,              2038221,              4564345,              0,              0,                 28200,                 43916,                              0,                253292,                127698,                              0,,                 32413,,                 -2988,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,2014年09月30日,,,,                783109,,                 44729,,                              0,,                 49340,,                265752,,              1012430,,                 24300,,              1221760,,                 70148,,                 47681,              3519249,,,                 26747,,                799960,,                140657,                 55519,,,                 81990,                172141,,                 80351,                334482,              1357365,              4876614,,,,,                852395,,                  8784,,                396409,,                293197,                 12377,,                 20502,,,                407167,                 80108,                487275,              2070939,,,                610822,,                 43895,,                148113,                802830,              2873769,,,,              1470000,              1470000,,                304206,,                161309,,                 53960,                215269,,                 14624,                              0,              2004099,                 -1254,              2002845,              4876614,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,2014年06月30日,,,,                803305,,                 44870,,,,                177099,,                257293,,              1046286,,                 45385,,              1098314,,                 65879,,                 26895,              3565326,,,                 26747,,                902428,,                 42485,                 50835,,,                118079,                126240,,                 65396,                309715,              1332210,              4897536,,,,,                770700,,                  5965,,                472013,,                380712,                  7046,,                 19854,,,                363916,                112690,                476606,              2132896,,,                553008,,                 43895,,                149156,                746059,              2878955,,,,              1470000,              1470000,,                304206,,                161309,,                 84394,                245703,,                   -648,,              2019261,                   -680,              2018581,              4897536,              0,              0,                 65879,                 26895,                 88200,                292512,                149156,                              0,,                  2122,,                 -2770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,2014年03月31日,,,,                857485,,                 51467,,,,                103492,,                203945,,              1028108,,                 56420,,              1125810,,                 16873,,                101645,              3545245,,,                 26747,,                920821,,                 43547,                 50916,,,                 92355,,,                 48695,                141050,              1183081,              4728326,,,,,                558834,,                 10707,,                449154,,                256180,                 13354,,                 33069,,,                344021,                142006,                486027,              1807325,,,                614638,,                 43977,,                151365,                809980,              2617305,,,,              1470000,              1470000,,                304206,,                150528,,                176032,                326560,,                 10680,,              2111446,                   -425,              2111021,              4728326,              0,              0,                 16873,                101645,,,                151365,                              0,,                 14893,,                 -4213,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,2013年12月31日,,,,,,                 94947,,,,,,                193026,,                975424,,                  4359,,              1092582,,,,                330809,              3414096,,,                 26747,,                934889,,                 15082,                 50916,,,                 68835,,,                 47683,                145831,              1173465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 57293,,,,,,,,,,,,                722949,,                              0,,                              0,                273516,                  2644,                 66191,                              0,,                 29313,                 29313,              4587561,,,,                537113,,                              0,,                  5802,,                340768,,                              0,                              0,,                260243,                    359,                  8034,,                 28037,,,                242990,                242990,                105023,                348013,              1528369,,,                751304,,                 43977,,                150958,                150958,                946239,              2474608,,,,              1470000,                              0,              1470000,,                304206,,                150528,                              0,,                160498,                311026,,,                 16236,,                 -9657,                  6579,                              0,              2091811,                 21142,              2112953,              0,,,,,
1528,2013年09月30日,,,,,,                 99788,,,,,,                223635,,              1068749,,                 19688,,              1038248,,,,                622187,              3538459,,,                 26747,,                948847,,                 15554,                 56369,,,                106559,                              0,,                 49231,                188945,              1236462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 90797,,,,,,,,,,,,                466164,,,,                              0,                531390,                  3163,                103396,                              0,,                 33155,                 33155,              4774921,,,,                568172,,                              0,,                  5721,,                442563,,                              0,                              0,,                282884,                              0,                 22075,,                 29184,,,                234153,                234153,                 93184,                327337,              1677936,,,                814232,,                 46816,,                159758,                159758,              1020806,              2698742,,,,              1470000,                              0,              1470000,,                304206,,                150528,                              0,,                132584,                283112,,,                  3598,,                 -7953,                 -4355,                              0,              2052963,                 23216,              2076179,              0,,                              0,                 49231,,
1528,2013年06月30日,,,,,,                119855,,,,,,                277982,,              1149705,,                 27351,,                963753,,,,                461972,              3461277,,,                 26747,,                965426,,                 16024,                 56369,,,                146088,                              0,,                 48933,                195021,              1259587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 50009,,,,,,,,,,,,                424150,,,,                 36509,                411963,                  4116,                141972,                              0,,                              0,                              0,              4720864,,,,                434331,,,,                  5917,,                561648,,,,,                357391,                              0,                 20145,,                 32884,,,                177860,                177860,                 71034,                248894,              1661210,,,                735510,,                 46816,,                188476,                188476,                970802,              2632012,,,,              1470000,,              1470000,,                304206,,                150528,                              0,,                126314,                276842,,,                 11167,,                  3482,                 14649,                              0,              2065697,                 23155,              2088852,              0,,                              0,                 48933,,
