證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
3005,2015年09月30日,,,,              5243393,,                  4674,,                  1091,,              4645615,,                 49444,,                 88973,,              2935219,,                330493,,                              0,,              1052311,              1052311,             14351213,,,                242990,,                174295,,                830440,,              6199986,,                378769,,                102687,                198236,,                744129,              8871532,             23222745,,,,,              1211621,,                 60000,,                  3074,,                  1560,,              3179862,,                  6932,,              2060514,                229284,,                176384,,                619822,              7549053,,,                302277,,                272876,,                 19423,,                225376,                819952,              8369005,,,,              5820362,              5820362,,,              2397078,                  1146,                113722,                 22736,                  7351,                 29110,              2571143,,                991900,                 19660,,              3309543,              4321103,,,              1244753,,               -281690,                963063,                 93329,             13582342,              1271398,             14853740,             23222745,              0,              0,      4631000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,2015年06月30日,,,,              6586647,,                  1488,,                    245,,              4137784,,                 53267,,                339848,,              2775847,,                221053,,                              0,,                797071,                797071,             14913250,,,                353283,,                170179,,                767511,,              6179019,,                383988,,                101199,                187798,,                696858,              8839835,             23753085,,,,,              2032002,,                 60000,,                  7218,,                  4595,,              2755029,,                  5069,,              2637382,                227523,,                171229,,                472070,              8372117,,,                484272,,                257513,,                 19579,,                225219,                986583,              9358700,,,,              5820362,              5820362,,,              2397078,                  1146,                113722,                 22736,                  7514,                 25240,              2567436,,                991900,                 19660,,              3053675,              4065235,,,                870908,,               -137872,                733036,,             13186069,              1208316,             14394385,             23753085,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,2015年03月31日,,,,              6639625,,                 12376,,                    578,,              4201514,,                 35623,,                355798,,              2738533,,                205299,,                              0,,                609324,                609324,             14798670,,,                254889,,                170841,,                894160,,              6312233,,                394979,,                102386,                184840,,                628247,              8942575,             23741245,,,,,              2047480,,                 60000,,                              0,,                  3103,,              3013551,,                  5808,,              1619648,                392606,,                153207,,                586684,              7882087,,,                461413,,                295555,,                  1356,,                272165,              1030489,              8912576,,,,              5820362,              5820362,,,              2397078,                  1146,                113722,                 23833,                  6655,                 21412,              2563846,,                903966,                 19660,,              3625670,              4549296,,,                950280,,               -234343,                715937,,             13649441,              1179228,             14828669,             23741245,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,2014年12月31日,,,,              5583026,,                    697,,                  2953,,              4902575,,                 55242,,              1039562,,              2816780,,                213136,,                 34478,,                713713,                713713,             15362162,,,                245501,,                171475,,                890171,,              6553349,,                409522,,                105075,                173684,,                627787,              9176564,             24538726,,,,,              2245987,,                 50000,,                    789,,                 94316,,              3525765,,                  9868,,              1877894,                295245,,                128191,,                702803,              8930858,,,                710517,,                303097,,                  8127,,                269714,              1291455,             10222313,,,,              5820362,              5820362,,,              2397078,                  1146,                113722,                  2308,                  5795,                 17626,              2537675,,                903966,                 19660,,              3244966,              4168592,,,              1085276,,               -238417,                846859,                              0,             13373488,                942925,             14316413,             24538726,              0,              0,              0,              5583026,             24538726,,,,              2245987,,                 50000,,                    789,,                 94316,,              3525765,,                  9868,,              1877894,                295245,,                128191,,                702803,              8930858,,,                710517,,                303097,,                  8127,,                262550,              1284291,             10215149,,,,              5820362,              5820362,,,              2397078,                  1146,                113722,                  2308,                  5795,                 17626,              2537675,,                903966,                 19660,,              3252130,              4175756,,,              1085276,,               -238417,                846859,             13380652,                942925,             14323577
3005,2014年09月30日,,,,              4870994,,                    893,,                    686,,              3954318,,                 68782,,                164091,,              2680989,,                244580,,                313560,,                711014,                711014,             13009907,,,                261673,,                168911,,                889167,,              6643028,,                221503,,                104672,                153520,,                597412,              9039886,             22049793,,,,,              2134764,,                              0,,                  2102,,                  2356,,              2994171,,                 13444,,              1533736,                 98652,,                146070,,                546519,              7471814,,,                714903,,                485175,,                  7531,,                113235,              1320844,              8792658,,,,              5820362,              5820362,,,              2397078,                  1146,                113722,                  1161,                  4935,                 13756,              2531798,,                903966,                 19660,,              2672564,              3596190,,,                606732,,               -197265,                409467,                              0,             12357817,                899318,             13257135,             22049793,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,2014年06月30日,,,,              4245032,,                  3398,,                    256,,              3845114,,                 51880,,                192248,,              2407222,,                235756,,                              0,,              1096054,              1096054,             12076960,,,                274407,,                167869,,                955527,,              6786559,,                274175,,                101215,                159747,,                734064,              9453563,             21530523,,,,,              2058278,,                 60000,,                  1142,,                  2182,,              2596454,,                 11993,,              1895782,                 98525,,                157390,,                504221,              7385967,,,                652700,,                251353,,                  6345,,                104587,              1014985,              8400952,,,,              5820362,              5820362,,,              2397078,                  1146,                 64053,                  1161,                  4075,                  9886,              2477399,,                903966,                 19660,,              2590165,              3513791,,,                448327,,                -93754,                354573,,             12166125,                963446,             13129571,             21530523,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,2014年03月31日,,,,              4272179,,                  1450,,                  9159,,              3845358,,                 60677,,                168939,,              2512267,,                359504,,                              0,,                767792,                767792,             11997325,,,                287609,,                144059,,                865943,,              7037100,,                281947,,                 98160,                162556,,                745625,              9622999,             21620324,,,,,              1983681,,                 60000,,                  2088,,                  1301,,              2886903,,                 10488,,              1321588,                102436,,                153561,,                443200,              6965246,,,                725119,,                277060,,                  9416,,                101217,              1112812,              8078058,,,,              5820362,              5820362,,,              2397078,                  1146,                              0,                    258,                  3216,                  6058,              2407756,,                863727,                218579,,              2817269,              3899575,,,                627924,,               -160390,                467534,,             12595227,                947039,             13542266,             21620324,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,2013年12月31日,,,,,,                     70,,                 23921,,              3954504,,                139669,,                172720,,              2606161,,                328598,,                              0,,                753034,                753034,             12248408,,,                291347,,                142939,,                868311,,              7048626,,                282213,,                 98820,                157836,,                765751,              9655843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              4269731,             21904251,,,,              1883233,,                              0,,                  4289,,                  4000,,              3114862,,                 18865,,              1617555,                 70747,,                145865,,                502625,              7362041,,,                786273,,                268085,,                  9383,,                 98678,              1162419,              8524460,,,,              5820362,              5820362,,,              2397078,                  1146,                              0,                    258,                  2356,                  2370,              2403208,,                863727,                218579,,              2814487,              3896793,,,                510776,,               -157430,                353346,             12473709,                906082,             13379791
3005,2013年09月30日,,,,,,                  2891,,                 12243,,              3712988,,                151835,,                161182,,              2382105,,                402469,,                              0,,                 51952,                 51952,             11374369,,,                251140,,                117379,,                829709,,              7333714,,                248892,,                100306,                198455,,                750502,              9830097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              4496704,             21204466,,,,              1875394,,                              0,,                  4882,,                  4750,,              2805552,,                  7022,,              1538361,                114295,,                130188,,                493785,              6974229,,,                844386,,                296522,,                  7419,,                111271,              1259598,              8233827,,,,              5820362,              5820362,,,              2397078,                  1146,                              0,                    829,                  1561,                              0,              2400614,,                863727,                218579,,              2613238,              3695544,,,                399047,,               -218421,                180626,             12097146,                873493,             12970639
3005,2013年06月30日,,,,,,                  1520,,                  5602,,              3893079,,                129755,,                127525,,              2486408,,                373290,,,,                245757,                245757,             12381836,,,                222170,,                118279,,                797501,,              7542014,,                254017,,                100773,                193162,,                761097,              9989013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              5118900,             22370849,,,,              2958269,,                 40000,,                  1492,,                  4238,,              2585309,,                  7175,,              1907572,                107254,,                133330,,                555215,              8299854,,,                685584,,                279575,,                  9187,,                114018,              1088364,              9388218,,,,              5820362,              5820362,,,              2397078,                  1146,                              0,                              0,                    748,                              0,              2398972,,                863727,                218579,,              2545393,              3627699,,,                518498,,               -247410,                271088,             12118121,                864510,             12982631
