證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 保固之長期負債準備,　　　　　 負債準備－非流動合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 保固之長期負債準備,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券合計
2546,2015年09月30日,,,,              1181751,,                 96725,,                 38433,,                123663,,              1142379,,                625599,                763436,,                116384,,                182419,                 11152,                193571,              4281941,,,                151665,,                    222,,                  6345,,                 64617,,                104526,                 10294,,                  2645,,                 10185,                 12830,                350499,              4632440,,,,,                              0,,                268492,,              1770971,                372491,,                 98327,                 18411,,                  3059,              2531751,,,                 48853,                 48853,,                              0,                  3763,                  3763,                 52616,              2584367,,,,              1060357,              1060357,,                515312,,                488698,,                -16394,                              0,              2047973,                    100,              2048073,              4632440,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,2015年06月30日,,,,              1346750,,                115482,,                127713,,                204435,,                802967,,                480121,                774171,,                111226,,                159130,                  7329,                166459,              4129324,,,                186591,,                    222,,                  7925,,                 64708,,                104642,                 10424,,                  2646,,                 10670,                 13316,                387828,              4517152,,,,,                              0,,                201504,,              1694516,                320289,,                240036,                  6909,,                  3010,              2466264,,,                 49055,                 49055,,                              0,                  4923,                  4923,                 53978,              2520242,,,,              1060357,              1060357,,                515312,,                402609,,                 18523,                              0,              1996801,                    109,              1996910,              4517152,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,2015年03月31日,,,,              1162723,,                129425,,                227634,,                293416,,                818318,,                525180,                629194,,                 77471,,                162688,                 12292,                174980,              4038341,,,                248350,,                    222,,                  8685,,                 64810,,                104759,                 15035,,                  2644,,                 11457,                 14101,                455962,              4494303,,,,,                              0,,                249138,,              1626961,                267486,,                 71171,                 35336,,                  3134,              2253226,,,                 50113,                 50113,,                              0,                  3763,                  3763,                 53876,              2307102,,,,              1060357,              1060357,,                515312,,                531139,,                 80268,                              0,              2187076,                    125,              2187201,              4494303,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,2014年12月31日,,,,              1337250,,                111864,,                207843,,                336365,,                714971,,                593913,                545065,,                 53467,,                183113,                  3883,                186996,              4087734,,,                241961,,                    222,,                  5841,,                 64934,,                104876,                 15210,,                  2971,,                 11246,                 14217,                447261,              4534995,,,,,                 50000,,                328474,,              1642628,                111206,,                142445,                 32595,,                 16680,              2324028,,,                 50120,                 50120,,                              0,                  2265,                  2265,                 52385,              2376413,,,,              1060357,              1060357,,                515312,,                508911,,                 73881,                              0,              2158461,                    121,              2158582,              4534995,              0,              0,              0,              1337250,                  2971,              4534995,,,,                 50000,,                328474,,              1642628,                111206,,                142445,                 32595,,                 16680,              2324028,,,                 50120,                 50120,,                              0,                  2265,                  2265,                 52385,              2376413,,,,              1060357,              1060357,,                515312,,                508911,,                 73881,                              0,              2158461,                    121,              2158582,,
2546,2014年09月30日,,,,              1155569,,                117453,,                218753,,                255127,,                729223,,                446479,                459814,,                 44911,,                174673,                  7426,                182099,              3609428,,,                237276,,                    222,,                  7252,,                 65126,,                104993,                 11995,,                              0,,                 55564,                 55564,                482428,              4091856,,,,,                              0,,                290745,,              1390210,                107713,,                 81580,                 26698,,                  3929,              1900875,,,                 49660,                 49660,,                  3245,                  1730,                  4975,                 54635,              1955510,,,,              1060357,              1060357,,                515312,,                491359,,                 69197,                              0,              2136225,                    121,              2136346,              4091856,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,2014年06月30日,,,,              1154889,,                124138,,                214413,,                373848,,                816078,,                604204,                493232,,                 48318,,                261844,                  6429,                268273,              4097393,,,                245926,,                    222,,                  6068,,                 65318,,                105109,                 12946,,                              0,,                  9883,                  9883,                445472,              4542865,,,,,                              0,,                455708,,              1479292,                212928,,                185291,                 37030,,                  4296,              2374545,,,                 51319,                 51319,,                  3248,                  1733,                  4981,                 56300,              2430845,,,,              1060357,              1060357,,                515312,,                455550,,                 80681,                              0,              2111900,                    120,              2112020,              4542865,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,2014年03月31日,,,,              1076755,,                130974,,                148324,,                508984,,                604288,,                690798,                597594,,                 30922,,                221345,                  5408,                226753,              4015392,,,                265703,,                  4500,,                  6162,,                 65510,,                105226,                 13925,,                              0,,                  5153,                  5153,                466179,              4481571,,,,,                              0,,                342379,,              1601167,                180167,,                 68260,                 40558,,                  3120,              2235651,,,                 49219,                 49219,,                  3252,                  1733,                  4985,                 54204,              2289855,,,,              1060357,              1060357,,                515312,,                509139,,                106780,                              0,              2191588,                    128,              2191716,              4481571,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,2013年12月31日,,,,,,                144798,,                115271,,                465649,,                631088,,                718400,                504365,,                 53935,,                197948,                  3679,                201627,              3918390,,,                272609,,                  4500,,                  5049,,                 65701,,                105343,                 14330,,,,                  3962,                  3962,                471494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1083257,                              0,              4389884,,,,                              0,,                320667,,              1407622,                301291,,                132394,                 24208,,                 18303,              2204485,,,                 45723,                 45723,,                  3254,                  1733,                  4987,                 50710,              2255195,,,,              1060357,              1060357,,                515312,,                432998,,                125889,                              0,              2134556,                    133,              2134689,,                              0
2546,2013年09月30日,,,,,,                152736,,                  4828,,                465934,,                579335,,                362607,                669299,,                 96153,,                325763,                  7391,                333154,              3557007,,,                263899,,                  4500,,                  7960,,                 65893,,                105460,                  9491,,,,                  3028,                  3028,                460231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                892961,,              4017238,,,,,,                279195,,              1221002,                231460,,                 85505,                 11677,,                 20913,              1849752,,,                 39326,                 39326,,                  4685,                  5906,                 10591,                 49917,              1899669,,,,              1060357,              1060357,,                515312,,                398437,,                143325,,              2117431,                    138,              2117569,,
2546,2013年06月30日,,,,,,                154008,,                 40247,,                203605,,                598431,,                564669,                725235,,                 96762,,                351653,                  6016,                357669,              3723401,,,                276348,,                  4500,,                  6801,,                 66085,,                105576,                  8996,,,,                  2081,                  2081,                470387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                982775,,              4193788,,,,                 50000,,                206059,,              1212901,                360386,,                169496,                 11873,,                  2512,              2063227,,,                 34705,                 34705,,                  4691,                  4938,                  9629,                 44334,              2107561,,,,              1060357,              1060357,,                515312,,                354649,,                155772,                              0,              2086090,                    137,              2086227,,                 50000
