證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　　 一年或一營業週期內到期長期借款,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 庫藏股票,　　　 共同控制下前手權益,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 庫藏股票
1809,2015年09月30日,,,,                761321,,                 15884,,                108610,,                886750,                  2077,,                 22632,,                970118,,              1081101,              3848493,,,                  9322,,              1746437,,                119845,,                 14072,,                  4397,                 18469,                 73096,,                140866,              2108035,              5956528,,,,,                263360,,                 49981,,                203508,,                127000,                  8967,,                113689,                 21569,,,                149172,                 26118,                175290,                963364,,,                159929,,                125595,,                171625,                  3000,                174625,                460149,              1423513,,,,              1898204,              1898204,,                127981,,                333309,                 99759,,              1005471,              1438539,,                160219,              3624943,                908072,              4533015,              5956528,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2015年06月30日,,,,                721485,,                 17619,,                 99953,,                875277,                  2112,,                 27048,,                986916,,                973495,              3703905,,,                  9322,,              1728144,,                120350,,                 14072,,                  4306,                 18378,                 70142,,                139792,              2086128,              5790033,,,,,                285647,,                              0,,                191551,,                138023,                  6769,,                239852,                 25439,,,                107183,                 18899,                126082,              1013363,,,                108214,,                128537,,                170948,                              0,                170948,                407699,              1421062,,,,              1898204,              1898204,,                127981,,                333309,                 99759,,                982582,              1415650,,                 54596,              3496431,                872540,              4368971,              5790033,              0,              0,                107183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2015年03月31日,,,,                670527,,                 20262,,                128518,,                954609,                  1831,,                 23234,,                964173,,                979317,              3742471,,,                  9322,,              1737494,,                120854,,                 14072,,                  4445,                 18517,                 69336,,                143495,              2099018,              5841489,,,,,                321661,,                              0,,                115754,,                156562,                 20412,,                124657,                 19384,,,                100611,                  9978,                110589,                869019,,,                157892,,                129202,,                170510,                              0,                170510,                457604,              1326623,,,,              1898204,              1898204,,                184927,,                316859,                 99759,,              1024916,              1441534,,                 83657,              3608322,                906544,              4514866,              5841489,              0,              0,,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2014年12月31日,,,,                685304,,                 19534,,                203348,,                980208,                  1831,,                 12406,,                969211,,                990609,              3862451,,,                  5979,,              1768860,,                121369,,                 14072,,                    218,                 14290,                 72913,,                135731,              2119142,              5981593,,,,,                299307,,                 29978,,                152120,,                185262,                 20377,,                140713,                 15963,,,                117148,                 11926,                129074,                972794,,,                158088,,                129011,,                170078,                              0,                170078,                457177,              1429971,,,,              1898204,              1898204,,                182836,,                316859,                 99759,,                996923,              1413541,,                105844,              3600425,                951197,              4551622,              5981593,              0,              0,                117148,,                              0,                              0,                              0,                685304,              5981593,,,,                299307,,                 29978,,                152120,,                185262,                 20377,,                140713,                 15963,,,                117148,                 11926,                129074,                972794,,,                158088,,                129011,,                170078,                              0,                170078,                457177,              1429971,,,,              1898204,              1898204,,                182836,,                316859,                 99759,,                996923,              1413541,,                105844,              3600425,                951197,              4551622,              0,,,
1809,2014年09月30日,,,,                769774,,                 19618,,                216738,,              1070169,                  3980,,                 29691,,                997290,,                778707,              3885967,,,                 11466,,              1789440,,                121888,,                 14072,,                    315,                 14387,                 57636,,                143127,              2137944,              6023911,,,,,                365289,,                 79983,,                224546,,                161629,                 19645,,                168405,                 20109,,,                133460,                 20924,                154384,              1193990,,,                103561,,                129024,,                174890,                 12016,                186906,                419491,              1613481,,,,              1898204,              1898204,,                182836,,                316859,                 99759,,                952420,              1369038,,                 33824,              3483902,                926528,              4410430,              6023911,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2014年06月30日,,,,                614927,,                 24837,,                176001,,              1006592,                  3883,,                 28216,,              1042830,,                792646,              3689932,,,                 11466,,              1787915,,                122407,,                 14072,,                    407,                 14479,                 61273,,                148004,              2145544,              5835476,,,,,                249160,,                 79967,,                169922,,                191236,                 16981,,                241245,                 19162,,,                145537,                 16898,                162435,              1130108,,,                113171,,                127892,,                174355,                 11766,                186121,                427184,              1557292,,,,              1898204,              1898204,,                182836,,                316859,                 99759,,                899639,              1316257,,                -11423,              3385874,                892310,              4278184,              5835476,              0,              0,                145537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2014年03月31日,,,,                780652,,                 14685,,                156246,,                934266,                  3549,,                 26273,,              1030500,,                723878,              3670049,,,                 14324,,              1815464,,                122926,,                 14072,,                    516,                 14588,                 55019,,                131130,              2217512,              5887561,,,,,                289570,,                 99963,,                121489,,                169930,                 20714,,                152131,                 19692,,,                165096,                 21540,                186636,              1060125,,,                167950,,                123270,,                173772,                 13103,                186875,                478095,              1538220,,,,              1898204,              1898204,,                182836,,                302600,                 99759,,                927401,              1329760,,                 25278,              3436078,                913263,              4349341,              5887561,              0,              0,,,                 64061,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2013年12月31日,,,,,,                 12653,,                210386,,                905823,                  3229,,                 39312,,              1177519,,                805570,              3736795,,,                 14297,,              1761915,,                161532,,                 14072,,                    720,                 14792,                 57565,,                131486,              2207564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                 65977,,,                582303,              5944359,,,,                209400,,                129950,,                174639,,                218397,                 20093,,                141082,                 21140,,,                180712,                 26168,                206880,              1121581,,,                181981,,                118917,,                173214,                 13170,                186384,                487282,              1608863,,,,              1898204,              1898204,,                182836,,                302600,                 99759,,                906222,              1308581,,                 19420,              3409041,                926455,              4335496,              0,,,
1809,2013年09月30日,,,,,,                 13178,,                182392,,                902108,                  3237,,                 48739,,              1102205,,                826650,              3737960,,,                 24523,,              1757068,,                161935,,                 14072,,                    740,                 14812,                 54353,,                132736,              2215562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                 70135,,,                659451,              5953522,,,,                245446,,                 49983,,                196704,,                241395,                 21267,,                173283,                 23836,,,                189109,                 30018,                219127,              1171041,,,                233467,,                108828,,                188045,                 12985,                201030,                543325,              1714366,,,,              1898204,              1898204,,                182836,,                302600,                 99759,,                862447,              1264806,,                 -9608,              3336238,                902918,              4239156,              0,,,
1809,2013年06月30日,,,,,,                 13473,,                200623,,                928711,                  3237,,                 40137,,              1080512,,                503663,              3647051,,,                 24523,,              1784681,,                163447,,                 14072,,                    689,                 14761,                 54441,,                130743,              2244877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                 72281,,,                876695,              5891928,,,,                205210,,                 89955,,                169637,,                215782,                 14055,,                214274,                 18216,,,                160584,                 25924,                186508,              1113637,,,                287111,,                103164,,                187507,                 13074,                200581,                590856,              1704493,,,,              1898204,              1898204,,                182836,,                302600,                 99759,,                799459,              1201818,,                  9408,              3292266,                895169,              4187435,              0,,,
