證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計
3094,2015年09月30日,,,,                859098,,                 34983,,                              0,,                 49799,,                  3580,,                 34212,,                  4457,,                     68,                986197,,,                 51587,,                  1686,,                              0,,                132489,,                115357,,                     37,                  4978,,                 13439,                319573,              1305770,,,,,                  6182,,                 10474,,                 31264,                              0,,                  3291,                 51211,,,                    512,,                 22938,                 23450,                 74661,,,,                832551,                832551,,,                244473,                              0,                 38714,                283187,,                 50132,                              0,,                 64232,                114364,,,                  8979,,                 -7976,                  1003,                              0,              1231105,                      4,              1231109,              1305770,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,2015年06月30日,,,,                956855,,,,                              0,,                 56570,,                    535,,                 27921,,                  4919,,                     24,              1046824,,,                 56835,,                  1686,,                              0,,                133298,,                116093,,                     72,                  5771,,                 14568,                328323,              1375147,,,,,                  7434,,                  5281,,                126198,                  5429,,                  2078,                146420,,,                    544,,                 22826,                 23370,                169790,,,,                832551,                832551,,,                244473,                              0,                 38714,                283187,,                 50132,                              0,,                 35893,                 86025,,,                  3199,,                    391,                  3590,                              0,              1205353,                      4,              1205357,              1375147,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,2015年03月31日,,,,                933877,,,,                     14,,                 38823,,                    561,,                 31056,,                  2987,,                     66,              1007384,,,                 60998,,                  1686,,                  7251,,                134246,,                116828,,                    113,                  5355,,                 16096,                342573,              1349957,,,,,                  5024,,                  3611,,                 31698,                  5688,,                  1269,                 47290,,,                    512,,                 22739,                 23251,                 70541,,,,                832551,                832551,,,                277775,                              0,                 38714,                316489,,                 43216,                    358,,                 77823,                121397,,,                  4676,,                  4299,                  8975,                              0,              1279412,                      4,              1279416,              1349957,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,2014年12月31日,,,,                916368,,                              0,,                    475,,                 44201,,                    626,,                 31695,,                  4015,,                      4,                997384,,,                 55736,,                  1686,,                 10103,,                135174,,                117564,,                    157,                  4913,,                 17684,                343017,              1340401,,,,,                  6027,,                  7953,,                 33530,                  3639,,                  1231,                 52380,,,                    512,,                 22627,                 23139,                 75519,,,,                832151,                832151,,,                276505,                              0,                 39392,                315897,,                 43216,                    358,,                 69164,                112738,,,                  5912,,                 -1820,                  4092,                              0,              1264878,                      4,              1264882,              1340401,              0,              0,              0,                916368,              1340401,,,,                  6027,,                  7953,,                 33530,                  3639,,                  1231,                 52380,,,                    512,,                 22627,                 23139,                 75519,,,,                832151,                832151,,,                276505,                              0,                 39392,                315897,,                 43216,                    358,,                 69164,                112738,,,                  5912,,                 -1820,                  4092,                              0,              1264878,                      4,              1264882,,
3094,2014年09月30日,,,,                875632,,                              0,,                              0,,                 41889,,                  3628,,                 31310,,                  4472,,                     64,                956995,,,                 59755,,                  3686,,                 12033,,                136674,,                118303,,                     77,                  5313,,                 20664,                356505,              1313500,,,,,                  7536,,                  5968,,                 26533,                  4502,,                  3863,                 48402,,,                    513,,                 21393,                 21906,                 70308,,,,                854521,                854521,,,                283939,                  3269,                 39392,                326600,,                 43216,                    358,,                 62696,                106270,,,                  1942,,                  1501,                  3443,                 47661,              1243173,                     19,              1243192,              1313500,              0,              0,      2264000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,2014年06月30日,,,,                975099,,,,                              0,,                 45255,,                  2357,,                 26211,,                  5016,,                    142,              1054080,,,                 37069,,                  3686,,                 12921,,                138353,,                119042,,                    123,                  7928,,                 16767,                335889,              1389969,,,,,                  9583,,                 10648,,                118113,                  7493,,                  4052,                149889,,,                    964,,                 21293,                 22257,                172146,,,,                853461,                853461,,,                280573,                  3269,                 41188,                325030,,                 43216,                    358,,                 42089,                 85663,,,                   -326,,                  1501,                  1175,                 47661,              1217668,                    155,              1217823,              1389969,,              0,      2264000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,2014年03月31日,,,,                950710,,,,                              0,,                 49364,,                    531,,                 22524,,                  3246,,                    183,              1026558,,,                 34412,,                  3686,,                 13240,,                139986,,                119782,,                    170,                  7096,,                 17470,                335842,              1362400,,,,,                  5671,,                  5156,,                 29350,                 11383,,                    910,                 52470,,,                    512,,                 21163,                 21675,                 74145,,,,                852891,                852891,,,                306099,                  3269,                 42155,                351523,,                 36419,                  5343,,                 88573,                130335,,,                  1718,,                   -705,                  1013,                 47661,              1288101,                    154,              1288255,              1362400,              0,              0,      2264000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,2013年12月31日,,,,,,,,                     39,,                 42722,,                  1107,,                 25618,,                  3759,,                    143,                996261,,,                 34412,,                  3686,,                 14556,,                141447,,                120522,,                     62,                  7712,,                 18432,                340829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2264000,                922873,              1337090,,,,                  5740,,                  3286,,                 31468,                  7196,,                    959,                 48649,,,                  1796,,                 21063,                 22859,                 71508,,,,                852891,                852891,,,                306099,                  3269,                 42155,                351523,,                 36419,                  5343,,                 67974,                109736,,,                   -358,,                   -705,                 -1063,                 47661,              1265426,                    156,              1265582,,                              0
3094,2013年09月30日,,,,,,,,                     48,,                 41819,,                  1050,,                 34029,,                  4558,,                     63,                984623,,,                 34412,,                  5686,,                 12583,,                143280,,                121267,,                    110,                  9892,,                 19945,                347175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2264000,                899870,              1331798,,,,                  8669,,                 13002,,                 36882,                  4516,,                  1165,                 64234,,,                  2726,,                 20996,                 23722,                 87956,,,,                852891,                852891,,,                306099,                  3269,                 42155,                351523,,                 36419,                  5343,,                 48062,                 89824,,,                 -2186,,                   -705,                 -2891,                 47661,              1243686,                    156,              1243842,,                  3186
3094,2013年06月30日,,,,,,,,                     37,,                 37635,,                  1112,,                 28193,,                  4750,,                              0,              1030613,,,                 35391,,                  5686,,                 12859,,                145010,,                122013,,                    532,                  9916,,                 20836,                352243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2264000,                958886,              1382856,,,,                  8697,,                  5006,,                112481,                  6461,,                  1348,                133993,,,                  2727,,                 20919,                 23646,                157639,,,,                852891,                852891,,,                306099,                  3269,                 42155,                351523,,                 36419,                  5343,,                 27740,                 69502,,,                   -336,,                   -705,                 -1041,                 47661,              1225214,                      3,              1225217,,
3094,2013年03月31日,,,,,,,,                     98,,                 37251,,                  1895,,                 28152,,                  3480,,                              0,                997999,,,                 36391,,                  5686,,                 13361,,                169486,,                 99960,,                  1057,                 10627,,                 22989,                359557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3462000,                927123,              1357556,,,,                  7032,,                  4100,,                 30308,                  2475,,                  1503,                 45418,,,                  3344,,                 19578,                 22922,                 68340,,,,                852891,                852891,,,                339309,                  3269,                 42155,                384733,,                 30284,                              0,,                 71182,                101466,,,                 -1514,,                   -705,                 -2219,                 47661,              1289210,                      6,              1289216,,
3094,2012年12月31日,,,,                873428,,,,                    100,,                 53457,,                  1735,,                 31404,,                  5370,,                              0,                965494,,,                 34344,,                  5686,,                 16340,,                171413,,                100586,,                  1521,                 11518,,                 23496,                364904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3462000,,              1330398,,,,                 11700,,                  5675,,                 44115,                              0,,                  1858,                 63348,,,                  3215,,                 19376,                 22591,                 85939,,,,                852891,                852891,,,                339309,                              0,                 42155,                381464,,                 30284,                              0,,                 57324,                 87608,,,                 -6151,,                 -2404,                 -8555,                 68951,              1244457,                      2,              1244459,,
3094,2012年09月30日,,,,                837233,,,,                     63,,                 51238,,                  4247,,                 37325,,                  2177,,                              0,                932283,,,                 36776,,                  9269,,                 14957,,                173364,,                101050,,                  6202,                 11220,,                 22017,                374855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3462000,,              1307138,,,,                  8483,,                  9109,,                 30652,                              0,,                  1852,                 50096,,,                  3385,,                 16208,                 19593,                 69689,,,,                852891,                852891,,,                339309,                              0,                 42155,                381464,,                 30284,                              0,,                 50534,                 80818,,,                 -5619,,                 -3156,                 -8775,                 68951,              1237447,                      2,              1237449,,                              0
3094,2012年03月31日,,,,                803455,,,,                    399,,                 63002,,                 11623,,                 37799,,                  3457,,                  8434,                928169,,,                 41337,,                  9269,,                 15898,,                177281,,                102282,,                  6422,                 15091,,                 24955,                392535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3462000,,              1320704,,,,                  7801,,                  8354,,                 30117,                  2950,,                    362,                 49584,,,                  3421,,                 15211,                 18632,                 68216,,,,                852271,                852271,,,                389427,                              0,                 41450,                430877,,                 51920,                  7566,,                -17410,                 42076,,,                 -4031,,                   -370,                 -4401,                 68951,              1251872,                    616,              1252488,,
3094,2012年01月01日,,,,                795750,,,,                    110,,                 66384,,                 11727,,                 44425,,                  4016,,                  8658,                931070,,,                 40448,,                  9269,,                 17049,,                179376,,                102908,,                  6975,                 15063,,                 16937,                388025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3065000,,              1319095,,,,                  8900,,                  5581,,                 31119,                    892,,                  1013,                 47505,,,                  3928,,                 15942,                 19870,                 67375,,,,                851230,                851230,,,                389968,                              0,                 40746,                430714,,                 51920,                  7566,,                -28331,                 31155,,,                              0,,                 -1108,                 -1108,                 61848,              1250143,                  1577,              1251720,,
