證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　　 待分配股票股利,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 待分配股票股利
2114,2015年09月30日,,,,                734456,,                              0,,                 21009,,                211837,,                 37041,,                183715,,                 22476,              1210534,,,              1023831,,                    477,                 18527,,                176237,              1219072,              2429606,,,,,                 78145,,                 59451,,                 73297,                 19455,,                  3227,,                 20316,                253891,,,                 36128,,                 15586,                 51714,                305605,,,,                675253,                675253,,,                225374,                  8236,,                      9,                233619,,                316605,,                895385,              1211990,,,                    160,                    160,              2121022,                  2979,              2124001,              2429606,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,2015年06月30日,,,,                969368,,                 25149,,                 16029,,                186316,,                 17754,,                219934,,                 29137,              1463687,,,              1023013,,                    522,                 18277,,                162934,              1204746,              2668433,,,,,                 98913,,                 46729,,                410034,                 49772,,                  3227,,                 42074,                650749,,,                 27443,,                 15579,                 43022,                693771,,,,                675253,                675253,,,                225374,                  8236,,                      9,                233619,,                316605,,                749185,              1065790,,,                              0,                              0,              1974662,,              1974662,              2668433,              0,              0,              0,,                              0,,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,2015年03月31日,,,,                934012,,                 39823,,                 21223,,                235422,,                  7679,,                251879,,                 22788,              1512826,,,              1041259,,                    683,                 23124,,                161858,              1226924,              2739750,,,,,                140759,,                 74319,,                 84756,                106495,,                  3227,,                 60335,                469891,,,                 27954,,                 15571,                 43525,                513416,,,,                675253,                675253,,,                225374,                  8236,,                      9,                233619,,                267054,,              1050408,              1317462,,,                              0,                              0,              2226334,,              2226334,              2739750,              0,              0,              0,,                              0,,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,2014年12月31日,,,,                794324,,                 75882,,                 19174,,                267241,,                 11630,,                249124,,                 28367,              1445742,,,              1061692,,                    844,                 21662,,                133871,              1218069,              2663811,,,,,                141806,,                119056,,                105987,                 83430,,                  3227,,                 30007,                483513,,,                 31399,,                 15563,                 46962,                530475,,,,                675253,                675253,,,                225374,                  8236,,                      9,                233619,,                267054,,                957410,              1224464,,,                              0,                              0,              2133336,                              0,              2133336,              2663811,              0,              0,              0,,                              0,,                              0,,                              0,                              0,                              0,                794324,              2663811,,,,                              0,,                              0,,                141806,,                119056,,                105987,                 83430,,                  3227,,                 30007,                483513,,,                              0,,                 31399,,                 15563,                 46962,                530475,,,,                675253,                675253,,,                225374,                  8236,,                      9,                233619,,                267054,                              0,,                957410,              1224464,,,                              0,                              0,              2133336,              2133336,
2114,2014年09月30日,,,,                625088,,                 44979,,                 29495,,                263584,,                 12087,,                256500,,                 32832,              1264565,,,              1052827,,                    865,                 20636,,                134314,              1208642,              2473207,,,,,                135291,,                 98865,,                 94652,                 55730,,                  3227,,                 45143,                432908,,,                 29348,,                 15278,                 44626,                477534,,,,                675253,                675253,,,                225374,                  8236,,                      9,                233619,,                267054,,                819747,              1086801,,,                              0,                              0,              1995673,                              0,              1995673,              2473207,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,2014年06月30日,,,,                729113,,                 85086,,                 17264,,                297711,,                  9823,,                244725,,                 24750,              1408472,,,              1039570,,                  1069,                 20218,,                122882,              1183739,              2592211,,,,,                134757,,                 61377,,                391042,                 51529,,                  3227,,                 44357,                686289,,,                 29349,,                 15270,                 44619,                730908,,,,                613866,                675253,,,                225374,                  8236,,                      9,                233619,,                267054,,                685388,                952442,,,                    -11,                    -11,              1861303,,              1861303,              2592211,              0,              0,              0,,                              0,,                              0,,                              0,                 61387,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,2014年03月31日,,,,                722697,,                 60014,,                 19781,,                241575,,                  7751,,                232490,,                 15828,              1300136,,,              1035467,,                  1030,                 19827,,                121727,              1178051,              2478187,,,,,                116323,,                 69970,,                 76761,                 58070,,                  3227,,                 35027,                359378,,,                 29349,,                 15263,                 65605,                424983,,,,                613866,                613866,,,                225374,                  8236,,                      9,                233619,,                223383,,                976240,              1205679,,,                     40,                     40,              2053204,,              2053204,              2478187,              0,              0,              0,,                              0,,                              0,,                 20993,,                  6056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,2013年12月31日,,,,,,                              0,,                 10751,,                262559,,                  8626,,                183435,,                 54333,              1312746,,,                999452,,                    594,                 17205,,                161728,              1178979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,                793042,              2491725,,,,                100000,,                    104,,                111910,,                 71460,,                 94018,                 33346,,                  3227,,                 35080,                449145,,,                 52493,,                 29468,,                 15255,                 97216,                546361,,,,                613866,                613866,,,                225374,                  8236,,                      9,                233619,,                223383,                  6056,,                868390,              1097829,,,                     50,                     50,              1945364,              1945364,                              0
2114,2013年09月30日,,,,,,                              0,,                 22971,,                220709,,                  4870,,                204806,,                 15777,              1256838,,,                946785,,                    505,                 20975,,                208908,              1177173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,                787705,              2434011,,,,                200000,,                              0,,                 94731,,                 47149,,                 95264,                 21834,,                  3226,,                 41021,                503225,,,                 53993,,                 28202,,                 22676,                104871,                608096,,,,                613866,                613866,,,                225374,                  8236,,                      9,                233619,,                223383,                  6056,,                749006,                978445,,,                    -15,                    -15,              1825915,              1825915,
2114,2013年06月30日,,,,,,                  1114,,                 18540,,                253770,,                 26561,,                263291,,                 44478,              1309368,,,                945786,,                    453,                 22155,,                216570,              1184964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,                701614,              2494332,,,,                 38000,,                              0,,                 96423,,                 62477,,                405711,                 35904,,                  3226,,                 30639,                672380,,,                 55493,,                 28202,,                 22668,                106363,                778743,,,,                613866,                613866,,,                225374,                  8236,,                      9,                233619,,                223383,                  6056,,                638645,                868084,,,                     20,                     20,              1715589,              1715589,                              0
