證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 其他非流動負債－其他,　　　 短期借款,　　　　 短期借款合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 長期借款,　　　　 長期借款合計,　　 非控制權益
3437,2015年09月30日,,,,              2203590,,                 51709,,              1447312,,                183121,,                 36690,,                332618,,                  4250,                  5870,                 10120,              4265160,,,                  2044,,                969441,,                  4770,                 40922,,                  5571,              1022748,              5287908,,,,,                 33345,,                984708,,                191251,,                567415,                 97580,                 30648,,                 26610,                 26610,              1931557,,,                  6052,,                  3040,                  3040,                  9092,              1940649,,,,              1466880,                              0,              1466880,,,                960498,                  8832,                969330,,                144746,,                932811,              1077557,,,                  4874,,                 -1081,                  3793,                170301,              3347259,              3347259,              5287908,              0,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,2015年06月30日,,,,              2435060,,                 66490,,              1436740,,                234918,,                 18692,,                311034,,                  4250,                 10387,                 14637,              4517977,,,                  2103,,              1004771,,                  6827,                 30516,,                  5427,              1049644,              5567621,,,,,                              0,,              1078418,,                152558,,                766259,                116556,                 20325,,                 24318,                 24318,              2158434,,,                     69,,                  3399,                  3399,                  3468,              2161902,,,,              1466880,                              0,              1466880,,,                960498,                  7750,                968248,,                144746,,                850057,                994803,,,                  2185,,                 -1022,                  1163,                 25375,              3405719,              3405719,              5567621,,              0,        674000,,                    406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,2015年03月31日,,,,              2468490,,                 98895,,              1510616,,                374405,,                 47022,,                388557,,                  4250,                 11770,                 16020,              4904005,,,                  2434,,              1055692,,                  5793,                 28087,,                  5203,              1097209,              6001214,,,,,                    634,,              1240890,,                224351,,                642750,                100484,                157218,,                 23769,                 23769,              2390096,,,                              0,,                  3787,                  3787,                  3787,              2393883,,,,              1465840,                              0,              1465840,,,                951080,                 16086,                967166,,                102545,,              1069459,              1172004,,,                  3012,,                   -691,                  2321,,              3607331,              3607331,              6001214,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,2014年12月31日,,,,              2532871,,                 96141,,              1931868,,                338211,,                 38694,,                423646,,                  4250,                  7355,                 11605,              5373036,,,                  2434,,              1072720,,                  8566,                 37594,,                  5228,              1126542,              6499578,,,,,                 54830,,              1384155,,                493611,,                741456,                168299,                124307,,                 30627,                 30627,              2997285,,,                  9836,,                  4306,                  4306,                 14142,              3011427,,,,              1462360,                  2010,              1464370,,,                951080,                 14956,                966036,,                102545,,                952370,              1054915,,,                  3521,,                   -691,                  2830,                              0,              3488151,              3488151,              6499578,              0,        201000,              0,,                              0,              2532871,              6499578,,,,                 54830,,              1384155,,                493611,,                741456,                168299,                124307,,                 30627,                 30627,              2997285,,,                  9836,,                  4306,                  4306,                 14142,              3011427,,,,              1462360,                  2010,              1464370,,,                951080,                 14956,                966036,,                102545,,                952370,              1054915,,,                  3521,,                   -691,                  2830,              3488151,              3488151,,,,,,,,
3437,2014年09月30日,,,,              2188207,,                 70464,,              1749128,,                291304,,                 60161,,                435150,,                  4250,                  4624,                  8874,              4803288,,,                  3044,,                989832,,                  6219,                 36780,,                  5144,              1041019,              5844307,,,,,                 33773,,              1242263,,                405223,,                537788,                 94910,                 89628,,                 46578,                 46578,              2450163,,,                  5837,,                  7574,                  7574,                 13411,              2463574,,,,              1453400,                              0,              1453400,,,                951080,                 14310,                965390,,                102545,,                857463,                960008,,,                  2016,,                    -81,                  1935,                              0,              3380733,              3380733,              5844307,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,2014年06月30日,,,,              1445273,,                 51271,,              1477341,,                306830,,                 31596,,                371050,,                  4250,                 11839,                 16089,              3708527,,,                  3044,,                926779,,                  9115,                 28917,,                  4826,                972681,              4681208,,,,,                              0,,              1212660,,                187490,,                848066,                 90955,                 86157,,                 39446,                 39446,              2464774,,,                  1543,,                  7925,                  7925,                  9468,              2474242,,,,              1300000,                              0,              1300000,,,                              0,                  7669,                  7669,,                102545,,                796107,                898652,,,                    726,,                    -81,                    645,                              0,              2206966,              2206966,              4681208,,              0,              0,,                  9077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,2014年03月31日,,,,              1273166,,                 38559,,              1581193,,                200353,,                 46156,,                385941,,                  4250,                  6184,                 10434,              3535802,,,                  3300,,                965262,,                 12248,                 32178,,                  4520,              1017508,              4553310,,,,,                 16511,,              1304778,,                125991,,                559676,                 48917,                 39134,,                 41635,                 41635,              2136642,,,                  2366,,                  8281,                  8281,                 10647,              2147289,,,,              1300000,                              0,              1300000,,,                              0,                  7027,                  7027,,                 33807,,              1063508,              1097315,,,                  1504,,                    175,                  1679,,              2406021,              2406021,              4553310,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,2013年12月31日,,,,,,                  2594,,              1605096,,                137057,,                 35662,,                370045,,                 43250,                  8736,                 51986,              3521605,,,                  2706,,              1008108,,                  5616,                 30294,,                  4454,              1051178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1319165,              4572783,,,,                 24856,,              1365832,,                225680,,                634679,                              0,                  9871,,                 36575,                 36575,              2297493,,,                  4615,,                  8663,                  8663,                 13278,              2310771,,,,              1300000,                              0,              1300000,,,                              0,                  5216,                  5216,,                 33807,,                921665,                955472,,,                  1743,,                   -419,                  1324,              2262012,              2262012,,,                              0,,,,,
3437,2013年09月30日,,,,,,                              0,,              1745518,,                160597,,                 59347,,                393644,,                 43250,                 12638,                 55888,              3112369,,,                  2594,,              1042636,,                  2733,                 29759,,                  5956,              1083678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 14940,                682435,              4196047,,,,                              0,,              1320078,,                184032,,                474541,                              0,                 38745,,                 14302,                 14302,              2031698,,,                  2539,,                 11322,                 11322,                 13861,              2045559,,,,              1300000,,              1300000,,,                              0,                  3989,                  3989,,                 33807,,                812082,                845889,,,                  1141,,                   -531,                    610,              2150488,              2150488,,,,,,,,
3437,2013年06月30日,,,,,,                              0,,                720344,,                973258,,                 33469,,                410284,,                 43250,                  7775,                 51025,              2618603,,,                  2594,,              1059854,,                  1281,                 77500,,                  3186,              1144415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,                430223,              3763018,,,,                 14297,,              1218492,,                 94937,,                453833,                              0,                 51505,,                  9241,                  9241,              1842305,,,                  3627,,                 11669,                 14669,                 18296,              1860601,,,,              1300000,,              1300000,,,,                  2762,                  2762,,                 33807,,                565078,                598885,,,                  1301,,                   -531,                    770,              1902417,              1902417,                  3000,,,,,,,
