證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付公司債,　　　　 應付公司債合計,　　　 無形資產,　　　　 無形資產合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 庫藏股票,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額
1225,2015年09月30日,,,,                230804,,                409749,,                              0,,                793378,,                170748,,                 32479,,              1251059,,                203673,,                255286,,                 66716,                 66716,              3413892,,,                212810,,              2225767,                115779,,                              0,,                142319,                142319,              2696675,              6110567,,,,,                778583,,                379717,,                  7861,,                186538,,                  1599,,                 81252,                 81252,                 13084,,                  7307,,,                197663,,                 70000,                  6500,                274163,              1730104,,,              1214756,,                 95562,,                 60471,                 16396,                 76867,              1387185,              3117289,,,,              2187030,                              0,              2187030,,                121015,,                 44086,                200454,,                 99978,                344518,,                 20256,              2672819,                320459,              2993278,              6110567,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2015年06月30日,,,,                265215,,                395395,,,,                731203,,                200441,,                 29099,,              1249358,,                174717,,,,                109111,                109111,              3154539,,,                211111,,              2407470,                120360,,                 82336,,                135972,                218308,              2957249,              6111788,,,,,                996122,,                369759,,                  7069,,                173837,,                  5000,,                118595,                118595,                  8695,,                  7307,,,,,                170000,                  6385,                176385,              1862769,,,              1144729,,                 95587,,                 60597,                 29971,                 90568,              1330884,              3193653,,,,              2187030,                              0,              2187030,,                121015,,                 44086,                200454,,                 48338,                292878,,                  8650,              2609573,                308562,              2918135,              6111788,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2015年03月31日,,,,                465999,,                339041,,,,                744148,,                197644,,                 14285,,              1020446,,                184118,,,,                118600,                118600,              3084281,,,                233132,,              2435277,                125601,,                 84147,,                137112,                221259,              3015269,              6099550,,,,,                923507,,                349724,,                  5779,,                162249,,                  9361,,                 65206,                 65206,                  8345,,                  7307,,,,,                150000,                  7796,                157796,              1689274,,,              1269722,,                 95560,,                 60711,                 20945,                 81656,              1446938,              3136212,,,,              2187030,                              0,              2187030,,                121015,,                 39579,                200454,,                 96712,                336745,,                 11828,              2656618,                306720,              2963338,              6099550,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2014年12月31日,,,,                400457,,                401643,,                              0,,                810000,,                215314,,                 14229,,              1216703,,                179983,,                              0,,                115376,                115376,              3353705,,,                235877,,              2462246,                125199,,                 85938,,                137959,                223897,              3047219,              6400924,,,,,              1060708,,                349721,,                 18550,,                200313,,                  3810,,                102612,                102612,                    323,,                  9680,,,                  2940,,                 70000,                  3960,                 76900,              1822617,,,              1487209,,                 95762,,                 60894,                              0,                 60894,              1643865,              3466482,,,,              2112530,                 74500,              2187030,,                121015,,                 39579,                200454,,                 65124,                305157,,                 15374,              2628576,                305866,              2934442,              6400924,      7449993,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2014年09月30日,,,,                209567,,                420676,,                     53,,                787770,,                267530,,                 33250,,              1448159,,                165879,,                              0,,                110091,                110091,              3442975,,,                231812,,              2466484,                127694,,                 83197,,                131465,                214662,              3040652,              6483627,,,,,              1520903,,                299685,,                  9140,,                185589,,                  3580,,                 55909,                 55909,                  1034,,                  7307,,,                  4942,,                612027,                  3216,                620185,              2703332,,,                815292,,                 95612,,                 80710,                 35779,                116489,              1027393,              3730725,,,,              2029947,                 82583,              2112530,,                106252,,                 39579,                200454,,                 -8646,                231387,,                  3743,              2453912,                298990,              2752902,              6483627,      8258321,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2014年06月30日,,,,                380786,,                381365,,,,                833578,,                184097,,                 41818,,              1580458,,                191016,,,,                105955,                105955,              3699073,,,                227514,,              2500660,                128162,,                 82392,,                149185,                231577,              3087913,              6786986,,,,,              1590514,,                199907,,                  8955,,                170865,,                  4081,,                130706,                130706,                  7126,,                  7307,,,,,                709837,                  9512,                719349,              2838810,,,              1026790,,                 95560,,                 80990,                 36932,                117922,              1240272,              4079082,,,,              2026697,                  3250,              2029947,,                 90294,,                 39579,                200454,,                 51807,                291840,,                 -1247,              2410834,                297070,              2707904,              6786986,      3249980,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2014年03月31日,,,,                278493,,                389199,,,,                852201,,                200799,,                 13726,,              1374514,,                171625,,,,                108063,                108063,              3388620,,,                239927,,              2535599,                128734,,                 84793,,                144051,                228844,              3133104,              6521724,,,,,              1452025,,                 99929,,                 12137,,                196818,,                  3887,,                 80938,                 80938,                 21939,,                  8839,,,,,                687398,                  7558,                694956,              2571468,,,                976708,,                 95618,,                 81299,                 55371,                136670,              1208996,              3780464,,,,              2014364,                     83,              2014447,,                 87404,,                 33355,                200454,,                107335,                341144,,                  4436,              2447431,                293829,              2741260,              6521724,         83330,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,2013年12月31日,,,,,,                424974,,                 31052,,                867134,,                180374,,                 12033,,              1006731,,                191450,,,,                115520,                115520,              3087644,,,                236206,,              2550054,                130807,,                 83871,,                158432,                242303,              3159370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      4316652,              0,              0,                258376,              6247014,,,,              1167574,,                 99827,,                 37082,,                185259,,                  2949,,                 64421,                 64421,                 15457,,                 12510,,,                686303,                 11060,                697363,              2282442,,,              1087692,,                 95605,,                 81570,                  3000,                 84570,              1267867,              3550309,,,,              1971197,                 43167,              2014364,,                 87388,,                 33355,                200454,,                 72043,                305852,,                   -645,              2406959,                289746,              2696705,,                              0,,,,,,,,,
1225,2013年09月30日,,,,,,                475696,,                 63481,,                869440,,                190774,,                 15468,,              1289934,,                191415,,,,                116806,                116806,              3457056,,,                228392,,              2571656,                135837,,                 83718,,                 35720,                119438,              3055323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        124999,              0,              0,                244042,              6512379,,,,              1086035,,                519647,,                 15060,,                223467,,                  6825,,                 71640,                 71640,                 10317,,                 15616,,,                203077,                 10404,                213481,              2162088,,,              1277630,,                 96895,,                 84835,                 32809,                117644,              1745385,              3907473,,,,              1969947,                  1250,              1971197,,                 79687,,                 33355,                200454,,                 42008,                275817,,                 -4159,              2322542,                282364,              2604906,,                253216,,,,,,,,,
1225,2013年06月30日,,,,,,                479249,,                 69967,,              1128413,,                149462,,                 36578,,              1581452,,                141541,,,,                121066,                121066,              3893120,,,                223262,,              2599357,                135505,,                 85531,,                 44757,                130288,              3088577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      9524190,              0,              0,                185392,              6981697,,,,              1243960,,                519709,,                  9531,,                490073,,                    941,,                132456,                132456,                 11660,,                    355,,,                203077,                 11108,                214185,              2622870,,,              1269175,,                 95728,,                 85011,                 43088,                128099,              1746581,              4369451,,,,              1874705,                 95242,              1969947,,                 79471,,                 33355,                200454,,                 51888,                285697,,                   -637,              2334478,                277768,              2612246,,                253579,,                    165,,,,,,,
