證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　　 預收股本,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 特別盈餘公積,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產,　　　　 待出售非流動資產（淨額）,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 其他非流動負債－其他,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權
3047,2015年09月30日,,,,              1130902,,                 39803,,                  1650,,                 14210,,              1041194,,                 10490,,                 10072,,              1153179,,                 73375,,                315796,                 13142,                328938,              3803813,,,                 51760,,                 27661,,                451625,,                 38562,,                 33496,                 81236,,                 19661,,                 35311,,                 11285,                 66257,                750597,              4554410,,,,,                158112,,                 21009,,                  6489,,                976497,,                281391,                281391,                 47014,,                  2511,,,                295660,                 72858,                368518,              1861541,,,                              0,,                              0,,                 10896,,                 46834,                    485,                 47319,                 58215,              1919756,,,,              1988890,              1988890,,                220520,,                 39160,,                124026,                163186,,,                 37118,,                 -1246,                 35872,                 65252,              2343216,                291438,              2634654,              4554410,              0,              0,      7425120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2015年06月30日,,,,              1482097,,                 45860,,                 12630,,                 20009,,              1025110,,                 22004,,                  9677,,              1135118,,                 61005,,                297866,                  9790,                307656,              4121166,,,                 49730,,                 27661,,                451260,,                 38706,,                 34565,                 94869,,                 20401,,                 33811,,                 10360,                 64572,                761363,              4882529,,,,,                415435,,                 31132,,                  8057,,                970147,,                417860,                417860,                 36547,,                  2511,,,                293469,                 73090,                366559,              2248248,,,                              0,,                              0,,                  2453,,                 46864,                    487,                 47351,                 49804,              2298052,,,,              1988890,              1988890,,                220202,,                 39160,,                 33790,                 72950,,,                  9456,,                 -4712,                  4744,                              0,              2286786,                297691,              2584477,              4882529,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2015年03月31日,,,,              1322006,,                 36026,,                 15960,,                 21448,,              1001283,,                 37769,,                 10091,,              1296711,,                 82854,,                276162,                 10591,                286753,              4110901,,,                 50440,,,,                463106,,                 38850,,                 36565,                 91132,,                 21446,,                 32286,,                 10329,                 64061,                753199,              4864100,,,,,                285684,,                 10838,,                  6431,,              1115832,,                251543,                251543,                 39210,,                  2511,,,                293006,                 89548,                382554,              2094603,,,                              0,,                 33155,,                  3711,,                 46894,                    650,                 47544,                 84410,              2179013,,,,              1988890,              1988890,,                219726,,                 26345,,                144197,                170542,,,                 15442,,                 -1413,                 14029,                              0,              2393187,                291900,              2685087,              4864100,              0,              0,              0,,                  9045,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2014年12月31日,,,,              1270535,,                 50464,,                 17580,,                 18031,,                939474,,                161579,,                 23518,,              1328119,,                 61990,,                103943,                 17756,                121699,              3992989,,,                              0,,                  9045,,                464683,,                 38993,,                 38517,                 88817,,                 19459,,                 32488,,                 18856,                 70803,                710858,              4703847,,,,,                  9800,,                  2812,,                  6425,,              1188666,,                299563,                299563,                 17618,,                  2511,,,                  1714,                 88035,                 89749,              1617144,,,                289136,,                 33584,,                  8940,,                 48209,                    810,                 49019,                380679,              1997823,,,,              1988890,              1988890,,                219772,,                 26345,,                133621,                159966,,,                 24651,,                    113,                 24764,                              0,              2393392,                312632,              2706024,              4703847,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2014年09月30日,,,,              1071821,,                 43630,,                              0,,                 10025,,                889188,,                329854,,                 28495,,              1253341,,                 40400,,                105463,                 33232,                138695,              3805449,,,                              0,,                              0,,                467153,,                 39137,,                 33457,                 99435,,                 23991,,                 30364,,                 22802,                 77157,                716339,              4521788,,,,,                 19900,,                  1800,,                  6269,,              1066389,,                292547,                292547,                 28681,,                  2511,,,                  1716,                 60685,                 62401,              1480498,,,                286993,,                 34010,,                  4678,,                 43918,                    648,                 44566,                370247,              1850745,,,,              1988890,              1988890,,                218843,,                 26345,,                112417,                138762,,,                  8159,,                              0,                  8159,                              0,              2354654,                316389,              2671043,              4521788,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2014年06月30日,,,,              1213568,,                 39208,,                              0,,                 16682,,                867268,,                413736,,                 19173,,              1430468,,                 40939,,                 89359,                 39206,                128565,              4169607,,,                              0,,                              0,,                466627,,                 39281,,                 32463,                 98654,,                 23932,,                 28864,,                 19161,                 71957,                708982,              4878589,,,,,                 39900,,                  1980,,                  9001,,              1330276,,                430075,                430075,                 24968,,                  2511,,,                  1677,                 52838,                 54515,              1893226,,,                298944,,                 34476,,                  3123,,                 42411,                    874,                 43285,                379828,              2273054,,,,              1975685,              1975685,,                217031,,                 26345,,                 74765,                101110,,,                    287,,                              0,                    287,                              0,              2294113,                311422,              2605535,              4878589,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2014年03月31日,,,,              1655869,,                 14653,,                              0,,                 23822,,                964122,,                150530,,                 17270,,              1374035,,                 66570,,                  9375,                 32606,                 41981,              4308852,,,                              0,,,,                445280,,                 39425,,                 33970,                 99971,,                 24120,,                 27254,,                 20248,                 71622,                692087,              5000939,,,,,                 62800,,                 11324,,                  5619,,              1358645,,                345171,                345171,                 40152,,                  3386,,,                  1680,                 65686,                 67366,              1894463,,,                355114,,                 34899,,                  7178,,                 40903,                    868,                 41771,                438962,              2333425,,,,              1919265,              1920729,,                211638,,                 12157,,                213779,                225936,,,                 12339,,                              0,                 12339,                              0,              2370642,                296872,              2667514,              5000939,              0,        145000,              0,,                  1819,                  1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,2013年12月31日,,,,,,                 14624,,                              0,,                 27273,,                929773,,                 72265,,,,              1281287,,                 60187,,                 12453,                 12497,                 24950,              3971295,,,,,,,                389612,,                 39569,,                 35672,                102708,,                 21043,,                 26740,,                 22300,                 70083,                639463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        326000,        851000,,                  1819,,              1545341,                 15595,              4610758,,,,                 49800,,                 17351,,                  8949,,              1147968,,                297479,                297479,                 29203,,                  4213,,,                  1682,                 44007,                 45689,              1600652,,,                353366,,                 35319,,                  5723,,                 40681,                    868,                 41549,                435957,              2036609,,,,              1903611,                  3575,              1907186,,                210636,,                 12157,,                161122,                173279,,,                  6540,,                              0,                  6540,                  8278,              2289363,                284786,              2574149,,,,,,,,,,,,,,,,,
3047,2013年09月30日,,,,,,                  4986,,,,                 48525,,                945274,,                 21155,,,,              1224432,,                 77091,,                 13094,                 38125,                 51219,              3774942,,,,,,,                386196,,                 39713,,                 27279,                125858,,                 26148,,                 25219,,                  2002,                 53369,                634234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        214250,        851000,,                  1819,,              1402260,                              0,              4409176,,,,                 39800,,                 11875,,                  8691,,                986438,,                303802,                303802,                 11987,,                 32763,,,                  1696,                 41492,                 43188,              1438544,,,                350747,,                 35727,,                    676,,                 33339,                    868,                 34207,                421357,              1859901,,,,              1900493,                  2164,              1902657,,                209395,,                 12157,,                143918,                156075,,,                    401,,,                    401,                  8278,              2260250,                289025,              2549275,,,,,,,,,,,,,,,,,
3047,2013年06月30日,,,,,,                  4933,,,,                 55556,,                998730,,                 69820,,,,              1376839,,                 86382,,                 19052,                 43846,                 62898,              4095029,,,,,,,                389739,,                 39857,,                 26086,                131309,,                 21504,,                124162,,                  9316,                154982,                754580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         57000,        851000,,                 12607,,              1439871,                              0,              4849609,,,,                110326,,                  3088,,                 10977,,              1117869,,                539078,                539078,                  6764,,                 38070,,,                  1688,                 52471,                 54159,              1880331,,,                350664,,                 36153,,                  2317,,                 30380,                    869,                 31249,                420383,              2300714,,,,              1742228,                    627,              1898890,,                208064,,                 12157,,                122751,                134908,,,                 11457,,,                 11457,                  8278,              2245041,                303854,              2548895,                156035,,,,,,,,,,,,,,,,
