證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　 有形探勘及評估資產淨額,　　　　　 有形探勘及評估資產淨額,　　　　 無形探勘及評估資產淨額,　　　　　 無形探勘及評估資產淨額,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　　 基金,　　　　　 基金合計,　　　　 預付投資款,　　　　 其他長期投資（淨額）,　　　　　 其他長期投資（淨額）,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　　　 一年或一營業週期內到期長期借款,　　　　　 銀行長期借款,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 預付退休金－非流動,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收款項合計,　　　　 特別股負債－流動,　　　　 暫收款,　　　　 代收款,　　　　 遞延兌換利益,　　　　 代理店往來（海陸運輸業適用）,　　　　 應付租賃款－流動,　　　　 待分配股票股利,　　　　 其他應付款－其他,　　　　 長期應付票據及款項,　　　　　 長期應付票據,　　　　　 長期應付票據及款項合計
8996,2015年09月30日,,,,                214216,,                 44818,,                 17546,,                937549,,                676417,,                 37029,,                 16745,              1944320,,,                  3014,,                122246,,                979014,                 27221,,                 74419,                  2200,                  3060,,                 26048,                105727,              1237222,              3181542,,,,,                766219,,                 50000,,                121271,,                 43536,,                106052,                106052,                    228,,,                 35403,                 22750,                 58153,              1145459,,,                  2130,,                 56189,,                189577,,                  9937,,                 18613,                    100,                 18713,                276546,              1422005,,,,                893841,                893841,,                663133,,                 64572,,                 92387,                156959,,,                 45604,                 45604,              1759537,              1759537,              3181542,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8996,2015年06月30日,,,,                473038,,                 33265,,                 21488,,                639665,,                591178,,                 37526,,                 14290,              1810450,,,                  3937,,                122246,,                983127,                 20438,,                 75350,                  2284,                  2965,,                 27029,                107628,              1237376,              3047826,,,,,                521384,,                 50000,,                120723,,                 57121,,                 93579,                 93579,                  9098,,,                 38192,                115910,                154102,              1006007,,,                  2520,,                 89520,,                197850,,                  5812,,                 19392,                    100,                 19492,                315194,              1321201,,,,                812583,                893841,,                667904,,                 64572,,                 64424,                128996,,,                 35884,                 35884,              1726625,              1726625,              3047826,              0,              0,                 81258,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8996,2015年03月31日,,,,                556328,,                 41195,,                 15862,,                478468,,                546148,,                 45418,,                  5904,              1689323,,,                  4365,,                122246,,                987496,                 17343,,                  6519,                  2782,                  3032,,                 26754,                 39087,              1170537,              2859860,,,,,                406083,,,,                111941,,                 47635,,,                 90880,                 21016,,,                 38161,                 18333,                 56494,                734049,,,                  1110,,                 88670,,                199067,,                  4679,,,,                 19985,                313511,              1047560,,,,                812583,                812583,,                667904,,                 44685,,                248138,                292823,,,,                 38990,              1812300,              1812300,              2859860,              0,              0,,              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,                              0,,                              0,                 38161,                199067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8996,2014年12月31日,,,,                542095,,                 41129,,                 27599,,                431093,,                589668,,                 44762,,                  3759,              1680105,,,                  6329,,                122246,,              1004451,                 15708,,                  3645,                  2710,                  3086,,                 25139,                 34580,              1183314,              2863419,,,,,                412736,,                              0,,                170548,,                 39146,,                153035,                153035,                 14597,,,                 38138,                 23120,                 61258,                851320,,,                  2260,,                 87820,,                116945,,                  5142,,                 20794,                              0,                 20794,                232961,              1084281,,,,                812583,                812583,,                667904,,                 44685,,                212747,                257432,,,                 41219,                 41219,              1779138,              1779138,              2863419,              0,              0,                              0,              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,                              0,,                              0,                 38138,                116945,                542095,              2863419,,,,                412736,,                170548,,                 39146,,                153035,                 14597,,,                 38138,                 23120,                 61258,                851320,,,                  2260,,                 87820,,                116945,,                  5142,,                 20794,                 20794,                232961,              1084281,,,,                812583,                812583,,                667904,,                 44685,,                212747,                257432,,,                 41219,                 41219,              1779138,              1779138,,,,,,,,,,,,,,,,,
8996,2014年09月30日,,,,                318594,,                 55347,,                 21859,,                674823,,                569479,,                 52708,,                  2164,              1694974,,,                  6285,,                122246,,                882747,                 15818,,                 96487,                  4344,                  3015,,                 26424,                130270,              1157366,              2852340,,,,,                433522,,                 39999,,                157879,,                 59905,,                118960,                118960,                  8432,,,                 38116,                 21941,                 60057,                878754,,,                  1220,,                 86970,,                118158,,                  4076,,                 15668,                              0,                 15668,                226092,              1104846,,,,                812583,                812583,,                667904,,                 44685,,                188317,                233002,,,                 34005,                 34005,              1747494,              1747494,              2852340,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8996,2014年06月30日,,,,                435285,,                 16476,,                 20404,,                502321,,                542046,,                 37400,,                  1639,              1555571,,,                  8850,,                122246,,                888907,                 12879,,                 88993,                  5369,                  2964,,                 26708,                124034,              1156916,              2712487,,,,,                229317,,                              0,,                160380,,                 60638,,                113178,                113178,                 16565,,,                 41833,                117747,                159580,                739658,,,                    840,,                 86121,,                168623,,                  2922,,                 16423,                              0,                 16423,                274929,              1014587,,,,                773889,                812583,,                667904,,                 44685,,                144279,                188964,,,                 28449,                 28449,              1697900,              1697900,              2712487,              0,              0,                 38694,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8996,2014年03月31日,,,,                251750,,                 26673,,                 25336,,                488480,,                539358,,                 44713,,                  9208,              1385518,,,                  8648,,                122246,,                821507,                 13442,,                116632,                  5849,                  3043,,                 22536,                148060,              1113903,              2499421,,,,,                189329,,,,                109030,,                 34873,,,                 84880,                 17560,,,                 41794,                 26250,                 68044,                503716,,,                  1030,,                 85271,,                170756,,                  2674,,,,                 17175,                276906,                780622,,,,                773889,                773889,,                667904,,                 29140,,                215452,                244592,,,,                 32414,              1718799,              1718799,              2499421,              0,              0,,              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,                              0,,                              0,                 41794,                170756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8996,2013年12月31日,,,,,,                 11856,,                 25823,,                383588,,                664840,,                 38253,,                  7892,              1465926,,,                  8918,,                122246,,                839097,                 15230,,                 62766,                  4913,                  3070,,                 23336,                 94085,              1079576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,,,,,,,,,,,,,,,,,,                333674,              2545502,,,,                267178,,                157753,,                 49651,,                129506,                 11427,,,                 25015,                 24217,                 49232,                664747,,,                  2370,,                 84421,,                106285,,                              0,,                 17947,                 17947,                211023,                875770,,,,                773889,                773889,,                667904,,                 29140,,                166157,                195297,,,                 32642,                 32642,              1669732,              1669732,,,,,,,,,,,,,                              0,                129506,,,
8996,2013年09月30日,,,,,,                 22703,,                 28045,,                513987,,                674166,,                 65122,,                  6430,              1692108,,,                  7628,,                122246,,                851629,                 18317,,                 33514,                  4720,                  3035,,                 23233,                 64502,              1064322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,,                              0,,,                381655,              2756430,,,,                442830,,                171511,,                 74770,,                116384,                 10438,,,                 41634,                 13998,                 55632,                901556,,,                  2040,,                 83571,,                108389,,                              0,,,                 19227,                213227,              1114783,,,,                773889,                773889,,                667904,,                 29140,,                142192,                171332,,,,                 28522,              1641647,              1641647,                              0,,                 29991,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,
8996,2013年06月30日,,,,,,                 22795,,                 34528,,                455653,,                573584,,                 69572,,                  9107,              1378776,,,                  7427,,                122246,,                844674,                 18114,,                 39818,                  4405,                  3102,,                 22279,                 69604,              1062065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,,,,,,,,,,,,,,,,,,                213537,              2440841,,,,                391948,,                177166,,                 76002,,                120654,                 15246,,,                 41593,                 92527,                134120,                915136,,,                              0,,                              0,,                110483,,                              0,,,                 20104,                130587,              1045723,,,,                698942,                733889,,                496069,,                 29140,,                104608,                133748,,,,                 31412,              1395118,              1395118,,,,,,,,,,,,,                 34947,,,,
