證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計
2456,2015年09月30日,,,,                741751,,                 88884,,                128683,,                 34708,,              1507424,,                362984,,                 50581,,              1405166,,                 86053,,                              0,              4406234,,,                  9482,,              3812727,,                 65972,                 43643,,                137811,              4069635,              8475869,,,,,                842022,,                193802,,                 24007,,                  1286,,                762563,,                    641,,                719603,                 48580,,                110544,              2703048,,,              1383056,,                560000,,                  7357,,                 43068,              1993481,              4696529,,,,              1269692,              1269692,,,                418700,                418700,,                331434,                164702,,              1280834,              1776970,,,                241225,                241225,                              0,              3706587,                              0,                 72753,              3779340,              8475869,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,2015年06月30日,,,,                939945,,                 35464,,                 33293,,                 18031,,              1329585,,                364452,,                 55006,,              1324888,,                 87797,,                  1493,              4189954,,,                 11214,,              3483038,,                 62053,                 41966,,                108166,              3706437,              7896391,,,,,                679436,,                              0,,                  4774,,                  1838,,                784624,,                    582,,                892360,                 53918,,                  9187,              2426719,,,              1376741,,                560000,,                  1252,,                 43068,              1981061,              4407780,,,,              1269692,              1269692,,,,                417973,,                331434,                164702,,              1127960,              1624096,,,,                107917,                              0,              3419678,                              0,                 68933,              3488611,              7896391,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,2015年03月31日,,,,                535444,,                 26162,,                 52702,,                 15838,,              1344641,,                301043,,                 46716,,              1256108,,                 78760,,                294784,              3952198,,,                 11215,,              3354156,,                 63676,                 44153,,                 50425,              3523625,              7475823,,,,,              1050581,,,,                  1318,,                              0,,                744028,,                    692,,                490075,                 80320,,                  4231,              2371245,,,,,              1460000,,                  2419,,                 43118,              1505537,              3876782,,,,              1269692,              1269692,,,                294271,                294271,,                295049,                164702,,              1347353,              1807104,,,                159620,                159620,                              0,              3530687,                              0,                 68354,              3599041,              7475823,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,2014年12月31日,,,,                584378,,                 20274,,                 30173,,                  9922,,              1227925,,                295612,,                 34911,,              1171599,,                 47774,,                312009,              3734577,,,                 11214,,              3409368,,                 62592,                 44888,,                 51098,              3579160,              7313737,,,,,                900443,,                              0,,                 12246,,                  3480,,                724517,,                    845,,                509073,                 67926,,                  2211,              2220741,,,                              0,,              1560000,,                  4681,,                 43157,              1607838,              3828579,,,,              1269692,              1269692,,,                294271,                294271,,                295049,                164702,,              1206447,              1666198,,,                187947,                187947,                              0,              3418108,                              0,                 67050,              3485158,              7313737,              0,              0,              0,                584378,              7313737,,,,                900443,,                 12246,,                  3480,,                724517,,                    845,,                509073,                 67926,,                  2211,              2220741,,,              1560000,,                  4681,,                 43157,              1607838,              3828579,,,,              1269692,              1269692,,,                294271,                294271,,                295049,                164702,,              1206447,              1666198,,,                187947,                187947,                              0,              3418108,                              0,                 67050,              3485158,,,,,,,,
2456,2014年09月30日,,,,                564360,,                 19922,,                 30482,,                 16743,,              1202435,,                284921,,                 29948,,              1080780,,                 38142,,                198835,              3466568,,,                 11214,,              3273011,,                 60722,                 47724,,                 71517,              3464188,              6930756,,,,,                852286,,                249776,,                 17029,,                              0,,                648199,,                    413,,                477489,                 55818,,                    774,              2301784,,,                              0,,              1310000,,                  2937,,                 45815,              1358752,              3660536,,,,              1269692,              1269692,,,                294271,                294271,,                295049,                164702,,              1092065,              1551816,,,                 90400,                 90400,                              0,              3206179,                              0,                 64041,              3270220,              6930756,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,2014年06月30日,,,,                629339,,                 20372,,                 25502,,                 13320,,              1066738,,                266336,,                 32657,,              1036805,,                 36045,,                439078,              3566192,,,                 11214,,              3164057,,                 60339,                 44386,,                113875,              3393871,              6960063,,,,,                955758,,                219746,,                  1378,,                    339,,                573553,,                    865,,                432550,                 58208,,                  4565,              2246962,,,                              0,,              1460000,,                    321,,                 45815,              1506136,              3753098,,,,              1410768,              1410768,,,,                294271,,                295049,                164702,,                978282,              1438033,,,,                  2699,                              0,              3145771,                              0,                 61194,              3206965,              6960063,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,2014年03月31日,,,,                700440,,                 18096,,                 24263,,                  9526,,              1046215,,                212292,,                 27894,,              1068008,,                 27543,,                328435,              3462712,,,                 13139,,              3104410,,                 62601,                 45687,,                139823,              3365660,              6828372,,,,,              1150238,,,,                  8219,,                    174,,                621419,,                  2062,,                364507,                 78564,,                  4905,              2230088,,,,,              1360000,,                  1799,,                 45816,              1407615,              3637703,,,,              1410768,              1410768,,,                294271,                294271,,                268015,                164702,,                951623,              1384340,,,                 53954,                 53954,                              0,              3143333,                              0,                 47336,              3190669,              6828372,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,2013年12月31日,,,,,,                 23004,,                 23047,,                 10003,,                961889,,                213337,,                 30123,,              1050581,,                 23681,,                333539,              3126066,,,                 13139,,              3119986,,                 62932,                 43702,,                131123,              3370882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                456862,              6496948,,,,                881543,,                 11670,,                  5484,,                636458,,                  3159,,                399057,                 58741,,                  1622,              1997734,,,              1300000,,                  1338,,                 45911,              1347249,              3344983,,,,              1410768,              1410768,,,                294271,                294271,,                268015,                164702,,                895579,              1328296,,,                 69086,                 69086,                              0,              3102421,                              0,                 49544,              3151965,,                              0,,,,,,
2456,2013年09月30日,,,,,,                 10110,,                 23385,,                 13695,,              1054824,,                236596,,                 49234,,                908716,,                 35051,,                232013,              2895506,,,                 14139,,              3054482,,                 58987,                 43284,,                133055,              3303947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                331882,              6199453,,,,                585298,,                  3631,,                  7615,,                652855,,                  2675,,                533817,                 43538,,                225034,              2054463,,,              1056000,,                    835,,                 56083,              1112918,              3167381,,,,              1410768,              1410768,,,                294271,                294271,,                268015,                164702,,                838750,              1271467,,,                 13006,                 13006,                              0,              2989512,                              0,                 42560,              3032072,,                              0,,,,,,
2456,2013年06月30日,,,,,,                 11065,,                 22952,,                 17004,,              1032496,,                248244,,                 39671,,              1042826,,                 26563,,                172787,              2925773,,,                 14139,,              2771129,,                 58807,                 42996,,                425472,              3312543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                312165,              6238316,,,,                538000,,                  8295,,                  9156,,                693993,,                  1276,,                416614,                 54094,,                112776,              1834204,,,              1228000,,                              0,,                 56083,              1284083,              3118287,,,,              1533444,              1533444,,,                294271,                294271,,                268015,                164702,,                767271,              1199988,,,                 44764,                 44764,                              0,              3072467,                              0,                 47562,              3120029,,                              0,,,,,,
2456,2013年03月31日,,,,,,                 15713,,                 23268,,                  7556,,              1058777,,                218521,,                 39271,,                998579,,                 33817,,                 42401,              2761317,,,                 15389,,              2833982,,                 59578,                 43974,,                211074,              3163997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                323414,              5925314,,,,                568253,,                  5591,,                  2411,,                644247,,                  1048,,                323544,                 49583,,                112990,              1782602,,,              1048000,,                              0,,                 64083,              1112083,              2894685,,,,              1533444,              1533444,,,                294271,                294271,,                241438,                164702,,                748324,              1154464,,,                     46,                     46,                              0,              2982225,                              0,                 48404,              3030629,,                 74935,,,,,,
2456,2012年12月31日,,,,                307238,,                 10750,,                 22151,,                  8949,,                993863,,                219149,,                 25895,,                948888,,                 32598,,                 46048,              2615529,,,                 15389,,              2864828,,                 59216,                 46268,,                161989,              3147690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              5763219,,,,                555928,,                  2574,,                    517,,                614342,,                    851,,                332473,                 29869,,                    404,              1596901,,,              1190000,,                    917,,                 64415,              1255332,              2852233,,,,              1533444,              1533444,,,                294271,                294271,,                241438,                164702,,                677736,              1083876,,,                -61744,                -61744,                              0,              2849847,                              0,                 61139,              2910986,,                 59943,,,,,,
2456,2012年09月30日,,,,                411556,,                 19065,,                 21391,,                 13216,,              1099465,,                168359,,                 50699,,                928888,,                 20540,,                  9647,              2742826,,,                 15389,,              2890347,,                 59692,                 48063,,                171142,              3184633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              5927459,,,,                498015,,                  5692,,                  7948,,                670011,,                  1168,,                397856,                 17888,,                538162,              2136740,,,                890000,,                  1484,,                 65108,                956592,              3093332,,,,              1533444,              1533444,,,                294271,                294271,,                241438,                164702,,                628798,              1034938,,,                -93433,                -93433,                              0,              2769220,                              0,                 64907,              2834127,,                              0,,,,,,
2456,2012年06月30日,,,,                321034,,                  5958,,                 22342,,                 11142,,              1073584,,                183575,,                 84294,,                986570,,                 29547,,                 22747,              2740793,,,                 18894,,              2801963,,                 60453,                 50226,,                306362,              3237898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              5978691,,,,                513936,,                 10614,,                     47,,                660652,,                  1250,,                372729,                 29260,,                532989,              2121477,,,              1000000,,                    988,,                 65766,              1066754,              3188231,,,,              1533444,              1533444,,,                294271,                294271,,                241438,                164702,,                540687,                946827,,,                -51721,                -51721,                              0,              2722821,                              0,                 67639,              2790460,,                              0,,,,,,
2456,2012年03月31日,,,,                370327,,                  2030,,                 22694,,                  6355,,                896448,,                163692,,                 18943,,                968298,,                 33583,,                 17993,              2500363,,,                 18894,,              2742596,,                 55810,                 57472,,                381802,              3256574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              5756937,,,,                421082,,                  4326,,                  2050,,                577755,,                  1101,,                355749,                 43781,,                527665,              1933509,,,              1000000,,                              0,,                 66353,              1066353,              2999862,,,,              1533444,              1533444,,,                197595,                294271,,                219869,                171202,,                530155,                921226,,,,                -59695,                              0,              2689246,,                 67829,              2757075,,                              0,                 96373,                    303,,                -49355,,                -10340
2456,2012年01月01日,,,,                355183,,                  4475,,                 27336,,                  6622,,                808444,,                319659,,                 32058,,                984977,,                 33747,,                 11256,              2583757,,,                 18894,,              2639121,,                 57779,                 59269,,                590107,              3365170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              5948927,,,,                441141,,                  4516,,                 14584,,                610245,,                  2006,,                432558,                 36574,,                522581,              2064205,,,              1050000,,                  1335,,                 67045,              1118380,              3182585,,,,              1533444,              1533444,,,                294271,                294271,,                219869,                171202,,                487336,                878407,,,                -10626,                -10626,                              0,              2695496,                              0,                 70846,              2766342,,                              0,,,,,,
