證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－員工認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付票據,　　　　　 應付票據合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－處分資產增益,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付公司債,　　　　 應付公司債合計,　　　 應收票據淨額,　　　　 應收票據淨額
2374,2015年09月30日,,,,              5342590,,                  9457,,                561134,,              2910005,,              2107713,,                445660,             11376559,,,                700202,,                107000,,                 18834,,              3558259,,                636019,,                  8720,                 98292,,                167701,              5295027,             16671586,,,,,                410000,,                              0,,              4009021,,              2770638,                217040,,                454190,              7860889,,,                              0,,                 97460,                 97460,              7958349,,,,              2828260,                     50,              2828310,,,              1191452,                219206,                     56,                 97738,                 48084,              1556536,,              1525825,                              0,,              2413846,              3939671,,,                520511,,               -279017,,                -24937,                216557,                    611,              8540463,                172774,              8713237,             16671586,              0,          5000,         61100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,2015年06月30日,,,,              4723836,,                 10842,,                595287,,              2619213,,              1774639,,                530286,             10254103,,,                744047,,                188895,,                 19367,,              3548775,,                638613,,                 11098,                 89951,,                156964,              5397710,             15651813,,,,,                410000,,                              0,,              3510135,,                778526,                208506,,                457294,              5364467,,,                              0,,                 97177,                 97177,              5461644,,,,              4718764,                    910,              4719674,,,              1189140,                219206,                     56,                 97738,                 46607,              1552747,,              1525825,                              0,,              2123516,              3649341,,,                284972,,               -147278,,                -31417,                106277,                  5201,             10022838,                167331,             10190169,             15651813,,         91000,        520100,,                      6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,2015年03月31日,,,,              4023095,,                 17775,,                568836,,              2651369,,              2003057,,                552382,              9816514,,,              1006271,,                202895,,                 18927,,              3758405,,                641208,,                 13374,                 90066,,                155986,              5887132,             15703646,,,,,                530000,,                              0,,              3520427,,                696075,                155044,,                430049,              5331601,,,                160000,,                 90100,                250100,              5581701,,,,              4728285,                              0,              4728285,,,              1122724,                219206,                     56,                 97738,                129792,              1569516,,              1510344,                290579,,              1655132,              3456055,,,                345257,,                 47947,,                -51448,                341756,                  9521,             10086091,                 35854,             10121945,             15703646,              0,              0,        952100,,                      6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,2014年12月31日,,,,              4815979,,                 16642,,                510493,,              2983401,,              2220639,,                440066,             10987220,,,                957055,,                202895,,                 17684,,              3785922,,                643803,,                 12589,                 85898,,                172679,              5878525,             16865745,,,,,                564495,,                  8937,,              4534066,,                944996,                124941,,                574567,              6752002,,,                160000,,                 93420,                253420,              7005422,,,,              4730368,                    800,              4731168,,,              1122580,                219206,                     56,                 97738,                120415,              1559995,,              1510344,                290579,,              1534149,              3335072,,,                409128,,                -96932,,                -76159,                236037,                  2883,              9859389,                    934,              9860323,             16865745,              0,         80000,        288300,,,              4815979,             16865745,,,,                564495,,                  8937,,                      6,,              4534066,,                944996,                124941,,                574561,              6752002,,,                160000,,                 93420,                253420,              7005422,,,,              4730368,                    800,              4731168,,,              1122580,                219206,                     56,                              0,                 97738,                              0,                120415,              1559995,,              1510344,                290579,,              1534149,              3335072,,,                409128,,                -96932,,                -76159,                236037,                  2883,              9859389,                    934,              9860323,,,,
2374,2014年09月30日,,,,              3797667,,                 13429,,                495858,,              3434640,,              2498904,,                401537,             10642035,,,              1506869,,                202895,,                 18251,,              3816862,,                646398,,                 13939,                 76250,,                238301,              6519765,             17161800,,,,,                624126,,                 24168,,              4822973,,                823604,                102109,,                398377,              6795357,,,                315000,,                109994,                424994,              7220351,,,,              4731174,                    410,              4731584,,,              1122292,                219206,                     56,                 97738,                117532,              1556824,,              1510344,                290579,,              1372272,              3173195,,,                199123,,                403871,,               -100870,                502124,                  1216,              9962511,                -21062,              9941449,             17161800,              0,         41000,        121600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,2014年06月30日,,,,              4461184,,                414603,,                493173,,              3533704,,              1856667,,                359325,             11118656,,,                759099,,                203025,,                 19526,,              3848124,,                648992,,                 15681,                 94069,,                245871,              5834387,             16953043,,,,,                633960,,                165659,,              4448623,,              1917440,                 88189,,                390100,              7643977,,,                320000,,                110742,                430742,              8074719,,,,              4730614,                    560,              4731174,,,              1122087,                219206,                     56,                 97738,                116316,              1555403,,              1510344,                290579,,              1176408,              2977331,,,                110800,,               -339386,,               -125581,               -354167,                              0,              8909741,                -31417,              8878324,             16953043,,         56000,              0,,                      6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,2014年03月31日,,,,              3968740,,                620724,,                474406,,              2591881,,              2303343,,                332495,             10291589,,,                771342,,                210522,,                 47337,,              3971717,,                651587,,                 13092,                 98167,,                188876,              5952640,             16244229,,,,,                620235,,                207668,,              3983542,,                758228,                 95284,,                396859,              6061938,,,                325000,,                109813,                434813,              6496751,,,,              4504684,                  5930,              4510614,,,              1121807,                219206,                     56,                 97738,                              0,              1438807,,              1461896,                480583,,              2008675,              3951154,,,                235096,,               -362539,,                              0,               -127443,                              0,              9773132,                -25654,              9747478,             16244229,              0,        593000,              0,,                    122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,2013年12月31日,,,,,,                630323,,                420043,,              3075851,,              1828457,,                465869,             10547309,,,                740759,,                253522,,                 50526,,              4018603,,                654182,,                 10188,                 74975,,                160694,              5963449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1417000,              0,,,              4126766,             16510758,,,,                977855,,                  7443,,                    296,,              3938384,,                913711,                 92038,,                410415,              6340142,,,                280000,,                110059,                390059,              6730201,,,,              4490514,                 14170,              4504684,,,              1118842,                219206,                     56,                              0,                 97738,                              0,                              0,              1435842,,              1461896,                480583,,              2209929,              4152408,,,                144268,,               -434847,,                              0,               -290579,                              0,              9802355,                -21798,              9780557,,,,
2374,2013年09月30日,,,,,,                636139,,                378378,,              3368851,,              2358461,,                418523,              9685137,,,                753862,,                253522,,                 34904,,              4278803,,                656777,,                 13741,                 71798,,                176050,              6239457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         64000,              0,,,              2524785,             15924594,,,,                725136,,                  1631,,                    470,,              4047375,,                745129,                 75965,,                498102,              6093808,,,                115500,,                141736,                257236,              6351044,,,,              4489874,                    640,              4490514,,,              1111757,                219206,                     56,,                 97738,,                              0,              1428757,,              1461896,                480583,,              2084272,              4026751,,,                 88181,,               -456948,,                              0,               -368767,                              0,              9577255,                 -3705,              9573550,,,,
2374,2013年06月30日,,,,,,                219063,,                405983,,              3036548,,              2205786,,                216338,             10745571,,,                772362,,                253522,,                 40508,,              4452617,,                659371,,                 14237,                 66340,,                168239,              6427196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              4661853,             17172767,,,,                709736,,                  4608,,                    644,,              4158274,,              1889830,                178823,,                423758,              7365673,,,                154000,,                142878,                296878,              7662551,,,,              4489874,                              0,              4489874,,,              1111438,                219206,                     56,                              0,                 97651,                              0,                              0,              1428351,,              1461896,                480583,,              1921243,              3863722,,,                146162,,               -422665,,                              0,               -276503,,              9505444,                  4772,              9510216,,,,
