證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付款,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
1413,2015年09月30日,,,,                 50834,,                              0,,                      3,,                131163,,                 50000,,                 57777,,                 12535,,                      6,,                 63225,,                              0,,,                625965,                625965,,                  7878,,                      1,                999387,,,                 11850,,                  8271,,              1507711,,                 22292,                  3548,,                     41,              1553713,              2553100,,,,,                541125,,                              0,,                 10383,,                              0,,                165502,,                105752,,                 57054,                 57054,                              0,                              0,,                  1363,,,                248167,,                 41522,                  1259,                290948,              1172127,,,                120784,,                234162,,,                215000,                215000,                  1893,                              0,                216893,                571839,              1743966,,,,              1321124,              1321124,,                              0,,,               -511990,               -511990,,                              0,                              0,                809134,                              0,                809134,              2553100,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,2015年06月30日,,,,                 33061,,                              0,,                      3,,                130859,,                              0,,                 21390,,                              0,,                     21,,                 71826,,                      2,,,                734007,                734007,,                  8361,,                    634,              1021181,,,                 11850,,                  8271,,              1520506,,                 22354,                  3548,,                     42,              1566571,              2587752,,,,,                521852,,                              0,,                194014,,                              0,,                146710,,                 64311,,,                 46607,,                              0,,                  1362,,,,,,,                287459,              1262315,,,,,                234162,,,,,,,                235869,                470031,              1732346,,,,              1321124,              1321124,,                              0,,,,               -465718,,                              0,                              0,                855406,                              0,                855406,              2587752,              0,              0,              0,,                 21017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,2015年03月31日,,,,                 27400,,                              0,,                      3,,                117009,,                              0,,                 19769,,                     19,,                 12324,,,,                      1,,,                795479,                795479,,                  2619,,                 12322,                989635,,,                 11850,,                              0,,              1651251,,                 43447,                  3655,,                 12502,              1722705,              2712340,,,,,                827466,,                              0,,                138542,,                183468,,                 75244,,                114747,,,                 35010,,                              0,,                  1765,,,,,,,                342483,              1718725,,,                 12935,,                237526,,,,,,,                131045,                381506,              2100231,,,,              1021124,              1021124,,                              0,,,,               -398498,,                              0,                 15040,                607586,                  4523,                612109,              2712340,              0,              0,      1258770,,                  2690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,2014年12月31日,,,,                 97418,,                              0,,                     27,,                102481,,                 20190,,                 47266,,                              0,,                     57,,                              0,,                              0,,,                757081,                757081,,                  1956,,                 20279,              1046755,,,                 11850,,                    694,,              1679761,,                 48073,                  3494,,                    480,              1744352,              2791107,,,,,                841384,,                              0,,                 65641,,                  4788,,                163713,,                 14122,,                 53082,                 53082,                115000,                              0,,                  5546,,,                326901,,                 20922,                  1537,                349360,              1612636,,,                 34925,,                234157,,,                100000,                100000,                126133,                              0,                226133,                495215,              2107851,,,,              1021124,              1021124,,                              0,,,               -365748,               -365748,,                     11,                 15040,                640347,                 42909,                683256,              2791107,              0,              0,      1258770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,2014年09月30日,,,,                 45719,,                              0,,                160598,,                 91627,,                 20525,,                 34647,,                              0,,                  1530,,                              0,,                              0,,,                828564,                828564,,                  3501,,                 14612,              1201323,,,                 11850,,                    784,,              1705542,,                 48162,                  3681,,                    480,              1770499,              2971822,,,,,                855066,,                 66987,,                 83754,,                  5092,,                184506,,                  2546,,                 51716,                 51716,                 90000,                              0,,                  5497,,,                319154,,                 26322,                  1328,                346804,              1691968,,,                 38806,,                234172,,,                100000,                100000,                125694,                    550,                226244,                499222,              2191190,,,,              1021125,              1021125,,                              0,,,               -286505,               -286505,,                 14830,                 15040,                734410,                 46222,                780632,              2971822,              0,              0,      1258770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,2014年06月30日,,,,                 62234,,                              0,,                170187,,                215145,,                 13388,,                 44591,,                              0,,                    448,,                              0,,                      3,,,                953366,                953366,,                  5751,,                 25727,              1490840,,,                 11850,,                    657,,              1728648,,                 48249,                  2625,,                    480,              1792509,              3283349,,,,,                864799,,                 66911,,                 92424,,                 94999,,                242404,,                  2843,,,                 52123,,                     12,,                  5673,,,,,,,                459061,              1881249,,,,,                234159,,,,,,,                278170,                512329,              2393578,,,,              1701874,              1701874,,                              0,,,,               -866318,,                 21583,                 15040,                842099,                 47672,                889771,              3283349,              0,              0,      2097951,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,2014年03月31日,,,,                 89904,,                              0,,                163057,,                180428,,                 20025,,                 47350,,                              0,,                     56,,,,                      1,,,                882237,                882237,,                  1567,,                  5006,              1389631,,,                 11850,,                    691,,              1753830,,                 76041,                  4715,,                    481,              1847608,              3237239,,,,,                861972,,                 67862,,                 73830,,                 95108,,                232997,,                  2806,,,                 57730,,                    145,,                  5405,,,,,,,                416483,              1814338,,,                              0,,                234150,,,,,,,                283111,                517261,              2331599,,,,              1701874,              1701874,,                              0,,,,               -843566,,                 15798,                 15040,                859066,                 46574,                905640,              3237239,              0,              0,      2097951,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,2013年12月31日,,,,,,                              0,,                177773,,                206017,,                 47038,,                 65107,,                    400,,                    920,,,,,,,                921495,                921495,,                  2669,,                 34111,              1516218,,,                 11850,,                    692,,              1777351,,                 76141,                  4975,,                    480,              1871489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2097951,,,                 60680,                      8,              3387707,,,,                898388,,                 67937,,                 72120,,                 95159,,                256577,,                  2844,,                 74586,                    145,,                  5342,,                413842,              1886940,,,                234209,,                297362,                531571,              2418511,,,,              1701874,              1701874,,                              0,,               -795018,,                 26368,                 15040,                918184,                 51012,                969196
1413,2013年09月30日,,,,,,                              0,,                166781,,                196144,,                 76353,,                 69718,,                              0,,                  1898,,,,,,,              1086195,              1086195,,                  9926,,                 30373,              1699409,,,                 11850,,                    788,,              1796068,,                 77045,                  4694,,                    479,              1890924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2097951,,,                 62005,                     16,              3590333,,,,                928129,,                 73946,,                 87162,,                 55154,,                307271,,                  3297,,                 76383,                      3,,                  5906,,                421854,              1959105,,,                234171,,                352252,                586423,              2545528,,,,              1701874,              1701874,,                              0,,               -708472,,                 17932,                 15040,                996294,                 48511,              1044805
1413,2013年06月30日,,,,,,                              0,,                157066,,                194162,,                 56894,,                 89167,,                              0,,                  1283,,,,,,,              1051933,              1051933,,                 14501,,                  7252,              1635542,,,                 11850,,                    732,,              1818821,,                 77646,                  6631,,                    480,              1916160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2097951,,,                 63280,                      4,              3551702,,,,                888525,,                 73928,,                225432,,                 57980,,                305425,,                  2764,,                 72116,                      3,,                  6267,,                303143,              1935583,,,                234150,,                326560,                560710,              2496293,,,,              1701874,              1701874,,                              0,,               -687892,,                 11256,                 15040,              1010198,                 45211,              1055409
