證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　　 其他應付款項－關係人
4306,2015年09月30日,,,,              3617811,,                 11982,,                247406,,                139737,,                671148,,              2608430,,                151565,,              8481551,,                897385,,                              0,,              1067297,             17894312,,,                174108,,                550656,,             17118265,,                101964,,                289810,                175929,,                854658,             19265390,             37159702,,,,,              5269300,,                960000,,                 39092,,                603412,,                861388,,                752382,                 59301,                              0,,              5443034,             13987909,,,              1125527,,              8576213,,                286841,,                672213,             10660794,             24648703,,,,              5102746,              5102746,,,              1726895,                  9448,                              0,                245085,                              0,                    719,                 67033,              2049180,,                531738,                200053,,                409094,              1140885,,,                330938,,                -41087,,                              0,                289851,                101981,              8480681,              4030318,             12510999,             37159702,              0,              0,      8095000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306,2015年06月30日,,,,              3832534,,                 11723,,                 81736,,                              0,,                753029,,              2585426,,                114944,,              9187986,,                842487,,                              0,,                978242,             18388107,,,                174108,,                514745,,             14470011,,                922812,,                201693,                141757,,                935680,             17360806,             35748913,,,,,              4877218,,                740000,,                 50057,,                650840,,                706234,,              1023471,                 57479,                              0,,              6617728,             14723027,,,              1130846,,              6686537,,                279868,,                675309,              8772560,             23495587,,,,              5102746,              5102746,,,              1726895,                  9448,                              0,                              0,                 25641,                    719,                 67033,              1829736,,                531738,                200053,,                364747,              1096538,,,                193459,,                -16710,,                              0,                176749,,              8205769,              4047557,             12253326,             35748913,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306,2015年03月31日,,,,              3895923,,                 12063,,                 96360,,                126177,,                764705,,              2458980,,                104260,,              8519166,,                815121,,                127990,,                970669,             17891414,,,                174108,,                568221,,             14453856,,                923959,,                204791,                133076,,                927552,             17385563,             35276977,,,,,              4953337,,                790000,,                    814,,                499703,,                670268,,                621658,                 55167,                130000,,              5917395,             13674597,,,                390706,,              7887838,,                280283,,                690611,              9249438,             22924035,,,,              5127246,              5127246,,,              1735186,                 13294,                              0,                              0,                              0,                    719,                 67033,              1816232,,                517252,                200053,,                154345,                871650,,,                258502,,                -14715,,                              0,                243787,                    298,              8058617,              4294325,             12352942,             35276977,              0,              0,         20000,,,                 36255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306,2014年12月31日,,,,              3523060,,                 23443,,                 30516,,                178014,,                986983,,              2786702,,                241800,,              8677871,,                924013,,                  2803,,                874601,             18249806,,,                174108,,                559223,,             14370567,,                925090,,                207189,                130052,,                982105,             17348334,             35598140,,,,,              4845842,,                760000,,                    852,,                672262,,              1100671,,                629613,                 35849,                              0,,              5055741,             13100830,,,              1106481,,              7902244,,                286211,,                700095,              9995031,             23095861,,,,              5127246,              5127246,,,              1735186,                 13294,                              0,                              0,                              0,                    719,                 67033,              1816232,,                517252,                200053,,                283206,              1000511,,,                303061,,                -13487,,                              0,                289574,                              0,              8233563,              4268716,             12502279,             35598140,              0,              0,              0,                              0,,                              0,              3523060,                178014,             35598140,,,,              4845842,,                760000,,                    852,,                672262,,              1100671,,                629613,                 35849,                              0,,              5055741,             13100830,,,              1106481,,              7902244,,                286211,,                700095,              9995031,             23095861,,,,              5127246,              5127246,,,              1735186,                 13294,                              0,                              0,                              0,                    719,                 67033,              1816232,,                517252,                200053,,                283206,              1000511,,,                303061,,                -13487,,                              0,                289574,              8233563,              4268716,             12502279,,,,,
4306,2014年09月30日,,,,              3375459,,                 37060,,                 32600,,                128280,,                818165,,              2690234,,                 87480,,              8529443,,                871919,,                  2735,,                965244,             17538619,,,                179714,,                613238,,             13825960,,                926134,,                199637,                117965,,                878542,             16741190,             34279809,,,,,              4107618,,                590000,,                  1144,,                627017,,              1115628,,                598648,                 37742,                              0,,              4558814,             11636611,,,                935159,,              8550908,,                269520,,                709862,             10465449,             22102060,,,,              5127246,              5127246,,,              1735186,                 13294,                              0,                              0,                              0,                    719,                 67033,              1816232,,                517252,                200053,,                326513,              1043818,,,                149581,,                -10556,,                              0,                139025,                              0,              8126321,              4051428,             12177749,             34279809,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306,2014年06月30日,,,,              3282861,,                 36872,,                 32947,,                144299,,                504749,,              2871558,,                127542,,              8736575,,                757164,,                244889,,                885318,             17624774,,,                187044,,                583859,,             12974755,,                927187,,                196186,                118467,,                826672,             15814170,             33438944,,,,,              4261501,,                790000,,                  1508,,                668641,,                892161,,              1038849,                 59737,                126347,,              3326566,             11165310,,,                907764,,              8443392,,                271477,,                710931,             10333564,             21498874,,,,              4664173,              5127074,,,              1647579,                 13294,                              0,                              0,                109907,                    719,                 67054,              1838553,,                517252,                200053,,                240085,                957390,,,                 34889,,                 -9426,,                              0,                 25463,,              7948480,              3991590,             11940070,             33438944,              0,              0,              0,                462901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306,2014年03月31日,,,,              3745850,,                 33594,,                 35260,,                 44051,,                534836,,              2748350,,                 86626,,              7156933,,                677337,,                              0,,                676362,             15739199,,,                187044,,                551570,,             13844039,,                924674,,                200256,                 85908,,                829926,             16623417,             32362616,,,,,              4138163,,                530000,,                     99,,                650465,,                875555,,                488776,                 56196,                              0,,              2963423,              9702677,,,              1003442,,              8248694,,                272513,,                723842,             10248491,             19951168,,,,              4651493,              4651493,,,              1632043,                 13294,                              0,                521993,                              0,                    719,                 69634,              2237683,,                443161,                200053,,              1008592,              1651806,,,                121095,,                 -9361,,                              0,                111734,                              0,              8652716,              3758732,             12411448,             32362616,              0,              0,              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306,2013年12月31日,,,,,,                 37098,,                 39840,,,,                591561,,              2799149,,                118777,,              6834218,,                617984,,                 26001,,                412334,             14636224,,,                187044,,                541177,,             13401180,,                  2417,,                196094,                 89052,,              1105862,             15522826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              2903826,                255436,             30159050,,,,              4139254,,                480000,,                  9699,,                615157,,                993663,,                572349,                 98497,                  8600,,              3933154,             10850373,,,                683258,,              6353682,,                272829,,                805450,              8115219,             18965592,,,,              4506825,              4506825,,,              1459468,                 13294,                              0,                111310,                              0,                    719,                 98336,              1683127,,                443161,                200053,,                954937,              1598151,,,                131187,,                 -5765,,                              0,                125422,              7913525,              3279933,             11193458,,,,,
4306,2013年09月30日,,,,,,                103755,,                 36406,,,,                561830,,              2548015,,                103009,,              6747344,,                483682,,                              0,,                305862,             14101169,,,                187044,,                584308,,             12281746,,                  6014,,                194126,                110434,,                771273,             14134945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              3211266,                              0,             28236114,,,,              4213551,,                180000,,                    855,,                576985,,                984663,,                821704,                 64176,                              0,,              3282899,             10124833,,,                142438,,              6427319,,                266751,,                736870,              7573378,             17698211,,,,              4440549,              4440549,,,              1399402,                 13294,                 -6544,                              0,                              0,                    719,                108022,              1514893,,                443161,                200053,,                913212,              1556426,,,                 53564,,                 -7422,,                  1001,                 47143,              7559011,              2978892,             10537903,,,,,
4306,2013年06月30日,,,,,,                 87374,,                 40720,,,,                545370,,              2595793,,                 68110,,              6353433,,                290509,,                              0,,                401151,             13832487,,,                190194,,                566670,,             11111375,,                  6081,,                196856,                111431,,              1123311,             13305918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              3450027,                              0,             27138405,,,,              4162642,,                230000,,                 14762,,                536990,,                929538,,                726857,                 55540,                              0,,              2969545,              9625874,,,                749807,,              5575013,,                267514,,                744152,              7336486,             16962360,,,,              3961228,              4356933,,,              1314699,                 13294,                 18192,,                              0,                    719,                120289,              1467193,,                443161,                200053,,                784619,              1427833,,,                111267,,                 -5682,,,                105585,              7357544,              2818501,             10176045,                395705,,,,
