證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 預付設備款,　　　　 預付投資款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 資本公積－普通股股票溢價,　　　　 特別盈餘公積,　　　 其他應付款項－關係人
3605,2015年09月30日,,,,              1987524,,                 66003,,                    677,,              1088674,,                 38575,,,                358403,                358403,,                 35562,,                 29985,              3605403,,,                 70745,,                190605,,              2162176,,                 80013,,                 96754,                430147,                 21016,,                 49850,                597767,              3101306,              6706709,,,,,                970273,,                    798,,                437693,,                              0,                464108,                464108,                 50691,,,                  9000,                  9000,                 12100,                 21100,              1944663,,,                181000,,                427797,,                 10564,                619361,              2564024,,,,              1239559,              1239559,,,                426382,                  3831,                  3143,                 23476,                 15229,                 12666,                484727,,                528090,,              1615110,              2143200,,,                325122,,                   -756,,                 -7894,                 -7894,                316472,                 41273,              4142685,              4142685,              6706709,              0,      1014000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2015年06月30日,,,,              1609982,,                 60624,,                  1105,,                869224,,                 38422,,,                317058,                317058,,                 63437,,                 28631,              2988483,,,                 69470,,                172494,,              2168726,,                 79820,,                 82789,                              0,                 20324,,                 50587,                153700,              2644210,              5632693,,,,,                210477,,                    863,,                353422,,                147679,                434523,                582202,                 54074,,,,,,                 15686,              1216724,,,                 90000,,                393260,,                 10431,                493691,              1710415,,,,              1239759,              1239759,,,                415764,                  3831,                  3143,                 23476,                 27418,                 12666,                486298,,                528090,,              1522698,              2050788,,,                198476,,                              0,,                -12110,                -12110,                186366,                 40933,              3922278,              3922278,              5632693,              0,        980000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2015年03月31日,,,,              2089294,,                 60678,,                  2913,,                970224,,                 40031,,,                341709,                341709,,                 68887,,                 29039,              3602775,,,                 19740,,                176942,,              2165206,,                 86036,,                150304,                              0,                 20749,,                 47689,                218742,              2666666,              6269441,,,,,                633130,,                    656,,                396965,,,,                510674,                 54294,,,,,,                 13071,              1608790,,,                 90000,,                434740,,                 10331,                535071,              2143861,,,,              1240759,              1240759,,,                415764,                  3831,                  3143,                 23476,                 28000,                 12666,                486880,,                483251,,              1731946,              2215197,,,                239960,,                              0,,                -15483,                -15483,                224477,                 41733,              4125580,              4125580,              6269441,              0,      1060000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2014年12月31日,,,,              2229478,,                 60330,,                  7380,,              1083509,,                 53351,,,                327989,                327989,,                 63321,,                 36859,              3862217,,,                 26972,,                              0,,              2007909,,                 91860,,                363366,                 25460,                 21081,,                 41528,                451435,              2578176,              6440393,,,,,                668173,,                    403,,                447352,,                              0,                620558,                620558,                 43095,,,                              0,                              0,                 12774,                 12774,              1792355,,,                 60000,,                445335,,                 10189,                515524,              2307879,,,,              1240759,              1240759,,,                415764,                  3831,                  3143,                 23476,                 30909,                 12666,                489789,,                483251,,              1705202,              2188453,,,                268909,,                  7231,,                -21894,                -21894,                254246,                 40733,              4132514,              4132514,              6440393,              0,        960000,              0,              2229478,              6440393,,,,                668173,,                    403,,                447352,,                620558,                 43095,,                 12774,                 12774,              1792355,,,                 60000,,                445335,,                 10189,                515524,              2307879,,,,              1240759,              1240759,,,                415764,                  3831,                  3143,                 23476,                 30909,                 12666,                489789,,                483251,,              1705202,              2188453,,,                268909,,                  7231,,                -21894,                -21894,                254246,                 40733,              4132514,              4132514,,,,,,,,,,
3605,2014年09月30日,,,,              2062297,,                 57666,,                  5552,,              1208262,,                 54384,,,                385977,                385977,,                 79534,,                 29130,              3882802,,,                 55772,,                              0,,              1953078,,                 92582,,                419378,                              0,                 20559,,                 43292,                483229,              2584661,              6467463,,,,,                633493,,                  7408,,                526053,,                 86083,                603692,                689775,                 58408,,,                              0,                              0,                 38240,                 38240,              1953377,,,                 60000,,                423479,,                  7455,                490934,              2444311,,,,              1249999,              1249999,,,                418883,                  3831,                  3143,                 23476,                 30909,                 12666,                492908,,                483251,,              1689125,              2172376,,,                173565,,                  7232,,                -27303,                -27303,                153494,                 45625,              4023152,              4023152,              6467463,              0,        924000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2014年06月30日,,,,              1648684,,                 56329,,                  5226,,              1176802,,                 35540,,,                367321,                367321,,                 81894,,                 26316,              3398112,,,                108932,,                              0,,              1912155,,                 93451,,                409833,                              0,                 20174,,                 41661,                471668,              2586206,              5984318,,,,,                503508,,                    572,,                479450,,                 86083,                553600,                639683,                 49731,,,,,,                 33089,              1706033,,,                 60000,,                396154,,                  7219,                463373,              2169406,,,,              1238999,              1238999,,,                417793,                  3831,                  3143,                 23476,                              0,                 12666,                460909,,                483251,,              1538053,              2021304,,,                104519,,                 34806,,                              0,                              0,                139325,                 45625,              3814912,              3814912,              5984318,              0,        924000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2014年03月31日,,,,              2006517,,                 45418,,                  4444,,                998555,,                 52440,,,                341972,                341972,,                 69125,,                 24091,              3542562,,,                356270,,                              0,,              1962625,,                100762,,                361239,                              0,                 20677,,                 50099,                432015,              2851672,              6394234,,,,,              1043622,,                    506,,                440140,,,,                511200,                 25746,,,,,,                 31786,              2053000,,,                 60000,,                399851,,                  7083,                466934,              2519934,,,,              1244009,              1244009,,,                419496,                  3831,                  3143,                 23476,                              0,                 12666,                462612,,                464016,,              1481676,              1945692,,,                155589,,                139511,,                              0,                              0,                295100,                 73113,              3874300,              3874300,              6394234,              0,      1425000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2013年12月31日,,,,,,                 43244,,                  3377,,              1051402,,                 44050,,,                378829,                378829,,                 54060,,                 22795,              3532607,,,                342553,,,,              1983574,,                105423,,                338226,                              0,                 20888,,                 67734,                426848,              2858398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1425000,              0,              1934850,              6391005,,,,              1023813,,                  3332,,                491160,,                575190,                 16638,,                 24985,                 24985,              2135118,,,                 60000,,                408125,,                  6700,                474825,              2609943,,,,              1244009,              1244009,,,                419496,                  3831,                  3143,                 23476,                              0,                 12666,                462612,,                464016,,              1419404,              1883420,,,                155494,,                108640,,                              0,                              0,                264134,                 73113,              3781062,              3781062,,                              0,                              0,                575190,,                              0,                              0,,,
3605,2013年09月30日,,,,,,                 41395,,                  3905,,              1084388,,                 38703,,,                344964,                344964,,                 47160,,                 22622,              3409908,,,                370971,,,,              1943744,,                111573,,                320820,,                 20651,,                 69770,                411241,              2837529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1425000,              0,              1826771,              6247437,,,,              1164837,,                  9683,,                446653,,                520761,                  7051,,                 24946,                 26005,              2175037,,,                 60000,,                388390,,                  6788,                455178,              2630215,,,,              1244009,              1244009,,,                419496,                  3831,                  3143,                 23476,                              0,                 12666,                462612,,                464016,,              1324377,              1788393,,,                111204,,                 84117,,                              0,                              0,                195321,                 73113,              3617222,              3617222,,                     47,                              0,                520761,,                  1059,                  1059,,,
3605,2013年06月30日,,,,,,                 41149,,                  1226,,              1099374,,                 41631,,,                370094,                370094,,                 42342,,                 23381,              3425695,,,                280579,,,,              1991995,,                117000,,                278581,,                 21016,,                 70690,                370287,              2759861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1425000,              0,              1806498,              6185556,,,,                772417,,                 12416,,                456126,,                710649,                 52455,,                 32436,                281883,              2297304,,,                              0,,                387924,,                  6712,                394636,              2691940,,,,              1243919,              1243919,,,                419496,                  3831,                  3143,                  7644,,                 28498,                462612,,                464016,,              1263833,              1727849,,,                143171,,                -10822,,,,                132349,                 73113,              3493616,              3493616,,                 11358,                147571,                563078,,                249447,                249447,,,
