證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 應付租賃款－非流動,　　　　 其他非流動負債－其他,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 與待出售非流動資產直接相關之負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 待分配股票股利,　　　　 無活絡市場之債券投資－流動,　　　 按攤銷後成本衡量之金融資產－流動,　　　　 按攤銷後成本衡量之金融資產－流動淨額,　　　　 存出保證金,　　　　 長期預付租金
6251,2015年09月30日,,,,              1348114,,                  9070,,                245981,,              3091451,,                 70990,,              1322345,,                148156,,                    721,              6236828,,,              4770928,,                 11727,                127236,,                 47451,              4957342,             11194170,,,,,              2468239,,                              0,,                  1252,,                  1470,,              1864434,,                 67766,,              1015323,                 30018,                              0,,,                192146,                192146,                 10057,                 64723,                266926,              5715428,,,                466260,,                273277,,,                  2070,                  2070,                  1310,                 54140,                              0,                 57520,                797057,              6512485,,,,              2860594,              2860594,,              1060950,,                531385,                299666,,               -272540,                558511,,                201636,                 49077,              4632614,                 49071,              4681685,             11194170,              0,              0,      5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251,2015年06月30日,,,,              1182833,,                  9414,,                298099,,              2705017,,                 74634,,              1189625,,                154940,,                  1309,              5615871,,,              4801306,,                 13130,                109480,,                 45725,              4969641,             10585512,,,,,              2390181,,                              0,,                  1667,,                  2520,,              1537286,,                    226,,                982255,                 30005,                              0,,,                198523,                198523,                 11314,                 29303,                239140,              5183280,,,                512331,,                238029,,,                  3595,                  3595,                  1141,                 53529,,                 58265,                808625,              5991905,,,,              2860594,              2860594,,              1060950,,                531385,                299666,,               -322057,                508994,,                116232,                              0,              4546770,                 46837,              4593607,             10585512,              0,              0,              0,,              1189625,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251,2015年03月31日,,,,              1058288,,                 58585,,                305320,,              2773129,,                102272,,              1236953,,                184099,,                  1163,              5719809,,,              4921652,,                 13924,                 99736,,                 49496,              5084808,             10804617,,,,,              2020122,,                              0,,                  2928,,                              0,,              1763247,,                    318,,                969907,                 52533,                              0,,,,,,,                283682,              5092737,,,                695803,,                243475,,,,,,,,                 62582,              1001860,              6094597,,,,              2860594,              2860594,,              1060950,,                531385,                299666,,               -236361,                594690,,                147672,                              0,              4663906,                 46114,              4710020,             10804617,,              0,              0,,              1236953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251,2014年12月31日,,,,                919256,,                 62642,,                273805,,              3098865,,                132350,,              1167379,,                143982,,                    774,              5799053,,,              5042156,,                  8887,                118119,,                 49366,              5218528,             11017581,,,,,              1542941,,                              0,,                  2108,,                    154,,              1833808,,                    199,,              1229044,                 52665,                              0,,,                266349,                266349,                 15562,                 25940,                307851,              4968770,,,                909049,,                273158,,,                  2708,                  2708,                  1310,                 37999,                              0,                 42017,              1224224,              6192994,,,,              2860594,              2860594,,              1060950,,                531385,                299666,,               -176884,                654167,,                202833,                              0,              4778544,                 46043,              4824587,             11017581,              0,              0,              0,,              1167379,                              0,                919256,                 62642,             11017581,,,,              1542941,,                  2108,,                    154,,              1833808,,                    199,,              1229044,                 52665,                              0,,,                266349,                266349,                 15562,                 25940,                307851,              4968770,,,                909049,,                273158,,,                  2708,                  1310,                 37999,                 42017,              1224224,              6192994,,,,              2860594,              2860594,,              1060950,,                531385,                299666,,               -176884,               -176884,                654167,,,                202833,                202833,                              0,              4778544,                 46043,              4824587,,,,,,,,,,,,,,,,,,,,
6251,2014年09月30日,,,,              1238957,,                 61038,,                137214,,              2951963,,                 74879,,              1134962,,                196568,,                  2114,              5797695,,,              4868645,,                  9490,                 91256,,                 52069,              5021460,             10819155,,,,,              1537635,,                    578,,                  5799,,                    530,,              1857617,,                    374,,              1165101,                 50000,                              0,,,                237470,                237470,                 19163,                 61110,                317743,              4935377,,,                952318,,                214341,,,                  4140,                  4140,                    586,                 42576,                              0,                 47302,              1213961,              6149338,,,,              2860594,              2860594,,              1060950,,                531385,                299666,,               -195257,                635794,,                 63824,                              0,              4621162,                 48655,              4669817,             10819155,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251,2014年06月30日,,,,              1291912,,                 10852,,                 56993,,              2786384,,                 66944,,              1007428,,                120455,,                    454,              5341422,,,              4568767,,                  9126,                 79932,,                 47908,              4705733,             10047155,,,,,              1458326,,                              0,,                  6973,,                  2022,,              1576708,,                     71,,                972369,                 60000,                              0,,,                250565,                250565,                 21480,                 32256,                304301,              4380770,,,                957950,,                166101,,,                  8180,                  8180,                    421,                 43994,,                 52595,              1176646,              5557416,,,,              2860594,              2860594,,              1060950,,                531385,                299666,,               -290547,                540504,,                -20575,                              0,              4441473,                 48266,              4489739,             10047155,              0,              0,              0,,              1007428,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251,2014年03月31日,,,,              1397430,,                  8701,,                 36285,,              2657706,,                 78191,,              1053006,,                117473,,                    485,              5349277,,,              4663065,,                 10340,                 78621,,                 52950,              4804976,             10154253,,,,,              1421861,,                              0,,                  5864,,                    963,,              1603767,,                              0,,                898789,                 70000,                  1739,,,,,,,                297139,              4300122,,,              1204067,,                150448,,,,,,,,                 60609,              1415124,              5715246,,,,              2860594,              2860594,,              1060950,,                531385,                299666,,               -390783,                440268,,                 27853,                              0,              4389665,                 49342,              4439007,             10154253,,              0,              0,,              1053006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251,2013年12月31日,,,,,,,,                176457,,              2950301,,                 80823,,                966662,,                137773,,                    696,              5759676,,,              4726884,,                  7209,                 58653,,                 54264,              4847010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     75000000,,,,              1439651,                  7313,             10606686,,,,              1691947,,                 14839,,                    177,,              1727049,,                    278,,                903300,                 70040,                  1739,,,                247030,                247030,                 21480,                 19785,                288295,              4697664,,,              1264744,,                127985,,,                 18920,                    655,                 67306,                 86881,              1479610,              6177274,,,,              2860594,              2860594,,              1060950,,                531385,                299666,,               -425552,               -425552,                405499,,,                 51869,                 51869,                              0,              4378912,                 50500,              4429412,,,,,,,,,,,,,,,,,,,,
6251,2013年09月30日,,,,,,,,                164498,,              2933819,,                 77276,,              1043302,,                188959,,                    696,              5581837,,,              4630097,,                  3924,                 44828,,                 44929,              4723778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1500000,,,,              1166735,                  6552,             10305615,,,,              1760835,,                  6613,,                     63,,              1680405,,                              0,,                879598,                 70028,                  7868,,,                180560,                180560,                 21480,                 22367,                224407,              4629817,,,              1044709,,                103365,,,                 24290,                  1471,                 34501,                 60262,              1208336,              5838153,,,,              2875594,              2875594,,              1074862,,                531385,                299666,,,               -334834,                496217,,,,                   -835,                 28912,              4416926,                 50536,              4467462,,                              0,                 24290,                              0,,,,,,,,,,,,,,,,
6251,2013年06月30日,,,,,,,,                118156,,              2785445,,                 85612,,              1110125,,                137574,,                    667,              6815509,,,              4708574,,                  2827,                 28464,,                 45733,              4785598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1500000,,              1110125,,              2572101,                  5829,             11601107,,,,              1780422,,                 22039,,                  5212,,              1700450,,                     16,,                829169,                 70000,                  7868,,,                249264,              1112239,                  4678,                 23141,              1140058,              5556450,,,              1382611,,                 92995,,,                 10322,                  6009,                 20934,                 37265,              1512871,              7069321,,,,              2875594,              2875594,,              1074862,,                531385,                299666,,,               -300826,                530225,,,,                 28430,                 28912,              4480199,                 51587,              4531786,,                  1216,                 10322,,                862975,,,,,,,,,,,,,,,
