證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　　 其他應付款－其他,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 銀行借款,　　　　　 一年或一營業週期內到期長期借款,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
4551,2015年09月30日,,,,                475286,,                306513,,                 35225,,                    517,,                746690,,                 32611,,                  6461,,                639036,,                190736,,                  8135,              2441210,,,              1696923,,,                  3312,                  3312,                  1805,,                506518,                 11477,,                     30,                 35019,                553044,              2255084,              4696294,,,,,              1196189,,                172756,,                    849,,                547393,                    545,                 22201,,,                    529,                 15206,                 15735,              1955668,,,                 63171,,                 11052,                  4185,                 15237,                 78408,              2034076,,,,                830000,                830000,,              1124255,,                 79782,,                505122,                584904,,                123059,              2662218,              2662218,              4696294,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551,2015年06月30日,,,,                476217,,                              0,,                 62686,,                  2019,,                791233,,                 31231,,,,                658776,,                184617,,                  5392,              2212171,,,              1657357,,,                  1926,                  1926,                  1568,,                487444,                 10977,,                    151,                 34424,                532996,              2193847,              4406018,,,,,              1118619,,                297427,,                  1039,,                828437,                    414,                 33616,,,                    517,                 14414,                 14931,              2294483,,,                 52294,,,,                 16442,                 68736,              2363219,,,,                750000,                750000,,                700255,,                 79782,,                419214,                498996,,                 93548,              2042799,              2042799,              4406018,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551,2015年03月31日,,,,                363571,,                              0,,                134780,,,,                773594,,                 25640,,,,                594902,,                147145,,                  1773,              2041405,,,              1641050,,,                  2498,                  2498,                  2494,,                471758,                  6240,,                    152,                 34967,                513117,              2159159,              4200564,,,,,                950581,,                351848,,                    738,,                489726,                    207,                 54510,,,                    522,                 14400,                 14922,              1862532,,,                 50284,,                 13452,                  4229,                 17681,                 67965,              1930497,,,,                750000,                750000,,                700255,,                 47793,,                664659,                712452,,                107360,              2270067,              2270067,              4200564,              0,              0,,                              0,,                              0,                489726,,                107360,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551,2014年12月31日,,,,                435127,,                              0,,                103448,,                              0,,                782345,,                 28333,,                              0,,                599152,,                158085,,                  1035,              2107525,,,              1671093,,,                  3080,                  3080,                  1800,,                324780,                  7449,,                    154,                 35711,                368094,              2044067,              4151592,,,,,                836193,,                341690,,                  1091,,                593749,                    409,                 45263,,,                    530,                 17528,                 18058,              1836453,,,                 55645,,                 14458,                    103,                 14561,                 70206,              1906659,,,,                750000,                750000,,                700255,,                 47793,,                615668,                663461,,                131217,              2244933,              2244933,              4151592,              0,              0,,                              0,,                              0,                593749,,                131217,,                              0,              0,                435127,                103448,              4151592,,,,                836193,,                341690,,                  1091,,                593749,                593749,                    409,                 45263,,                              0,,,                    530,,                              0,                 17528,                 18058,              1836453,,,                              0,,                 55645,,                 14458,                    103,                 14561,                 70206,              1906659,,,,                750000,                750000,,                700255,,                 47793,,                615668,                663461,,,                131217,,                              0,                131217,              2244933,              2244933,,,,,,,,,
4551,2014年09月30日,,,,                404900,,                 24704,,                 59332,,                              0,,                766574,,                 15268,,                              0,,                510302,,                145819,,                  7667,              1934566,,,              1473250,,,                  3084,                  3084,                    426,,                300928,                  7910,,                    147,                 34346,                343331,              1820091,              3754657,,,,,                797612,,                247128,,                  1362,,                470073,                     13,                 43471,,,                    506,                 36750,                 37256,              1596915,,,                 37046,,                 15173,                     98,                 15271,                 52317,              1649232,,,,                750000,                750000,,                700255,,                 47793,,                541081,                588874,,                 66296,              2105425,              2105425,              3754657,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551,2014年06月30日,,,,                313748,,                 40926,,                 29123,,                 34220,,                683428,,                 11235,,,,                511782,,                159253,,                  2601,              1788794,,,              1474717,,,                    848,                    848,                  2120,,                237476,                  6999,,                    513,                 33923,                278911,              1756596,              3545390,,,,,                705411,,                281806,,                  2182,,                426511,                    205,                 57702,,,                    869,                 16608,                 17477,              1491294,,,                 28570,,,,                 15870,                 44440,              1535734,,,,                750000,                750000,,                700255,,                 47793,,                466545,                514338,,                 45063,              2009656,              2009656,              3545390,              0,              0,,                  2478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551,2014年03月31日,,,,                370811,,                 51741,,                              0,,,,                746199,,                 31407,,,,                439025,,                148562,,                  1276,              1791887,,,              1467834,,,                    676,                    676,                  1555,,                161663,                 16920,,                    895,                 18602,                198080,              1668145,              3460032,,,,,                715131,,                226436,,                  4463,,                447533,                    260,                 65064,,,                    507,                 21018,                 21525,              1480412,,,                 18633,,                 16132,                     99,                 16231,                 34864,              1515276,,,,                750000,                750000,,                700255,,                 28691,,                401312,                430003,,                 64498,              1944756,              1944756,              3460032,              0,              0,,                  2478,,                    388,                447533,,                 60375,,                  4123,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551,2013年12月31日,,,,,,                 71574,,,,                 48888,,                609970,,                 12412,,,,                432214,,                129483,,                  1307,              1800406,,,              1488416,,,                    783,                    783,                  1968,,                 78933,                 11554,,                    882,                 18489,                109858,              1601025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,,              0,                494558,                              0,              3401431,,,,                712966,,                228955,,                  7447,,                492710,                492710,                    169,                 48832,,                  4400,,,                  2477,,                  1493,                 16878,                 20848,              1516327,,,                    373,,                 12412,,                 16933,                     97,                 17030,                 29815,              1546142,,,,                750000,                750000,,                700255,,                 28691,,                314762,                343453,,,                 49105,,                 12476,                 61581,              1855289,              1855289,,,,,,,,,
4551,2013年06月30日,,,,,,                 24772,,,,                              0,,                546162,,                 24001,,,,                396684,,                111440,,                  4082,              1473373,,,              1350699,,,                    207,                    207,                  6318,,                 28901,                  2206,,                    130,                 18616,                 49853,              1407077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,,                 26306,,,,,,              0,                339926,                              0,              2880450,,,,                444044,,                257647,,                  8116,,                279161,                279161,                250383,                 35357,,                              0,,,                 19356,,                    747,                 42209,                 62312,              1337020,,,                  1867,,                 12137,,                 17144,                  5244,                 22388,                 36392,              1373412,,,,                650000,                650000,,                550000,,                 28691,,                227205,                255896,,,                 39936,,                 11206,                 51142,              1507038,              1507038,,,,,,,,,
4551,2012年12月31日,,,,                251429,,                 35926,,,,                              0,,                505540,,                  5828,,,,                447597,,                104541,,                  7301,              1373308,,,              1318557,,,                    261,                    261,                 10326,,                 34707,                  3374,,                    131,                 17949,                 56161,              1385305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  6573,,                  8573,,,,,,,,,              2758613,,,,                276838,,                299012,,                  5849,,                254556,                254556,                477532,                 28489,,                              0,,,                 10477,,                  4350,                 14301,                 29128,              1371404,,,                 10888,,                  1859,,                 17064,                  4992,                 22056,                 34803,              1406207,,,,                650000,                650000,,                550000,,                 17946,,                134800,                152746,,,                -11627,,                 11287,                   -340,              1352406,              1352406,,                              0,,,,,,,
