證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 除役、復原及修復成本之長期負債準備,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 其他應付款－其他,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 除役、復原及修復成本之長期負債準備,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應付帳款,　　　　 應付帳款合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 資本公積,　　　　 資本公積合計
9943,2015年09月30日,,,,                722266,,                 26796,,                 46215,,                442061,,                 21799,,                101705,,                 15386,,                 37377,,                  6542,              1420147,,,                150000,,              1550433,,                763226,,                131884,                 34869,,                141012,                 30608,,                    802,                172422,              2802834,              4222981,,,,,                116931,,                217502,                 49939,,,                 70320,                 34442,                104762,                489134,,,                 47660,,                154717,                154717,,                  5488,,                  2357,                  2357,                210222,                699356,,,,              1473176,              1473176,,                655078,                              0,,              1417933,              2073011,,                -22562,              3523625,              3523625,              4222981,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,2015年06月30日,,,,              1454016,,                              0,,                 52567,,                 81747,,                 12260,,                101198,,                 15936,,                 40950,,                    267,              1901238,,,                150000,,              1476270,,                764998,,                132012,                 34815,,                142037,                 30572,,                    908,                173517,              2731612,              4632850,,,,,                120027,,                804855,                 72148,,,                 70320,                 36139,                106459,              1105665,,,                 65240,,                145833,                145833,,                  5480,,                  2357,                  2357,                218910,              1324575,,,,              1473176,              1473176,,                655078,                              0,,              1198753,              1853831,,                -18732,              3308275,              3308275,              4632850,              0,              0,,                142297,,                  2176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,2015年03月31日,,,,              1038317,,                  1459,,                312884,,                140772,,                 12663,,                113114,,                 17115,,                 42450,,                    236,              1679010,,,                150000,,              1548639,,                778900,,                132140,                 34707,,                142093,                 30536,,                  1094,                173723,              2818109,              4497119,,,,,                132619,,                182058,                103895,,,                 70320,                 31438,                101758,                520330,,,                 82820,,                148007,                148007,,                  5480,,                  2357,                  2357,                238664,                758994,,,,              1473176,              1473176,,                590254,                 69835,,              1509070,              2169159,,                 95790,              3738125,              3738125,              4497119,              0,              0,,,,,                182058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,2014年12月31日,,,,                718488,,                 23710,,                265174,,                208791,,                  9748,,                100841,,                 21092,,                 34611,,                    499,              1382954,,,                150000,,              1405984,,                790672,,                132268,                 33830,,                144313,                 30501,,                  1174,                175988,              2688742,              4071696,,,,,                131841,,                229343,                 62698,,,                 70320,                 29279,                 99599,                523481,,,                100880,,                147456,                147456,,                  5480,,                  2357,                  2357,                256173,                779654,,,,              1473176,              1473176,,                590254,                 69835,,              1148667,              1808756,,                 10110,              3292042,              3292042,              4071696,              0,              0,,                              0,,                              0,                229343,                718488,                208791,                 30501,              4071696,,,,                131841,,                229343,                229343,                 62698,,,                 70320,                 29279,                 99599,                523481,,,                100880,,                147456,                147456,,                  5480,,                  2357,                  2357,                256173,                779654,,,,              1473176,              1473176,,                590254,                 69835,,              1148667,              1808756,,                 10110,              3292042,              3292042,              0,,,,,,,,,,
9943,2014年09月30日,,,,                554187,,                  9269,,                237400,,                191715,,                  2124,,                105559,,                 15401,,                 35729,,                  5902,              1157286,,,                150000,,              1360660,,                799529,,                132395,                 35243,,                146034,                 29396,,                  1359,                176789,              2654616,              3811902,,,,,                125742,,                223468,                 38714,,,                 70320,                 30873,                101193,                489117,,,                118780,,                146416,                146416,,                  5647,,                  2374,                  2374,                273217,                762334,,,,              1473176,              1473176,,                590254,                 69835,,                979652,              1639741,,                -63349,              3049568,              3049568,              3811902,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,2014年06月30日,,,,                809360,,                              0,,                247292,,                 22683,,                  9212,,                405973,,                 16347,,                 39994,,                  1046,              1694234,,,                150000,,              1317515,,                787669,,                132523,                 34869,,                146122,                 29349,,                  1231,                176702,              2599278,              4293512,,,,,                133332,,                825087,                 58333,,,                 70320,                 30294,                100614,              1119884,,,                136360,,                148590,                148590,,                  5642,,                  2248,                  2248,                292840,              1412724,,,,              1473176,              1473176,,                590254,                 69835,,                800727,              1460816,,                -53204,              2880788,              2880788,              4293512,              0,              0,,                142327,,                  2518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,2014年03月31日,,,,                755467,,                  2467,,                250589,,                 67707,,                 17777,,                402086,,                 17500,,                 39430,,                    988,              1554011,,,                150000,,              1475217,,                682368,,                132652,                 33435,,                149123,                 29298,,                  1393,                179814,              2653486,              4207497,,,,,                120933,,                186137,                 94819,,,                 70320,                 31736,                102056,                503945,,,                153940,,                149315,                149315,,                  5641,,                  2121,                  2121,                311017,                814962,,,,              1473176,              1473176,,                550643,                              0,,              1420748,              1971391,,                -52032,              3392535,              3392535,              4207497,              0,              0,,,,,                186137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,2013年12月31日,,,,,,                  3588,,                240697,,,,                 14467,,                406054,,                 21279,,                 34230,,                  2617,              1395949,,,                150000,,              1426065,,                664551,,                132780,                 32729,,                158755,,,                  1455,                189445,              2595570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,                428827,                244190,                 29235,              3991519,,,,                109348,,                241907,                241907,                 59765,,,                 70320,                 26085,                 96405,                507425,,,                171520,,                147234,                147234,,                  5739,,                  2121,                  2121,                326614,                834039,,,,              1473176,              1473176,,                550643,                              0,,              1203496,              1754139,,                -69835,              3157480,              3157480,              0,,                              0,,,,,,,,
9943,2013年09月30日,,,,,,                              0,,                243994,,,,                 14229,,                401946,,                 20540,,                 38108,,                  5865,              1391698,,,                150000,,              1450049,,                654457,,                132906,                 34834,,                134000,,,                    691,                164737,              2586983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,                611454,                 55562,                 30046,              3978681,,,,                118589,,                244858,                244858,                 42264,,,                 70320,                 29797,                100117,                506914,,,                239100,,                148831,                148831,,                  6173,,                  2122,                  2122,                396226,                903140,,,,              1473176,              1473176,,                550643,                              0,,              1147619,              1698262,,                -95897,              3075541,              3075541,              0,,                  1086,,,,,,,,
9943,2013年06月30日,,,,,,                  1316,,                236301,,,,                 26440,,                  1736,,                 19630,,                 40974,,                    338,              1683729,,,                150000,,              1480429,,                673519,,                133034,                 33377,,,,,,                162813,              2633172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                122815,,,,              1172475,                 61601,,              4316901,,,,                              0,,,                678191,                 65768,,,,,                101007,                962988,,,                209640,,,                151998,,                  6353,,,                  2188,                370179,              1333167,,,,              1473176,              1473176,,                550643,                              0,,              1051867,              1602510,,                -91952,              2983734,              2983734,              0,,                              0,,                    103,,                118022,,                -91952,,
