證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 應付股利,　　　 庫藏股票,　　　　 待分配股票股利
2911,2015年09月30日,,,,                633938,,                 20506,,                  1051,,                 53494,,                910150,,                     26,,                 56159,,                  4142,,              3086724,,                  3865,                216145,                220010,,                  4207,              4990407,,,                  9947,,                 82522,,              1615494,,                913148,,                 11423,,                 30930,                 42353,                247343,,                123182,                142176,,                  1286,                266644,              3177451,              8167858,,,,,              1032106,,                 19983,,                 20427,,              1381269,,                    572,,                 22886,                471041,                493927,                  8017,,                  7409,,,                 17553,                 98381,                115934,,                597144,                171036,                768180,                 37305,                921419,              3885129,,,                              0,,                365000,,                234285,,                352105,                 53898,                406003,              1005288,              4890417,,,,              2112958,              2112958,,                919163,,                177552,                 63206,,               -175381,                 65377,,                145583,                 88134,              3154947,                122494,              3277441,              8167858,              0,      6244000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,2015年06月30日,,,,                610430,,                 20481,,                  1521,,                 43768,,                773976,,                  2141,,                 53239,,                  3726,,              2287352,,                  3736,                231067,                234803,,                  3494,              4034931,,,                 12584,,                105383,,              1619661,,                876266,,                 11423,,                 31710,                 43133,                243846,,                117719,                137589,,                  1349,                256657,              3157530,              7192461,,,,,                585554,,                              0,,                 12189,,                811947,,                  4748,,                 17355,                537042,                554397,                  9693,,                 10047,,,                 16383,                158172,                174555,,                594561,                180348,                774909,                 40235,                989699,              2978274,,,                              0,,                285050,,                220167,,                354448,                 50861,                405309,                910526,              3888800,,,,              2112958,              2112958,,                942435,,                177552,                 63206,,               -170766,                 69992,,                 64758,                  9652,              3180491,                123170,              3303661,              7192461,              0,        686000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,2015年03月31日,,,,              1009410,,                 28833,,                  1623,,                 41906,,              1052437,,                  2588,,                 57397,,                 10162,,              2358844,,                  3806,                215644,                219450,,                  4588,              4787238,,,                 12584,,                117962,,              1659808,,                894259,,                 11423,,                 33242,                 44665,                221719,,                120574,                140553,,                 43452,                304579,              3255576,              8042814,,,,,                666479,,                 19989,,                  9617,,              1050620,,                 12863,,                 31963,                525724,                557687,                 21652,,                 28861,,,                 16891,                128429,                145320,,                591989,                141129,                733118,                 35288,                913726,              3281494,,,                              0,,                657448,,                247065,,                351833,                 43656,                395489,              1300002,              4581496,,,,              2112958,              2112958,,                942435,,                177552,                 63206,,                -62263,                178495,,                100182,,              3334070,                127248,              3461318,              8042814,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,2014年12月31日,,,,                849033,,                 28392,,                  1597,,                 46264,,              1054050,,                 32467,,                 91130,,                 10184,,              2513953,,                  3838,                244742,                248580,,                  4104,              4879754,,,                 12584,,                121802,,              1701528,,                892572,,                 11423,,                 34809,                 46232,                234863,,                121317,                142837,,                 43538,                307692,              3317273,              8197027,,,,,                695689,,                 24988,,                 11437,,                958963,,                  5902,,                 48676,                682208,                730884,                 12971,,                 24911,,,                 14412,                115916,                130328,,                              0,                 69340,                 69340,                 30767,                230435,              2696180,,,                589428,,                816803,,                252615,,                349622,                 43433,                393055,              2051901,              4748081,,,,              2112958,              2112958,,                942435,,                177552,                 63206,,                -93803,                146955,,                122632,                              0,              3324980,                123966,              3448946,              8197027,              0,              0,,                              0,                849033,                 10184,              8197027,,,,                695689,,                 24988,,                 11437,,                958963,,                  5902,,                 48676,                682208,                730884,                 12971,,                 24911,,,                 14412,                115916,                130328,,                 69340,                 30767,                230435,              2696180,,,                589428,,                816803,,                252615,,                349622,                 43433,                393055,              2051901,              4748081,,,,              2112958,              2112958,,                942435,,                177552,                 63206,,                -93803,                146955,,                122632,              3324980,                123966,              3448946,              0,,,
2911,2014年09月30日,,,,                716925,,                 86806,,                  1834,,                 35917,,                904840,,                 24463,,                 63108,,                 11786,,              2731158,,                  3723,                225995,                229718,,                  4256,              4810811,,,                 12584,,                101692,,              1669367,,                886064,,                 11423,,                 29411,                 40834,                262522,,                119010,                139348,,                 41873,                300231,              3273294,              8084105,,,,,                532226,,                 24973,,                 11398,,              1407367,,                  7820,,                 38065,                548781,                586846,                    580,,                  5183,,,                 14126,                104558,                118684,,                              0,                 85240,                 85240,                 33160,                237084,              2813477,,,                586879,,                795352,,                229016,,                377219,                 39461,                416680,              2027927,              4841404,,,,              2112958,              2112958,,                919163,,                177552,                 63206,,               -196613,                 44145,,                 49237,                              0,              3125503,                117198,              3242701,              8084105,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,2014年06月30日,,,,                773145,,                 26308,,                  1827,,                 41361,,                719878,,                 19054,,                 76471,,                 10162,,              2113515,,                  3632,                262995,                266627,,                  3899,              4091762,,,                 15880,,                105793,,              1663040,,                884803,,                 11423,,                 29844,                 41267,                267136,,                118477,                136790,,                 41873,                297140,              3275059,              7366821,,,,,                521287,,                 24993,,                 10775,,                689139,,                 46021,,                 33496,                479057,                512553,                  4684,,                  4793,,,                 12738,                123192,                135930,,                              0,                 96453,                 96453,                 29622,                262005,              2076250,,,                584340,,                871305,,                220325,,                373849,                 35707,                409556,              2085526,              4161776,,,,              2112958,              2112958,,                919163,,                177552,                 63206,,               -175871,                 64887,,                 -6872,                              0,              3090136,                114909,              3205045,              7366821,              0,              0,,                 39515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,2014年03月31日,,,,                691556,,                 37126,,                  1878,,                 36072,,                827008,,                 14606,,                 54376,,                  8241,,              2254100,,                  3700,                272192,                275892,,                  4512,              4205367,,,                 15880,,                164180,,              1701492,,                906249,,                 11423,,                 30324,                 41747,                235907,,                119879,                140277,,                 40653,                300809,              3366264,              7571631,,,,,                505156,,                 49868,,                  4318,,                845533,,                 41033,,                 37201,                462769,                499970,                 13594,,                 22044,,,                 14050,                101152,                115202,,                              0,                 98236,                 98236,                 26343,                239781,              2221297,,,                581813,,                752857,,                248498,,                370971,                 33937,                404908,              1988076,              4209373,,,,              2112958,              2112958,,                919163,,                177552,                 63206,,                -68201,                172557,,                 35954,,              3240632,                121626,              3362258,              7571631,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,2013年12月31日,,,,,,                 31536,,                  2122,,                 42740,,              1037125,,                 17113,,                 55979,,,,              2430115,,                  3687,                277045,                280732,,                  4488,              4433207,,,                 15880,,                168584,,              1737714,,                907068,,                 11423,,                 27935,                 39358,                196537,,                125430,                141222,,                 40507,                307159,              3372300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                522505,                  8752,              7805507,,,,                639072,,                              0,,                 11442,,                728425,,                 40030,,                 18375,                584018,                602393,                  6161,,                 24240,,,                 10653,                110886,                121539,,                 98307,                 50723,                270569,              2322332,,,                579296,,                828203,,                264813,,                367938,                 34561,                402499,              2074811,              4397143,,,,              2112958,              2112958,,                919163,,                177552,                 63206,,                -13975,                226783,,                 34443,              3293347,                115017,              3408364,              0,,,
2911,2013年09月30日,,,,,,                 36515,,                  2719,,                 37796,,                899183,,                 16568,,                 72840,,,,              2741485,,                  3642,                240151,                243793,,                  7540,              5034069,,,                 15880,,                168403,,              1659270,,                896065,,                 11423,,                 29260,                 40683,                196552,,                121694,                139506,,                 39050,                300250,              3277103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                962089,                 13541,              8311172,,,,                889272,,                  9998,,                  5561,,              1198050,,                 39887,,                 39546,                504742,                544288,                  4231,,                  7527,,,                 11538,                118714,                130252,,                 24279,                 24753,                179284,              2878098,,,                576790,,                912524,,                247398,,                369822,                 32659,                402481,              2139193,              5017291,,,,              2112958,              2112958,,                919163,,                177552,                 63206,,                -84542,                156216,,                 -5484,              3182853,                111028,              3293881,              0,,,
2911,2013年06月30日,,,,,,                 36977,,                  2556,,                 49272,,                779354,,                 13722,,                 59031,,,,              2332333,,                  3699,                331801,                335500,,                  4349,              4165566,,,                 15880,,                166397,,              2493030,,                104403,,                 11423,,                 29718,                 41141,                183567,,                125748,                142431,,                 39343,                307522,              3311940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,                547314,                  5158,              7477506,,,,                837503,,                              0,,                  9760,,                536287,,                 40400,,                 65925,                490458,                704290,                  9227,,                  6469,,,                 11457,                140068,                151525,,                 24727,                 28463,                204715,              2348651,,,                574295,,                508990,,                263105,,                366960,                 30884,                397844,              1744234,              4092885,,,,              2112958,              2112958,,                919163,,                177552,                 63206,,                -22184,                218574,,                 28294,              3278989,                105632,              3384621,              0,                147907,,
