證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 採用權益法之投資,　　 待註銷股本股數,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 待分配股票股利
1304,2015年09月30日,,,,              6962279,,              5619399,,                179322,,              1527929,,              1239603,,              6077551,,                 69870,,                453247,,,              7478353,              7478353,,                588307,,                227113,             30422973,,,              1748737,,                815249,,                 16772,,                170073,,             22091080,,                197563,,                310891,,                178463,                489354,,                 17133,                803708,,                445106,,                242272,                687378,             27037047,             57460020,,,,,              5916977,,              2380702,,                      7,,                    183,,              2911169,,                 29245,              1640991,              1670236,                203390,,                 18463,,,              1409003,                288306,              1697309,             14798436,,,              1996723,,              5002415,,              1463368,,              3273282,                100750,              3374032,             11836538,             26634974,,,,             11426024,             11426024,,                197779,,              2607710,                375127,,              2768120,              5750957,,                -30706,                475606,             16868448,             13956598,             30825046,             57460020,              0,    111943075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2015年06月30日,,,,              8848907,,              5613018,,                235943,,              2270087,,              1333035,,              6112492,,                 83164,,                313681,,,              8220298,              8220298,,                474673,,                515573,             34020871,,,              2263609,,                811037,,                 16772,,                162542,,             21707225,,                194278,,                310891,,                187621,                498512,,                 16737,                797136,,                443645,,                262244,                705889,             27173737,             61194608,,,,,              6956823,,              2952665,,                     35,,                 13397,,              4029567,,                619472,              1367033,              1986505,                269856,,                 20563,,,              1398665,                307815,              1706480,             17935891,,,              1996573,,              5319921,,              1441172,,              3282718,                 93968,              3376686,             12134352,             30070243,,,,             11426024,             11426024,,                197779,,              2607710,                375127,,              2634720,              5617557,,                235648,                475606,             17001402,             14122963,             31124365,             61194608,              0,    111943075,                162542,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2015年03月31日,,,,              8596098,,              5563314,,                284613,,              2240857,,              1588359,,              5643919,,                 93583,,                292791,,,,              7322153,,                586039,,                517043,             32728769,,,              2400223,,                812276,,                 16772,,                166623,,             20865950,,                196284,,                310891,,                174020,                484911,,                 16897,                805146,,                446798,,                271775,                718573,             26483655,             59212424,,,,,              5754990,,              2918121,,                     11,,                 28951,,              3121800,,,              1625180,              1625180,                240741,,                 19576,,,              1389350,                346976,              1736326,             15445696,,,              2495881,,              5116860,,              1443825,,              3289994,                 92496,              3382490,             12439056,             27884752,,,,             11426024,             11426024,,                183043,,              2543626,                375127,,              2840236,              5758989,,                474662,                475606,             17367112,             13960560,             31327672,             59212424,              0,    111943075,,,,                474662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2014年12月31日,,,,              7485579,,              3172849,,                296450,,              3727311,,              1904912,,              6133312,,                 64304,,                408691,,,              8640157,              8640157,,                633740,,                 13968,             32481273,,,              2404119,,                861993,,                 12600,,                167483,,             20241266,,                198112,,                310891,,                186463,                497354,,                 17151,                808703,,                455672,,                269285,                724957,             25933738,             58415011,,,,,              6834996,,              2739843,,                    421,,                 47669,,              3252914,,                 23210,              1748442,              1771652,                178004,,                 25596,,,              1317899,                188442,              1506341,             16357436,,,                999024,,              5073799,,              1477093,,              3314429,                 95365,              3409794,             10959710,             27317146,,,,             11426024,             11426024,,                183205,,              2543626,                375127,,              2652484,              5571237,,                616118,                475606,             17320978,             13776887,             31097865,             58415011,              0,    111943075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2014年09月30日,,,,              8895767,,              4942276,,                310056,,              2568075,,              2017407,,              6292115,,                145851,,                416148,,,              9094110,              9094110,,                824926,,                182332,             35689063,,,              2370094,,                850008,,                  7600,,                              0,,             18914180,,                196424,,                309026,,                151392,                460418,,                 10253,                792209,,                387348,,                589002,                976350,             24577536,             60266599,,,,,              7634644,,              3016413,,                    525,,                 46583,,              3808521,,                 24716,              1756032,              1780748,                150328,,                 21349,,,              1269220,                297888,              1567108,             18026219,,,                998831,,              5550651,,              1392031,,              3276525,                 90130,              3366655,             11308168,             29334387,,,,             11426024,             11426024,,                183205,,              2543626,                375127,,              2594293,              5513046,,                343156,                457800,             17007631,             13924581,             30932212,             60266599,              0,    108085075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2014年06月30日,,,,              9720462,,              5037497,,                319968,,              2684336,,              1959806,,              6531250,,                147223,,                354928,,,              8872042,              8872042,,                571248,,                223931,             36422691,,,              2510850,,                856097,,                  7600,,                              0,,             18308420,,                217397,,                309026,,                160990,                470016,,                 10066,                776815,,                383314,,                535079,                918393,             24075654,             60498345,,,,,              7858638,,              2918393,,                              0,,                 67750,,              3691023,,              1210481,              1440797,              2651278,                187793,,                 21917,,,              2109028,                248828,              2357856,             19754648,,,                998640,,              4366591,,              1360206,,              3288734,                 93192,              3381926,             10107363,             29862011,,,,             11426024,             11426024,,                183198,,              2543626,                375127,,              2347260,              5266013,,                471975,                439705,             16907505,             13728829,             30636334,             60498345,              0,    104438075,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2014年03月31日,,,,              9907087,,              6369230,,                339333,,              2578963,,              2214981,,              5458766,,                120036,,                294490,,,,              9434570,,                892884,,                159101,             37769441,,,              2316109,,                330799,,                  7600,,                              0,,             18011347,,                218065,,                309026,,                168253,                477279,,                 10271,                768755,,                393502,,                471028,                864530,             23004755,             60774196,,,,,              8149918,,              2832525,,                    103,,                 76433,,              3778504,,,              1491204,              1491204,                370320,,                 22251,,,              1585550,                196170,              1781720,             18502978,,,              1498001,,              4386530,,              1377673,,              3295937,                 96187,              3392124,             10654328,             29157306,,,,             11426024,             11426024,,                162584,,              2461910,                375127,,              2936517,              5773554,,                378882,                439705,             17301339,             14315551,             31616890,             60774196,              0,    104438075,,,,                378882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,2013年12月31日,,,,,,              6289764,,                375588,,,,              2271555,,              5423135,,                146815,,                233693,,,,              8290863,,                549987,,                114114,             35933828,,,              2309664,,                328927,,,,                              0,,             17556166,,                218229,,                309026,,                177709,                486735,,                 10138,                754593,,                390810,,                600449,                991259,             22663311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    104438075,,              0,,,              8679752,              3558562,                  7600,             58597139,,,,              6571449,,              2383142,,                    302,,                 61949,,              4774458,,                 16802,              1662774,              1679576,                  9552,                295733,,                 29260,,,              1077146,                118204,              1195350,             17000771,,,              1997292,,              3513508,,              1370755,,              3322738,                 98547,              3421285,             10302840,             27303611,,,,             11426024,             11426024,,                162708,,              2461910,                375127,,              2795790,              5632827,,                316949,                439705,             17098803,             14194725,             31293528,,,,,
1304,2013年09月30日,,,,,,              6539772,,                321893,,,,              2103941,,              5515028,,                122333,,                235737,,,              7155957,              7155957,,                741428,,                234830,             34962117,,,              2260862,,                322142,,,,,,             17212853,,                218772,,                309026,,                170036,                479062,,                  7816,                760148,,                387408,,                538306,                925714,             22194969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    104438075,,              0,,,              8633561,              3357508,                  7600,             57157086,,,,              6213506,,              2059164,,                    571,,                 98794,,              3907309,,                 22237,              1648431,              1670668,                  9469,                238810,,                 27222,,,                867486,                206456,              1073942,             15299455,,,              1996913,,              4447732,,              1301037,,              3258036,                 98510,              3356546,             11102228,             26401683,,,,             11426024,             11426024,,                162837,,              2461910,                375127,,              2654064,              5491101,,                 87838,                439705,             16728095,             14027308,             30755403,,                    129,,,
1304,2013年06月30日,,,,,,              7096393,,                269253,,,,              1797253,,              5183596,,                132828,,                315105,,,              8070530,              8070530,,                680895,,                 73958,             35434411,,,              2493547,,                615235,,,,,,             17064455,,                220698,,                309026,,                155105,                464131,,                  7890,                744736,,                394476,,                492462,                886938,             22497630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    104438075,,              0,,,              8408671,              3405800,                              0,             57932041,,,,              6173729,,              1936345,,                    445,,                 89380,,              3544488,,              1505718,              1550518,              3056236,                  9387,                267912,,                 26346,,,              1066374,                141489,              1207863,             16312131,,,              1996536,,              4251611,,              1312450,,              3280899,                 95285,              3376184,             10936781,             27248912,,,,             11426024,             11426024,,                163473,,              2461910,                375127,,              2459876,              5296913,,                194316,                439705,             16641021,             14042108,             30683129,,                    129,,,
