證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－合併溢額,　　　　　 資本公積－其他,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－合併溢額,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 資本公積－其他,　　　　 重估增值,　　　　　 重估增值合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
2841,2015年12月31日,,,,              2622966,,                  4080,,                              0,,                  2988,,              5107881,,                  1895,,              1159774,,                323608,,                380880,              9604072,,,                 17891,,              1390278,,             18267391,,                 35266,                 23270,,              1206410,             20940506,             30544578,,,,,              1752061,,                186132,,                316887,,                153354,,              2558794,                  1952,,              4396495,              9365675,,,              1489265,,              1654971,,                563185,,                 30537,              3737958,             13103633,,,,              7258813,              7258813,,,                276955,                276955,                              0,                 39102,                316057,,                761373,              6873013,,              2683961,             10318347,,,                  5734,                  5734,                471595,             17427356,                 13589,             17440945,             30544578,              0,              0,     42981000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,2015年09月30日,,,,              3519217,,                  4080,,                              0,,                  3158,,              4878075,,                  1940,,              1360165,,                278289,,                370129,             10415053,,,                 24777,,              1167081,,             15962705,,                 25349,                 25130,,              1166305,             18371347,             28786400,,,,,              1662665,,                186132,,                131701,,                161862,,              2764210,                  2375,,              4362957,              9271902,,,              1488005,,              1671978,,                505912,,                 24804,              3690699,             12962601,,,,              7258813,              7258813,,,,                275369,                  1586,                 39102,                316057,,                761373,              6873013,,                884167,              8518553,,,                  7427,                  7427,                281456,             15819394,                  4405,             15823799,             28786400,              0,              0,     24899000,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,2015年06月30日,,,,              3650557,,                  4000,,                              0,,                  3173,,              4781783,,                    339,,              1332921,,                191257,,                382440,             10346470,,,                 24206,,              1065838,,             15475461,,                 25926,                 29772,,              1128512,             17749715,             28096185,,,,,                885719,,                186147,,                231402,,                184232,,              2869639,                  2375,,              4451517,              8811031,,,              1300000,,              1867377,,                454432,,                 25201,              3647010,             12458041,,,,              6620103,              7258813,,,,                275369,                  1586,                 34722,                311677,,                761373,              6873013,,                686969,              8321355,,,                  5559,                  5559,                263844,             15633560,                  4584,             15638144,             28096185,              0,              0,     23300000,                638710,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,2015年03月31日,,,,              3969151,,                  4000,,                              0,,                  2552,,              4694279,,                    867,,              1335818,,                175446,,                437182,             10619295,,,                 25075,,                999947,,             14983323,,                 21561,                 32104,,              1125031,             17187041,             27806336,,,,,              1585719,,                186106,,                191571,,                195170,,              2861328,                 17677,,              4104339,              9141910,,,                500000,,              2268975,,                418190,,                 25208,              3212373,             12354283,,,,              6620103,              6620103,,,,                276955,                              0,                 34722,                311677,,                230157,              1403462,,              7270207,              8903826,,,                  6255,                  6255,                394473,             15447388,                  4665,             15452053,             27806336,              0,              0,     33800000,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,2014年12月31日,,,,              4155290,,                  4000,,                    282,,                  2721,,              4548082,,                    365,,              1315529,,                190257,,                458964,             10675490,,,                 26121,,                892790,,             14793170,,                 22213,                 33142,,              1160487,             16927923,             27603413,,,,,              1079000,,                185702,,                112982,,                226066,,              3061778,                 17677,,              3955893,              8639098,,,                500000,,              2283171,,                418190,,                 23590,              3224951,             11864049,,,,              6791103,              6791103,,,                284109,                284109,                  5777,                 34722,                324608,,                230157,              1403462,,              7418817,              9052436,,,                  6738,                  6738,                440271,             15734614,                  4750,             15739364,             27603413,              0,              0,     38700000,,,,,              4155290,                    365,             27603413,,,,              1079000,,                185702,,                112982,,                226066,,              3061778,                 17677,,              3955893,              8639098,,,                500000,,              2283171,,                418190,,                 23590,              3224951,             11864049,,,,              6791103,              6791103,,,                275369,                 14517,                              0,                              0,                 34722,                324608,,                230157,              1403462,,              7418817,              9052436,,,                  6738,                  6738,                440271,             15734614,                  4750,             15739364,,,,,,,,,
2841,2014年09月30日,,,,              3970408,,                  4000,,                              0,,                  2569,,              4337935,,                  1605,,              1307048,,                289862,,                689527,             10602954,,,                 26959,,                858265,,              9974320,,                 25698,                 36691,,              1091121,             12013054,             22616008,,,,,              1079000,,                186094,,                152531,,                202545,,              3086002,                 14821,,              4308351,              9029344,,,                500000,,              2263439,,                293702,,                 12619,              3069760,             12099104,,,,              6553003,              6864623,,,,                287185,                  7761,                 41478,                336424,,                230157,              1403462,,              1910135,              3543754,,,                  5121,                  5121,                237890,             10512032,                  4872,             10516904,             22616008,              0,              0,     39812000,                311620,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,2014年06月30日,,,,              3288313,,                  4000,,                              0,,                  1313,,              4347081,,                  1770,,              1289532,,                276206,,                541136,              9749351,,,                 28326,,                803092,,              9617836,,                 22735,                 24576,,              1035444,             11532009,             21281360,,,,,              1079000,,                186108,,                  8511,,                191408,,              3015747,                 15462,,              4209294,              8705530,,,                500000,,              1279000,,                293702,,                 21841,              2094543,             10800073,,,,              6553003,              6864623,,,,                287185,                  7761,                 33687,                328633,,                230157,              1403462,,              2053752,              3687371,,,                  3783,                  3783,                403123,             10481287,                              0,             10481287,             21281360,              0,              0,     34060000,                311620,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,2014年03月31日,,,,              3443555,,                  4000,,                    397,,                     93,,              4502454,,                    743,,              1274972,,                229808,,                859285,             10315307,,,                 29400,,                792516,,              9454884,,                 22192,                 20276,,              1020241,             11339509,             21654816,,,,,              1079000,,                186629,,                 13804,,                224038,,              2927388,                    172,,              4879684,              9310715,,,                              0,,              1345000,,                293702,,                 13267,              1651969,             10962684,,,,              6553003,              6553003,,,,                287185,                  7761,                 33687,                328633,,                145841,              1233727,,              2806701,              4186269,,,                  4776,                  4776,                380549,             10692132,                              0,             10692132,             21654816,              0,              0,     32060000,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841,2013年12月31日,,,,,,                  4000,,                  1161,,                    362,,              4668992,,,,              1272451,,                234394,,                894087,             10097483,,,                              0,,                774255,,              9287635,,                 25322,                 18559,,              1016058,             11121829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     32060000,,,,,              3012780,                  9256,             21219312,,,,              1079000,,                185888,,                  1573,,                217605,,              2348613,                 14739,,              5005304,              8852722,,,                              0,,              1375000,,                293702,,                 15277,              1683979,             10536701,,,,              6553003,              6553003,,,                287185,                  7761,                              0,                              0,                 33687,                328633,,                145841,              1233727,,              2796971,              4176539,,,                  4985,                  4985,                380549,             10682611,                              0,             10682611,,,,,,,,,
2841,2013年09月30日,,,,,,                  4000,,                    941,,                647180,,              5538734,,,,              1481955,,                181956,,                597603,             10437026,,,                              0,,                863793,,              7067513,,                 17845,                 15764,,                994986,              8959901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     32060000,,,,,              1980380,                  4277,             19396927,,,,              1079000,,                222471,,                    296,,                226430,,              1314503,                 14738,,              6415466,              9272904,,,                              0,,              1405000,,                 84334,,                 16118,              1505452,             10778356,,,,              6553003,              6553003,,,                287185,                  7761,                              0,                              0,                              0,                328633,,                145841,              1233727,,                733924,              2113492,,,                  3992,                  3992,                380549,              8618571,                              0,              8618571,                              0,                 33687,,,,,,,
