證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
2404,2015年09月30日,,,,              5948309,,                 24512,,                 50713,,                112308,,                976819,,                  7673,              1723228,,                              0,,                 75993,,                512996,,              1461409,             10893960,,,              1060105,,                722679,,                581325,,                  2533,                 54323,,                              0,                              0,,                              0,,                256120,                256120,              2677085,             13571045,,,,,                              0,,                538694,,                  8504,,              1810911,,                 19974,              4277539,                133438,                 62161,,                  8056,,                324860,              7184137,,,                293159,,                 30977,,                  3362,                  3362,                327498,              7511635,,,,              2382334,              2382334,,                604851,,              1114621,                 50087,,              1929039,              3093747,,                -60892,                  3741,              6016299,                 43111,              6059410,             13571045,              0,              0,        201615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,2015年06月30日,,,,              5996759,,                 28382,,                 66388,,                103452,,              1938890,,,              1219466,,                              0,,                 63646,,                755014,,              1470738,             11642735,,,              1066810,,                702000,,                576595,,                  1973,                 54323,,                              0,                              0,,                              0,,                238414,                238414,              2640115,             14282850,,,,,                              0,,                814654,,,,              1555525,,,              4765498,                131850,                 80478,,                  3470,,              1026383,              8377858,,,                292414,,                 30977,,                  3264,                  3264,                326655,              8704513,,,,              2382334,              2382334,,                595492,,              1114621,                 50087,,              1497107,              2661815,,                -87523,                 12982,              5539136,                 39201,              5578337,             14282850,              0,              0,        699615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,2015年03月31日,,,,              6555494,,                 37525,,                 99920,,                126692,,              1609866,,,                868767,,                              0,,                 62051,,                483733,,                196080,             10040128,,,              1069563,,                747263,,                586036,,                  2300,                 54323,,                              0,                              0,,                213488,,                262661,                476149,              2935634,             12975762,,,,,                              0,,                431250,,,,              1476899,,,              4432590,                130332,                116370,,                  3299,,                284463,              6875203,,,                291700,,                 30977,,                  3297,                  3297,                325974,              7201177,,,,              2382334,              2382334,,                593652,,              1040152,                132685,,              1648102,              2820939,,                -42038,                 15042,              5739845,                 34740,              5774585,             12975762,              0,              0,        810615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,2014年12月31日,,,,              6607792,,                 39157,,                 77934,,                153210,,              1232247,,                              0,              1733315,,                  6722,,                 60747,,                475584,,                297951,             10684659,,,              1070488,,                729577,,                593643,,                  2568,                 54323,,                              0,                              0,,                212519,,                245327,                457846,              2908445,             13593104,,,,,                              0,,                482177,,                 13412,,              1469701,,                 19298,              5080681,                128745,                113749,,                  6828,,                400947,              7715538,,,                291503,,                 30977,,                  2857,                  2857,                325337,              8040875,,,,              2382334,              2382334,,                593652,,              1040152,                132685,,              1455571,              2628408,,                -50414,                 15042,              5538938,                 13291,              5552229,             13593104,              0,              0,        810615,              6607792,             13593104,,,,                              0,,                495589,,              1488999,              5080681,                128745,                113749,,                  6828,,                400947,              7715538,,,                291503,,                 30977,,                  2857,                  2857,                325337,              8040875,,,,              2382334,              2382334,,                593652,,              1040152,                132685,,              1455571,              2628408,,                -50414,                 15042,              5538938,                 13291,              5552229
2404,2014年09月30日,,,,              5883342,,                 37701,,                 58966,,                 33558,,              1264987,,                              0,              1106539,,                220003,,                 60568,,                529824,,                239485,              9434973,,,              1074736,,                703636,,                592609,,                  2896,                 57700,,                              0,                              0,,                              0,,                247397,                247397,              2678974,             12113947,,,,,                              0,,                399509,,                    822,,              1216677,,                 17283,              4256750,                127157,                 22212,,                  7961,,                364571,              6412942,,,                252167,,                 12358,,                  2795,                  2795,                267320,              6680262,,,,              2382334,              2382334,,                593652,,              1040152,                132685,,              1373929,              2546766,,                -91588,                 15042,              5416122,                 17563,              5433685,             12113947,              0,              0,        810615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,2014年06月30日,,,,              6381759,,                 38689,,                 68984,,                 21312,,                883453,,,                775889,,                214409,,                 61923,,                236978,,                271795,              8955191,,,              1075629,,                675779,,                592470,,                  3223,                 57700,,                              0,                              0,,                              0,,                225276,                225276,              2630077,             11585268,,,,,                              0,,                372670,,,,              1223121,,,              3503436,                              0,                 72324,,                  6284,,                863320,              6041155,,,                251326,,                 12359,,                  2763,                  2763,                266448,              6307603,,,,              2382334,              2382334,,                591706,,              1040152,                132685,,              1232258,              2405095,,               -100235,                 15042,              5263858,                 13807,              5277665,             11585268,              0,              0,        810615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,2014年03月31日,,,,              6334130,,                 31513,,                 37528,,                 43521,,                414172,,,                882328,,                205968,,                 63708,,                137295,,                283035,              8433198,,,              1076673,,                691699,,                598399,,                  2702,                 57700,,                              0,                              0,,                              0,,                230291,                230291,              2657464,             11090662,,,,,                              0,,                344704,,,,              1263146,,,              3277776,                              0,                175093,,                  7724,,                237123,              5305566,,,                250499,,                 12359,,                  2736,                  2736,                265594,              5571160,,,,              2382334,              2382334,,                583112,,                927829,                245656,,              1501337,              2674822,,               -114699,                 15042,              5510527,                  8975,              5519502,             11090662,              0,              0,        810615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,2013年12月31日,,,,,,                 31985,,                 17233,,                 31407,,                944680,,,                961380,,                  7870,,                 62615,,                197088,,                229037,              9317405,,,                565401,,                677053,,                605335,,                  2894,                 57721,,,,,                              0,,                213745,                213745,              2122149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        810615,              6834110,             11439554,,,,                              0,,                652167,,              1507795,              3219185,                              0,                164042,,                  5371,,                325996,              5874556,,,                249709,,                 12359,,                  2740,                  2740,                264808,              6139364,,,,              2382334,              2382334,,                583112,,                927829,                245656,,              1316387,              2489872,,               -138348,                 15042,              5301928,                 -1738,              5300190
2404,2013年09月30日,,,,,,                 35226,,                 28623,,                 15272,,              1039849,,,              1666962,,                  7787,,                 61703,,                413000,,                187953,              8884147,,,                565274,,                654110,,                608046,,                  3007,                 48224,,                              0,                              0,,,,                231135,                231135,              2109796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        810615,              5427772,             10993943,,,,                 19332,,                617759,,              1609452,              3109853,                              0,                 87151,,                  5277,,                211850,              5660674,,,                217531,,                  5314,,                  2782,                  2782,                225627,              5886301,,,,              2382334,              2382334,,                583017,,                927829,                245656,,              1112510,              2285995,,               -132375,                 15042,              5103929,                  3713,              5107642
2404,2013年06月30日,,,,,,                 37321,,                 12754,,                  1288,,              1169399,,,              1680323,,                  7824,,                 66096,,                651423,,                250269,              9554668,,,                566258,,                646674,,                616072,,                  2759,                 50280,,                              0,                              0,,,,                225856,                225856,              2107899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        810615,              5677971,             11662567,,,,                 24450,,                768833,,              2014682,              3091435,,                 95336,,                  5304,,                699064,              6699104,,,                215800,,                  6721,,                  2474,                  2474,                224995,              6924099,,,,              2382334,              2382334,,                581558,,                927829,                245656,,                753706,              1927191,,               -139283,                 15042,              4736758,                  1710,              4738468
