證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 一年或一營業週期內到期長期借款,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 其他流動資產－其他,　　　 應付票據,　　　　 應付票據合計
2438,2015年09月30日,,,,                 75172,,                 11482,,                163584,,                 15951,,                      1,,                 26726,,                  5653,,                  2501,                  2501,                301070,,,                    468,,                 35254,,                              0,,                545524,,                  4200,                152148,,                 13545,                  1701,,                  2508,                  2508,,                  2790,                  2790,                 20544,                758138,              1059208,,,,,                 92000,,                  9387,,                              0,,                 56484,                              0,                 14878,,                  3201,,,                    658,,                 48083,                    588,                 49329,                225279,,,                156883,                156883,                382162,,,,                752159,                752159,,                              0,,,               -244137,               -244137,,,                -84624,,                    431,                -84193,                              0,                423829,                253217,                677046,              1059208,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,2015年06月30日,,,,                 54761,,                    196,,                152565,,                 16022,,                      1,,                 30521,,                    984,,                  2501,                  2501,                257551,,,                    199,,                 30400,,                              0,,                548682,,                  4676,                151871,,                  3529,                  1531,,                  2508,                  2508,,                  2916,                  2916,                 10484,                746312,              1003863,,,,,                 57000,,                 14872,,                              0,,                 85898,                              0,                 18482,,                  2810,,,                              0,,                 42200,                    511,                 42711,                221773,,,                133108,                133108,                354881,,,,                752159,                752159,,                              0,,,               -250669,               -250669,,,                -84459,,                    161,                -84298,                              0,                417192,                231790,                648982,              1003863,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,2015年03月31日,,,,                 86816,,                    117,,                156179,,                 19093,,                      1,,                 25175,,                  1681,,                 11500,                 11500,                300562,,,                     73,,                 30400,,                              0,,                551854,,                  4523,                151899,,                    120,                  1531,,                  2506,                  2506,,                  3064,                  3064,                  7221,                745970,              1046532,,,,,                118369,,                 13568,,                              0,,                 72905,                              0,                 36508,,                  2639,,,                      3,,                 41617,                  2613,                 44233,                288222,,,                121033,                121033,                409255,,,,                752159,                752159,,                              0,,,               -241270,               -241270,,,                -84495,,                     36,                -84459,                              0,                426430,                210847,                637277,              1046532,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,2014年12月31日,,,,                 50650,,                     33,,                147957,,                 17264,,                              0,,                 26808,,                    761,,                  2500,                  2500,                245973,,,                     64,,                 30400,,                              0,,                537325,,                  3920,                151728,,                  9378,                  1471,,                  3605,                  3605,,                  3244,                  3244,                 17698,                741135,                987108,,,,,                 18689,,                 17125,,                              0,,                 98142,                              0,                 26922,,                  2264,,,                      3,,                 41367,                    473,                 41843,                204985,,,                126625,                126625,                331610,,,,                752159,                752159,,                              0,,,               -254372,               -254372,,,                -84524,,                     27,                -84497,                              0,                413290,                242208,                655498,                987108,              0,              0,              0,,                              0,                 50650,                              0,                987108,,,,                 18689,,                 17125,,                              0,,                 98142,                              0,                 26922,,                  2264,,,                      3,,                 41367,                    473,                 41843,                204985,,,                126625,,                              0,                126625,                331610,,,,                752159,                752159,,                              0,,,               -254372,               -254372,,,                -84524,,                     27,                -84497,                              0,                413290,                242208,                655498,,,,,,
2438,2014年09月30日,,,,                 43411,,                 10375,,                133099,,                 17215,,                      1,,                 19259,,                  5592,,                  5000,                  5000,                233952,,,                     68,,                 30525,,                              0,,                472967,,                  4023,                163623,,                 60350,                  1537,,                  3603,                  3603,,                  3614,                  3614,                 69104,                740310,                974262,,,,,                 97233,,                 13360,,                              0,,                 57754,                              0,                 19439,,                  2617,,,                    397,,                 31267,                    471,                 32135,                222538,,,                 94883,                 94883,                317421,,,,                752159,                752159,,                              0,,,               -235351,               -235351,,,                -84410,,                     31,                -84379,                              0,                432429,                224412,                656841,                974262,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,2014年06月30日,,,,                 36878,,                  6673,,                117213,,                 14226,,                              0,,                 23503,,                  2142,,                              0,                              0,                200635,,,                     69,,                 33025,,                              0,,                466469,,                  4125,                163486,,                 19535,                  1537,,                  3603,                  3603,,                  3993,                  3993,                 28668,                695842,                896477,,,,,                 57113,,                 11063,,                              0,,                 39618,                              0,                 15589,,                  2343,,,                    457,,                 31267,                    552,                 32276,                158002,,,                102700,                102700,                260702,,,,                952442,                952442,,                              0,,,               -437149,               -437149,,,                -84357,,                     32,                -84325,                              0,                430968,                204807,                635775,                896477,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,2014年03月31日,,,,                  1206,,                  3416,,                  1852,,                 14320,,                      3,,                 20447,,                    180,,                     70,                     70,                 41526,,,                     56,,                 37641,,                              0,,                 10882,,                              0,                164455,,                              0,                  1266,,                              0,                              0,,                  3646,                  3646,                  4912,                217946,                259472,,,,,                              0,,                  1919,,                 13878,,                  9535,                 27803,                 12841,,                    398,,,                    464,,                              0,                    323,                    787,                 67161,,,                              0,                              0,                 67161,,,,                484942,                484942,,                              0,,,               -208230,               -208230,,,                -84420,,                     19,                -84401,                              0,                192311,                              0,                192311,                259472,              0,              0,              0,,                     32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,2013年12月31日,,,,,,                    109,,                  5991,,                 14034,,,,                 21147,,                  1152,,                     70,                     70,                 44619,,,                     68,,                 37641,,,,                 17823,,                              0,                162912,,                              0,                  1266,,                              0,                              0,,                  3994,                  3994,                  5260,                223704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                     32,                  2081,                      3,                268323,,,,                              0,,                  4518,,                 13577,,                  9155,                 20031,                 12841,,                    381,,,                  7214,,                              0,                    254,                  7468,                 67971,,,                              0,,                     14,                     14,                 67985,,,,                484942,                484942,,                              0,,,               -200284,               -200284,,,                -84351,,                     31,                -84320,                              0,                200338,                              0,                200338,,,,,,
2438,2013年09月30日,,,,,,                  2680,,                  7249,,                     49,,,,                 17591,,                  2310,,                     70,                     70,                 32838,,,                     62,,                 37641,,                              0,,                 19934,,                              0,                164885,,                     50,                  1266,,                              0,                              0,,                  4347,                  4347,                  5663,                228185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                     32,                  2854,                      3,                261023,,,,                              0,,                  4215,,                 13468,,                  8394,                 16504,                 12841,,                              0,,,                 17545,,                              0,                    355,                 17900,                 73322,,,                              0,,                     39,                     39,                 73361,,,,                484942,                484942,,                              0,,,               -213002,               -213002,,,                -84303,,                     25,                -84278,                              0,                187662,                              0,                187662,                              0,,,,,
2438,2013年06月30日,,,,,,                  1272,,                  4632,,                     44,,,,                 16741,,                  2543,,                     70,                     70,                 29133,,,                     61,,                 37641,,                              0,,                 21009,,                              0,                163606,,                     50,                  1266,,                              0,                              0,,                  4700,                  4700,                  6016,                228333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                     32,                  3796,                      3,                257466,,,,                              0,,                  2929,,                 13664,,                 11607,                 10004,                 12841,,                              0,,,                 19349,,                              0,                    317,                 19666,                 70711,,,                              0,,                              0,                              0,                 70711,,,,                484942,                484942,,                              0,,,               -213770,               -213770,,,                -84441,,                     24,                -84417,                              0,                186755,                              0,                186755,                              0,,,,,
