證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　　 待分配股票股利,　　　 無形資產,　　　　 無形資產合計,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 庫藏股票
3356,2015年09月30日,,,,              1318431,,                  8045,,                195618,,                707360,,                 41776,              2271230,,,                 27916,,                165591,                 70888,,                 33723,                298118,              2569348,,,,,                110248,,                511108,                              0,,                 18843,                640199,,,                 11549,                 11549,                651748,,,,                699797,                 69980,                769777,,,                264078,                      6,                 30683,                294767,,                558936,                              0,,                296862,                855798,,,                 20734,,                -29101,                 -8367,              1911975,                  5625,              1917600,              2569348,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,2015年06月30日,,,,              1253673,,                  8695,,                174445,,                744493,,                 32669,              2213975,,,,,                159819,                 77067,,                 34062,                270948,              2484923,,,,,                148406,,                524827,                 31593,,                 16064,                720890,,,                  1121,                  1121,                722011,,,,                699797,                 69980,                769777,,,                264078,                      6,,                264084,,                558936,                              0,,                168126,                727062,,,                 -3021,,,                 -3021,              1757902,                  5010,              1762912,              2484923,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,2015年03月31日,,,,              1137389,,                  8719,,                179168,,                746140,,                 31734,              2103150,,,,,                155130,                 84122,,                 35126,                274378,              2377528,,,,,                111388,,                133342,                 53512,,                 17544,                315786,,,                              0,                              0,                315786,,,,                699797,,                699797,,,                264078,                      6,,                264084,,                509957,                 10454,,                571560,              1091971,,,                    690,,,                    690,              2056542,                  5200,              2061742,              2377528,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,2014年12月31日,,,,              1046917,,                  8738,,                143180,,                799651,,                 24547,              2023033,,,                              0,,                155756,                 83346,,                 35006,                274108,              2297141,,,,,                108708,,                140223,                 34093,,                 19645,                302669,,,                  2891,                  2891,                305560,,,,                699797,                              0,                699797,,,                264078,                      6,                              0,                264084,,                509957,                 10454,,                493024,              1013435,,,                  8819,,                              0,                  8819,              1986135,                  5446,              1991581,              2297141,              0,              0,              0,              1046917,              2297141,,,,                108708,,                140223,                 34093,,                 19645,                302669,,,                  2891,                  2891,                305560,,,,                699797,                699797,,,                264078,                      6,                264084,,                509957,                 10454,,                493024,              1013435,,,                  8819,                  8819,              1986135,                  5446,              1991581,,,,,,,,,,
3356,2014年09月30日,,,,                803544,,                  8615,,                178206,,                854946,,                 32694,              1878005,,,                              0,,                143023,                 79577,,                 34369,                256969,              2134974,,,,,                133301,,                138467,                  5386,,                  7538,                284692,,,                              0,                              0,                284692,,,,                699797,                              0,                699797,,,                264078,                      6,                              0,                264084,,                509957,                 10454,,                367119,                887530,,,                 -6537,,                              0,                 -6537,              1844874,                  5408,              1850282,              2134974,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,2014年06月30日,,,,              1195801,,                  8642,,                189166,,                874300,,                 25801,              2293710,,,,,                127832,                 80901,,                 33410,                242143,              2535853,,,,,                130047,,                613910,                 49747,,                 10715,                804419,,,                              0,                              0,                804419,,,,                636179,                 63618,                699797,,,                264084,                              0,,                264084,,                509957,                 10454,,                256758,                777169,,,                -10437,,,                -10437,              1730613,                    821,              1731434,              2535853,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,2014年03月31日,,,,              1064951,,                  8611,,                177041,,                917020,,                 44641,              2212264,,,,,                131172,                 82884,,                 30788,                244844,              2457108,,,,,                111366,,                141108,                 98471,,                 13637,                364582,,,                  3171,                  3171,                367753,,,,                636179,,                636179,,,                264084,                              0,,                264084,,                451738,                 11889,,                731429,              1195056,,,                 -7242,,,                 -7242,              2088077,                  1278,              2089355,              2457108,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,2013年12月31日,,,,,,                  8607,,                160529,,                902593,,                 27456,              2098713,,,,,                130880,                 82317,,                 29922,                243119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                999528,              2341832,,,,                167739,,                143514,                 72624,,                 18109,                401986,,,                  1721,                  1721,                403707,,,,                636179,                636179,,,                264084,                              0,                264084,,                451738,                 11889,,                583011,              1046638,,,                -10454,                -10454,              1936447,                  1678,              1938125,,                              0,                              0,,,,,,,
3356,2013年09月30日,,,,,,                  8361,,                193916,,                806954,,                 42308,              2049814,,,,,                130364,                 82511,,                 29182,                242057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                998275,              2291871,,,,                282686,,                144064,                 44419,,                 13137,                484306,,,                              0,                              0,                484306,,,,                636179,                636179,,,                264084,,                264084,,                451738,                 11889,,                451634,                915261,,,                -10198,                -10198,              1805326,                  2239,              1807565,,                              0,,,,,,,,
3356,2013年06月30日,,,,,,                  8297,,                180296,,                593443,,                 36675,              2235195,,,,,                132309,                 77796,,                 29260,                245365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1416484,              2480560,,,,                201609,,                537120,                 65550,,                 16597,                820876,,,                              0,                              0,                820876,,,,                578345,                636179,,,                264129,,                264129,,                451738,                 11889,,                301399,                765026,,,                 -8536,                 -8536,              1656798,                  2886,              1659684,,                  6000,                 57834,,,,,,,
