證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 員工福利負債準備－非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 員工福利負債準備－非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 遞延所得稅負債－所得稅,　　 非控制權益,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額
5471,2015年09月30日,,,,                874472,,                113524,,                993306,,                  3072,,                435653,,                394339,,                 62110,              2876476,,,                     34,,                  9975,,                466453,,                194756,,                 56447,                 29550,,                  8422,                  8422,                765637,              3642113,,,,,                 39354,,                187149,,                250423,                 10914,,                 10186,                 10186,                498026,,,                  9698,                  9698,,                    403,,                 17413,                 64675,                 82088,                 92189,                590215,,,,              1678770,              1678770,,                 62661,,                939474,                    228,,                365280,              1304982,,                  5485,              3051898,              3051898,              3642113,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,2015年06月30日,,,,              1202528,,                115140,,              1001633,,                  1077,,                542547,,                463952,,                 54725,              3381602,,,                     34,,                 11923,,                454341,,                195081,,                 63160,                 34252,,                  7276,                  7276,                766067,              4147669,,,,,                 39363,,                269837,,                781766,                 33339,,                  1674,                  1674,              1125979,,,                  9313,                  9313,,                    396,,                 17652,                 61163,                 78815,                 88524,              1214503,,,,              1678770,              1678770,,                 62661,,                939474,                    228,,                253527,              1193229,,                 -1494,              2933166,              2933166,              4147669,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,2015年03月31日,,,,                860915,,                125760,,              1262423,,                     50,,                378802,,                474185,,                 62323,              3164458,,,                     34,,                 11718,,                455601,,                196117,,                 67963,                 33948,,                  7310,                  7310,                772691,              3937149,,,,,                 37388,,                208840,,                204694,                 55865,,                  2124,                  2124,                508911,,,                  8928,                  8928,,                    399,,                 17877,                 60027,                 77904,                 87231,                596142,,,,              1678770,              1678770,,                 62661,,                887026,                  7616,,                702537,              1597179,,                  2397,              3341007,              3341007,              3937149,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,2014年12月31日,,,,                669279,,                127608,,              1440383,,                  1186,,                440282,,                412221,,                 63101,              3154060,,,                     34,,                 13057,,                453029,,                197286,,                 59245,                 32706,,                  7452,                  7452,                762809,              3916869,,,,,                 45931,,                230170,,                228672,                 42076,,                  4814,                  4814,                551663,,,                  8543,                  8543,,                  2537,,                 18098,                 60947,                 79045,                 90125,                641788,,,,              1678770,              1678770,,                 62661,,                887026,                  7616,,                631096,              1525738,,                  7912,              3275081,              3275081,              3916869,              0,              0,              0,                669279,              1440383,              3916869,,,,                 45931,,                230170,,                228672,                 42076,,                  4814,                  4814,                551663,,,                  8543,                  8543,,                  2537,,                 18098,                 60947,                 79045,                 90125,                641788,,,,              1678770,              1678770,,                 62661,,                887026,                  7616,,                631096,              1525738,,                  7912,              3275081,              3275081,,,,
5471,2014年09月30日,,,,                675839,,                 93350,,              1261752,,                    150,,                491810,,                409581,,                 61822,              2994304,,,                     34,,                 43877,,                456323,,                197091,,                 59517,                 30559,,                  7150,                  7150,                794551,              3788855,,,,,                 45618,,                219085,,                244840,                 26170,,                  4577,                  4577,                540290,,,                  8990,                  8990,,                    330,,                 19865,                 60887,                 80752,                 90072,                630362,,,,              1678770,              1678770,,                 62661,,                887026,                  7616,,                524293,              1418935,,                 -1873,              3158493,              3158493,              3788855,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,2014年06月30日,,,,              1203559,,                 94710,,              1111872,,                  1700,,                569068,,                398640,,                 54967,              3434516,,,                     34,,                 44259,,                467459,,                197491,,                 61219,                 32977,,                  6577,                  6577,                810016,              4244532,,,,,                 46612,,                235672,,                802145,                 43199,,                  6379,                  6379,              1134007,,,                  8605,                  8605,,                    324,,                 20104,                 56483,                 76587,                 85516,              1219523,,,,              1678770,              1678770,,                 62661,,                887026,                  7616,,                392864,              1287506,,                 -3928,              3025009,              3025009,              4244532,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,2014年03月31日,,,,                966389,,                173729,,              1255610,,                    101,,                488469,,                423381,,                 67049,              3374728,,,                     34,,                 45289,,                470871,,                198764,,                 60863,                 32118,,                  5993,                  5993,                813932,              4188660,,,,,                 44980,,                331748,,                227656,                 95081,,                  5029,                  5029,                704494,,,                  8219,                  8219,,                    903,,                 20341,                 58350,                 78691,                 87813,                792307,,,,              1678770,              1678770,,                 62661,,                835545,                    228,,                818242,              1654015,,                    907,              3396353,              3396353,              4188660,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,2013年12月31日,,,,,,                169868,,,,                              0,,                486594,,                294364,,                 47539,              3091451,,,                     34,,                 46895,,                472408,,                199276,,                 64044,                 30843,,                  5875,                  5875,                819375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1012860,              1080226,              3910826,,,,                 41403,,                197703,,                232721,                 78107,,                  5706,                  5706,                555640,,,                  7833,                  7833,,                    968,,                 20590,                 54793,                 75383,                 84184,                639824,,,,              1678770,              1678770,,                 62661,,                835545,                    228,,                701414,              1537187,,                 -7616,              3271002,              3271002,,,,
5471,2013年09月30日,,,,,,                225326,,,,                              0,,                494238,,                328882,,                 53012,              2904342,,,                     34,,                 55351,,                474791,,                207325,,                 66021,                 52296,,                  5183,                  5183,                861001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                872804,                930080,              3765343,,,,                 43219,,                203327,,                238356,                 58206,,                  3866,                  3866,                546974,,,                 10452,                 10452,,                              0,,                 24139,                 56186,                 80325,                 90777,                637751,,,,              1678770,              1678770,,                 62661,,                835545,                    228,,                565951,              1401724,,                -15563,              3127592,              3127592,,,,
5471,2013年06月30日,,,,,,                463653,,,,                    267,,                632490,,                351939,,                 48066,              3377413,,,                     34,,                 56936,,                466731,,                208369,,                 69798,                 80449,,                  5244,                  5244,                887561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                847481,              1033517,              4264974,,,,                 51589,,                284342,,                769626,                 39467,,                  7166,                  7166,              1152190,,,                 10005,                 10005,,                              0,,                 24394,                 55157,                 79551,                 89556,              1241746,,,,              1678770,              1678770,,                 62661,,                835545,                    228,,                451816,              1287589,,                 -5792,              3023228,              3023228,,,,
