證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　 現金及約當現金合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　　 當期所得稅資產合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　 預付款項,　　　　 預付款項合計,　　　 無形資產,　　　　 無形資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
1614,2015年09月30日,,,,                 54464,,                574902,,                170727,,                 86879,,                279455,,                  6772,,                826373,,                 51225,              2050797,,,                              0,,                203825,,                 90004,,              2795655,,              1380996,                 55351,,                 86658,              4612489,              6663286,,,,,                 51474,,                  1116,,                248740,,                442784,                 16450,,                 43404,,                 40961,                844929,,,                 38899,,                222704,,                124899,                366042,                490941,                752544,              1597473,,,,              2691134,              2691134,,,                223447,                223447,,              1445725,                 24680,,                759947,              2230352,,,                 -3883,,                              0,                 -3883,                132298,              5008752,                 57061,              5065813,              6663286,              0,              0,     10182744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2015年06月30日,,,,                 65569,,                446536,,                198426,,                 55705,,                567535,,                  7501,,                945399,,                 68820,              2355491,,,                              0,,                203825,,                 90004,,              2803178,,              1364950,                 58009,,                 89815,              4609781,              6965272,,,,,                 17507,,                  1476,,                330580,,                710887,                 28495,,                113427,,                 21166,              1223538,,,                 33702,,                220767,,                128714,                360808,                489522,                743991,              1967529,,,,              2691134,              2691134,,,                216312,                216312,,              1445725,                 24680,,                677954,              2148359,,,                 18587,,                              0,                 18587,                132298,              4942094,                 55649,              4997743,              6965272,              0,              0,     10182744,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2015年03月31日,,,,                 54519,,                248181,,                212765,,                 64095,,                314714,,                 10045,,              1187278,,                 93965,              2185562,,,                              0,,                207593,,                 90004,,              2810896,,              1308145,                 61568,,                 76370,              4554576,              6740138,,,,,                 22459,,                    107,,                422196,,                307996,                 33705,,                 83481,,                 30663,                900607,,,                 28271,,                219853,,                118150,                375223,                493373,                741497,              1642104,,,,              2691134,              2691134,,,,                216312,,              1423085,                 24680,,                794635,              2242400,,,                 24409,,,                 24409,                132298,              5041957,                 56077,              5098034,              6740138,              0,              0,     10182744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2014年12月31日,,,,                105375,,                626801,,                222215,,                 61946,,                272345,,                 10045,,                829313,,                107892,              2235932,,,                 90000,,                200271,,                              0,,              2821387,,              1288605,                 59069,,                119549,              4578881,              6814813,,,,,                 11495,,                    829,,                350512,,                443941,                 33378,,                 40968,,                 47776,                928899,,,                 52472,,                218935,,                132137,                396921,                529058,                800465,              1729364,,,,              2691134,              2691134,,,                216312,                216312,,              1423085,                 24680,,                787234,              2234999,,,                 19917,,                              0,                 19917,                132298,              5030064,                 55385,              5085449,              6814813,              0,              0,     10182744,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2014年09月30日,,,,                 36884,,              1179959,,                211456,,                 92058,,                329552,,                 12045,,                642514,,                141906,              2646374,,,                 90000,,                158499,,                              0,,              2824688,,                977001,                 57284,,                 93457,              4200929,              6847303,,,,,                 17255,,                              0,,                378165,,                513347,                 19995,,                 33973,,                 52792,              1015527,,,                 47459,,                217973,,                141041,                398549,                539590,                805022,              1820549,,,,              2691134,              2691134,,,                216312,                216312,,              1423085,                 24680,,                728240,              2176005,,,                 15222,,                              0,                 15222,                132298,              4966375,                 60379,              5026754,              6847303,              0,              0,     10182744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2014年06月30日,,,,                 66843,,              1081095,,                210674,,                 82063,,                463456,,                  6534,,                860719,,                 92202,              2863586,,,                 90000,,                145299,,                              0,,              2796267,,                929964,                 57216,,                103654,              4122400,              6985986,,,,,                  9456,,                              0,,                385998,,                681692,                 14717,,                 95350,,                 60161,              1247374,,,                 40628,,                217048,,                143474,                391947,                535421,                793097,              2040471,,,,              2691134,              2691134,,,                207832,                207832,,              1423085,                 24680,,                647742,              2095507,,,                 24375,,                              0,                 24375,                132298,              4886550,                 58965,              4945515,              6985986,              0,              0,     10182744,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2014年03月31日,,,,                 33216,,                946818,,                207254,,                 86516,,                275224,,                  4322,,                914780,,                111261,              2579391,,,                 90000,,                142938,,                              0,,              2806705,,                935724,                 59330,,                 70381,              4105078,              6684469,,,,,                  3719,,                  7599,,                338074,,                308701,                  3205,,                 67084,,                 58684,                787066,,,                 34893,,                216115,,                150342,                395853,                546195,                797203,              1584269,,,,              2691134,              2691134,,,,                207832,,              1398992,                 24680,,                831198,              2254870,,,                 20946,,,                 20946,                132298,              5042484,                 57716,              5100200,              6684469,              0,              0,     10182744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,2013年12月31日,,,,,,              1013878,,                213303,,                 74269,,                267946,,,,                838565,,                 58632,              2529314,,,                 90000,,                141498,,,,              2834214,,                928833,                 55220,,                 40430,              4102958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10182744,,,                 42820,,                              0,,                              0,,                              0,,                              0,,                  2573,                  5828,,                838565,,                 11500,,                 12763,              6632272,,,,                 16854,,                    818,,                240550,,                              0,,                336826,                  4574,,                 72009,,                 66010,                737641,,,                 29519,,                215194,,,                268553,                268553,                134972,                129432,                532957,                777670,              1515311,,,,              2691134,              2691134,,                207832,,              1398992,                 24680,,                837842,              2261514,,                 26994,                132298,              5055176,                 61785,              5116961
1614,2013年09月30日,,,,,,              1486664,,                212395,,                 96018,,                303290,,,,                832301,,                 59735,              3072756,,,                 90000,,                141498,,,,              2908085,,                860508,                 57765,,                 43200,              4113544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10182744,,,                 50663,,,,,,,,,,                 17899,                  3067,,,,                 10724,,                 12488,              7186300,,,,                 12835,,                              0,,                278425,,,,                937507,                  2795,,                 49682,,                 70457,              1351701,,,                 56547,,                214348,,,                271384,                271384,                139803,                133523,                544710,                815605,              2167306,,,,              2691134,              2691134,,                207832,,              1398993,                 24680,,                747249,              2170922,,                 20332,                132298,              4957922,                 61072,              5018994
1614,2013年06月30日,,,,,,              1452206,,                201299,,                108497,,                582160,,,,              1050596,,                 55769,              3520519,,,                 90000,,                 37098,,,,              2916108,,                865955,                 62648,,                 38869,              4023323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     11979701,,,                 31812,,,,                              0,,,,,,                 10753,                    110,,,,                 27317,,                 12645,              7543842,,,,                 15339,,                              0,,                334450,,,,                779830,                 10218,,                107801,,                 85242,              1332880,,,                 50127,,                213300,,,                274213,                274213,                147988,                133226,                555427,                818854,              2151734,,,,              3166040,              3166040,,                198346,,              1398992,                 24680,,                683380,              2107052,,                 12558,                146019,              5337977,                 54131,              5392108
